[01:40:50	]Astro has connected.
[01:50:39	]sfsdfdsf used command '/ToggleRaise'.
[01:50:53	]sfsdfdsf entered observer.
[01:50:55	]sfsdfdsf exited observer at their location.
[01:51:04	]sfsdfdsf used command '/ToggleRaise'.
[01:51:07	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:07	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:07	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:07	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:07	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:07	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from env_fire.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from env_fire.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from env_fire.
[01:51:08	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:08	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from env_fire.
[01:51:09	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from env_fire.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from env_fire.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from env_fire.
[01:51:09	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from env_fire.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 1 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:09	]sfsdfdsf has taken 0 damage from point_hurt.
[01:51:09	]sfsdfdsf was knocked unconscious and is bleeding out.
[01:51:14	]sfsdfdsf ran SAM command 'respawn' with arguments: '^'
[01:51:14	]sfsdfdsf is fully healed.
[01:51:20	]sfsdfdsf used command '/ToggleRaise'.
[01:51:36	]sfsdfdsf used command '/ToggleRaise'.
[01:51:49	]sfsdfdsf used command '/ToggleRaise'.
[01:52:03	]sfsdfdsf used command '/ToggleRaise'.
[01:52:11	]sfsdfdsf used command '/ToggleRaise'.
[01:52:25	]sfsdfdsf used command '/ToggleRaise'.
[01:52:33	]sfsdfdsf used command '/ToggleRaise'.
[01:52:44	]sfsdfdsf used command '/ToggleRaise'.
[01:52:53	]sfsdfdsf used command '/ToggleRaise'.
[01:52:56	]sfsdfdsf has spawned a 'NPC [325][npc_zombie]'.
[01:53:08	]sfsdfdsf used command '/ToggleRaise'.
[01:53:12	]sfsdfdsf used command '/ToggleRaise'.
[01:53:25	]sfsdfdsf used command '/ToggleRaise'.
[01:53:33	]sfsdfdsf used command '/ToggleRaise'.
[01:53:42	]sfsdfdsf used command '/ToggleRaise'.
[01:53:42	]sfsdfdsf entered observer.
[01:53:43	]sfsdfdsf exited observer at their location.
[01:53:46	]sfsdfdsf used command '/ToggleRaise'.
[01:54:00	]sfsdfdsf used command '/ToggleRaise'.
[01:54:12	]sfsdfdsf used command '/ToggleRaise'.
[01:54:25	]sfsdfdsf used command '/ToggleRaise'.
[01:54:43	]sfsdfdsf used command '/PlyWhitelist sfs ota'.
[01:54:55	]Astro created the character 'S10/OWS.GHOST-11'
[01:54:55	]sfsdfdsf has gained level 40 in the Guns skill.
[01:54:55	]sfsdfdsf has gained level 40 in the Speed skill.
[01:54:56	]S10/OWS.GHOST-11 has gained a 'Small Bag' #41.
[01:54:56	]S10/OWS.GHOST-11 has gained a 'Large Bag' #42.
[01:54:56	]S10/OWS.GHOST-11 has gained a 'Flashlight' #43.
[01:54:56	]S10/OWS.GHOST-11 has gained a 'Combine PDA' #44.
[01:54:56	]S10/OWS.GHOST-11 has gained a 'OTA Uniform' #45.
[01:54:56	]S10/OWS.GHOST-11 has gained a 'OTA Mask' #46.
[01:54:56	]Astro loaded the character 'S10/OWS.GHOST-11'
[01:54:56	]S10/OWS.GHOST-11 has gained a 'Rappel Gear' #47.
[01:54:56	]S10/OWS.GHOST-11 has gained a 'Magazine Pouch' #48.
[01:54:56	]S10/OWS.GHOST-11 has gained a 'Ammunition Pouch' #49.
[01:55:01	]S10/OWS.GHOST-11 used command '/ToggleRaise'.
[01:55:25	]S10/OWS.GHOST-11 used command '/CharGiveFlag ghost pet'.
[01:55:27	]S10/OWS.GHOST-11 has fired a toolgun with the name: camera
[01:55:32	]S10/OWS.GHOST-11 used command '/ToggleRaise'.
[01:55:49	]S10/OWS.GHOST-11 used command '/ToggleRaise'.
[01:55:59	]S10/OWS.GHOST-11 has given himself a uniform_owg.
[01:55:59	]S10/OWS.GHOST-11 has gained a 'OTA Shotgunner Uniform' #50.
[01:56:45	]S10/OWS.GHOST-11 has spawned a 'NPC [298][npc_zombie]'.
[01:56:51	]S10/OWS.GHOST-11 has spawned a 'NPC [298][npc_fastzombie]'.
[01:56:52	]S10/OWS.GHOST-11 has taken 5 damage from npc_fastzombie.
[01:56:56	]S10/OWS.GHOST-11 is fully healed.
[01:57:05	]S10/OWS.GHOST-11 has spawned a 'Entity [298][ix_workerk_electric]'.
[01:57:15	]S10/OWS.GHOST-11 has spawned a 'Entity [298][ix_scanner]'.
[01:57:21	]S10/OWS.GHOST-11 is fully healed.
[01:57:22	]S10/OWS.GHOST-11 has spawned a 'Entity [298][ix_smuggler]'.
[01:57:25	]S10/OWS.GHOST-11 entered observer.
[01:57:25	]S10/OWS.GHOST-11 exited observer at their location.
[01:57:38	]S10/OWS.GHOST-11 entered observer.
[01:57:39	]S10/OWS.GHOST-11 exited observer at their location.
[01:57:42	]S10/OWS.GHOST-11 entered observer.
[01:57:43	]S10/OWS.GHOST-11 exited observer at their location.
[01:57:49	]S10/OWS.GHOST-11 has spawned a 'Entity [298][ix_workshiftterminal]'.
[01:57:53	]S10/OWS.GHOST-11 has spawned a 'Entity [298][ix_intercom]'.
[01:57:57	]S10/OWS.GHOST-11 has used a context menu option with the name: ixchangeintercomchannel
[01:58:01	][IC] S10/OWS.GHOST-11: <:: Hi. ::>
[01:58:03	]S10/OWS.GHOST-11 entered observer.
[01:58:04	]S10/OWS.GHOST-11 exited observer at their location.
[01:58:08	]S10/OWS.GHOST-11 has spawned a 'Entity [298][ix_combinemonitor_tv]'.
[01:58:11	]S10/OWS.GHOST-11 has spawned a 'Entity [302][ix_combinemonitor_small]'.
[01:58:15	]S10/OWS.GHOST-11 has spawned a 'Entity [298][ix_intercom]'.
[01:58:19	]S10/OWS.GHOST-11 entered observer.
[01:58:23	]S10/OWS.GHOST-11 exited observer at their location.
[01:58:27	]S10/OWS.GHOST-11 entered observer.
[01:58:28	]S10/OWS.GHOST-11 exited observer at their location.
[01:58:33	]S10/OWS.GHOST-11 has spawned a 'Entity [292][grenade_helicopter]'.
[01:58:33	]S10/OWS.GHOST-11 has spawned a 'Entity [294][grenade_helicopter]'.
[01:58:34	]S10/OWS.GHOST-11 has taken 27 damage from grenade_helicopter.
[01:58:34	]S10/OWS.GHOST-11 has spawned a 'Entity [298][grenade_helicopter]'.
[01:58:38	]S10/OWS.GHOST-11 has taken 20 damage from grenade_helicopter.
[01:58:39	]S10/OWS.GHOST-11 has taken 26 damage from grenade_helicopter.
[01:58:43	]S10/OWS.GHOST-11 has fired a toolgun with the name: creator
[01:58:43	]S10/OWS.GHOST-11 has spawned a 'Entity [292][grenade_helicopter]'.
[01:58:43	]S10/OWS.GHOST-11 has fired a toolgun with the name: creator
[01:58:43	]S10/OWS.GHOST-11 has spawned a 'Entity [294][grenade_helicopter]'.
[01:58:43	]S10/OWS.GHOST-11 has fired a toolgun with the name: creator
[01:58:43	]S10/OWS.GHOST-11 has spawned a 'Entity [296][grenade_helicopter]'.
[01:58:43	]S10/OWS.GHOST-11 has fired a toolgun with the name: creator
[01:58:43	]S10/OWS.GHOST-11 has spawned a 'Entity [298][grenade_helicopter]'.
[01:58:44	]S10/OWS.GHOST-11 has fired a toolgun with the name: creator
[01:58:44	]S10/OWS.GHOST-11 has spawned a 'Entity [302][grenade_helicopter]'.
[01:58:44	]S10/OWS.GHOST-11 has fired a toolgun with the name: creator
[01:58:44	]S10/OWS.GHOST-11 has spawned a 'Entity [304][grenade_helicopter]'.
[01:58:45	]S10/OWS.GHOST-11 has fired a toolgun with the name: creator
[01:58:45	]S10/OWS.GHOST-11 has spawned a 'Entity [305][grenade_helicopter]'.
[01:58:45	]S10/OWS.GHOST-11 has fired a toolgun with the name: creator
[01:58:45	]S10/OWS.GHOST-11 has spawned a 'Entity [306][grenade_helicopter]'.
[01:58:45	]S10/OWS.GHOST-11 has fired a toolgun with the name: creator
[01:58:45	]S10/OWS.GHOST-11 has spawned a 'Entity [308][grenade_helicopter]'.
[01:58:48	]S10/OWS.GHOST-11 has taken 22 damage from grenade_helicopter.
[01:58:48	]S10/OWS.GHOST-11 has taken 23 damage from grenade_helicopter.
[01:58:48	]S10/OWS.GHOST-11 has taken 23 damage from grenade_helicopter.
[01:58:48	]S10/OWS.GHOST-11 was knocked unconscious and is bleeding out.
[01:58:53	]S10/OWS.GHOST-11 ran SAM command 'slay' with arguments: '^'
[01:59:19	]S10/OWS.GHOST-11 has spawned a 'Entity [290][wn_washing_factory]'.
[01:59:27	]S10/OWS.GHOST-11 has used a context menu option with the name: remove
[01:59:37	]S10/OWS.GHOST-11 used command '/PlyWhitelist ghost vort'.
[01:59:50	]Astro created the character 'dsfdsfdsfdsf'
[01:59:51	]Astro loaded the character 'dsfdsfdsfdsf'
[02:00:07	]dsfdsfdsfdsf has spawned a 'Entity [290][ix_campfire]'.
[02:00:13	]Astro (STEAM_0:1:86837969) has disconnected.
