[18:53:13	]willumhf has connected.
[19:09:49	][IC] Atmospheric Agent: Haha.
[19:09:51	][IC] Leon Withers: Nice.
[19:09:57	][IC] Leon Withers: OW.
[19:09:58	][IC] Leon Withers: MY FACE.
[19:10:00	][IC] Atmospheric Agent: So what you need.
[19:10:04	]Atmospheric Agent has spawned 'models/props_c17/oildrum001.mdl'.
[19:10:09	]Atmospheric Agent has spawned 'models/props_c17/oildrum001.mdl'.
[19:10:13	]Atmospheric Agent has spawned 'models/props_c17/oildrum001.mdl'.
[19:10:15	][IC] Leon Withers: All that matters is the scoreboard.
[19:10:19	][IC] Leon Withers: Do you see MCP?
[19:10:22	][IC] Atmospheric Agent: Yes.
[19:10:22	][IC] Leon Withers: On it?
[19:10:25	][IC] Leon Withers: Oh.
[19:10:27	][IC] Leon Withers: Wait ur on event.
[19:10:27	][IC] Atmospheric Agent: I'm on.
[19:10:29	][IC] Atmospheric Agent: An event.
[19:10:29	][IC] Atmospheric Agent: Yes.
[19:10:32	]Keyblockor has unloaded their "Atmospheric Agent" character.
[19:10:34	][IC] Leon Withers: Switch to citizen.
[19:10:36	]Keyblockor has unloaded their "Keyblockor" character.
[19:10:45	]Keyblockor loaded the character 'Argyle Bentwick'
[19:10:45	]Argyle Bentwick their 'indigent stash' stash no longer exists, location reset.
[19:10:50	]Argyle Bentwick is fully healed.
[19:10:54	]Leon Withers entered observer.
[19:10:57	]Leon Withers exited observer at their location.
[19:11:07	][IC] Leon Withers: How about now.
[19:11:09	][IC] Argyle Bentwick: I still see it.
[19:11:12	][IC] Leon Withers: Nice.
[19:11:15	][IC] Leon Withers: That sucks!
[19:11:41	]Argyle Bentwick has hit Leon Withers in the chest dealing 15 damage (CritChance was 0.46).
[19:11:41	]Leon Withers has taken 15 damage from Argyle Bentwick.
[19:11:44	]Argyle Bentwick has critically hit Leon Withers in the chest dealing 23 damage (CritChance was 0.46).
[19:11:44	]Leon Withers has taken 23 damage from Argyle Bentwick.
[19:11:47	][IC] Argyle Bentwick: Oh wow.
[19:11:50	][IC] Argyle Bentwick: Ordinal Rifle rocks.
[19:12:00	]Argyle Bentwick has spawned a 'NPC [222][npc_zombie]'.
[19:12:01	]Argyle Bentwick has hit npc_zombie in the head dealing 12 damage (CritChance was 0.46).
[19:12:03	]Argyle Bentwick has critically hit npc_zombie in the head dealing 25 damage (CritChance was 0.46).
[19:12:07	]Argyle Bentwick has spawned a 'NPC [222][npc_zombie]'.
[19:12:07	]Argyle Bentwick has spawned a 'NPC [233][npc_zombie]'.
[19:12:08	]Argyle Bentwick has spawned a 'NPC [239][npc_zombie]'.
[19:12:08	]Argyle Bentwick has spawned a 'NPC [240][npc_zombie]'.
[19:12:08	]Argyle Bentwick has spawned a 'NPC [272][npc_zombie]'.
[19:12:08	]Argyle Bentwick has spawned a 'NPC [278][npc_zombie]'.
[19:12:10	]Argyle Bentwick has hit npc_zombie in the chest dealing 15 damage (CritChance was 0.46).
[19:12:11	]Argyle Bentwick has hit npc_zombie in the chest dealing 15 damage (CritChance was 0.46).
[19:12:11	]Argyle Bentwick has critically hit npc_zombie in the head dealing 0 damage (CritChance was 0.46).
[19:12:11	]Argyle Bentwick has critically hit npc_zombie in the head dealing 25 damage (CritChance was 0.46).
[19:12:11	][IC] Leon Withers: Combine owned.
[19:12:11	]Argyle Bentwick has critically hit npc_zombie in the head dealing 0 damage (CritChance was 0.46).
[19:12:11	]Argyle Bentwick has hit npc_zombie in the head dealing 12 damage (CritChance was 0.46).
[19:12:12	]Argyle Bentwick has hit npc_zombie in the head dealing 0 damage (CritChance was 0.46).
[19:12:12	]Argyle Bentwick has hit npc_zombie in the head dealing 12 damage (CritChance was 0.46).
[19:12:12	]Argyle Bentwick has hit npc_zombie in the head dealing 0 damage (CritChance was 0.46).
[19:12:12	]Argyle Bentwick has critically hit npc_zombie in the head dealing 25 damage (CritChance was 0.46).
[19:12:12	]Argyle Bentwick has critically hit Leon Withers in the right leg dealing 5 damage (CritChance was 0.46).
[19:12:12	]Leon Withers has taken 5 damage from Argyle Bentwick.
[19:12:13	]Argyle Bentwick has critically hit npc_zombie in the head dealing 0 damage (CritChance was 0.46).
[19:12:13	]Argyle Bentwick has hit npc_zombie in the head dealing 12 damage (CritChance was 0.46).
[19:12:13	]Argyle Bentwick has critically hit npc_zombie in the head dealing 0 damage (CritChance was 0.46).
[19:12:13	]Argyle Bentwick has critically hit npc_zombie in the head dealing 25 damage (CritChance was 0.46).
[19:12:14	]Argyle Bentwick has hit npc_zombie in the left leg dealing 12 damage (CritChance was 0.46).
[19:12:14	]Argyle Bentwick has critically hit npc_zombie in the left arm dealing 20 damage (CritChance was 0.46).
[19:12:14	]Argyle Bentwick has hit npc_zombie in the chest dealing 15 damage (CritChance was 0.46).
[19:12:14	]Argyle Bentwick has hit npc_zombie in the chest dealing 15 damage (CritChance was 0.46).
[19:12:14	]Argyle Bentwick has hit npc_zombie in the chest dealing 15 damage (CritChance was 0.46).
[19:12:14	]Argyle Bentwick has critically hit npc_zombie in the right leg dealing 22 damage (CritChance was 0.46).
[19:12:14	]Argyle Bentwick has hit npc_zombie in the left leg dealing 12 damage (CritChance was 0.46).
[19:12:14	]Argyle Bentwick has hit npc_zombie in the left leg dealing 12 damage (CritChance was 0.46).
[19:12:15	]Argyle Bentwick has critically hit npc_zombie in the left leg dealing 22 damage (CritChance was 0.46).
[19:12:15	]Argyle Bentwick has critically hit npc_zombie in the right leg dealing 22 damage (CritChance was 0.46).
[19:12:15	]Argyle Bentwick has hit npc_zombie in the left leg dealing 12 damage (CritChance was 0.46).
[19:12:15	]Argyle Bentwick has hit npc_zombie in the left arm dealing 10 damage (CritChance was 0.46).
[19:12:15	]Argyle Bentwick has hit npc_zombie in the head dealing 12 damage (CritChance was 0.46).
[19:12:18	]Leon Withers ran SAM command 'hp' with arguments: '^' '10000'
[19:12:20	]Argyle Bentwick has hit npc_zombie in the head dealing 12 damage (CritChance was 0.46).
[19:12:20	]Argyle Bentwick has critically hit npc_zombie in the head dealing 25 damage (CritChance was 0.46).
[19:12:21	]Leon Withers is fully healed.
[19:12:21	]Argyle Bentwick has hit npc_zombie in the head dealing 12 damage (CritChance was 0.46).
[19:12:21	]Argyle Bentwick has critically hit npc_zombie in the head dealing 25 damage (CritChance was 0.46).
[19:12:24	][IC] Leon Withers: I'm like gman.
[19:12:26	]Argyle Bentwick has hit Leon Withers in the chest dealing 15 damage (CritChance was 0.46).
[19:12:26	]Leon Withers has taken 15 damage from Argyle Bentwick.
[19:12:26	]Leon Withers is fully healed.
[19:12:26	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:26	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:26	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:26	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:26	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:26	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:26	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:26	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:26	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:26	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:26	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:26	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:26	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:26	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:27	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:27	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:27	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:27	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:27	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:27	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:27	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:27	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:27	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:27	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:27	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:27	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:27	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:27	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:27	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:27	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:28	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:28	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:28	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:28	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:28	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:28	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:28	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:28	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:28	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:28	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:28	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:28	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:28	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:28	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:28	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:28	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:31	]Leon Withers is fully healed.
[19:12:33	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:33	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:33	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:33	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:33	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:33	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:33	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:33	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:33	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:33	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:33	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:33	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:34	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:34	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:34	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:34	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:34	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:34	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:34	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:34	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:34	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:34	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:34	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:34	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:34	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:34	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:34	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:34	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:34	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:34	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:35	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:35	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:35	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:35	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:35	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:35	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:35	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:35	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:35	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:35	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:35	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:35	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:35	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:35	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:35	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:35	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:36	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:36	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:36	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:36	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:36	]Leon Withers is fully healed.
[19:12:36	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:36	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:36	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:36	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:36	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:36	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:36	]Argyle Bentwick has critically hit Leon Withers in the head dealing 25 damage (CritChance was 0.46).
[19:12:36	]Leon Withers has taken 25 damage from Argyle Bentwick.
[19:12:36	]Argyle Bentwick has hit Leon Withers in the head dealing 12 damage (CritChance was 0.46).
[19:12:36	]Leon Withers has taken 12 damage from Argyle Bentwick.
[19:12:41	]Leon Withers is fully healed.
[19:12:42	][IC] Argyle Bentwick: Is the scar still busted as fuck.
[19:12:45	][IC] Leon Withers: Yes.
[19:12:51	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:51	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:52	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:52	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:52	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:52	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:52	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:52	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:52	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:52	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:52	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:52	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:53	]Argyle Bentwick has critically hit Leon Withers in the chest dealing 34 damage (CritChance was 0.36).
[19:12:53	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:12:53	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:53	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:53	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:53	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:53	][IC] Leon Withers: They lowered the dmg apparent.
[19:12:53	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:53	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:53	]Argyle Bentwick has critically hit Leon Withers in the chest dealing 34 damage (CritChance was 0.36).
[19:12:53	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:12:53	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:53	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:53	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:53	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:53	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:53	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:53	]Argyle Bentwick has critically hit Leon Withers in the chest dealing 34 damage (CritChance was 0.36).
[19:12:53	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:12:53	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:53	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:54	]Argyle Bentwick has critically hit Leon Withers in the chest dealing 34 damage (CritChance was 0.36).
[19:12:54	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:12:54	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.36).
[19:12:54	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:12:54	]Argyle Bentwick has hit Leon Withers in the right arm dealing 9 damage (CritChance was 0.36).
[19:12:54	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:12:54	]Argyle Bentwick has hit Leon Withers in the right arm dealing 9 damage (CritChance was 0.36).
[19:12:54	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:12:54	]Argyle Bentwick has hit Leon Withers in the right arm dealing 9 damage (CritChance was 0.36).
[19:12:54	]Leon Withers has taken 9 damage from Argyle Bentwick.
[19:12:55	][IC] Leon Withers: Apparently.
[19:12:56	]Leon Withers is fully healed.
[19:12:58	]Argyle Bentwick has critically hit Leon Withers in the head dealing 36 damage (CritChance was 0.33).
[19:12:58	]Leon Withers has taken 36 damage from Argyle Bentwick.
[19:12:59	]Argyle Bentwick has hit Leon Withers in the head dealing 18 damage (CritChance was 0.33).
[19:12:59	]Leon Withers has taken 18 damage from Argyle Bentwick.
[19:12:59	]Argyle Bentwick has critically hit Leon Withers in the head dealing 36 damage (CritChance was 0.33).
[19:12:59	]Leon Withers has taken 36 damage from Argyle Bentwick.
[19:12:59	]Argyle Bentwick has hit Leon Withers in the head dealing 18 damage (CritChance was 0.33).
[19:12:59	]Leon Withers has taken 18 damage from Argyle Bentwick.
[19:12:59	]Argyle Bentwick has hit Leon Withers in the head dealing 18 damage (CritChance was 0.33).
[19:12:59	]Leon Withers has taken 18 damage from Argyle Bentwick.
[19:12:59	]Argyle Bentwick has critically hit Leon Withers in the head dealing 36 damage (CritChance was 0.33).
[19:12:59	]Leon Withers has taken 36 damage from Argyle Bentwick.
[19:12:59	]Argyle Bentwick has critically hit Leon Withers in the head dealing 36 damage (CritChance was 0.33).
[19:12:59	]Leon Withers has taken 36 damage from Argyle Bentwick.
[19:12:59	]Argyle Bentwick has critically hit Leon Withers in the head dealing 36 damage (CritChance was 0.33).
[19:12:59	]Leon Withers has taken 36 damage from Argyle Bentwick.
[19:12:59	]Argyle Bentwick has critically hit Leon Withers in the head dealing 36 damage (CritChance was 0.33).
[19:12:59	]Leon Withers has taken 36 damage from Argyle Bentwick.
[19:13:00	]Argyle Bentwick has critically hit Leon Withers in the head dealing 36 damage (CritChance was 0.33).
[19:13:00	]Leon Withers has taken 36 damage from Argyle Bentwick.
[19:13:00	]Argyle Bentwick has hit Leon Withers in the head dealing 18 damage (CritChance was 0.33).
[19:13:00	]Leon Withers has taken 18 damage from Argyle Bentwick.
[19:13:00	]Argyle Bentwick has hit Leon Withers in the head dealing 18 damage (CritChance was 0.33).
[19:13:00	]Leon Withers has taken 18 damage from Argyle Bentwick.
[19:13:00	]Argyle Bentwick has critically hit Leon Withers in the head dealing 36 damage (CritChance was 0.33).
[19:13:00	]Leon Withers has taken 36 damage from Argyle Bentwick.
[19:13:00	]Argyle Bentwick has hit Leon Withers in the head dealing 18 damage (CritChance was 0.33).
[19:13:00	]Leon Withers has taken 18 damage from Argyle Bentwick.
[19:13:01	]Leon Withers is fully healed.
[19:13:04	][IC] Leon Withers: Here, let me set my hp and armor to that of a unit.
[19:13:06	]Leon Withers ran SAM command 'hp' with arguments: '^' '100'
[19:13:09	]Leon Withers ran SAM command 'armor' with arguments: '^' '50'
[19:13:11	][IC] Leon Withers: Try now.
[19:13:13	][IC] Argyle Bentwick: Why does hitting people in the head do less damage than that of the torso.
[19:13:15	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.11).
[19:13:15	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:13:15	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.11).
[19:13:15	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:13:15	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.11).
[19:13:15	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:13:15	]Argyle Bentwick has critically hit Leon Withers in the chest dealing 34 damage (CritChance was 0.33).
[19:13:15	]Leon Withers has taken 34 damage from Argyle Bentwick.
[19:13:15	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.33).
[19:13:15	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:13:15	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.33).
[19:13:15	]Leon Withers has taken 21 damage from Argyle Bentwick.
[19:13:15	]Argyle Bentwick has hit Leon Withers in the chest dealing 21 damage (CritChance was 0.33).
[19:13:15	]Leon Withers was knocked unconscious and is bleeding out.
[19:13:18	]Argyle Bentwick has hit Leon Withers in the left leg dealing 0 damage (CritChance was 0.31).
[19:13:18	]Argyle Bentwick has critically hit Leon Withers in the left leg dealing 0 damage (CritChance was 0.31).
[19:13:18	]Argyle Bentwick has hit Leon Withers in the left leg dealing 0 damage (CritChance was 0.31).
[19:13:18	]Argyle Bentwick has critically hit Leon Withers in the left leg dealing 32 damage (CritChance was 0.31).
[19:13:18	]Leon Withers was killed while bleeding out.
[19:13:18	]Argyle Bentwick has killed Leon Withers with player.
[19:13:21	]Leon Withers used command '/CharGetUp'.
[19:13:22	]Leon Withers used command '/CharGetUp'.
[19:13:24	]Leon Withers used command '/CharGetUp'.
[19:13:32	][IC] Leon Withers: That was quick as fuck.
[19:13:32	][ME] Argyle Bentwick: execute the shot the man man in thre execute here haead, kill
