[01:32:09	]Tuki has connected.
[01:37:28	]Mr McVort has gained a 'Vortigaunt Kevlar' #2055945.
[01:37:38	]Kranky has spawned a tool_repair.
[01:37:40	]Kranky has spawned a tool_repair.
[01:37:40	]Mr McVort ran 'take' on item 'Repair Plating' (#2055946)
[01:37:40	]Mr McVort has gained a 'Repair Plating' #2055946.
[01:37:40	]Kranky has spawned a tool_repair.
[01:37:42	]Mr McVort ran 'take' on item 'Repair Plating' (#2055948)
[01:37:42	]Mr McVort has gained a 'Repair Plating' #2055948.
[01:37:43	]Mr McVort ran 'take' on item 'Repair Plating' (#2055947)
[01:37:43	]Mr McVort has gained a 'Repair Plating' #2055947.
[01:37:50	]Kranky has spawned a antlion_stew.
[01:37:51	]Kranky has spawned a antlion_stew.
[01:37:51	]Kranky has spawned a antlion_stew.
[01:37:52	]Kranky has spawned a antlion_stew.
[01:37:52	]Kranky has spawned a antlion_stew.
[01:37:55	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055949)
[01:37:55	]Mr McVort has gained a 'Antlion Stew' #2055949.
[01:37:58	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055953)
[01:37:58	]Mr McVort has gained a 'Antlion Stew' #2055953.
[01:38:00	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055951)
[01:38:00	]Mr McVort has gained a 'Antlion Stew' #2055951.
[01:38:01	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055952)
[01:38:01	]Mr McVort has gained a 'Antlion Stew' #2055952.
[01:38:03	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055950)
[01:38:03	]Mr McVort has gained a 'Antlion Stew' #2055950.
[01:38:13	]Kranky has spawned a morphine.
[01:38:14	]Kranky has spawned a morphine.
[01:38:14	]Kranky has spawned a morphine.
[01:38:15	]Kranky has spawned a morphine.
[01:38:15	]Kranky has spawned a morphine.
[01:38:16	]Kranky has spawned a morphine.
[01:38:17	]Kranky has spawned a morphine.
[01:38:19	]Kranky has spawned a disinfected_bandage.
[01:38:19	]Kranky has spawned a disinfected_bandage.
[01:38:20	]Kranky has spawned a disinfected_bandage.
[01:38:21	]Kranky has spawned a disinfected_bandage.
[01:38:23	]Mr McVort ran 'take' on item 'Morphine' (#2055960)
[01:38:23	]Mr McVort has gained a 'Morphine' #2055960.
[01:38:24	]Mr McVort ran 'take' on item 'Morphine' (#2055957)
[01:38:24	]Mr McVort has gained a 'Morphine' #2055957.
[01:38:26	]Mr McVort ran 'take' on item 'Morphine' (#2055955)
[01:38:26	]Mr McVort has gained a 'Morphine' #2055955.
[01:38:27	]Mr McVort ran 'take' on item 'Disinfected Bandage Roll' (#2055964)
[01:38:27	]Mr McVort has gained a 'Disinfected Bandage Roll' #2055964.
[01:38:29	]Mr McVort ran 'take' on item 'Disinfected Bandage Roll' (#2055962)
[01:38:29	]Mr McVort has gained a 'Disinfected Bandage Roll' #2055962.
[01:38:31	]Mr McVort ran 'take' on item 'Disinfected Bandage Roll' (#2055961)
[01:38:31	]Mr McVort has gained a 'Disinfected Bandage Roll' #2055961.
[01:38:33	]Mr McVort ran 'take' on item 'Morphine' (#2055958)
[01:38:33	]Mr McVort has gained a 'Morphine' #2055958.
[01:38:33	]Kranky has spawned a largebag.
[01:38:34	]Mr McVort ran 'take' on item 'Large Bag' (#2055965)
[01:38:34	]Mr McVort has gained a 'Large Bag' #2055965.
[01:38:36	]Mr McVort ran 'take' on item 'Morphine' (#2055956)
[01:38:36	]Mr McVort has gained a 'Morphine' #2055956.
[01:38:37	]Mr McVort ran 'take' on item 'Morphine' (#2055954)
[01:38:37	]Mr McVort has gained a 'Morphine' #2055954.
[01:38:43	]Kranky has spawned a uniform_eow.
[01:38:44	]Kranky ran 'take' on item 'OTA Elite Uniform' (#2055966)
[01:38:44	]Kranky has gained a 'OTA Elite Uniform' #2055966.
[01:38:48	]Mr McVort ran 'take' on item 'Disinfected Bandage Roll' (#2055963)
[01:38:48	]Mr McVort has gained a 'Disinfected Bandage Roll' #2055963.
[01:38:52	]Mr McVort ran 'take' on item 'Morphine' (#2055959)
[01:38:52	]Mr McVort has gained a 'Morphine' #2055959.
[01:38:56	]Kranky ran 'drop' on item 'OTA Elite Uniform' (#2055966)
[01:38:56	]Kranky has lost a 'OTA Elite Uniform' #2055966.
[01:38:59	]Kranky has used a context menu option with the name: remove
[01:39:24	]Kranky used command '/CharSetLanguage ^ all'.
[01:39:55	]Kranky used command '/CharSetAttribute mr vort 50'.
[01:40:04	]Kranky used command '/CharSetAttribute mr vortessence 50'.
[01:40:10	]Mr McVort ran 'Consume' on item 'Antlion Stew' (#2055949)
[01:40:10	]Mr McVort has gained a level 5 long boost in Strength.
[01:40:11	]Mr McVort ran 'Consume' on item 'Antlion Stew' (#2055952)
[01:40:11	]Mr McVort has wasted a level 5 long boost in Strength (current: 0; target: 5).
[01:40:12	]Mr McVort ran 'Consume' on item 'Antlion Stew' (#2055951)
[01:40:12	]Mr McVort has wasted a level 5 long boost in Strength (current: 0; target: 5).
[01:40:13	]Mr McVort ran 'Consume' on item 'Antlion Stew' (#2055950)
[01:40:13	]Mr McVort has wasted a level 5 long boost in Strength (current: 0; target: 5).
[01:40:14	]Mr McVort ran 'Consume' on item 'Antlion Stew' (#2055953)
[01:40:14	]Mr McVort has wasted a level 5 long boost in Strength (current: 0; target: 5).
[01:40:21	]Kranky has spawned a antlion_stew.
[01:40:22	]Kranky has spawned a antlion_stew.
[01:40:22	]Kranky has spawned a antlion_stew.
[01:40:22	]Kranky has spawned a antlion_stew.
[01:40:22	]Kranky has spawned a antlion_stew.
[01:40:23	]Kranky has spawned a antlion_stew.
[01:40:23	]Kranky has spawned a antlion_stew.
[01:40:23	]Kranky has spawned a antlion_stew.
[01:40:23	]Kranky has spawned a antlion_stew.
[01:40:23	]Kranky has spawned a antlion_stew.
[01:40:25	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055967)
[01:40:25	]Mr McVort has gained a 'Antlion Stew' #2055967.
[01:40:27	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055969)
[01:40:27	]Mr McVort has gained a 'Antlion Stew' #2055969.
[01:40:28	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055974)
[01:40:28	]Mr McVort has gained a 'Antlion Stew' #2055974.
[01:40:30	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055968)
[01:40:30	]Mr McVort has gained a 'Antlion Stew' #2055968.
[01:40:32	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055970)
[01:40:32	]Mr McVort has gained a 'Antlion Stew' #2055970.
[01:40:33	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055976)
[01:40:33	]Mr McVort has gained a 'Antlion Stew' #2055976.
[01:40:35	][IC] Kranky: !charsethp MR 200.
[01:40:35	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055972)
[01:40:35	]Mr McVort has gained a 'Antlion Stew' #2055972.
[01:40:37	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055971)
[01:40:37	]Mr McVort has gained a 'Antlion Stew' #2055971.
[01:40:38	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055973)
[01:40:38	]Mr McVort has gained a 'Antlion Stew' #2055973.
[01:40:41	]Kranky ran SAM command 'sethp' with arguments: 'MR' '200'
[01:40:41	]Mr McVort ran 'take' on item 'Antlion Stew' (#2055975)
[01:40:41	]Mr McVort has gained a 'Antlion Stew' #2055975.
[01:40:51	]Kranky ran SAM command 'respawn' with arguments: '@'
[01:40:54	]Kranky ran SAM command 'bring' with arguments: 'mr'
[01:41:03	]Kranky entered observer.
[01:41:18	]Kranky exited observer at their location.
[01:41:24	]Kranky has spawned a uniform_charger.
[01:41:26	]Kranky ran 'take' on item 'OTA Charger Uniform' (#2055977)
[01:41:26	]Kranky has gained a 'OTA Charger Uniform' #2055977.
[01:41:38	]Kranky has spawned a mask_ota.
[01:41:40	]Kranky ran 'take' on item 'OTA Mask' (#2055978)
[01:41:40	]Kranky has gained a 'OTA Mask' #2055978.
[01:41:47	]Mr McVort ran 'ToggleOff' on item 'Handheld Radio' (#2049217)
[01:42:05	]Kranky has spawned a assaultshotgun.
[01:42:06	]Kranky ran 'take' on item 'Overwatch Assault Shotgun' (#2055979)
[01:42:06	]Kranky has gained a 'Overwatch Assault Shotgun' #2055979.
[01:42:08	]Kranky ran 'Equip' on item 'Overwatch Assault Shotgun' (#2055979)
[01:42:09	]Kranky ran 'drop' on item 'Light Grey Armband' (#2055943)
[01:42:09	]Kranky has lost a 'Light Grey Armband' #2055943.
[01:42:10	]Kranky ran 'drop' on item '#38852's Identity Card' (#2055944)
[01:42:10	]Kranky has lost a '#38852's Identity Card' #2055944.
[01:42:11	]Kranky ran 'drop' on item 'Flashlight' (#2055942)
[01:42:11	]Kranky has lost a 'Flashlight' #2055942.
[01:42:11	]Kranky ran 'Equip' on item 'Suitcase' (#2055941)
[01:42:12	]Kranky ran 'drop' on item 'Suitcase' (#2055941)
[01:42:14	]Kranky ran 'EquipUn' on item 'Suitcase' (#2055941)
[01:42:15	]Kranky ran 'drop' on item 'Suitcase' (#2055941)
[01:42:15	]Kranky has lost a 'Suitcase' #2055941.
[01:42:26	]Kranky has used a context menu option with the name: remove
[01:42:28	]Kranky has used a context menu option with the name: rb655_dissolve
[01:42:29	]Kranky has used a context menu option with the name: rb655_make_animatable
[01:42:30	]env_entity_dissolver destroyed a 'Flashlight' #2055942.
[01:42:31	]Kranky has used a context menu option with the name: rb655_dissolve
[01:42:33	]Kranky has used a context menu option with the name: rb655_dissolve
[01:42:35	]env_entity_dissolver destroyed a 'Light Grey Armband' #2055943.
[01:42:38	]Kranky ran 'drop' on item 'Overwatch Assault Shotgun' (#2055979)
[01:42:38	]Kranky has lost a 'Overwatch Assault Shotgun' #2055979.
[01:42:45	]Kranky ran 'take' on item 'Overwatch Assault Shotgun' (#2055979)
[01:42:45	]Kranky has gained a 'Overwatch Assault Shotgun' #2055979.
[01:42:48	]Kranky has spawned a magazine_oais_12rnd.
[01:42:48	]Kranky has spawned a magazine_oais_12rnd.
[01:42:49	]Kranky has spawned a magazine_oais_12rnd.
[01:42:49	]Kranky has spawned a magazine_oais_12rnd.
[01:42:51	]Kranky ran 'take' on item '12rnd OAIS-magazine' (#2055982)
[01:42:51	]Kranky has gained a '12rnd OAIS-magazine' #2055982.
[01:42:52	]Kranky ran 'take' on item '12rnd OAIS-magazine' (#2055981)
[01:42:52	]Kranky has gained a '12rnd OAIS-magazine' #2055981.
[01:42:53	]Kranky ran 'take' on item '12rnd OAIS-magazine' (#2055983)
[01:42:53	]Kranky has gained a '12rnd OAIS-magazine' #2055983.
[01:42:54	]Kranky ran 'take' on item '12rnd OAIS-magazine' (#2055980)
[01:42:54	]Kranky has gained a '12rnd OAIS-magazine' #2055980.
[01:43:00	]Kranky has spawned a bullets_buckshot.
[01:43:01	]Kranky has spawned a bullets_buckshot.
[01:43:01	]Kranky has spawned a bullets_buckshot.
[01:43:02	]Kranky has spawned a bullets_buckshot.
[01:43:03	]Kranky has spawned a bullets_buckshot.
[01:43:03	]Kranky has spawned a bullets_buckshot.
[01:43:04	]Kranky ran 'take' on item 'Buckshot Shotgun Shells' (#2055989)
[01:43:04	]Kranky has gained a 'Buckshot Shotgun Shells' #2055989.
[01:43:05	]Kranky ran 'take' on item 'Buckshot Shotgun Shells' (#2055988)
[01:43:05	]Kranky has gained a 'Buckshot Shotgun Shells' #2055988.
[01:43:06	]Kranky ran 'take' on item 'Buckshot Shotgun Shells' (#2055987)
[01:43:06	]Kranky has gained a 'Buckshot Shotgun Shells' #2055987.
[01:43:07	]Kranky ran 'take' on item 'Buckshot Shotgun Shells' (#2055984)
[01:43:07	]Kranky has gained a 'Buckshot Shotgun Shells' #2055984.
[01:43:08	]Kranky ran 'take' on item 'Buckshot Shotgun Shells' (#2055985)
[01:43:08	]Kranky has gained a 'Buckshot Shotgun Shells' #2055985.
[01:43:09	]Kranky ran 'take' on item 'Buckshot Shotgun Shells' (#2055986)
[01:43:09	]Kranky has gained a 'Buckshot Shotgun Shells' #2055986.
[01:43:10	]Kranky ran 'combine' on item '12rnd OAIS-magazine' (#2055983)
[01:43:11	]Kranky ran 'combine' on item '12rnd OAIS-magazine' (#2055980)
[01:43:11	]Kranky ran 'combine' on item '12rnd OAIS-magazine' (#2055982)
[01:43:12	]Kranky ran 'combine' on item '12rnd OAIS-magazine' (#2055981)
[01:43:19	]Kranky has spawned a firstaid.
[01:43:19	]Kranky has spawned a firstaid.
[01:43:20	]Kranky has spawned a firstaid.
[01:43:22	]Kranky ran 'take' on item 'First Aid Kit' (#2055992)
[01:43:22	]Kranky has gained a 'First Aid Kit' #2055992.
[01:43:23	]Kranky ran 'take' on item 'First Aid Kit' (#2055991)
[01:43:23	]Kranky has gained a 'First Aid Kit' #2055991.
[01:43:24	]Kranky ran 'take' on item 'First Aid Kit' (#2055990)
[01:43:24	]Kranky has gained a 'First Aid Kit' #2055990.
[01:43:28	]Kranky ran 'drop' on item 'First Aid Kit' (#2055992)
[01:43:28	]Kranky has lost a 'First Aid Kit' #2055992.
[01:43:30	]Kranky ran 'drop' on item 'First Aid Kit' (#2055990)
[01:43:30	]Kranky has lost a 'First Aid Kit' #2055990.
[01:43:32	]Kranky ran 'drop' on item 'First Aid Kit' (#2055991)
[01:43:32	]Kranky has lost a 'First Aid Kit' #2055991.
[01:43:36	]Kranky has used a context menu option with the name: rb655_dissolve
[01:43:37	]Kranky has used a context menu option with the name: rb655_dissolve
[01:43:37	]Kranky has used a context menu option with the name: rb655_dissolve
[01:43:38	]env_entity_dissolver destroyed a 'First Aid Kit' #2055990.
[01:43:39	]env_entity_dissolver destroyed a 'First Aid Kit' #2055992.
[01:43:39	]Kranky has spawned a health_kit.
[01:43:39	]env_entity_dissolver destroyed a 'First Aid Kit' #2055991.
[01:43:40	]Kranky ran 'take' on item 'Health Kit' (#2055993)
[01:43:40	]Kranky has gained a 'Health Kit' #2055993.
[01:43:45	]Kranky ran 'drop' on item 'Buckshot Shotgun Shells' (#2055987)
[01:43:45	]Kranky has lost a 'Buckshot Shotgun Shells' #2055987.
[01:43:47	]Kranky ran 'take' on item 'Buckshot Shotgun Shells' (#2055987)
[01:43:47	]Kranky has gained a 'Buckshot Shotgun Shells' #2055987.
[01:43:50	]Kranky has spawned a health_kit.
[01:43:51	]Kranky ran 'take' on item 'Health Kit' (#2055994)
[01:43:51	]Kranky has gained a 'Health Kit' #2055994.
[01:43:54	]Kranky ran 'Equip' on item 'Overwatch Assault Shotgun' (#2055979)
[01:43:55	]Kranky has lost a '12rnd OAIS-magazine' #2055983.
[01:43:58	]Kranky has gained a '12rnd OAIS-magazine' #2055983.
[01:43:58	]Kranky used command '/CharFallOver'.
[01:44:00	]Kranky used command '/CharFallOver'.
[01:44:00	]Kranky used command '/CharGetUp'.
[01:44:01	]Kranky used command '/CharGetUp'.
[01:44:02	]Kranky used command '/CharGetUp'.
[01:44:02	]Kranky used command '/CharGetUp'.
[01:44:03	]Kranky used command '/CharGetUp'.
[01:44:03	]Kranky used command '/CharGetUp'.
[01:44:04	]Kranky used command '/CharGetUp'.
[01:44:09	]Kranky used command '/ToggleRaise'.
[01:44:13	]Kranky used command '/ToggleRaise'.
[01:45:12	]Kranky has lost a '12rnd OAIS-magazine' #2055983.
[01:47:07	]Mr McVort has gained level 5 in the Speed skill.
[01:47:45	]Tony The Tiger has connected.
[01:48:30	]Kranky entered observer.
[01:48:30	]Kranky exited observer at their location.
[01:48:39	]Tony The Tiger loaded the character 'S10:SCN-9'
[01:48:52	]Kranky has hit Mr McVort dealing 0 damage (CritChance was 0.27).
[01:48:52	]Kranky has hit Mr McVort dealing 0 damage (CritChance was 0.27).
[01:48:52	]Kranky has hit Mr McVort dealing 0 damage (CritChance was 0.27).
[01:48:52	]Kranky has hit Mr McVort dealing 6 damage (CritChance was 0.27).
[01:48:52	]Mr McVort has taken 6 damage from Kranky.
[01:48:52	]Kranky has critically hit Mr McVort dealing 9 damage (CritChance was 0.27).
[01:48:52	]Mr McVort has taken 9 damage from Kranky.
[01:49:00	]S10:SCN-9 used command '/CharGiveItem scn flashlight 1'.
[01:49:00	]S10:SCN-9 has gained a 'Flashlight' #2055995.
[01:49:02	]Kranky has hit Mr McVort dealing 0 damage (CritChance was 0.27).
[01:49:02	]Kranky has hit Mr McVort dealing 0 damage (CritChance was 0.27).
[01:49:02	]Kranky has hit Mr McVort dealing 0 damage (CritChance was 0.27).
[01:49:02	]Kranky has hit Mr McVort dealing 6 damage (CritChance was 0.27).
[01:49:02	]Mr McVort has taken 6 damage from Kranky.
[01:49:02	]Kranky has critically hit Mr McVort dealing 0 damage (CritChance was 0.27).
[01:49:02	]Kranky has critically hit Mr McVort dealing 9 damage (CritChance was 0.27).
[01:49:02	]Mr McVort has taken 9 damage from Kranky.
[01:49:03	]Kranky has gained a '12rnd OAIS-magazine' #2055983.
[01:49:03	]Kranky was knocked unconscious and is bleeding out.
[01:49:03	][VORT] Mr McVort has damaged Kranky, dealing 246 with vortbeam
[01:49:18	]Kranky used command '/CharStopBleedout ^'.
[01:49:18	][IC] S10:SCN-9: Sector.
[01:49:23	]S10:SCN-9 used command '/I test'.
[01:49:23	]Kranky ran SAM command 'sethp' with arguments: '^' '100'
[01:49:25	]Kranky used command '/CharGetUp'.
[01:49:26	]Kranky is no longer unconscious from critical wounds.
[01:49:26	]Kranky is fully healed.
[01:49:37	]S10:SCN-9 used command '/Dispatch MISCOUNT DETECTED'.
[01:49:38	]Kranky used command '/Radio affirmative'.
[01:49:52	]Kranky was knocked unconscious and is bleeding out.
[01:49:52	][VORT] Mr McVort has damaged Kranky, dealing 246 with vortbeam
[01:49:52	][OOC] Kranky: I hear ya
[01:50:11	]Kranky used command '/CharSetAttribute mr mcvort vort 25'.
[01:50:12	]Kranky used command '/CharGetUp'.
[01:50:25	]Kranky used command '/CharStopBleedout ^'.
[01:50:25	][VORT] Mr McVort has healed Kranky
[01:50:26	]Kranky is no longer unconscious from critical wounds.
[01:50:32	]Kranky ran SAM command 'sethp' with arguments: 'krank' '100'
[01:50:34	]S10:SCN-9 used command '/I MISCOUNT; receiving conflicting'.
[01:50:36	]Kranky is fully healed.
[01:50:46	]S10:SCN-9 used command '/I CONFIRM UPI'.
[01:50:54	][OOC] Kranky: I don't have OTA WL so I unfortunately don't got the OTA lines
[01:50:54	]S10:SCN-9 used command '/Dispatch UNIDENTIFIED'.
[01:51:01	]Kranky entered observer.
[01:51:10	]Kranky exited observer at their location.
[01:51:13	]Kranky ran 'drop' on item 'Overwatch Assault Shotgun' (#2055979)
[01:51:13	]Kranky has lost a 'Overwatch Assault Shotgun' #2055979.
[01:51:14	]Kranky ran 'drop' on item '12rnd OAIS-magazine' (#2055983)
[01:51:14	]Kranky has lost a '12rnd OAIS-magazine' #2055983.
[01:51:15	]Kranky ran 'drop' on item '12rnd OAIS-magazine' (#2055982)
[01:51:15	]Kranky has lost a '12rnd OAIS-magazine' #2055982.
[01:51:16	]Kranky ran 'drop' on item '12rnd OAIS-magazine' (#2055981)
[01:51:16	]Kranky has lost a '12rnd OAIS-magazine' #2055981.
[01:51:16	]Kranky ran 'unload' on item '12rnd OAIS-magazine' (#2055980)
[01:51:16	]Kranky has gained a 'Buckshot Shotgun Shells' #2055996.
[01:51:17	]Kranky ran 'drop' on item '12rnd OAIS-magazine' (#2055980)
[01:51:17	]Kranky has lost a '12rnd OAIS-magazine' #2055980.
[01:51:18	][OOC] S10:SCN-9: mmm testing dispatch voicelines
[01:51:23	][OOC] Kranky: ah alr
[01:51:25	]Kranky ran 'drop' on item 'Buckshot Shotgun Shells' (#2055996)
[01:51:25	]Kranky has lost a 'Buckshot Shotgun Shells' #2055996.
[01:51:26	]Kranky ran 'drop' on item 'OTA Mask' (#2055978)
[01:51:26	]Kranky has lost a 'OTA Mask' #2055978.
[01:51:27	]Kranky ran 'drop' on item 'OTA Charger Uniform' (#2055977)
[01:51:27	]Kranky has lost a 'OTA Charger Uniform' #2055977.
[01:51:28	]Kranky ran 'drop' on item 'Health Kit' (#2055993)
[01:51:28	]Kranky has lost a 'Health Kit' #2055993.
[01:51:29	]Kranky ran 'drop' on item 'Health Kit' (#2055994)
[01:51:29	]Kranky has lost a 'Health Kit' #2055994.
[01:51:29	]Kranky ran 'drop' on item 'Buckshot Shotgun Shells' (#2055984)
[01:51:29	]Kranky has lost a 'Buckshot Shotgun Shells' #2055984.
[01:51:30	]Kranky ran 'drop' on item 'Buckshot Shotgun Shells' (#2055988)
[01:51:30	]Kranky has lost a 'Buckshot Shotgun Shells' #2055988.
[01:51:30	][OOC] Mr McVort: I have the french content so i hear it in french LOOOl
[01:51:31	]Kranky ran 'drop' on item 'Buckshot Shotgun Shells' (#2055989)
[01:51:31	]Kranky has lost a 'Buckshot Shotgun Shells' #2055989.
[01:51:32	]Kranky ran 'drop' on item 'Buckshot Shotgun Shells' (#2055987)
[01:51:32	]Kranky has lost a 'Buckshot Shotgun Shells' #2055987.
[01:51:38	]Tuki has unloaded their "Mr McVort" character.
[01:51:38	][OOC] Kranky: loll
[01:51:47	]Kranky has fired a toolgun with the name: remover
[01:51:47	]Kranky has fired a toolgun with the name: remover
[01:51:47	]Kranky has fired a toolgun with the name: remover
[01:51:48	]Kranky has fired a toolgun with the name: remover
[01:51:48	]Kranky has fired a toolgun with the name: remover
[01:51:48	]Kranky has fired a toolgun with the name: remover
[01:51:48	]Kranky has fired a toolgun with the name: remover
[01:51:48	]Kranky has fired a toolgun with the name: remover
[01:51:49	]Kranky has fired a toolgun with the name: remover
[01:51:49	]Kranky has fired a toolgun with the name: remover
[01:51:49	]Kranky has fired a toolgun with the name: remover
[01:51:49	]Kranky has fired a toolgun with the name: remover
[01:51:49	]Kranky has fired a toolgun with the name: remover
[01:51:49	]Kranky has fired a toolgun with the name: remover
[01:51:50	]Kranky has fired a toolgun with the name: remover
[01:51:50	]Kranky has fired a toolgun with the name: remover
[01:51:50	]Kranky has fired a toolgun with the name: remover
[01:51:50	]Kranky has fired a toolgun with the name: remover
[01:51:50	]Kranky has fired a toolgun with the name: remover
[01:51:50	]Kranky has fired a toolgun with the name: remover
[01:51:51	]Kranky has fired a toolgun with the name: remover
[01:51:51	]Kranky has fired a toolgun with the name: remover
[01:51:51	]Kranky has fired a toolgun with the name: remover
[01:51:51	]Kranky has fired a toolgun with the name: remover
[01:51:52	]Kranky has fired a toolgun with the name: remover
[01:51:52	]Kranky has fired a toolgun with the name: remover
[01:52:02	][OOC] Kranky: we're just doing 1v1s rn
[01:52:11	]S10:SCN-9 used command '/I attention; 243; NOPATROL; one; respond code 3'.
[01:52:12	]Kranky has spawned a uniform_ota.
[01:52:14	]Kranky ran 'take' on item 'OTA Uniform' (#2055997)
[01:52:14	]Kranky has gained a 'OTA Uniform' #2055997.
[01:52:16	]Kranky used command '/ViewInfo Kranky'.
[01:52:28	]Tuki created the character 'Tukiiiiii'
[01:52:28	]Tukiiiiii has gained a 'Flashlight' #2055998.
[01:52:28	]Tukiiiiii has gained a 'Black Armband' #2055999.
[01:52:28	]Tukiiiiii has gained a '#82767's Identity Card' #2056000.
[01:52:28	]Tuki loaded the character 'Tukiiiiii'
[01:52:37	][IC] S10:SCN-9: Politi-stabilization index.
[01:52:44	][OOC] Kranky: tony do you know if you can pass tuki perms?
[01:52:51	][OOC] S10:SCN-9: /toggle gm cuh
[01:52:52	]Kranky has spawned a mask_ota.
[01:52:53	]Kranky ran 'take' on item 'OTA Mask' (#2056001)
[01:52:53	]Kranky has gained a 'OTA Mask' #2056001.
[01:52:57	][OOC] Tukiiiiii: I dont have perms here cuh
[01:53:00	]S10:SCN-9 used command '/PrintStaffList'.
[01:53:03	][OOC] S10:SCN-9: link ur account
[01:53:09	]S10:SCN-9 ran SAM command 'menu' with arguments: ''
[01:53:13	][OOC] Tukiiiiii: Mfs have not given me the gm roll here
[01:53:19	][OOC] S10:SCN-9: skill issue then
[01:53:26	][OOC] Tukiiiiii: Stinky
[01:53:33	]S10:SCN-9 used command '/Dispatch READMINISTRATION'.
[01:53:39	]Kranky has spawned a tacticalrifle.
[01:53:40	]Kranky ran 'take' on item 'OSITR' (#2056002)
[01:53:40	]Kranky has gained a 'OSITR' #2056002.
[01:53:46	]S10:SCN-9 used command '/VisorStatus unrest RE-ADMINISTRATION IN PROGRESS'.
[01:53:48	][OOC] Tukiiiiii: How did u link to the forums again?
[01:53:58	]Kranky has spawned a magazine_otar_60rnd.
[01:53:59	]Kranky has spawned a magazine_otar_60rnd.
[01:54:00	]Kranky has spawned a magazine_otar_60rnd.
[01:54:00	]Kranky has spawned a magazine_otar_60rnd.
[01:54:02	]Kranky ran 'take' on item '60rnd OTAR-magazine' (#2056006)
[01:54:02	]Kranky has gained a '60rnd OTAR-magazine' #2056006.
[01:54:04	]Kranky ran 'take' on item '60rnd OTAR-magazine' (#2056004)
[01:54:04	]Kranky has gained a '60rnd OTAR-magazine' #2056004.
[01:54:05	]Kranky ran 'take' on item '60rnd OTAR-magazine' (#2056005)
[01:54:05	]Kranky has gained a '60rnd OTAR-magazine' #2056005.
[01:54:08	]Kranky ran 'take' on item '60rnd OTAR-magazine' (#2056003)
[01:54:08	]Kranky has gained a '60rnd OTAR-magazine' #2056003.
[01:54:14	]Kranky has spawned a bullets_assaultrifle.
[01:54:14	]Kranky has spawned a bullets_assaultrifle.
