[19:00:53	]Kappatalist has connected.
[19:15:39	]Eric Bayer exited observer at their location.
[19:15:41	]Eric Bayer entered observer.
[19:15:41	]Eric Bayer exited observer at their location.
[19:15:42	]Eric Bayer entered observer.
[19:15:42	]Eric Bayer exited observer at their location.
[19:15:43	]Eric Bayer entered observer.
[19:15:43	]Eric Bayer exited observer at their location.
[19:15:43	]Eric Bayer entered observer.
[19:15:44	]Eric Bayer exited observer at their location.
[19:15:45	]Eric Bayer entered observer.
[19:15:45	]Eric Bayer exited observer at their location.
[19:15:46	]Eric Bayer entered observer.
[19:15:46	]Eric Bayer exited observer at their location.
[19:15:47	]Eric Bayer entered observer.
[19:15:47	]Eric Bayer exited observer at their location.
[19:15:49	]Eric Bayer entered observer.
[19:15:49	]Eric Bayer exited observer at their location.
[19:15:50	]Eric Bayer entered observer.
[19:15:50	]Eric Bayer exited observer at their location.
[19:15:51	]Eric Bayer entered observer.
[19:15:51	]Eric Bayer exited observer at their location.
[19:15:52	]Eric Bayer entered observer.
[19:15:52	]Eric Bayer exited observer at their location.
[19:15:53	]Eric Bayer entered observer.
[19:15:54	]Eric Bayer exited observer at their location.
[19:15:55	]Eric Bayer entered observer.
[19:15:55	]Eric Bayer exited observer at their location.
[19:15:56	]Eric Bayer entered observer.
[19:15:57	]Eric Bayer exited observer at their location.
[19:15:58	]Eric Bayer entered observer.
[19:15:58	]Eric Bayer exited observer at their location.
[19:15:59	]Eric Bayer entered observer.
[19:15:59	]Eric Bayer exited observer at their location.
[19:16:01	]Eric Bayer entered observer.
[19:16:01	]Eric Bayer exited observer at their location.
[19:16:02	]Eric Bayer entered observer.
[19:16:02	]Eric Bayer exited observer at their location.
[19:16:02	]Eric Bayer entered observer.
[19:16:12	]Eric Bayer exited observer at their location.
[19:16:16	]Eric Bayer entered observer.
[19:16:16	]Eric Bayer exited observer at their location.
[19:16:16	]Eric Bayer entered observer.
[19:16:16	]Eric Bayer exited observer at their location.
[19:16:18	]Eric Bayer entered observer.
[19:16:18	]Eric Bayer exited observer at their location.
[19:16:19	]Eric Bayer entered observer.
[19:16:19	]Eric Bayer exited observer at their location.
[19:16:19	]Eric Bayer entered observer.
[19:16:20	]Eric Bayer exited observer at their location.
[19:16:20	]Eric Bayer entered observer.
[19:16:20	]Eric Bayer exited observer at their location.
[19:16:20	]Eric Bayer entered observer.
[19:16:20	]Eric Bayer exited observer at their location.
[19:16:21	]Eric Bayer entered observer.
[19:16:21	]Eric Bayer exited observer at their location.
[19:16:22	]Eric Bayer entered observer.
[19:16:22	]Eric Bayer exited observer at their location.
[19:16:24	]Eric Bayer entered observer.
[19:16:24	]Eric Bayer exited observer at their location.
[19:16:24	]Eric Bayer entered observer.
[19:16:25	]Eric Bayer exited observer at their location.
[19:16:26	]Eric Bayer entered observer.
[19:16:26	]Eric Bayer exited observer at their location.
[19:16:27	]Eric Bayer entered observer.
[19:16:28	]Eric Bayer exited observer at their location.
[19:16:29	]Eric Bayer entered observer.
[19:16:29	]Eric Bayer exited observer at their location.
[19:16:30	]Eric Bayer entered observer.
[19:16:30	]Eric Bayer exited observer at their location.
[19:16:32	]Eric Bayer entered observer.
[19:16:32	]Eric Bayer exited observer at their location.
[19:16:33	]Eric Bayer entered observer.
[19:16:33	]Eric Bayer exited observer at their location.
[19:16:35	]Eric Bayer entered observer.
[19:16:35	]Eric Bayer exited observer at their location.
[19:16:36	]Eric Bayer entered observer.
[19:16:37	]Eric Bayer exited observer at their location.
[19:16:37	]Eric Bayer entered observer.
[19:26:28	]Eric Bayer has gone afk.
[19:32:13	]Eric Bayer is no longer afk. Total time spent AFK: 640
[19:32:13	]Kappatalist (STEAM_0:1:86900379) has disconnected.
[22:26:18	]delo has connected.
[22:27:16	]delo loaded the character 'Razi Oliver'
[22:27:29	]Razi Oliver used command '/PrintStaffList'.
[22:28:06	]delo (STEAM_0:1:96149868) has disconnected.
