[14:18:48	][CG] Delta has connected.
[14:22:50	]Harvey Dalloway has gained a 'Data-Disc' #2050296.
[14:23:03	]Harvey Dalloway ran 'Use' on item '20 Credits Coupon' (#2053207)
[14:23:05	]Harvey Dalloway ran 'Use' on item '20 Credits Coupon' (#2053207)
[14:25:00	]Harvey Dalloway ran 'take' on item 'Combine Battery' (#2053202)
[14:25:00	]Harvey Dalloway has gained a 'Combine Battery' #2053202.
[14:25:03	]Harvey Dalloway ran 'drop' on item 'Combine Battery' (#2053202)
[14:25:03	]Harvey Dalloway has lost a 'Combine Battery' #2053202.
[14:25:09	]Harvey Dalloway opened the 'CWU Stash' stash.
[14:25:15	]Harvey Dalloway closed the 'CWU Stash' stash.
[14:25:19	]Harvey Dalloway ran 'drop' on item 'Broken Biolock' (#1353649)
[14:25:19	]Harvey Dalloway has lost a 'Broken Biolock' #1353649.
[14:25:47	]Harvey Dalloway opened the 'CWU Stash' stash.
[14:25:50	]Harvey Dalloway closed the 'CWU Stash' stash.
[14:25:52	]Harvey Dalloway ran 'take' on item 'Resin' (#2054879)
[14:25:52	]Harvey Dalloway has gained a 'Resin' #2054879.
[14:26:01	]Harvey Dalloway ran 'drop' on item 'Computer Parts' (#1343129)
[14:26:01	]Harvey Dalloway has lost a 'Computer Parts' #1343129.
[14:26:04	]Harvey Dalloway ran 'take' on item 'Computer Parts' (#1343129)
[14:26:04	]Harvey Dalloway has gained a 'Computer Parts' #1343129.
[14:27:25	]Harvey Dalloway ran 'drop' on item 'Computer Parts' (#1343129)
[14:27:25	]Harvey Dalloway has lost a 'Computer Parts' #1343129.
[14:27:42	]Harvey Dalloway opened the 'CWU Stash' stash.
[14:27:49	]Harvey Dalloway closed the 'CWU Stash' stash.
[14:27:52	]Harvey Dalloway ran 'take' on item 'Resin' (#2054880)
[14:27:52	]Harvey Dalloway has gained a 'Resin' #2054880.
[14:27:55	]Harvey Dalloway ran 'drop' on item 'Trash Keyboard' (#1342800)
[14:27:55	]Harvey Dalloway has lost a 'Trash Keyboard' #1342800.
[14:28:01	]Harvey Dalloway opened the 'CWU Stash' stash.
[14:28:05	]Harvey Dalloway closed the 'CWU Stash' stash.
[14:28:06	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054879)
[14:28:09	]Harvey Dalloway ran 'take' on item 'Resin' (#2054881)
[14:28:09	]Harvey Dalloway has gained a 'Resin' #2054881.
[14:28:11	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054879)
[14:28:15	]Harvey Dalloway ran 'split' on item 'Plastic garbage' (#1346499)
[14:28:15	]Harvey Dalloway has gained a 'Plastic garbage' #2054882.
[14:28:18	]Harvey Dalloway ran 'drop' on item 'Plastic garbage' (#2054882)
[14:28:18	]Harvey Dalloway has lost a 'Plastic garbage' #2054882.
[14:29:35	]Harvey Dalloway ran 'take' on item 'Resin' (#2054883)
[14:29:35	]Harvey Dalloway has gained a 'Resin' #2054883.
[14:29:39	]Harvey Dalloway ran 'take' on item 'Resin' (#2054884)
[14:29:39	]Harvey Dalloway has gained a 'Resin' #2054884.
[14:29:43	]Harvey Dalloway ran 'drop' on item 'Plastic garbage' (#1346499)
[14:29:43	]Harvey Dalloway has lost a 'Plastic garbage' #1346499.
[14:29:52	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054883)
[14:29:53	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054879)
[14:30:05	]Harvey Dalloway ran 'take' on item 'Resin' (#2054885)
[14:30:05	]Harvey Dalloway has gained a 'Resin' #2054885.
[14:30:08	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054883)
[14:30:09	]Harvey Dalloway ran 'take' on item 'Resin' (#2054886)
[14:30:09	]Harvey Dalloway has gained a 'Resin' #2054886.
[14:30:10	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054883)
[14:30:13	]Harvey Dalloway ran 'take' on item 'Resin' (#2054887)
[14:30:13	]Harvey Dalloway has gained a 'Resin' #2054887.
[14:30:14	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054883)
[14:30:16	]Harvey Dalloway ran 'take' on item 'Resin' (#2054888)
[14:30:16	]Harvey Dalloway has gained a 'Resin' #2054888.
[14:30:19	]Harvey Dalloway ran 'take' on item 'Resin' (#2054889)
[14:30:19	]Harvey Dalloway has gained a 'Resin' #2054889.
[14:30:22	]Harvey Dalloway ran 'take' on item 'Resin' (#2054890)
[14:30:22	]Harvey Dalloway has gained a 'Resin' #2054890.
[14:30:25	]Harvey Dalloway ran 'take' on item 'Resin' (#2054891)
[14:30:25	]Harvey Dalloway has gained a 'Resin' #2054891.
[14:30:28	]Harvey Dalloway ran 'take' on item 'Resin' (#2054892)
[14:30:28	]Harvey Dalloway has gained a 'Resin' #2054892.
[14:30:30	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054889)
[14:30:31	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054890)
[14:30:32	]Harvey Dalloway ran 'take' on item 'Resin' (#2054893)
[14:30:32	]Harvey Dalloway has gained a 'Resin' #2054893.
[14:30:34	]Harvey Dalloway ran 'take' on item 'Resin' (#2054894)
[14:30:34	]Harvey Dalloway has gained a 'Resin' #2054894.
[14:30:38	]Harvey Dalloway ran 'take' on item 'Resin' (#2054895)
[14:30:38	]Harvey Dalloway has gained a 'Resin' #2054895.
[14:30:41	]Harvey Dalloway ran 'take' on item 'Resin' (#2054896)
[14:30:41	]Harvey Dalloway has gained a 'Resin' #2054896.
[14:30:44	]Harvey Dalloway ran 'take' on item 'Resin' (#2054897)
[14:30:44	]Harvey Dalloway has gained a 'Resin' #2054897.
[14:30:47	]Harvey Dalloway ran 'take' on item 'Resin' (#2054898)
[14:30:47	]Harvey Dalloway has gained a 'Resin' #2054898.
[14:31:02	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054894)
[14:31:04	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054894)
[14:31:05	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054890)
[14:31:42	]Harvey Dalloway opened the 'CWU Stash' stash.
[14:32:03	]Harvey Dalloway closed the 'CWU Stash' stash.
[14:32:33	]Harvey Dalloway opened the 'CWU Stash' stash.
[14:32:38	]Harvey Dalloway has lost a 'Trash Keyboard' #1346825.
[14:32:38	]Harvey Dalloway has transferred a 'Trash Keyboard' #1346825 to a container with the name 'CWU Stash' #52461.
[14:32:41	]Harvey Dalloway closed the 'CWU Stash' stash.
[14:32:45	]Harvey Dalloway ran 'drop' on item 'Glass shards' (#1350206)
[14:32:45	]Harvey Dalloway has lost a 'Glass shards' #1350206.
[14:33:20	]Harvey Dalloway ran 'take' on item 'Resin' (#2054899)
[14:33:20	]Harvey Dalloway has gained a 'Resin' #2054899.
[14:33:23	]Harvey Dalloway ran 'take' on item 'Resin' (#2054900)
[14:33:23	]Harvey Dalloway has gained a 'Resin' #2054900.
[14:33:26	]Harvey Dalloway ran 'take' on item 'Resin' (#2054901)
[14:33:26	]Harvey Dalloway has gained a 'Resin' #2054901.
[14:33:32	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054899)
[14:33:33	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054894)
[14:33:35	]Harvey Dalloway ran 'combine' on item 'Resin' (#2054899)
[14:35:04	]Harvey Dalloway opened the 'CWU Stash' stash.
[14:35:06	]Harvey Dalloway closed the 'CWU Stash' stash.
[14:42:01	][CG] Delta (STEAM_0:1:114447691) has disconnected.
