[00:07:02	]reece has connected.
[15:42:11	]Adalia Torres has hit Conspicuous Charles in the head dealing 13 damage (CritChance was 0.13).
[15:42:11	]Conspicuous Charles has taken 13 damage from Adalia Torres.
[15:42:11	]Adalia Torres has hit Conspicuous Charles in the head dealing 13 damage (CritChance was 0.13).
[15:42:11	]Conspicuous Charles has taken 13 damage from Adalia Torres.
[15:42:11	]Adalia Torres has hit Conspicuous Charles in the head dealing 13 damage (CritChance was 0.13).
[15:42:11	]Conspicuous Charles has taken 13 damage from Adalia Torres.
[15:42:12	]Adalia Torres has hit Conspicuous Charles in the head dealing 13 damage (CritChance was 0.13).
[15:42:12	]Conspicuous Charles was knocked unconscious and is bleeding out.
[15:42:13	][IC] Conspicuous Charles: Ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh, ugh, ugh, agh, ugh, agh, ugh, ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh, ugh, ugh, agh, ugh, agh, ugh, ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh,.
[15:42:20	][IC] Conspicuous Charles: Ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh, ugh, ugh, agh, ugh, agh, ugh, ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh, ugh, ugh, agh, ugh, agh, ugh, ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh,.
[15:42:22	][IC] Conspicuous Charles: Ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh, ugh, ugh, agh, ugh, agh, ugh, ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh, ugh, ugh, agh, ugh, agh, ugh, ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh,.
[15:42:22	][IC] Conspicuous Charles: Ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh, ugh, ugh, agh, ugh, agh, ugh, ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh, ugh, ugh, agh, ugh, agh, ugh, ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh,.
[15:42:23	][IC] Conspicuous Charles: Ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh, ugh, ugh, agh, ugh, agh, ugh, ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh, ugh, ugh, agh, ugh, agh, ugh, ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh,.
[15:42:24	][IC] Conspicuous Charles: Ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh, ugh, ugh, agh, ugh, agh, ugh, ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh, ugh, ugh, agh, ugh, agh, ugh, ugh, ugh, agh, ugh, ow, ugh, ugh, ugh, ugh, agh,.
[15:42:26	]Adalia Torres used command '/CharStopBleedout charles'.
[15:42:30	]Adalia Torres ran SAM command 'hp' with arguments: 'charles' '10'
[15:42:33	]Conspicuous Charles ran SAM command 'respawn' with arguments: 'Charles'
[15:42:33	]Conspicuous Charles is fully healed.
[15:42:42	]Adalia Torres entered observer.
[15:42:46	][Y] Conspicuous Charles: I HAVE AMDE A MISTAKE.
[15:42:57	]Conspicuous Charles has given himself a res_1911.
[15:42:57	]Conspicuous Charles has gained a 'M1911' #2688444.
[15:42:59	]Conspicuous Charles ran 'Equip' on item 'M1911' (#2688444)
[15:43:16	]Conspicuous Charles has given himself a magazine_1911.
[15:43:16	]Conspicuous Charles has gained a '12rnd 1911 Magazine' #2688445.
[15:43:16	]Conspicuous Charles has given himself a magazine_1911.
[15:43:16	]Conspicuous Charles has gained a '12rnd 1911 Magazine' #2688446.
[15:43:21	]Conspicuous Charles ran 'drop' on item 'Makeshift AK' (#2687804)
[15:43:21	]Conspicuous Charles has lost a 'Makeshift AK' #2687804.
[15:43:22	]Conspicuous Charles ran 'drop' on item 'Popper' (#2687784)
[15:43:22	]Conspicuous Charles has lost a 'Popper' #2687784.
[15:43:27	]Conspicuous Charles ran 'take' on item 'Makeshift AK' (#2687804)
[15:43:27	]Conspicuous Charles has gained a 'Makeshift AK' #2687804.
[15:43:32	]Conspicuous Charles has given himself a magazine_junk30.
[15:43:32	]Conspicuous Charles has gained a '30rnd Junk Magazine' #2688447.
[15:43:32	]Conspicuous Charles has given himself a magazine_junk30.
[15:43:32	]Conspicuous Charles has gained a '30rnd Junk Magazine' #2688448.
[15:43:38	]Conspicuous Charles has given himself a bullets_assaultrifle.
[15:43:38	]Conspicuous Charles has gained a 'Assault Rifle Bullets' #2688449.
[15:43:38	]Conspicuous Charles has given himself a bullets_assaultrifle.
[15:43:38	]Conspicuous Charles has gained a 'Assault Rifle Bullets' #2688450.
[15:43:46	]Conspicuous Charles has given himself a bullets_smg1.
[15:43:46	]Conspicuous Charles has gained a 'Sub-machinegun Bullets' #2688451.
[15:43:46	]Conspicuous Charles has given himself a bullets_smg1.
[15:43:46	]Conspicuous Charles has gained a 'Sub-machinegun Bullets' #2688452.
[15:43:48	]Conspicuous Charles ran 'combine' on item '30rnd Junk Magazine' (#2688448)
[15:43:48	]Conspicuous Charles ran 'combine' on item '30rnd Junk Magazine' (#2688447)
[15:43:52	]Adalia Torres exited observer at their location.
[15:43:53	]Adalia Torres entered observer.
[15:43:57	]Conspicuous Charles ran 'Equip' on item 'Makeshift AK' (#2687804)
[15:44:00	]Conspicuous Charles has lost a '30rnd Junk Magazine' #2688448.
[15:44:03	]Conspicuous Charles has gained a '30rnd Junk Magazine' #2688448.
[15:44:03	]Conspicuous Charles has lost a '30rnd Junk Magazine' #2688447.
[15:44:10	]Conspicuous Charles has gained a '30rnd Junk Magazine' #2688447.
[15:44:10	]Conspicuous Charles has lost a '30rnd Junk Magazine' #2688448.
[15:44:22	]Conspicuous Charles has given himself a bullets_smg1.
[15:44:22	]Conspicuous Charles has gained a 'Sub-machinegun Bullets' #2688453.
[15:44:23	]Conspicuous Charles has given himself a bullets_smg1.
[15:44:23	]Conspicuous Charles has gained a 'Sub-machinegun Bullets' #2688454.
[15:44:24	]Conspicuous Charles has given himself a bullets_smg1.
[15:44:24	]Conspicuous Charles has gained a 'Sub-machinegun Bullets' #2688455.
[15:44:25	]Conspicuous Charles ran 'combine' on item '30rnd Junk Magazine' (#2688447)
[15:44:27	]Conspicuous Charles has gained a '30rnd Junk Magazine' #2688448.
[15:44:27	]Conspicuous Charles has lost a '30rnd Junk Magazine' #2688447.
[15:44:36	]Conspicuous Charles ran 'combine' on item '30rnd Junk Magazine' (#2688448)
[15:44:37	]Conspicuous Charles has gained a '30rnd Junk Magazine' #2688447.
[15:44:37	]Conspicuous Charles has lost a '30rnd Junk Magazine' #2688448.
[15:44:45	]Adalia Torres exited observer at their location.
[15:44:46	]Conspicuous Charles has given himself a bullets_smg1.
[15:44:46	]Conspicuous Charles has gained a 'Sub-machinegun Bullets' #2688456.
[15:44:46	]Conspicuous Charles has given himself a bullets_smg1.
[15:44:46	]Conspicuous Charles has gained a 'Sub-machinegun Bullets' #2688457.
[15:44:47	]Adalia Torres entered observer.
[15:44:48	]Conspicuous Charles ran 'combine' on item '30rnd Junk Magazine' (#2688447)
[15:44:48	]Conspicuous Charles has gained a '30rnd Junk Magazine' #2688448.
[15:44:48	]Conspicuous Charles has lost a '30rnd Junk Magazine' #2688447.
[15:44:53	]Adalia Torres exited observer at their location.
[15:44:54	]Adalia Torres entered observer.
[15:45:05	]Conspicuous Charles ran 'combine' on item '30rnd Junk Magazine' (#2688448)
[15:45:05	]Conspicuous Charles has gained a '30rnd Junk Magazine' #2688447.
[15:45:05	]Conspicuous Charles has lost a '30rnd Junk Magazine' #2688448.
[15:45:09	]Adalia Torres exited observer at their location.
[15:45:10	]Adalia Torres entered observer.
[15:45:11	]Conspicuous Charles has spawned a 'NPC [6388][npc_zombie]'.
[15:45:12	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:45:13	]Conspicuous Charles has hit npc_zombie in the left arm dealing 5 damage (CritChance was 0.43).
[15:45:15	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:45:29	]Conspicuous Charles has spawned a 'NPC [6388][npc_zombie]'.
[15:45:30	]Conspicuous Charles has fired a toolgun with the name: vjstool_healthmodifier
[15:45:49	]Conspicuous Charles has critically hit npc_zombie in the right arm dealing 13 damage (CritChance was 0.43).
[15:45:49	]Conspicuous Charles has critically hit npc_zombie in the chest dealing 19 damage (CritChance was 0.43).
[15:45:49	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:45:49	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:45:49	]Conspicuous Charles has critically hit npc_zombie in the head dealing 26 damage (CritChance was 0.14).
[15:45:49	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:45:49	]Conspicuous Charles has critically hit npc_zombie in the right arm dealing 13 damage (CritChance was 0.43).
[15:45:50	]Conspicuous Charles has critically hit npc_zombie in the chest dealing 19 damage (CritChance was 0.43).
[15:45:50	]Conspicuous Charles has critically hit npc_zombie in the chest dealing 19 damage (CritChance was 0.43).
[15:45:50	]Conspicuous Charles has critically hit npc_zombie in the left arm dealing 13 damage (CritChance was 0.43).
[15:45:50	]Conspicuous Charles has critically hit npc_zombie in the left arm dealing 13 damage (CritChance was 0.43).
[15:45:50	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:45:50	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:45:50	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:45:50	]Conspicuous Charles has critically hit npc_zombie in the head dealing 26 damage (CritChance was 0.14).
[15:45:50	]Conspicuous Charles has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.43).
[15:45:50	]Conspicuous Charles has critically hit npc_zombie in the chest dealing 19 damage (CritChance was 0.43).
[15:45:51	]Conspicuous Charles has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.43).
[15:45:51	]Conspicuous Charles has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.43).
[15:45:51	]Conspicuous Charles has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.43).
[15:45:51	]Conspicuous Charles has critically hit npc_zombie in the chest dealing 19 damage (CritChance was 0.43).
[15:45:51	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:45:51	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:45:51	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:45:51	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:45:55	]Conspicuous Charles entered observer.
[15:46:02	]Conspicuous Charles has spawned a 'NPC [6388][npc_zombie]'.
[15:46:08	]Conspicuous Charles has spawned a 'NPC [6388][npc_zombie]'.
[15:46:10	]Conspicuous Charles exited observer at their location.
[15:46:20	]Conspicuous Charles entered observer.
[15:46:22	]Conspicuous Charles exited observer at their location.
[15:46:35	]Conspicuous Charles entered observer.
[15:46:37	]Conspicuous Charles exited observer at their location.
[15:46:42	]Conspicuous Charles has given himself a bullets_smg1.
[15:46:42	]Conspicuous Charles has gained a 'Sub-machinegun Bullets' #2688458.
[15:46:44	]Conspicuous Charles has given himself a bullets_smg1.
[15:46:44	]Conspicuous Charles has gained a 'Sub-machinegun Bullets' #2688459.
[15:46:45	]Adalia Torres exited observer at their location.
[15:46:45	]Adalia Torres entered observer.
[15:47:07	]Conspicuous Charles ran 'combine' on item '30rnd Junk Magazine' (#2688447)
[15:47:08	]Conspicuous Charles has gained a '30rnd Junk Magazine' #2688448.
[15:47:08	]Conspicuous Charles has lost a '30rnd Junk Magazine' #2688447.
[15:47:26	]Conspicuous Charles has spawned a 'NPC [6389][npc_zombie]'.
[15:47:28	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:47:28	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:47:28	]Conspicuous Charles has hit npc_zombie in the head dealing 13 damage (CritChance was 0.14).
[15:47:32	]Conspicuous Charles has spawned a 'NPC [6389][npc_zombie]'.
[15:47:38	]Conspicuous Charles has fired a toolgun with the name: vjstool_healthmodifier
[15:47:38	]Conspicuous Charles has fired a toolgun with the name: vjstool_healthmodifier
[15:47:44	]Conspicuous Charles has critically hit npc_zombie in the chest dealing 22 damage (CritChance was 0.40).
[15:47:44	]Conspicuous Charles has critically hit npc_zombie in the chest dealing 22 damage (CritChance was 0.40).
[15:47:45	]Conspicuous Charles has critically hit npc_zombie in the chest dealing 22 damage (CritChance was 0.40).
[15:47:46	]Conspicuous Charles has hit npc_zombie in the chest dealing 12 damage (CritChance was 0.40).
[15:47:46	]Conspicuous Charles has hit npc_zombie in the chest dealing 12 damage (CritChance was 0.40).
[15:47:47	]Conspicuous Charles has hit npc_zombie in the chest dealing 12 damage (CritChance was 0.40).
[15:47:47	]Conspicuous Charles has hit npc_zombie in the chest dealing 12 damage (CritChance was 0.40).
[15:47:51	]Conspicuous Charles has hit npc_zombie in the chest dealing 12 damage (CritChance was 0.40).
[15:47:52	]Conspicuous Charles has critically hit npc_zombie in the left arm dealing 15 damage (CritChance was 0.40).
[15:47:53	]Conspicuous Charles has critically hit npc_zombie in the chest dealing 22 damage (CritChance was 0.40).
[15:47:54	]Conspicuous Charles has critically hit npc_zombie in the chest dealing 22 damage (CritChance was 0.40).
[15:47:54	]Conspicuous Charles has critically hit npc_zombie in the chest dealing 22 damage (CritChance was 0.40).
[15:47:55	]Conspicuous Charles has hit npc_zombie in the chest dealing 12 damage (CritChance was 0.40).
[15:47:56	]Conspicuous Charles has hit npc_zombie in the chest dealing 12 damage (CritChance was 0.40).
[15:47:56	]Conspicuous Charles has hit npc_zombie in the chest dealing 12 damage (CritChance was 0.40).
[15:47:56	]Conspicuous Charles has critically hit npc_zombie in the right arm dealing 15 damage (CritChance was 0.40).
[15:47:57	]Conspicuous Charles has critically hit npc_zombie in the chest dealing 22 damage (CritChance was 0.40).
[15:47:57	]Conspicuous Charles has critically hit npc_headcrab dealing 18 damage (CritChance was 0.66).
[15:48:01	]Conspicuous Charles has spawned a 'NPC [6389][npc_zombie]'.
[15:48:02	]Conspicuous Charles has hit npc_zombie in the chest dealing 12 damage (CritChance was 0.40).
[15:48:02	]Conspicuous Charles has critically hit npc_zombie in the chest dealing 22 damage (CritChance was 0.40).
[15:48:02	]Conspicuous Charles has hit npc_zombie in the chest dealing 12 damage (CritChance was 0.40).
[15:48:02	]Conspicuous Charles has hit npc_zombie in the head dealing 15 damage (CritChance was 0.13).
[15:48:02	]Conspicuous Charles has hit npc_zombie in the head dealing 15 damage (CritChance was 0.13).
[15:48:13	]Conspicuous Charles ran 'drop' on item 'Makeshift AK' (#2687804)
[15:48:13	]Conspicuous Charles has lost a 'Makeshift AK' #2687804.
[15:48:24	]Conspicuous Charles entered observer.
[15:48:34	]Conspicuous Charles exited observer at their location.
[15:48:34	]Conspicuous Charles entered observer.
[15:48:34	]Conspicuous Charles exited observer at their location.
[15:48:36	]Conspicuous Charles entered observer.
[15:48:36	]Conspicuous Charles exited observer at their location.
[15:48:52	]Conspicuous Charles has given himself a magazine_pulse100.
[15:48:52	]Conspicuous Charles has gained a '150rnd Suppressor Magazine' #2688460.
[15:48:52	]Conspicuous Charles has given himself a magazine_pulse100.
[15:48:52	]Conspicuous Charles has gained a '150rnd Suppressor Magazine' #2688461.
[15:48:53	]Conspicuous Charles has given himself a magazine_pulse100.
[15:48:53	]Conspicuous Charles has gained a '150rnd Suppressor Magazine' #2688462.
[15:48:59	]Conspicuous Charles ran 'drop' on item 'Sub-machinegun Bullets' (#2688459)
[15:48:59	]Conspicuous Charles has lost a 'Sub-machinegun Bullets' #2688459.
[15:48:59	]Conspicuous Charles ran 'drop' on item 'M1911' (#2688444)
[15:48:59	]Conspicuous Charles has lost a 'M1911' #2688444.
[15:49:00	]Conspicuous Charles ran 'drop' on item '150rnd Suppressor Magazine' (#2688460)
[15:49:00	]Conspicuous Charles has lost a '150rnd Suppressor Magazine' #2688460.
[15:49:01	]Conspicuous Charles ran 'drop' on item 'Assault Rifle Bullets' (#2688450)
[15:49:01	]Conspicuous Charles has lost a 'Assault Rifle Bullets' #2688450.
[15:49:01	]Conspicuous Charles ran 'drop' on item 'Sub-machinegun Bullets' (#2688453)
[15:49:01	]Conspicuous Charles has lost a 'Sub-machinegun Bullets' #2688453.
[15:49:02	]Conspicuous Charles ran 'drop' on item '12rnd 1911 Magazine' (#2688446)
[15:49:02	]Conspicuous Charles has lost a '12rnd 1911 Magazine' #2688446.
[15:49:03	]Conspicuous Charles ran 'drop' on item 'Assault Rifle Bullets' (#2688449)
[15:49:03	]Conspicuous Charles has lost a 'Assault Rifle Bullets' #2688449.
[15:49:04	]Conspicuous Charles ran 'drop' on item '12rnd 1911 Magazine' (#2688445)
[15:49:04	]Conspicuous Charles has lost a '12rnd 1911 Magazine' #2688445.
[15:49:07	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:07	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:08	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:08	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:08	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:08	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:08	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:08	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:09	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:09	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:09	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:09	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:09	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:09	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:10	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:10	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:10	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:10	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:11	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:11	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:18	]Conspicuous Charles ran 'drop' on item '30rnd Junk Magazine' (#2688448)
[15:49:18	]Conspicuous Charles has lost a '30rnd Junk Magazine' #2688448.
[15:49:20	]Conspicuous Charles has fired a toolgun with the name: remover
[15:49:26	]Conspicuous Charles has given himself a bullets_pulse.
[15:49:26	]Conspicuous Charles has gained a 'Pulse Rifle Bullets' #2688463.
[15:49:27	]Conspicuous Charles has given himself a bullets_pulse.
[15:49:27	]Conspicuous Charles has gained a 'Pulse Rifle Bullets' #2688464.
[15:49:27	]Conspicuous Charles has given himself a bullets_pulse.
[15:49:27	]Conspicuous Charles has gained a 'Pulse Rifle Bullets' #2688465.
[15:49:28	]Conspicuous Charles has given himself a bullets_pulse.
[15:49:29	]Conspicuous Charles has gained a 'Pulse Rifle Bullets' #2688466.
[15:49:29	]Conspicuous Charles has given himself a bullets_pulse.
[15:49:29	]Conspicuous Charles has gained a 'Pulse Rifle Bullets' #2688467.
[15:49:30	]Conspicuous Charles has given himself a bullets_pulse.
[15:49:30	]Conspicuous Charles has gained a 'Pulse Rifle Bullets' #2688468.
[15:49:31	]Conspicuous Charles ran 'combine' on item '150rnd Suppressor Magazine' (#2688461)
[15:49:32	]Conspicuous Charles ran 'combine' on item '150rnd Suppressor Magazine' (#2688461)
[15:49:33	]Conspicuous Charles ran 'combine' on item '150rnd Suppressor Magazine' (#2688461)
[15:49:34	]Conspicuous Charles ran 'combine' on item '150rnd Suppressor Magazine' (#2688461)
[15:49:35	]Conspicuous Charles ran 'combine' on item '150rnd Suppressor Magazine' (#2688461)
[15:49:36	]Conspicuous Charles ran 'combine' on item '150rnd Suppressor Magazine' (#2688462)
[15:49:38	]Conspicuous Charles has given himself a bullets_pulse.
[15:49:38	]Conspicuous Charles has gained a 'Pulse Rifle Bullets' #2688469.
[15:49:39	]Conspicuous Charles has given himself a bullets_pulse.
[15:49:39	]Conspicuous Charles has gained a 'Pulse Rifle Bullets' #2688470.
[15:49:40	]Conspicuous Charles has given himself a bullets_pulse.
[15:49:40	]Conspicuous Charles has gained a 'Pulse Rifle Bullets' #2688471.
[15:49:41	]Conspicuous Charles has given himself a bullets_pulse.
[15:49:41	]Conspicuous Charles has gained a 'Pulse Rifle Bullets' #2688472.
[15:49:43	]Conspicuous Charles ran 'combine' on item '150rnd Suppressor Magazine' (#2688462)
[15:49:43	]Conspicuous Charles ran 'combine' on item '150rnd Suppressor Magazine' (#2688462)
[15:49:46	]Conspicuous Charles ran 'combine' on item '150rnd Suppressor Magazine' (#2688462)
[15:49:46	]Conspicuous Charles ran 'combine' on item '150rnd Suppressor Magazine' (#2688462)
[15:49:50	]Conspicuous Charles ran 'Equip' on item 'Suppressor Light Machinegun' (#2686857)
[15:49:51	]Conspicuous Charles has lost a '150rnd Suppressor Magazine' #2688462.
[15:50:12	]M!NT (STEAM_0:1:120751263) has disconnected.
[15:50:13	]Conspicuous Charles has spawned a 'NPC [6375][npc_antlionguard]'.
[15:50:14	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:14	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:14	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:14	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:14	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:14	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:14	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:14	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:14	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:14	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:14	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:14	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:15	]Conspicuous Charles has taken 20 damage from npc_antlionguard.
[15:50:15	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:15	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:15	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:15	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:16	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:16	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:16	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:16	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:16	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:16	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:16	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:16	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:16	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:16	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:16	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:17	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:17	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:17	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:17	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:17	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:17	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:17	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:17	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:17	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:17	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
[15:50:17	]Conspicuous Charles has hit npc_antlionguard dealing 6 damage (CritChance was 0.72).
[15:50:17	]Conspicuous Charles has critically hit npc_antlionguard dealing 12 damage (CritChance was 0.72).
