[01:37:58	]Robert has connected.
[01:45:50	]Sir Duncan Wilford entered observer.
[01:45:54	]Sir Duncan Wilford exited observer at their location.
[01:45:56	]Sir Duncan Wilford has used a context menu option with the name: remove
[01:45:57	]Nazariy Svyatopolk Kozlov used command '/RemoveApartment LH-11'.
[01:45:58	]Nazariy Svyatopolk Kozlov used command '/RemoveApartment LH-12'.
[01:46:06	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-11'.
[01:46:07	]Sir Duncan Wilford entered observer.
[01:46:08	]Nazariy Svyatopolk Kozlov entered observer.
[01:46:10	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-11'.
[01:46:12	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-11'.
[01:46:16	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-12'.
[01:46:18	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-12'.
[01:46:19	]Sir Duncan Wilford exited observer at their location.
[01:46:20	]Sir Duncan Wilford entered observer.
[01:46:20	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-12'.
[01:46:23	]Sir Duncan Wilford exited observer at their location.
[01:46:26	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-21'.
[01:46:29	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-22'.
[01:46:32	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-21'.
[01:46:34	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-21'.
[01:46:42	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-22'.
[01:46:45	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-22'.
[01:46:51	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-32'.
[01:46:53	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-32'.
[01:46:55	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-32'.
[01:47:06	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-31'.
[01:47:09	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-31'.
[01:47:11	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-31'.
[01:47:17	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-41'.
[01:47:19	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-42'.
[01:47:22	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-43'.
[01:47:33	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-41'.
[01:47:46	]Nazariy Svyatopolk Kozlov used command '/RemoveApartment LHC-43'.
[01:47:51	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-41'.
[01:47:58	]Sir Duncan Wilford used command '/ShowEdicts'.
[01:47:58	]Nazariy Svyatopolk Kozlov used command '/RemoveApartmentDoor'.
[01:48:00	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-41'.
[01:48:04	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-42'.
[01:48:06	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-42'.
[01:48:08	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor LHC-42'.
[01:48:19	]Sir Duncan Wilford entered observer.
[01:48:20	]Sir Duncan Wilford exited observer at their location.
[01:48:21	]Sir Duncan Wilford entered observer.
[01:48:21	]Sir Duncan Wilford exited observer at their location.
[01:48:22	]Sir Duncan Wilford entered observer.
[01:48:26	]Sir Duncan Wilford exited observer at their location.
[01:48:28	]Sir Duncan Wilford entered observer.
[01:48:32	]Sir Duncan Wilford exited observer at their location.
[01:48:33	]Sir Duncan Wilford entered observer.
[01:48:33	]Sir Duncan Wilford exited observer at their location.
[01:48:35	]Sir Duncan Wilford entered observer.
[01:48:35	]Sir Duncan Wilford exited observer at their location.
[01:48:38	]Sir Duncan Wilford entered observer.
[01:48:38	]Sir Duncan Wilford exited observer at their location.
[01:48:39	]Sir Duncan Wilford entered observer.
[01:48:39	]Sir Duncan Wilford exited observer at their location.
[01:48:40	]Sir Duncan Wilford entered observer.
[01:48:42	]Sir Duncan Wilford exited observer at their location.
[01:48:42	]Nazariy Svyatopolk Kozlov has given himself a combinelock.
[01:48:42	]Nazariy Svyatopolk Kozlov has gained a 'Combine Lock' #2046423.
[01:48:45	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'Combine Lock' (#2046423)
[01:48:45	]Sir Duncan Wilford entered observer.
[01:49:38	]Nazariy Svyatopolk Kozlov has given himself a combinelock.
[01:49:39	]Nazariy Svyatopolk Kozlov has gained a 'Combine Lock' #2046424.
[01:49:40	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'Combine Lock' (#2046424)
[01:50:14	]Sir Duncan Wilford exited observer at their location.
[01:50:21	]Sir Duncan Wilford entered observer.
[01:50:21	]Sir Duncan Wilford exited observer at their location.
[01:50:40	]Sir Duncan Wilford has taken 10 damage from Sir Duncan Wilford.
[01:50:40	]Sir Duncan Wilford has taken 5 damage from Sir Duncan Wilford.
[01:50:40	]Sir Duncan Wilford has taken 10 damage from Sir Duncan Wilford.
[01:50:40	]Sir Duncan Wilford has taken 10 damage from Sir Duncan Wilford.
[01:50:47	]Sir Duncan Wilford has taken 50 damage from Sir Duncan Wilford.
[01:50:47	]Sir Duncan Wilford was knocked unconscious and is bleeding out.
[01:50:52	]Sir Duncan Wilford ran SAM command 'respawn' with arguments: 'dunc'
[01:50:54	]Sir Duncan Wilford is fully healed.
[01:50:55	]Sir Duncan Wilford used command '/CharGetUp'.
[01:51:00	]Sir Duncan Wilford was knocked unconscious and is bleeding out.
[01:51:51	][Y] Sir Duncan Wilford: FUCKING PIECE OF SHIT FUCKING MINGE.
[01:51:58	][Y] Sir Duncan Wilford: FUCKING PIECE OF SHIT FUCKING MINGE.
[01:52:08	]Nazariy Svyatopolk Kozlov has given himself a combinelock.
[01:52:08	]Nazariy Svyatopolk Kozlov has gained a 'Combine Lock' #2046425.
[01:52:09	]Sir Duncan Wilford ran SAM command 'respawn' with arguments: 'wilf'
[01:52:09	]Sir Duncan Wilford is fully healed.
[01:52:09	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'Combine Lock' (#2046425)
[01:52:13	]Nazariy Svyatopolk Kozlov ran 'EquipUn' on item 'FiveSeven' (#1707566)
[01:52:13	]Nazariy Svyatopolk Kozlov has gained a '20rnd FiveSeven-magazine' #1707575.
[01:52:32	]Sir Duncan Wilford entered observer.
[01:52:32	]Sir Duncan Wilford exited observer at their location.
[01:52:37	]Sir Duncan Wilford entered observer.
[01:52:38	]Sir Duncan Wilford exited observer at their location.
[01:52:39	]Sir Duncan Wilford entered observer.
[01:52:47	]Sir Duncan Wilford exited observer at their location.
[01:52:48	]Sir Duncan Wilford entered observer.
[01:52:48	]Sir Duncan Wilford exited observer at their location.
[01:52:49	]Nazariy Svyatopolk Kozlov used command '/DoorSetUnownable CLC Rep Offices'.
[01:52:50	]Sir Duncan Wilford entered observer.
[01:52:50	]Sir Duncan Wilford exited observer at their location.
[01:52:52	]Sir Duncan Wilford entered observer.
[01:52:52	]Sir Duncan Wilford exited observer at their location.
[01:52:53	]Sir Duncan Wilford entered observer.
[01:52:53	]Sir Duncan Wilford exited observer at their location.
[01:52:54	]Nazariy Svyatopolk Kozlov used command '/DoorSetHidden 0'.
[01:52:54	]Sir Duncan Wilford entered observer.
[01:53:19	]Sir Duncan Wilford exited observer at their location.
[01:53:20	]Sir Duncan Wilford entered observer.
[01:53:23	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:53:26	]Nazariy Svyatopolk Kozlov has taken 50 damage from Sir Duncan Wilford.
[01:53:26	]Nazariy Svyatopolk Kozlov has taken 5 damage from Sir Duncan Wilford.
[01:53:26	]Nazariy Svyatopolk Kozlov has taken 5 damage from Sir Duncan Wilford.
[01:53:28	]Nazariy Svyatopolk Kozlov is fully healed.
[01:53:29	]Nazariy Svyatopolk Kozlov entered observer.
[01:53:42	]Nazariy Svyatopolk Kozlov has given himself a cmrulock.
[01:53:42	]Nazariy Svyatopolk Kozlov has gained a 'CMRU Lock' #2046426.
[01:53:43	]Nazariy Svyatopolk Kozlov has given himself a cmrulock.
[01:53:43	]Nazariy Svyatopolk Kozlov has gained a 'CMRU Lock' #2046427.
[01:53:49	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'CMRU Lock' (#2046427)
[01:53:51	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'CMRU Lock' (#2046426)
[01:53:59	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: remove
[01:54:00	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: remove
[01:54:01	]Sir Duncan Wilford has used a context menu option with the name: remove
[01:54:07	]Nazariy Svyatopolk Kozlov has given himself a cmrulock.
[01:54:07	]Nazariy Svyatopolk Kozlov has gained a 'CMRU Lock' #2046428.
[01:54:08	]Nazariy Svyatopolk Kozlov has given himself a cmrulock.
[01:54:08	]Nazariy Svyatopolk Kozlov has gained a 'CMRU Lock' #2046429.
[01:54:10	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'CMRU Lock' (#2046429)
[01:54:11	]Sir Duncan Wilford exited observer at their location.
[01:54:20	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'CMRU Lock' (#2046428)
[01:54:35	]Nazariy Svyatopolk Kozlov has given himself a cmrulock.
[01:54:35	]Nazariy Svyatopolk Kozlov has gained a 'CMRU Lock' #2046430.
[01:54:35	]Sir Duncan Wilford entered observer.
[01:54:36	]Sir Duncan Wilford exited observer at their location.
[01:54:37	]Sir Duncan Wilford entered observer.
[01:54:38	]Sir Duncan Wilford exited observer at their location.
[01:54:39	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'CMRU Lock' (#2046430)
[01:54:39	]Sir Duncan Wilford entered observer.
[01:54:41	]Sir Duncan Wilford exited observer at their location.
[01:54:45	]Sir Duncan Wilford entered observer.
[01:54:45	]Sir Duncan Wilford exited observer at their location.
[01:54:46	]Sir Duncan Wilford entered observer.
[01:54:48	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:55:00	]Nazariy Svyatopolk Kozlov entered observer.
[01:55:04	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:55:08	]Nazariy Svyatopolk Kozlov entered observer.
[01:55:22	]Sir Duncan Wilford exited observer at their location.
[01:55:24	]Sir Duncan Wilford entered observer.
[01:55:26	]Sir Duncan Wilford exited observer at their location.
[01:55:27	]Sir Duncan Wilford entered observer.
[01:55:28	]Sir Duncan Wilford exited observer at their location.
[01:55:29	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:55:29	]Sir Duncan Wilford entered observer.
[01:55:30	]Sir Duncan Wilford exited observer at their location.
[01:55:31	]Sir Duncan Wilford entered observer.
[01:55:35	]Nazariy Svyatopolk Kozlov has given himself a combinelock.
[01:55:35	]Nazariy Svyatopolk Kozlov has gained a 'Combine Lock' #2046431.
[01:55:37	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'Combine Lock' (#2046431)
[01:55:39	]Nazariy Svyatopolk Kozlov entered observer.
[01:55:42	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:55:54	]Nazariy Svyatopolk Kozlov entered observer.
[01:55:59	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:56:03	]Sir Duncan Wilford exited observer at their location.
[01:56:04	]Nazariy Svyatopolk Kozlov entered observer.
[01:56:06	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:56:07	]Sir Duncan Wilford entered observer.
[01:56:08	]Sir Duncan Wilford exited observer at their location.
[01:56:08	]Sir Duncan Wilford entered observer.
[01:56:09	]Sir Duncan Wilford exited observer at their location.
[01:56:12	]Nazariy Svyatopolk Kozlov entered observer.
[01:56:21	][MEL] Sir Duncan Wilford: is an alien
[01:56:26	]Sir Duncan Wilford entered observer.
[01:56:27	]Sir Duncan Wilford exited observer at their location.
[01:56:42	]Sir Duncan Wilford entered observer.
[01:56:55	]Sir Duncan Wilford has spawned a 'Entity [475][hydra_seer_base]'.
[01:56:58	]Sir Duncan Wilford exited observer at their location.
[01:57:05	]Sir Duncan Wilford has taken 40 damage from worldspawn.
[01:57:10	]Sir Duncan Wilford entered observer.
[01:57:11	]Sir Duncan Wilford exited observer at their location.
[01:57:12	]Sir Duncan Wilford entered observer.
[01:57:13	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:57:26	]Sir Duncan Wilford has spawned a 'Entity [109][hydra_seer_base]'.
[01:57:30	]Sir Duncan Wilford has fired a toolgun with the name: vjstool_notarget
[01:57:31	]Nazariy Svyatopolk Kozlov has spawned 'models/props_urban/fence_cover001_256.mdl'.
[01:57:42	]Sir Duncan Wilford has spawned a 'Entity [246][hydra_stinger_base]'.
[01:57:47	]Sir Duncan Wilford has spawned a 'Entity [246][hydra_base]'.
[01:58:24	]Nazariy Svyatopolk Kozlov has enabled persistence for 'models/props_urban/fence_cover001_256.mdl'.
[01:58:24	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: persist
[01:58:25	]Nazariy Svyatopolk Kozlov entered observer.
[01:58:27	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:58:31	]Sir Duncan Wilford used command '/ForceCharFallover naz 5'.
[01:58:38	]Nazariy Svyatopolk Kozlov entered observer.
[01:58:53	]Nazariy Svyatopolk Kozlov has spawned 'models/props_junk/TrashDumpster01a.mdl'.
[01:59:00	]Sir Duncan Wilford has spawned a 'Entity [259][hydra_smacker_base]'.
[01:59:01	]Nazariy Svyatopolk Kozlov has spawned 'models/props_junk/wood_crate001a.mdl'.
[01:59:10	]Nazariy Svyatopolk Kozlov has spawned 'models/props_c17/oildrum001.mdl'.
[01:59:14	]Nazariy Svyatopolk Kozlov has spawned 'models/props_junk/wood_crate001a.mdl'.
[01:59:22	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:59:30	]Nazariy Svyatopolk Kozlov entered observer.
[01:59:35	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:59:38	]Nazariy Svyatopolk Kozlov entered observer.
[01:59:44	]Nazariy Svyatopolk Kozlov exited observer at their location.
[01:59:47	][IC] Nazariy Svyatopolk Kozlov: Hiu.
[01:59:49	][IC] Nazariy Svyatopolk Kozlov: Hi.
[02:00:10	]Nazariy Svyatopolk Kozlov entered observer.
[02:00:14	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:00:15	]Nazariy Svyatopolk Kozlov entered observer.
[02:00:16	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:00:16	]Sir Duncan Wilford exited observer at their location.
[02:00:17	]Sir Duncan Wilford entered observer.
[02:00:17	]Sir Duncan Wilford exited observer at their location.
[02:00:23	]Nazariy Svyatopolk Kozlov entered observer.
[02:00:24	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:00:26	]Nazariy Svyatopolk Kozlov entered observer.
[02:00:27	][MEL] Sir Duncan Wilford: erps
[02:00:29	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:00:35	]Nazariy Svyatopolk Kozlov entered observer.
[02:00:42	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:00:43	]Nazariy Svyatopolk Kozlov entered observer.
[02:00:47	]Sir Duncan Wilford was knocked unconscious and is bleeding out.
[02:00:51	][IC] Sir Duncan Wilford: FUCKING.
[02:00:52	][Y] Sir Duncan Wilford: MINGE.
[02:00:52	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:00:55	][Y] Sir Duncan Wilford: THIS IS BULLSH0.
[02:00:59	]Nazariy Svyatopolk Kozlov entered observer.
[02:01:00	][Y] Sir Duncan Wilford: STOP SHOOTING MY COCK.
[02:01:11	]Nazariy Svyatopolk Kozlov has enabled persistence for 'models/props_junk/wood_crate001a.mdl'.
[02:01:11	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: persist
[02:01:11	]Sir Duncan Wilford ran SAM command 'respawn' with arguments: 'wilford'
[02:01:12	]Nazariy Svyatopolk Kozlov has enabled persistence for 'models/props_junk/wood_crate001a.mdl'.
[02:01:12	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: persist
[02:01:13	]Nazariy Svyatopolk Kozlov has enabled persistence for 'models/props_junk/trashdumpster01a.mdl'.
[02:01:13	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: persist
[02:01:14	]Nazariy Svyatopolk Kozlov has enabled persistence for 'models/props_c17/oildrum001.mdl'.
[02:01:14	]Nazariy Svyatopolk Kozlov has used a context menu option with the name: persist
[02:01:14	]Sir Duncan Wilford used command '/CharGetUp'.
[02:01:16	]Sir Duncan Wilford used command '/CharGetUp'.
[02:01:23	][Y] Sir Duncan Wilford: This was said on the dev server btw.
[02:01:28	]Sir Duncan Wilford entered observer.
[02:01:44	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:01:49	]Nazariy Svyatopolk Kozlov has given himself a cmrulock.
[02:01:49	]Nazariy Svyatopolk Kozlov has gained a 'CMRU Lock' #2046432.
[02:01:51	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'CMRU Lock' (#2046432)
[02:01:55	]Nazariy Svyatopolk Kozlov entered observer.
[02:01:56	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:02:00	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'CMRU Lock' (#2046432)
[02:02:03	]Nazariy Svyatopolk Kozlov entered observer.
[02:02:14	]Nazariy Svyatopolk Kozlov has given himself a cmrulock.
[02:02:14	]Nazariy Svyatopolk Kozlov has gained a 'CMRU Lock' #2046433.
[02:02:16	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'CMRU Lock' (#2046433)
[02:02:57	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:03:09	]Nazariy Svyatopolk Kozlov has given himself a cont_lock_t1.
[02:03:09	]Nazariy Svyatopolk Kozlov has gained a 'Padlock' #2046434.
[02:03:13	]Nazariy Svyatopolk Kozlov ran 'Lock' on item 'Padlock' (#2046434)
[02:03:20	]Nazariy Svyatopolk Kozlov has added a lock to a door. MapcreationID: 3792, vector position: '2071.000000 892.000000 190.000000'
[02:03:51	]Nazariy Svyatopolk Kozlov has given himself a cmrulock.
[02:03:51	]Nazariy Svyatopolk Kozlov has gained a 'CMRU Lock' #2046435.
[02:03:54	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'CMRU Lock' (#2046435)
[02:04:00	]Nazariy Svyatopolk Kozlov entered observer.
[02:04:58	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:05:00	]Nazariy Svyatopolk Kozlov entered observer.
[02:05:35	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:05:40	]Nazariy Svyatopolk Kozlov entered observer.
[02:05:57	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:06:00	]Nazariy Svyatopolk Kozlov has given himself a cwulock.
[02:06:00	]Nazariy Svyatopolk Kozlov has gained a 'CWU Lock' #2046436.
[02:06:02	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'CWU Lock' (#2046436)
[02:06:03	]Sir Duncan Wilford exited observer at their location.
[02:06:04	]Sir Duncan Wilford entered observer.
[02:06:04	]Nazariy Svyatopolk Kozlov entered observer.
[02:06:17	]Sir Duncan Wilford exited observer at their location.
[02:06:20	]Sir Duncan Wilford entered observer.
[02:06:22	]Sir Duncan Wilford exited observer at their location.
[02:06:23	]Sir Duncan Wilford entered observer.
[02:06:23	]Sir Duncan Wilford exited observer at their location.
[02:06:24	]Sir Duncan Wilford entered observer.
[02:06:24	]Sir Duncan Wilford exited observer at their location.
[02:06:25	]Nazariy Svyatopolk Kozlov has given himself a cwulock.
[02:06:26	]Nazariy Svyatopolk Kozlov has gained a 'CWU Lock' #2046437.
[02:06:26	]Sir Duncan Wilford entered observer.
[02:06:26	]Nazariy Svyatopolk Kozlov has given himself a cwulock.
[02:06:26	]Nazariy Svyatopolk Kozlov has gained a 'CWU Lock' #2046438.
[02:06:26	]Sir Duncan Wilford exited observer at their location.
[02:06:28	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'CWU Lock' (#2046438)
[02:06:28	]Sir Duncan Wilford was knocked unconscious and is bleeding out.
[02:06:28	]Sir Duncan Wilford entered observer.
[02:06:31	]Sir Duncan Wilford ran SAM command 'respawn' with arguments: 'wil'
[02:06:31	]Sir Duncan Wilford entered observer.
[02:06:33	]Nazariy Svyatopolk Kozlov ran 'Place' on item 'CWU Lock' (#2046437)
[02:06:33	]Sir Duncan Wilford used command '/CharGetUp'.
[02:06:34	]Sir Duncan Wilford used command '/CharGetUp'.
[02:06:35	]Sir Duncan Wilford used command '/CharGetUp'.
[02:07:40	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:07:49	]Sir Duncan Wilford exited observer at their location.
[02:07:50	]Sir Duncan Wilford entered observer.
[02:07:50	]Sir Duncan Wilford exited observer at their location.
[02:07:56	]Nazariy Svyatopolk Kozlov entered observer.
[02:08:01	]Sir Duncan Wilford entered observer.
[02:08:04	]Sir Duncan Wilford exited observer at their location.
[02:08:05	]Sir Duncan Wilford entered observer.
[02:08:05	]Sir Duncan Wilford exited observer at their location.
[02:08:07	]Sir Duncan Wilford entered observer.
[02:08:23	]Sir Duncan Wilford exited observer at their location.
[02:08:49	]Sir Duncan Wilford entered observer.
[02:08:50	]Sir Duncan Wilford exited observer at their location.
[02:08:52	]Sir Duncan Wilford entered observer.
[02:08:52	]Sir Duncan Wilford exited observer at their location.
[02:08:56	]Sir Duncan Wilford entered observer.
[02:09:01	]Sir Duncan Wilford used command '/Event a fucking cubemap attacks robert'.
[02:09:13	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:09:13	]Sir Duncan Wilford exited observer at their location.
[02:09:16	]Nazariy Svyatopolk Kozlov entered observer.
[02:09:16	]Sir Duncan Wilford entered observer.
[02:09:17	]Sir Duncan Wilford exited observer at their location.
[02:09:17	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:09:18	]Nazariy Svyatopolk Kozlov entered observer.
[02:09:19	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:09:24	]Sir Duncan Wilford entered observer.
[02:09:30	]Sir Duncan Wilford exited observer at their location.
[02:09:58	]Nazariy Svyatopolk Kozlov entered observer.
[02:10:35	]Nazariy Svyatopolk Kozlov exited observer at their location.
[02:11:03	]Sir Duncan Wilford entered observer.
[02:11:04	]Sir Duncan Wilford exited observer at their location.
[02:11:08	]Sir Duncan Wilford entered observer.
[02:11:09	]Sir Duncan Wilford exited observer at their location.
[02:11:09	]Sir Duncan Wilford entered observer.
[02:11:10	]Sir Duncan Wilford exited observer at their location.
[02:11:42	]Sir Duncan Wilford has taken 14 damage from worldspawn.
[02:11:42	]Sir Duncan Wilford entered observer.
[02:11:44	]Sir Duncan Wilford exited observer at their location.
[02:11:44	]Sir Duncan Wilford entered observer.
[02:11:45	]Sir Duncan Wilford exited observer at their location.
[02:11:54	]Nazariy Svyatopolk Kozlov used command '/SetApartmentDoor RHC-1-101'.
[02:11:56	]Nazariy Svyatopolk Kozlov entered observer.
