[06:41:36	]TRL has connected.
[09:54:52	][ME] Kurr'Go'Tahn: says hi
[09:55:31	]Kurr'Go'Tahn used command '/VortCheckAgenda'.
[09:55:32	]Kurr'Go'Tahn used command '/VortCheckAgenda'.
[09:55:33	]Kurr'Go'Tahn used command '/VortCheckAgenda'.
[09:55:40	]Kurr'Go'Tahn used command '/VortSetAgenda 123'.
[09:55:42	]Kurr'Go'Tahn used command '/VortCheckAgenda'.
[09:55:42	]Kurr'Go'Tahn used command '/VortCheckAgenda'.
[09:55:43	]Kurr'Go'Tahn used command '/VortCheckAgenda'.
[09:55:55	]Kurr'Go'Tahn used command '/VortSetAgenda 123'.
[09:55:56	]Kurr'Go'Tahn used command '/VortSetAgenda 123'.
[09:55:57	]Kurr'Go'Tahn used command '/VortSetAgenda 123'.
[09:55:57	]Kurr'Go'Tahn used command '/VortSetAgenda 123'.
[09:55:58	]Kurr'Go'Tahn used command '/VortSetAgenda 123'.
[09:55:59	]Kurr'Go'Tahn used command '/VortSetAgenda 123'.
[09:56:00	]Kurr'Go'Tahn used command '/VortSetAgenda 123'.
[09:56:34	]Kurr'Go'Tahn entered observer.
[09:56:38	]Kurr'Go'Tahn admin-searched the 'OUTLANDS - REB AMBUSH > CMB' #120769 container.
[09:56:38	]Kurr'Go'Tahn has used a context menu option with the name: wncontainer_view
[09:56:39	]Kurr'Go'Tahn admin-closed the 'OUTLANDS - REB AMBUSH > CMB' #120769 container.
[09:56:43	]Kurr'Go'Tahn exited observer at their location.
[09:56:45	]Kurr'Go'Tahn entered observer.
[09:56:47	]Kurr'Go'Tahn exited observer at their location.
[09:56:52	]Kurr'Go'Tahn entered observer.
[09:56:55	]Kurr'Go'Tahn exited observer at their location.
[09:57:08	][OOC] Vahh'Brun-Nox: ty for the help fren
[09:57:11	][OOC] Vahh'Brun-Nox: thats all C:
[09:57:11	][OOC] Kurr'Go'Tahn: Travis
[09:57:14	]George (STEAM_0:0:219592730) has disconnected.
[09:57:31	]Mango (STEAM_0:0:544539350) has disconnected.
[10:13:47	]Mango has connected.
[10:14:22	]Mango loaded the character 'Vahh'Brun-Nox'
[10:14:27	]Vahh'Brun-Nox is fully healed.
[10:15:20	]TheDeNuke has connected.
[10:15:20	]Vahh'Brun-Nox used command '/thevortigaunt test'.
[10:15:58	]TheDeNuke loaded the character 'Grendel'
[10:16:03	]Grendel is fully healed.
[10:16:03	][OOC] Vahh'Brun-Nox: gwendels
[10:17:11	][IC] Grendel: Bak.
[10:17:20	][IC] Vahh'Brun-Nox: You see me as vortigaunt.
[10:17:24	][LOOC] Grendel: yes
[10:17:28	][IC] Vahh'Brun-Nox: Try to press E.
[10:17:41	][IC] Grendel: E does fuck all bro.
[10:17:44	][IC] Vahh'Brun-Nox: Heh.
[10:17:45	][IC] Vahh'Brun-Nox: Good.
[10:17:47	][IC] Vahh'Brun-Nox: I fixed that then.
[10:17:53	]Vahh'Brun-Nox used command '/thevortigaunt message to all vorts'.
[10:18:07	][IC] Vahh'Brun-Nox: Did you see the thing?
[10:18:07	][IC] Grendel: You are not allowed to do this.
[10:18:10	][IC] Grendel: But I did see it.
[10:18:18	][IC] Vahh'Brun-Nox: Okay, do /vortsetcoterminous grendel true.
[10:18:26	][IC] Grendel: Not staff on here.
[10:18:30	][IC] Vahh'Brun-Nox: Oh.
[10:18:35	]Vahh'Brun-Nox used command '/VortSetCoterminous grend true'.
[10:18:37	]Vahh'Brun-Nox has set coterminous state for Grendel to true
[10:18:42	][IC] Vahh'Brun-Nox: Okay, reload your character.
[10:18:51	]Vahh'Brun-Nox used command '/CharKick gren'.
[10:18:51	]TheDeNuke has unloaded their "TheDeNuke" character.
[10:18:58	]TheDeNuke loaded the character 'Grendel'
[10:19:02	][IC] Vahh'Brun-Nox: Vortigaunt.
[10:19:05	][IC] Vahh'Brun-Nox: Good stuff.
[10:19:10	][IC] Vahh'Brun-Nox: Lets see if long distance works.
[10:19:14	][IC] Vahh'Brun-Nox: Hello?
[10:19:25	][IC] Vahh'Brun-Nox: Can you see me types?
[10:19:27	]Grendel used command '/rvort galunga'.
[10:19:37	][IC] Vahh'Brun-Nox: Try speaking without /rvort.
[10:19:46	][OOC] Vahh'Brun-Nox: you dont see my messages?
[10:19:48	][IC] Vahh'Brun-Nox: A.
[10:20:00	]Grendel used command '/rvort I can see the messages.'.
[10:20:08	]Grendel used command '/rvort I can see the messages.'.
[10:20:12	][IC] Vahh'Brun-Nox: Nono, try normally to type.
[10:20:26	][IC] Vahh'Brun-Nox: Without rvort.
[10:20:29	]Grendel used command '/rvort You need to use  to send them. This is the /localevent /event issue.'.
[10:20:35	]Grendel used command '/rvort "You need to use ' to send them. This is the /localevent /event issue.'.
[10:20:45	][IC] Vahh'Brun-Nox: Oh yeah, need o use quotes.
[10:20:47	][IC] Vahh'Brun-Nox: I'll fix that.
[10:20:47	]Grendel used command '/rvort You need to use double to send them. This is the /localevent /event issue'.
[10:20:56	][IC] Vahh'Brun-Nox: But type without /rvort!
[10:21:13	][OOC] Vahh'Brun-Nox: try typing without rvort
[10:21:18	][IC] Grendel: Hello.
[10:21:22	][IC] Vahh'Brun-Nox: Oh good.
[10:21:24	][IC] Grendel: Hello.
[10:21:24	][IC] Vahh'Brun-Nox: This is the normal chat.
[10:21:30	][IC] Grendel: Yeah. I could see your a.
[10:21:41	][IC] Vahh'Brun-Nox: You can disable in settings.
[10:21:43	][VORT] Grendel: galunga
[10:21:47	][VORT] Grendel: Galunga
[10:21:54	][OOC] Vahh'Brun-Nox: i have to fix it so it works with rvort and such
[10:22:01	][OOC] Vahh'Brun-Nox: try typing again normally, a long sentence
[10:22:33	][IC] Grendel: LMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAOLMAO.
[10:22:40	][IC] Vahh'Brun-Nox: Alright I can see that.
[10:22:40	][OOC] Grendel: lmao
[10:22:48	][OOC] Vahh'Brun-Nox: try with spacen ow, like "hello I'm grende"
[10:23:09	]Vahh'Brun-Nox used command '/VortCheckAgenda'.
[10:23:15	][IC] Grendel: Hellomynameismicrosoftsam.
[10:23:24	][IC] Grendel: Hello my name is microsoft sam.
[10:23:24	][OOC] Vahh'Brun-Nox: nooo with space between
[10:23:41	]Vahh'Brun-Nox used command '/VortSetAgenda Testing things'.
[10:23:52	][OOC] Vahh'Brun-Nox: the font will be fixed dw, its not using my content
[10:24:01	][OOC] Grendel: Testing things?
[10:24:07	][OOC] Vahh'Brun-Nox: thats the agenda set
[10:24:09	]Grendel used command '/VortCheckAgenda'.
[10:24:13	][OOC] Grendel: ye its fully working
[10:24:25	]Grendel used command '/VortSetAgenda Galunga Gang'.
[10:24:30	][OOC] Vahh'Brun-Nox: alright then all seems to work except the " "
[10:24:31	]Grendel used command '/VortSetAgenda Galunga Gang'.
[10:24:44	][OOC] Grendel:  Yeah. That seems to be a universal problem in all these commands.
[10:24:57	][OOC] Vahh'Brun-Nox: I'll look how /vort does it
[10:24:57	][OOC] Grendel: They all seem to need complete strings like the /localevent or /event commands.
[10:25:14	][IC] Vahh'Brun-Nox: All seems to work.
[10:25:26	][IC] Vahh'Brun-Nox: Except the thingies with /rvort and /yell and such.
[10:25:35	][OOC] Grendel: But yeah apart from needing full strings on rvort and the ranged messages and the agenda
[10:25:45	][OOC] Grendel: Its working.
[10:25:45	][IC] Vahh'Brun-Nox: How does it look sofar?
[10:25:54	][IC] Vahh'Brun-Nox: Anything you think should be changed in the texts?
[10:26:33	][LOOC] Grendel: Working perfectly apart from everything needing full strings as I said. I have one other suggestion but that's something that I might need to talk to Overwatch Leads about since its a unique thing on Cont Vorts combat wise.
[10:26:44	][OOC] Grendel: oh... and bal. Don't forget bal.
[10:26:57	][OOC] Grendel: Since he is aparrently the entire gameplay team now.
[10:27:01	][IC] Vahh'Brun-Nox: Oh yeah.
[10:27:10	][IC] Vahh'Brun-Nox: Alright then, looks like things are going well w.
[10:27:16	][IC] Vahh'Brun-Nox: Ty for helping me test.
[10:27:27	][IC] Grendel: If you are wondering what it is - Health Regen on Cont Vorts. :).
[10:27:33	][IC] Vahh'Brun-Nox: Hell yes.
[10:27:44	][IC] Vahh'Brun-Nox: The subfaction is gonna be nice.
[10:27:48	][OOC] Grendel: But I'll 900% need to go to bal on that one. 
[10:28:01	][IC] Grendel: I'll get bitched at if its implemented without talking about it.
[10:28:06	][IC] Vahh'Brun-Nox: Definitely.
[10:28:14	][IC] Vahh'Brun-Nox: Okay, I'll dc.
[10:28:21	]Vahh'Brun-Nox used command '/VortSetAgenda very nice!'.
[10:28:34	][IC] Grendel: But cont vorts can't legally wear armor or clothing... So... Its the best I can do.
[10:28:49	][IC] Vahh'Brun-Nox: Makes sense.
[10:28:53	]Vahh'Brun-Nox entered observer.
[10:28:56	]Mango (STEAM_0:0:544539350) has disconnected.
[10:28:59	]TheDeNuke (STEAM_0:0:24415625) has disconnected.
[10:37:45	]Mango has connected.
[10:38:52	]Mango loaded the character 'Vahh'Brun-Nox'
[10:38:57	]Vahh'Brun-Nox is fully healed.
[10:39:02	]Vahh'Brun-Nox used command '/thevortigaunt hello everyone'.
[10:39:14	]Vahh'Brun-Nox used command '/thevortigaunt test'.
[10:39:19	]Vahh'Brun-Nox used command '/thevortigaunt testing alot of stuff'.
[10:39:28	]Vahh'Brun-Nox used command '/rvort hi everyone'.
[10:39:46	]Vahh'Brun-Nox used command '/thevortigaunt yeah okay that sounds fair'.
[10:39:53	]Vahh'Brun-Nox used command '/thevortigaunt yeah okay that sounds fair'.
[10:39:58	]Vahh'Brun-Nox used command '/thevortigaunt okay okay'.
[10:40:00	]Vahh'Brun-Nox used command '/thevortigaunt okay'.
[10:41:25	]Mango (STEAM_0:0:544539350) has disconnected.
[14:15:28	]Mango has connected.
[14:16:17	]Mango loaded the character 'Vahh'Brun-Nox'
[14:16:22	]Vahh'Brun-Nox is fully healed.
[14:16:26	][IC] Vahh'Brun-Nox: TEST.
[14:16:34	][VORT] Vahh'Brun-Nox: hi
[14:16:39	]Vahh'Brun-Nox used command '/thevortigaunt hi'.
[14:16:47	]Vahh'Brun-Nox used command '/VortSetAgenda Today we rise.'.
[14:17:35	]Vahh'Brun-Nox entered observer.
[14:18:00	]Vahh'Brun-Nox exited observer at their location.
[14:18:01	]Vahh'Brun-Nox entered observer.
[14:18:20	]Vahh'Brun-Nox has spawned 'models/hunter/blocks/cube6x6x025.mdl'.
[14:18:23	]Vahh'Brun-Nox has spawned 'models/hunter/blocks/cube8x8x025.mdl'.
[14:18:29	]Vahh'Brun-Nox has spawned 'models/hunter/blocks/cube8x8x05.mdl'.
[14:18:30	]Vahh'Brun-Nox has spawned 'models/hunter/blocks/cube8x8x025.mdl'.
[14:18:59	]Vahh'Brun-Nox has fired a toolgun with the name: advdupe2
[14:19:03	]Vahh'Brun-Nox has spawned 'models/hunter/blocks/cube8x8x025.mdl'.
[14:19:05	]Vahh'Brun-Nox has spawned 'models/hunter/blocks/cube4x4x025.mdl'.
[14:19:18	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate24x24.mdl'.
[14:19:44	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:19:44	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate24x24.mdl'.
[14:19:48	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:19:48	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate24x24.mdl'.
[14:19:51	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:19:51	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate24x24.mdl'.
[14:19:52	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:19:52	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate24x24.mdl'.
[14:19:53	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:19:53	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate24x24.mdl'.
[14:19:58	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:19:58	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate24x24.mdl'.
[14:19:59	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:19:59	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate24x24.mdl'.
[14:20:04	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:20:04	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate24x24.mdl'.
[14:20:05	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:20:05	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate24x24.mdl'.
[14:20:13	]Vahh'Brun-Nox exited observer at their location.
[14:20:36	]Vahh'Brun-Nox has spawned a 'Entity [5820][sent_vj_hlr_alientp]'.
[14:20:51	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_headcrab_cluster003.mdl'.
[14:20:59	]Vahh'Brun-Nox has taken 78 damage from worldspawn.
[14:21:00	]Vahh'Brun-Nox entered observer.
[14:21:10	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate32x32.mdl'.
[14:21:20	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:21:20	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate32x32.mdl'.
[14:21:23	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:21:23	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate32x32.mdl'.
[14:21:24	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:21:24	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate32x32.mdl'.
[14:21:27	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:21:27	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate32x32.mdl'.
[14:21:28	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:21:28	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate32x32.mdl'.
[14:21:30	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:21:30	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate32x32.mdl'.
[14:21:31	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:21:31	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate32x32.mdl'.
[14:21:32	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:21:32	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate32x32.mdl'.
[14:21:41	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_headcrab_cluster002.mdl'.
[14:22:11	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/infestation/p1/rock_7.mdl'.
[14:22:13	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/infestation/p1/rock_6.mdl'.
[14:22:17	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_headcrab_cluster003.mdl'.
[14:22:25	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_flat_blob01.mdl'.
[14:22:37	]Vahh'Brun-Nox has spawned 'models/props_wasteland/rockcliff_cluster01b.mdl'.
[14:22:53	]Vahh'Brun-Nox has spawned 'models/cliffs/rockcluster01.mdl'.
[14:23:02	]Vahh'Brun-Nox has spawned 'models/props_wasteland/rockcliff_cluster02a.mdl'.
[14:23:06	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:23:32	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:23:32	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:23:51	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:23:51	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:24:12	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:24:12	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:24:16	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:24:16	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:24:21	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:24:21	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:24:25	]Vahh'Brun-Nox exited observer at their location.
[14:24:33	]Vahh'Brun-Nox entered observer.
[14:24:35	]Vahh'Brun-Nox has spawned 'models/props/hr_massive/rock_wall_4/rock_wall_4.mdl'.
[14:24:44	]Vahh'Brun-Nox has fired a toolgun with the name: nocollideworld
[14:25:04	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:25:04	]Vahh'Brun-Nox has spawned 'models/props/hr_massive/rock_wall_4/rock_wall_4.mdl'.
[14:25:06	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:25:06	]Vahh'Brun-Nox has spawned 'models/props/hr_massive/rock_wall_4/rock_wall_4.mdl'.
[14:26:13	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:26:13	]Vahh'Brun-Nox has spawned 'models/props/hr_massive/rock_wall_4/rock_wall_4.mdl'.
[14:26:23	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:26:23	]Vahh'Brun-Nox has spawned 'models/props/hr_massive/rock_wall_4/rock_wall_4.mdl'.
[14:26:33	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:26:33	]Vahh'Brun-Nox has spawned 'models/props/hr_massive/rock_wall_4/rock_wall_4.mdl'.
[14:26:48	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:26:48	]Vahh'Brun-Nox has spawned 'models/props/hr_massive/rock_wall_4/rock_wall_4.mdl'.
[14:26:55	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:26:55	]Vahh'Brun-Nox has spawned 'models/props/hr_massive/rock_wall_4/rock_wall_4.mdl'.
[14:26:58	]Vahh'Brun-Nox has used a context menu option with the name: remove
[14:27:00	]Vahh'Brun-Nox has used a context menu option with the name: remove
[14:27:10	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:27:10	]Vahh'Brun-Nox has spawned 'models/props/hr_massive/rock_wall_4/rock_wall_4.mdl'.
[14:27:18	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:27:18	]Vahh'Brun-Nox has spawned 'models/props/hr_massive/rock_wall_4/rock_wall_4.mdl'.
[14:27:36	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:27:36	]Vahh'Brun-Nox has spawned 'models/props/hr_massive/rock_wall_4/rock_wall_4.mdl'.
[14:27:40	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:27:40	]Vahh'Brun-Nox has spawned 'models/props/hr_massive/rock_wall_4/rock_wall_4.mdl'.
[14:27:45	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:27:45	]Vahh'Brun-Nox has spawned 'models/props/hr_massive/rock_wall_4/rock_wall_4.mdl'.
[14:28:00	]Vahh'Brun-Nox has spawned a 'Entity [5835][sent_vj_xen_spore_large]'.
[14:28:13	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:28:16	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:28:18	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:28:24	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:28:29	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:28:30	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:28:33	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:28:38	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:28:40	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:28:45	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:28:47	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:28:48	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:28:51	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:28:53	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:29:06	]Vahh'Brun-Nox has fired a toolgun with the name: nocollideworld
[14:29:18	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[14:29:30	]Vahh'Brun-Nox has fired a toolgun with the name: nocollideworld
[14:29:48	]Vahh'Brun-Nox has spawned a 'Entity [5836][sent_vj_xen_plant_light]'.
[14:30:17	]Vahh'Brun-Nox has spawned a 'Entity [5836][sent_vj_xen_plant_light]'.
[14:31:07	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_spore001.mdl'.
[14:31:13	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001_filled.mdl'.
[14:31:16	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small003.mdl'.
[14:31:18	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[14:31:22	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xen/xen_foam_pillar001.mdl'.
[14:31:30	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xen/xen_foam_floor_wall001.mdl'.
[14:31:42	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:31:42	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:31:50	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:31:50	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:31:57	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:31:57	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:32:02	]Vahh'Brun-Nox has used a context menu option with the name: remove
[14:32:10	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:32:10	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:32:14	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:32:14	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:32:19	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:32:19	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:32:25	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:32:25	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:32:28	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:32:28	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:32:33	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:32:33	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:32:34	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:32:34	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:32:37	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:32:37	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:32:38	]Vahh'Brun-Nox has fired a toolgun with the name: stacker_improved
[14:32:38	]Vahh'Brun-Nox has spawned 'models/props/ar_lunacy/moon_rocks/moon_cliff.mdl'.
[14:32:43	]Vahh'Brun-Nox exited observer at their location.
[14:32:55	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall001_wide.mdl'.
[14:32:57	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[14:33:00	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[14:33:03	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_web_floor_wall001.mdl'.
[14:33:07	]Vahh'Brun-Nox has spawned 'models/jq/hlvr/props/xenpack/xen_corner001_convex.mdl'.
[14:33:24	]Vahh'Brun-Nox has fired a toolgun with the name: nocollideworld
[14:33:52	]Vahh'Brun-Nox has spawned 'models/hunter/plates/plate4x5.mdl'.
[14:33:59	]Vahh'Brun-Nox has fired a toolgun with the name: material
[14:34:04	]Vahh'Brun-Nox has fired a toolgun with the name: material
