[02:43:32	]garry has connected.
[02:47:11	]sadasdasdasd has critically hit npc_combine_camera dealing 10 damage (CritChance was 0.84).
[02:47:11	]sadasdasdasd has hit npc_combine_camera dealing 6 damage (CritChance was 0.84).
[02:47:11	]sadasdasdasd has critically hit npc_combine_camera dealing 10 damage (CritChance was 0.84).
[02:47:11	]sadasdasdasd has hit npc_combine_camera dealing 6 damage (CritChance was 0.84).
[02:47:13	]sadasdasdasd has critically hit npc_combine_camera dealing 0 damage (CritChance was 0.84).
[02:47:13	]sadasdasdasd has critically hit npc_combine_camera dealing 10 damage (CritChance was 0.84).
[02:47:13	]sadasdasdasd has critically hit npc_combine_camera dealing 10 damage (CritChance was 0.84).
[02:47:13	]sadasdasdasd has critically hit npc_combine_camera dealing 0 damage (CritChance was 0.84).
[02:47:13	]sadasdasdasd has critically hit npc_combine_camera dealing 10 damage (CritChance was 0.84).
[02:47:13	]sadasdasdasd has critically hit npc_combine_camera dealing 0 damage (CritChance was 0.84).
[02:47:13	]sadasdasdasd has hit npc_combine_camera dealing 6 damage (CritChance was 0.84).
[02:47:13	]sadasdasdasd has critically hit npc_combine_camera dealing 0 damage (CritChance was 0.84).
[02:47:13	]sadasdasdasd has critically hit npc_combine_camera dealing 10 damage (CritChance was 0.84).
[02:47:14	]sadasdasdasd has gained a '8rnd 870-magazine' #1660897.
[02:47:14	]sadasdasdasd has lost a '8rnd 870-magazine' #1660896.
[02:47:18	]sadasdasdasd has gained level 10 in the Guns skill.
[02:47:21	]sadasdasdasd used the 'Munition Lady' vendor.
[02:47:32	]sadasdasdasd has gained a '8rnd 870-magazine' #1660896.
[02:47:32	]sadasdasdasd has lost a '8rnd 870-magazine' #1660895.
[02:47:32	]sadasdasdasd used the 'Munition Lady' vendor.
[02:47:36	]sadasdasdasd ran 'drop' on item 'Model 870' (#1660888)
[02:47:36	]sadasdasdasd has lost a 'Model 870' #1660888.
[02:47:37	]sadasdasdasd ran 'drop' on item 'Buckshot Shotgun Shells' (#1660889)
[02:47:37	]sadasdasdasd has lost a 'Buckshot Shotgun Shells' #1660889.
[02:47:37	]sadasdasdasd ran 'drop' on item 'Buckshot Shotgun Shells' (#1660892)
[02:47:37	]sadasdasdasd has lost a 'Buckshot Shotgun Shells' #1660892.
[02:47:38	]sadasdasdasd ran 'drop' on item '8rnd 870-magazine' (#1660898)
[02:47:38	]sadasdasdasd has lost a '8rnd 870-magazine' #1660898.
[02:47:39	]sadasdasdasd ran 'drop' on item 'Buckshot Shotgun Shells' (#1660904)
[02:47:39	]sadasdasdasd has lost a 'Buckshot Shotgun Shells' #1660904.
[02:47:39	]sadasdasdasd ran 'drop' on item 'Buckshot Shotgun Shells' (#1660902)
[02:47:39	]sadasdasdasd has lost a 'Buckshot Shotgun Shells' #1660902.
[02:47:40	]sadasdasdasd ran 'drop' on item '8rnd 870-magazine' (#1660897)
[02:47:40	]sadasdasdasd has lost a '8rnd 870-magazine' #1660897.
[02:47:40	]sadasdasdasd ran 'drop' on item 'Buckshot Shotgun Shells' (#1660903)
[02:47:40	]sadasdasdasd has lost a 'Buckshot Shotgun Shells' #1660903.
[02:47:41	]sadasdasdasd ran 'drop' on item '8rnd 870-magazine' (#1660896)
[02:47:41	]sadasdasdasd has lost a '8rnd 870-magazine' #1660896.
[02:47:41	]sadasdasdasd ran 'drop' on item 'Buckshot Shotgun Shells' (#1660901)
[02:47:41	]sadasdasdasd has lost a 'Buckshot Shotgun Shells' #1660901.
[02:47:42	]sadasdasdasd ran 'drop' on item 'Buckshot Shotgun Shells' (#1660900)
[02:47:42	]sadasdasdasd has lost a 'Buckshot Shotgun Shells' #1660900.
[02:47:43	]sadasdasdasd ran 'drop' on item '8rnd 870-magazine' (#1660894)
[02:47:43	]sadasdasdasd has lost a '8rnd 870-magazine' #1660894.
[02:47:43	]sadasdasdasd ran 'drop' on item 'Buckshot Shotgun Shells' (#1660891)
[02:47:43	]sadasdasdasd has lost a 'Buckshot Shotgun Shells' #1660891.
[02:47:44	]sadasdasdasd ran 'drop' on item 'Buckshot Shotgun Shells' (#1660890)
[02:47:44	]sadasdasdasd has lost a 'Buckshot Shotgun Shells' #1660890.
[02:47:44	]sadasdasdasd ran 'drop' on item '8rnd 870-magazine' (#1660893)
[02:47:44	]sadasdasdasd has lost a '8rnd 870-magazine' #1660893.
[02:47:45	]sadasdasdasd ran 'drop' on item 'Buckshot Shotgun Shells' (#1660899)
[02:47:45	]sadasdasdasd has lost a 'Buckshot Shotgun Shells' #1660899.
[02:47:48	]sadasdasdasd destroyed a 'Buckshot Shotgun Shells' #1660889.
[02:47:49	]sadasdasdasd destroyed a '8rnd 870-magazine' #1660894.
[02:47:50	]sadasdasdasd destroyed a '8rnd 870-magazine' #1660896.
[02:47:51	]sadasdasdasd destroyed a 'Buckshot Shotgun Shells' #1660900.
[02:47:52	]sadasdasdasd destroyed a 'Buckshot Shotgun Shells' #1660891.
[02:47:53	]sadasdasdasd destroyed a 'Buckshot Shotgun Shells' #1660903.
[02:47:54	]sadasdasdasd destroyed a '8rnd 870-magazine' #1660893.
[02:47:55	]sadasdasdasd destroyed a 'Buckshot Shotgun Shells' #1660905.
[02:47:56	]sadasdasdasd destroyed a 'Buckshot Shotgun Shells' #1660901.
[02:47:58	]sadasdasdasd destroyed a '8rnd 870-magazine' #1660897.
[02:48:02	]sadasdasdasd used the 'Munition Lady' vendor.
[02:48:06	]sadasdasdasd has gained 0 chips.
[02:48:06	]sadasdasdasd has gained a 'AKM' #1660906.
[02:48:11	]sadasdasdasd has gained 0 chips.
[02:48:11	]sadasdasdasd has gained a 'Assault Rifle Bullets' #1660907.
[02:48:11	]sadasdasdasd has gained 0 chips.
[02:48:12	]sadasdasdasd has gained a 'Assault Rifle Bullets' #1660908.
[02:48:12	]sadasdasdasd has gained 0 chips.
[02:48:12	]sadasdasdasd has gained a 'Assault Rifle Bullets' #1660909.
[02:48:12	]sadasdasdasd has gained 0 chips.
[02:48:13	]sadasdasdasd has gained a 'Assault Rifle Bullets' #1660910.
[02:48:13	]sadasdasdasd has gained 0 chips.
[02:48:13	]sadasdasdasd has gained a 'Assault Rifle Bullets' #1660911.
[02:48:13	]sadasdasdasd has gained 0 chips.
[02:48:14	]sadasdasdasd has gained a 'Assault Rifle Bullets' #1660912.
[02:48:14	]sadasdasdasd has gained 0 chips.
[02:48:14	]sadasdasdasd has gained a 'Assault Rifle Bullets' #1660913.
[02:48:14	]sadasdasdasd has gained 0 chips.
[02:48:15	]sadasdasdasd has gained a 'Assault Rifle Bullets' #1660914.
[02:48:15	]sadasdasdasd has gained 0 chips.
[02:48:15	]sadasdasdasd has gained a 'Assault Rifle Bullets' #1660915.
[02:48:17	]sadasdasdasd has gained 0 chips.
[02:48:17	]sadasdasdasd has gained a '30rnd AK-magazine' #1660916.
[02:48:17	]sadasdasdasd has gained 0 chips.
[02:48:17	]sadasdasdasd has gained a '30rnd AK-magazine' #1660917.
[02:48:18	]sadasdasdasd has gained 0 chips.
[02:48:18	]sadasdasdasd has gained a '30rnd AK-magazine' #1660918.
[02:48:18	]sadasdasdasd has gained 0 chips.
[02:48:18	]sadasdasdasd has gained a '30rnd AK-magazine' #1660919.
[02:48:19	]sadasdasdasd has gained 0 chips.
[02:48:19	]sadasdasdasd has gained a '30rnd AK-magazine' #1660920.
[02:48:19	]sadasdasdasd has gained 0 chips.
[02:48:20	]sadasdasdasd has gained 0 chips.
[02:48:21	]sadasdasdasd has gained 0 chips.
[02:48:21	]sadasdasdasd has gained 0 chips.
[02:48:25	]sadasdasdasd ran 'drop' on item 'AKM' (#1660906)
[02:48:25	]sadasdasdasd has lost a 'AKM' #1660906.
[02:48:27	]sadasdasdasd destroyed a 'AKM' #1660906.
[02:48:28	]sadasdasdasd used the 'Munition Lady' vendor.
[02:48:31	]sadasdasdasd has gained 0 chips.
[02:48:31	]sadasdasdasd has gained a 'AKM' #1660925.
[02:48:33	]sadasdasdasd ran 'Equip' on item 'AKM' (#1660925)
[02:48:34	]sadasdasdasd ran 'combine' on item '30rnd AK-magazine' (#1660920)
[02:48:35	]sadasdasdasd ran 'combine' on item '30rnd AK-magazine' (#1660919)
[02:48:35	]sadasdasdasd ran 'combine' on item '30rnd AK-magazine' (#1660918)
[02:48:36	]sadasdasdasd ran 'combine' on item '30rnd AK-magazine' (#1660917)
[02:48:37	]sadasdasdasd ran 'combine' on item '30rnd AK-magazine' (#1660916)
[02:48:37	]sadasdasdasd has lost a '30rnd AK-magazine' #1660920.
[02:48:47	]sadasdasdasd has gained a '30rnd AK-magazine' #1660920.
[02:48:47	]sadasdasdasd has lost a '30rnd AK-magazine' #1660919.
[02:48:54	]sadasdasdasd has gained a '30rnd AK-magazine' #1660919.
[02:48:54	]sadasdasdasd has lost a '30rnd AK-magazine' #1660918.
[02:49:03	]sadasdasdasd has gained a '30rnd AK-magazine' #1660918.
[02:49:03	]sadasdasdasd has lost a '30rnd AK-magazine' #1660917.
[02:49:14	]sadasdasdasd used the 'Munition Lady' vendor.
[02:49:26	]sadasdasdasd ran 'drop' on item 'AKM' (#1660925)
[02:49:26	]sadasdasdasd has lost a 'AKM' #1660925.
[02:49:27	]sadasdasdasd ran 'drop' on item '30rnd AK-magazine' (#1660920)
[02:49:27	]sadasdasdasd has lost a '30rnd AK-magazine' #1660920.
[02:49:27	]sadasdasdasd ran 'drop' on item '30rnd AK-magazine' (#1660919)
[02:49:27	]sadasdasdasd has lost a '30rnd AK-magazine' #1660919.
[02:49:28	]sadasdasdasd ran 'drop' on item '30rnd AK-magazine' (#1660918)
[02:49:28	]sadasdasdasd has lost a '30rnd AK-magazine' #1660918.
[02:49:29	]sadasdasdasd ran 'drop' on item '30rnd AK-magazine' (#1660916)
[02:49:29	]sadasdasdasd has lost a '30rnd AK-magazine' #1660916.
[02:49:30	]sadasdasdasd ran 'drop' on item 'Assault Rifle Bullets' (#1660908)
[02:49:30	]sadasdasdasd has lost a 'Assault Rifle Bullets' #1660908.
[02:49:31	]sadasdasdasd ran 'drop' on item 'Assault Rifle Bullets' (#1660907)
[02:49:31	]sadasdasdasd has lost a 'Assault Rifle Bullets' #1660907.
[02:49:33	]sadasdasdasd ran 'drop' on item 'Assault Rifle Bullets' (#1660915)
[02:49:33	]sadasdasdasd has lost a 'Assault Rifle Bullets' #1660915.
[02:49:33	]sadasdasdasd ran 'drop' on item 'Assault Rifle Bullets' (#1660909)
[02:49:33	]sadasdasdasd has lost a 'Assault Rifle Bullets' #1660909.
[02:49:37	]sadasdasdasd destroyed a 'Assault Rifle Bullets' #1660909.
[02:49:44	]sadasdasdasd destroyed a 'Assault Rifle Bullets' #1660915.
[02:49:45	]sadasdasdasd destroyed a 'Assault Rifle Bullets' #1660907.
[02:49:46	]sadasdasdasd destroyed a 'Assault Rifle Bullets' #1660908.
[02:49:47	]sadasdasdasd destroyed a 'Buckshot Shotgun Shells' #1660899.
[02:49:48	]sadasdasdasd destroyed a '30rnd AK-magazine' #1660918.
[02:49:49	]sadasdasdasd destroyed a '30rnd AK-magazine' #1660919.
[02:49:50	]sadasdasdasd destroyed a '30rnd AK-magazine' #1660916.
[02:49:54	]sadasdasdasd destroyed a '30rnd AK-magazine' #1660920.
[02:49:55	]sadasdasdasd destroyed a 'Buckshot Shotgun Shells' #1660892.
[02:49:56	]sadasdasdasd destroyed a '8rnd 870-magazine' #1660898.
[02:49:57	]sadasdasdasd destroyed a 'Buckshot Shotgun Shells' #1660902.
[02:49:57	]sadasdasdasd destroyed a 'Buckshot Shotgun Shells' #1660904.
[02:49:58	]sadasdasdasd destroyed a 'Buckshot Shotgun Shells' #1660890.
[02:50:02	]sadasdasdasd destroyed a '30rnd AK-magazine' #1660923.
[02:50:05	]sadasdasdasd destroyed a 'AKM' #1660925.
[02:50:07	]sadasdasdasd destroyed a '30rnd AK-magazine' #1660922.
[02:50:08	]sadasdasdasd destroyed a '30rnd AK-magazine' #1660924.
[02:50:09	]sadasdasdasd destroyed a '30rnd AK-magazine' #1660921.
[02:50:10	]sadasdasdasd used the 'Munition Lady' vendor.
[02:50:15	]sadasdasdasd has gained 0 chips.
[02:50:15	]sadasdasdasd has gained a 'OSITR' #1660926.
[02:50:18	]sadasdasdasd ran 'Equip' on item 'OSITR' (#1660926)
[02:50:22	]sadasdasdasd ran 'drop' on item 'OSITR' (#1660926)
[02:50:22	]sadasdasdasd has lost a 'OSITR' #1660926.
[02:50:23	]sadasdasdasd used the 'Munition Lady' vendor.
[02:50:29	]sadasdasdasd has gained 0 chips.
[02:50:29	]sadasdasdasd has gained a 'SR-1A' #1660927.
[02:50:33	]sadasdasdasd ran 'Equip' on item 'SR-1A' (#1660927)
[02:50:33	]sadasdasdasd used the 'Munition Lady' vendor.
[02:50:39	]sadasdasdasd has gained 0 chips.
[02:50:39	]sadasdasdasd has gained a 'Pulse Rifle Bullets' #1660928.
[02:50:39	]sadasdasdasd has gained 0 chips.
[02:50:39	]sadasdasdasd has gained a 'Pulse Rifle Bullets' #1660929.
[02:50:40	]sadasdasdasd has gained 0 chips.
[02:50:40	]sadasdasdasd has gained a 'Pulse Rifle Bullets' #1660930.
[02:50:40	]sadasdasdasd has gained 0 chips.
[02:50:40	]sadasdasdasd has gained a 'Pulse Rifle Bullets' #1660931.
[02:50:41	]sadasdasdasd has gained 0 chips.
[02:50:41	]sadasdasdasd has gained a 'Pulse Rifle Bullets' #1660932.
[02:50:41	]sadasdasdasd has gained 0 chips.
[02:50:41	]sadasdasdasd has gained a 'Pulse Rifle Bullets' #1660933.
[02:50:42	]sadasdasdasd has gained 0 chips.
[02:50:42	]sadasdasdasd has gained a 'Pulse Rifle Bullets' #1660934.
[02:50:44	]sadasdasdasd has gained 0 chips.
[02:50:44	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660935.
[02:50:45	]sadasdasdasd has gained 0 chips.
[02:50:45	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660936.
[02:50:45	]sadasdasdasd has gained 0 chips.
[02:50:45	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660937.
[02:50:46	]sadasdasdasd has gained 0 chips.
[02:50:46	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660938.
[02:50:46	]sadasdasdasd has gained 0 chips.
[02:50:46	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660939.
[02:50:49	]sadasdasdasd ran 'combine' on item '30rnd Pulse-magazine' (#1660935)
[02:50:52	]sadasdasdasd ran 'combine' on item '30rnd Pulse-magazine' (#1660939)
[02:50:52	]sadasdasdasd ran 'combine' on item '30rnd Pulse-magazine' (#1660938)
[02:50:53	]sadasdasdasd ran 'combine' on item '30rnd Pulse-magazine' (#1660937)
[02:50:54	]sadasdasdasd ran 'combine' on item '30rnd Pulse-magazine' (#1660936)
[02:50:54	]sadasdasdasd has lost a '30rnd Pulse-magazine' #1660939.
[02:50:59	]sadasdasdasd used the 'Munition Lady' vendor.
[02:51:03	]sadasdasdasd destroyed a 'OSITR' #1660926.
[02:51:09	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660939.
[02:51:09	]sadasdasdasd has lost a '30rnd Pulse-magazine' #1660938.
[02:51:18	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660938.
[02:51:18	]sadasdasdasd has lost a '30rnd Pulse-magazine' #1660937.
[02:51:28	]sadasdasdasd has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[02:51:35	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660937.
[02:51:35	]sadasdasdasd has lost a '30rnd Pulse-magazine' #1660936.
[02:51:37	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660936.
[02:51:37	]sadasdasdasd has lost a '30rnd Pulse-magazine' #1660937.
[02:51:41	]sadasdasdasd ran 'take' on item 'Ration' (#1660940)
[02:51:41	]sadasdasdasd has gained a 'Ration' #1660940.
[02:51:43	]sadasdasdasd ran 'Open' on item 'Ration' (#1660940)
[02:51:43	]sadasdasdasd has gained a 'Artificial Paste' #1660941.
[02:51:43	]sadasdasdasd has gained a 'Breen's Water' #1660942.
[02:51:43	]sadasdasdasd has gained a 'Basic Credits Coupon' #1660943.
[02:52:22	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660937.
[02:52:22	]sadasdasdasd has lost a '30rnd Pulse-magazine' #1660936.
[02:52:29	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660936.
[02:52:29	]sadasdasdasd has lost a '30rnd Pulse-magazine' #1660935.
[02:52:39	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660935.
[02:52:39	]sadasdasdasd has lost a '30rnd Pulse-magazine' #1660937.
[02:52:46	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660937.
[02:52:46	]sadasdasdasd has lost a '30rnd Pulse-magazine' #1660939.
[02:52:48	]sadasdasdasd ran 'drop' on item 'SR-1A' (#1660927)
[02:52:48	]sadasdasdasd has lost a 'SR-1A' #1660927.
[02:52:49	]sadasdasdasd ran 'drop' on item '30rnd Pulse-magazine' (#1660936)
[02:52:49	]sadasdasdasd has lost a '30rnd Pulse-magazine' #1660936.
[02:52:49	]sadasdasdasd ran 'drop' on item '30rnd Pulse-magazine' (#1660938)
[02:52:49	]sadasdasdasd has lost a '30rnd Pulse-magazine' #1660938.
[02:52:51	]sadasdasdasd ran 'drop' on item '30rnd Pulse-magazine' (#1660935)
[02:52:51	]sadasdasdasd has lost a '30rnd Pulse-magazine' #1660935.
[02:52:52	]sadasdasdasd ran 'drop' on item '30rnd Pulse-magazine' (#1660937)
[02:52:52	]sadasdasdasd has lost a '30rnd Pulse-magazine' #1660937.
[02:52:53	]sadasdasdasd ran 'drop' on item 'Pulse Rifle Bullets' (#1660929)
[02:52:53	]sadasdasdasd has lost a 'Pulse Rifle Bullets' #1660929.
[02:52:53	]sadasdasdasd ran 'drop' on item 'Pulse Rifle Bullets' (#1660928)
[02:52:53	]sadasdasdasd has lost a 'Pulse Rifle Bullets' #1660928.
[02:52:57	]sadasdasdasd destroyed a 'SR-1A' #1660927.
[02:52:59	]sadasdasdasd destroyed a '30rnd Pulse-magazine' #1660935.
[02:53:00	]sadasdasdasd destroyed a '30rnd Pulse-magazine' #1660938.
[02:53:00	]sadasdasdasd destroyed a '30rnd Pulse-magazine' #1660936.
[02:53:01	]sadasdasdasd destroyed a 'Pulse Rifle Bullets' #1660928.
[02:53:02	]sadasdasdasd destroyed a '30rnd Pulse-magazine' #1660937.
[02:53:03	]sadasdasdasd destroyed a 'Pulse Rifle Bullets' #1660929.
[02:53:25	]garry has unloaded their "sadasdasdasd" character.
[02:54:18	]garry (STEAM_0:0:556861499) has disconnected.
[13:09:37	]Mango has connected.
[13:10:32	]Mango loaded the character 'C17:RCT.YELLO-97'
[13:10:37	]C17:RCT.YELLO-97 is fully healed.
[13:10:54	]Mango loaded the character 'Churrlung'
[13:10:59	]Churrlung is fully healed.
[13:11:35	][IC] Churrlung: Ya.
[13:11:38	]Churrlung used command '/Datafile Churrlung'.
[13:11:53	]Mango loaded the character 'C17:RCT.YELLO-97'
[13:12:24	]Mango loaded the character 'Churrlung'
[13:12:35	]Churrlung used command '/Datafile Churrlung'.
[13:13:02	]Churrlung has spawned a 'Entity [395][ix_pickupterminal]'.
[13:13:07	][PICKUP DISPENSER] Mango ( Churrlung ) picked up an item from the pickup dispenser.
[13:13:07	]Churrlung has gained a 'Medium Credits Coupon' #1660944.
[13:13:31	]Churrlung ran 'Use' on item 'Medium Credits Coupon' (#1660944)
[13:13:34	]Churrlung ran 'Use' on item 'Medium Credits Coupon' (#1660944)
[13:13:36	]Churrlung has used a coupon at a ration dispenser, gaining 20 credits.
[13:15:00	]Churrlung used command '/Datafile yello'.
[13:15:20	]Churrlung used command '/Datafile Banana'.
[13:20:24	]Churrlung has gone afk.
[13:20:49	]Churrlung is no longer afk. Total time spent AFK: 320
[13:24:33	]Mango (STEAM_0:0:544539350) has disconnected.
[17:46:27	]Kranky has connected.
[17:51:02	]Kranky (STEAM_0:1:110380124) deleted character 'Olivier Fournier but bad'
[17:51:04	]Kranky (STEAM_0:1:110380124) deleted character 'Olivier Fournier'
[17:51:11	]Kranky loaded the character 'Xi-Gong'
[17:51:16	]Xi-Gong is fully healed.
[17:52:01	]Xi-Gong used the 'Munition Lady' vendor.
[17:55:07	]Xi-Gong used the 'John Doe' vendor.
[17:55:34	][IC] Xi-Gong: Gong...
[17:55:53	]Kranky (STEAM_0:1:110380124) has disconnected.
[20:15:32	]Kranky has connected.
[20:22:40	]Kranky has connected.
[20:24:58	]Tony The Tiger has connected.
[20:25:09	]Kranky loaded the character 'Xi-Gong'
[20:25:14	]Xi-Gong is fully healed.
[20:25:22	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:23	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:24	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:25	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:26	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:27	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:28	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:29	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:30	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:30	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:32	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:33	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:34	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:35	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:36	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:37	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:38	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:38	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:39	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:40	]Xi-Gong has damaged npc_combine_camera, dealing 5 with ix_hands
[20:25:47	]Tony The Tiger loaded the character 'C17:CpT.YELLO-95'
[20:25:52	]C17:CpT.YELLO-95 is fully healed.
[20:25:55	]Xi-Gong has taken 1 damage from bldg_fire.
[20:25:58	]C17:CpT.YELLO-95 used command '/ToggleGM'.
[20:25:58	]C17:CpT.YELLO-95 entered observer.
[20:26:06	]Kranky has unloaded their "Xi-Gong" character.
[20:27:11	]C17:CpT.YELLO-95 used command '/PlyWhitelist yello cca'.
[20:27:14	]C17:CpT.YELLO-95 used command '/PlyWhitelist yello combine'.
[20:27:50	]Kranky created the character 'Olivier Fournier'
[20:27:51	]Olivier Fournier has gained a 'Suitcase' #1660945.
[20:27:51	]Kranky loaded the character 'Olivier Fournier'
[20:27:51	]Olivier Fournier has gained a 'Flashlight' #1660946.
[20:27:51	]Olivier Fournier has gained a 'Light Grey Armband' #1660947.
[20:27:51	]Olivier Fournier has gained a '#04711's Identity Card' #1660948.
[20:27:51	]Olivier Fournier has gained a 'Black Jumpsuit' #1660949.
[20:27:51	]Olivier Fournier has gained a 'Black Jumpsuit Trousers' #1660950.
[20:28:11	]Olivier Fournier ran 'Equip' on item 'Light Grey Armband' (#1660947)
[20:29:00	]Tony The Tiger created the character 'Borg olaffson'
[20:29:01	]Borg olaffson has gained a '#39860's Identity Card' #1660951.
