[17:06:41	]M!NT has connected.
[17:17:07	]Jody Mayflower has gained a 'Rappel Gear' #1660018.
[17:17:11	]test char entered observer.
[17:17:12	]test char exited observer at their location.
[17:17:13	]Jody Mayflower ran 'Equip' on item 'Rappel Gear' (#1660018)
[17:17:13	]test char entered observer.
[17:17:13	]test char exited observer at their location.
[17:17:17	]Jody Mayflower entered observer.
[17:17:18	]test char entered observer.
[17:17:18	]test char exited observer at their location.
[17:17:19	]Jody Mayflower exited observer at their location.
[17:17:33	]test char entered observer.
[17:17:36	]Jody Mayflower entered observer.
[17:17:38	]test char exited observer at their location.
[17:17:40	]Jody Mayflower exited observer at their location.
[17:17:56	]test char entered observer.
[17:17:57	]Jody Mayflower entered observer.
[17:17:59	]test char exited observer at their location.
[17:18:00	]Jody Mayflower exited observer at their location.
[17:18:09	]Jody Mayflower has taken 1 damage from worldspawn.
[17:18:43	]Jody Mayflower has given himself a mag_pouch.
[17:18:43	]Jody Mayflower has gained a 'Magazine Pouch' #1660019.
[17:18:49	]test char entered observer.
[17:18:57	]Jody Mayflower has given himself a bullet_pouch.
[17:18:57	]Jody Mayflower has gained a 'Ammunition Pouch' #1660020.
[17:18:59	]test char exited observer at their location.
[17:18:59	]test char entered observer.
[17:19:16	]test char exited observer at their location.
[17:19:20	]Jody Mayflower ran 'combine' on item 'Ammunition Pouch' (#1660020)
[17:19:31	]test char ran 'combine' on item '30rnd AK-magazine' (#1659791)
[17:19:32	]test char ran 'combine' on item '30rnd AK-magazine' (#1659790)
[17:19:33	]test char ran 'combine' on item '30rnd AK-magazine' (#1659789)
[17:19:33	]test char ran 'combine' on item '30rnd AK-magazine' (#1659788)
[17:19:38	]test char has lost a '30rnd AK-magazine' #1659791.
[17:19:47	]Jody Mayflower has gained a '30rnd Pulse-magazine' #1660007.
[17:19:47	]Jody Mayflower has lost a '30rnd Pulse-magazine' #1660006.
[17:19:54	]test char entered observer.
[17:19:55	]Jody Mayflower ran 'combine' on item 'Magazine Pouch' (#1660019)
[17:20:01	]Jody Mayflower ran 'combine' on item '30rnd Pulse-magazine' (#1660008)
[17:20:03	]Jody Mayflower ran 'combine' on item '30rnd Pulse-magazine' (#1660007)
[17:20:05	]Jody Mayflower has gained a '30rnd Pulse-magazine' #1660006.
[17:20:05	]Jody Mayflower has lost a '30rnd Pulse-magazine' #1660008.
[17:21:08	]test char exited observer at their location.
[17:21:09	]test char entered observer.
[17:21:16	]test char exited observer at their location.
[17:21:19	]test char entered observer.
[17:22:41	]test char has used a context menu option with the name: remove
[17:22:53	]test char has used a context menu option with the name: remove
[17:22:54	]test char has used a context menu option with the name: remove
[17:22:56	]test char has used a context menu option with the name: remove
[17:22:57	]test char has used a context menu option with the name: remove
[17:22:58	]test char has used a context menu option with the name: remove
[17:23:00	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:01	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:01	]test char has used a context menu option with the name: remove
[17:23:03	]test char has used a context menu option with the name: remove
[17:23:03	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:04	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:04	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:05	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:07	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:07	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:07	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:07	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:08	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:11	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:15	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:19	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:19	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:21	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:22	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:23	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:23	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:24	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:25	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:26	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:27	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:28	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:28	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:30	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:31	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:32	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:33	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:33	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:35	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:35	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:36	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:36	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:37	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:37	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:38	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:38	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:38	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:39	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:39	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:39	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:39	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:40	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:41	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:41	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:42	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:43	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:43	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:44	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:45	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:45	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:46	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:46	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:48	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:48	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:48	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:49	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:49	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:51	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:51	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:53	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:56	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:56	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:57	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:57	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:57	]Jody Mayflower has fired a toolgun with the name: remover
[17:23:57	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:02	]test char exited observer at their location.
[17:24:07	]test char entered observer.
[17:24:09	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:10	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:10	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:10	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:10	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:11	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:11	]test char exited observer at their location.
[17:24:14	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:14	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:18	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:18	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:18	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:18	]test char entered observer.
[17:24:18	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:18	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:19	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:20	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:20	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:21	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:21	]test char exited observer at their location.
[17:24:22	]test char entered observer.
[17:24:22	]test char exited observer at their location.
[17:24:24	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:24	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:25	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:26	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:26	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:26	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:26	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:26	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:28	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:29	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:29	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:29	]Jody Mayflower has fired a toolgun with the name: remover
[17:24:30	]test char entered observer.
[17:24:32	]test char exited observer at their location.
[17:24:37	]test char entered observer.
[17:24:38	]Jody Mayflower entered observer.
[17:24:40	]Jody Mayflower exited observer at their location.
[17:24:41	]Jody Mayflower entered observer.
[17:24:42	]Jody Mayflower exited observer at their location.
[17:24:48	]Jody Mayflower entered observer.
[17:24:52	]test char has fired a toolgun with the name: remover
[17:24:54	]test char has fired a toolgun with the name: remover
[17:24:54	]test char has fired a toolgun with the name: remover
[17:24:55	]test char has fired a toolgun with the name: remover
[17:24:55	]test char has fired a toolgun with the name: remover
[17:24:55	]test char has fired a toolgun with the name: remover
[17:24:57	]test char has fired a toolgun with the name: remover
[17:24:57	]test char has fired a toolgun with the name: remover
[17:24:57	]test char has fired a toolgun with the name: remover
[17:24:58	]test char has fired a toolgun with the name: remover
[17:24:58	]test char has fired a toolgun with the name: remover
[17:24:58	]test char has fired a toolgun with the name: remover
[17:25:00	]test char has fired a toolgun with the name: remover
[17:25:00	]Jody Mayflower has fired a toolgun with the name: remover
[17:25:00	]test char has fired a toolgun with the name: remover
[17:25:00	]Jody Mayflower has fired a toolgun with the name: remover
[17:25:00	]test char has fired a toolgun with the name: remover
[17:25:02	]Jody Mayflower exited observer at their location.
[17:25:03	]test char exited observer at their location.
[17:25:04	]test char entered observer.
[17:25:05	]test char exited observer at their location.
[17:25:10	]test char has gained a '30rnd AK-magazine' #1659791.
[17:25:10	]test char has lost a '30rnd AK-magazine' #1659790.
[17:25:16	]test char has hit Jody Mayflower in the left arm dealing 6 damage (CritChance was 0.42).
[17:25:16	]Jody Mayflower has taken 6 damage from test char.
[17:25:17	]test char has critically hit Jody Mayflower in the left arm dealing 6 damage (CritChance was 0.42).
[17:25:17	]Jody Mayflower has taken 6 damage from test char.
[17:25:17	]test char has hit Jody Mayflower in the left leg dealing 6 damage (CritChance was 0.42).
[17:25:17	]Jody Mayflower has taken 6 damage from test char.
[17:25:17	]test char has hit Jody Mayflower in the right arm dealing 0 damage (CritChance was 0.42).
[17:25:17	]test char has critically hit Jody Mayflower in the left leg dealing 6 damage (CritChance was 0.42).
[17:25:17	]Jody Mayflower has taken 6 damage from test char.
[17:25:17	]test char has hit Jody Mayflower in the stomach dealing 14 damage (CritChance was 0.42).
[17:25:17	]Jody Mayflower has taken 14 damage from test char.
[17:25:35	]test char entered observer.
[17:25:41	]Jody Mayflower entered observer.
[17:25:45	]test char has fired a toolgun with the name: light
[17:25:45	]Jody Mayflower exited observer at their location.
[17:25:48	]test char has fired a toolgun with the name: light
[17:25:50	]test char has fired a toolgun with the name: light
[17:25:51	]test char has fired a toolgun with the name: light
[17:25:52	]test char has fired a toolgun with the name: light
[17:25:53	]test char has fired a toolgun with the name: light
[17:25:53	]test char has fired a toolgun with the name: light
[17:25:54	]test char has fired a toolgun with the name: light
[17:25:55	]test char has fired a toolgun with the name: light
[17:25:55	]test char has fired a toolgun with the name: light
[17:25:56	]test char has fired a toolgun with the name: light
[17:26:07	]Jody Mayflower entered observer.
[17:26:11	]Jody Mayflower exited observer at their location.
[17:26:14	]test char has fired a toolgun with the name: creator
[17:26:14	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:18	]test char has fired a toolgun with the name: creator
[17:26:18	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:19	]test char has fired a toolgun with the name: creator
[17:26:19	]test char has fired a toolgun with the name: creator
[17:26:19	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:19	]Jody Mayflower has gained a '30rnd Pulse-magazine' #1660008.
[17:26:19	]Jody Mayflower was knocked unconscious and is bleeding out.
[17:26:20	]test char has fired a toolgun with the name: creator
[17:26:20	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:21	]test char has fired a toolgun with the name: creator
[17:26:21	]test char has fired a toolgun with the name: creator
[17:26:21	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:22	]test char has fired a toolgun with the name: creator
[17:26:22	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:23	]test char has fired a toolgun with the name: creator
[17:26:23	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:29	]Jody Mayflower ran SAM command 'respawn' with arguments: 'jod'
[17:26:35	]Jody Mayflower entered observer.
[17:26:38	]Jody Mayflower exited observer at their location.
[17:26:43	]test char has fired a toolgun with the name: creator
[17:26:43	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:44	]test char has fired a toolgun with the name: creator
[17:26:44	]test char has fired a toolgun with the name: creator
[17:26:44	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:45	]test char has fired a toolgun with the name: creator
[17:26:46	]test char has fired a toolgun with the name: creator
[17:26:46	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:46	]test char has fired a toolgun with the name: creator
[17:26:47	]test char has fired a toolgun with the name: creator
[17:26:47	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:47	]test char has fired a toolgun with the name: creator
[17:26:47	]test char has fired a toolgun with the name: creator
[17:26:47	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:48	]test char has fired a toolgun with the name: creator
[17:26:48	]test char has fired a toolgun with the name: creator
[17:26:48	]test char has fired a toolgun with the name: creator
[17:26:48	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:49	]test char has fired a toolgun with the name: creator
[17:26:49	]test char has fired a toolgun with the name: creator
[17:26:49	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:50	]test char has fired a toolgun with the name: creator
[17:26:50	]test char has fired a toolgun with the name: creator
[17:26:50	]test char has fired a toolgun with the name: creator
[17:26:50	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:51	]test char has fired a toolgun with the name: creator
[17:26:51	]test char has fired a toolgun with the name: creator
[17:26:51	]test char has fired a toolgun with the name: creator
[17:26:51	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:52	]test char has fired a toolgun with the name: creator
[17:26:52	]test char has fired a toolgun with the name: creator
[17:26:52	]test char has fired a toolgun with the name: creator
[17:26:52	]test char has fired a toolgun with the name: creator
[17:26:52	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:52	]test char has fired a toolgun with the name: creator
[17:26:53	]test char has fired a toolgun with the name: creator
[17:26:53	]test char has fired a toolgun with the name: creator
[17:26:53	]test char has fired a toolgun with the name: creator
[17:26:53	]test char has fired a toolgun with the name: creator
[17:26:53	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:54	]test char has fired a toolgun with the name: creator
[17:26:54	]test char has fired a toolgun with the name: creator
[17:26:54	]test char has fired a toolgun with the name: creator
[17:26:54	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:55	]test char has fired a toolgun with the name: creator
[17:26:55	]test char has fired a toolgun with the name: creator
[17:26:55	]test char has fired a toolgun with the name: creator
[17:26:55	]test char has spawned 'models/props_borealis/bluebarrel001.mdl'.
[17:26:55	]test char has fired a toolgun with the name: creator
[17:27:08	]Jody Mayflower entered observer.
[17:27:51	]Jody Mayflower exited observer at their location.
[17:27:54	]Rabithunter (STEAM_0:1:22394854) has disconnected.
[17:32:57	]test char exited observer at their location.
[17:33:03	]test char entered observer.
[17:33:05	]test char exited observer at their location.
[17:33:07	]test char entered observer.
[17:34:18	]test char exited observer at their location.
[17:34:21	]test char entered observer.
[17:36:59	]test char exited observer at their location.
[17:37:01	]test char entered observer.
[17:37:22	]test char exited observer at their location.
[17:37:23	]test char entered observer.
[17:37:27	]test char exited observer at their location.
[17:37:28	]test char entered observer.
[17:41:23	]M!NT has connected.
[17:42:02	]M!NT loaded the character 'test char'
[17:42:07	]test char is fully healed.
[17:42:09	]test char entered observer.
[17:42:12	]test char exited observer at their location.
[17:47:32	]test char has gone afk.
[17:53:37	]Mango has connected.
[17:54:38	]Mango loaded the character 'C17:RCT.YELLO-97'
[17:54:49	]C17:RCT.YELLO-97 entered observer.
[17:54:49	]C17:RCT.YELLO-97 exited observer at their location.
[17:54:54	]C17:RCT.YELLO-97 ran SAM command 'hp' with arguments: '^' '100'
[17:54:58	]C17:RCT.YELLO-97 is fully healed.
[17:55:01	][IC] C17:RCT.YELLO-97: <:: Yep. ::>
[17:55:03	][IC] C17:RCT.YELLO-97: <:: Yep. Yep. Yep. ::>
[17:55:13	]test char is no longer afk. Total time spent AFK: 755
[17:55:13	][IC] test char: Hol up im reviewin ur code.
[17:55:36	][IC] C17:RCT.YELLO-97: <:: I'll review you with the toolgun removal. ::>
[17:55:47	]C17:RCT.YELLO-97 has fired a toolgun with the name: remover
[17:55:58	][IC] C17:RCT.YELLO-97: <:: Remover. ::>
[17:56:01	][IC] C17:RCT.YELLO-97: <:: Remove entities. ::>
[17:56:04	][IC] C17:RCT.YELLO-97: <:: Remove selected object. ::>
[17:56:12	][IC] C17:RCT.YELLO-97: <:: Remove selected object and all objects constrained to it. ::>
[17:56:19	][IC] C17:RCT.YELLO-97: <:: Clear all constraints on selected object. ::>
[17:57:36	][IC] C17:RCT.YELLO-97: <:: Lookin' for trouble. ::>
[18:06:54	]test char has gone afk.
[18:09:08	]C17:RCT.YELLO-97 has gone afk.
[18:10:34	]test char is no longer afk. Total time spent AFK: 515
