[01:34:12	]Fallizs has connected.
[19:46:58	]M!NT loaded the character 'Test char pls ignore'
[19:47:03	]Test char pls ignore entered observer.
[19:47:19	]Test char pls ignore used command '/CharGiveFlag test U'.
[19:47:29	]Test char pls ignore has given himself a cmru_card.
[19:47:29	]Test char pls ignore has gained a 'CMRU Level 1 Access Keycard' #1658867.
[19:47:30	]Test char pls ignore has given himself a cmru_card.
[19:47:30	]Test char pls ignore has gained a 'CMRU Level 1 Access Keycard' #1658868.
[19:47:31	]Test char pls ignore has given himself a cmrulock.
[19:47:31	]Test char pls ignore has gained a 'CMRU Lock' #1658869.
[19:47:42	]Test char pls ignore exited observer at their location.
[19:47:42	]Test char pls ignore entered observer.
[19:47:43	]Test char pls ignore exited observer at their location.
[19:47:43	]Test char pls ignore entered observer.
[19:47:43	]Test char pls ignore exited observer at their location.
[19:47:45	]Test char pls ignore ran 'Place' on item 'CMRU Lock' (#1658869)
[19:47:51	]Test char pls ignore ran 'Bind' on item 'CMRU Level 1 Access Keycard' (#1658868)
[19:47:59	]Test char pls ignore entered observer.
[19:48:13	]Test char pls ignore ran 'drop' on item 'CMRU Level 1 Access Keycard' (#1658868)
[19:48:13	]Test char pls ignore has lost a 'CMRU Level 1 Access Keycard' #1658868.
[19:48:17	]Test char pls ignore ran 'Bind' on item 'CMRU Level 1 Access Keycard' (#1658867)
[19:48:19	]Test char pls ignore ran 'drop' on item 'CMRU Level 1 Access Keycard' (#1658867)
[19:48:19	]Test char pls ignore has lost a 'CMRU Level 1 Access Keycard' #1658867.
[19:48:21	]Test char pls ignore has used a context menu option with the name: remove
[19:48:43	]Test char pls ignore used command '/PlyWhitelist test cp'.
[19:48:55	]M!NT created the character 'C17:RCT.YELLO-96'
[19:48:55	]Test char pls ignore has gained level 5 in the Guns skill.
[19:48:55	]Test char pls ignore has gained level 10 in the Speed skill.
[19:48:55	]M!NT loaded the character 'C17:RCT.YELLO-96'
[19:48:55	]C17:RCT.YELLO-96 has gained a '#81026's Identity Card' #1658870.
[19:48:55	]C17:RCT.YELLO-96 has gained a 'Combine PDA' #1658871.
[19:48:55	]C17:RCT.YELLO-96 has gained a 'CP Uniform' #1658872.
[19:48:55	]C17:RCT.YELLO-96 has gained a 'CP Mask' #1658873.
[19:48:55	]C17:RCT.YELLO-96 has gained a 'Handheld Radio' #1658874.
[19:48:56	]C17:RCT.YELLO-96 has gained a 'Small Bag' #1658875.
[19:48:56	]C17:RCT.YELLO-96 has gained a 'Large Bag' #1658876.
[19:49:21	]C17:RCT.YELLO-96 entered observer.
[19:49:28	]C17:RCT.YELLO-96 exited observer at their location.
[19:50:08	]C17:RCT.YELLO-96 has used a context menu option with the name: remove
[19:50:20	]M!NT loaded the character 'Andriy Andreeva'
[19:50:25	]Andriy Andreeva is fully healed.
[19:50:26	]Andriy Andreeva entered observer.
[19:50:31	]Andriy Andreeva exited observer at their location.
[19:50:46	]M!NT loaded the character 'Test char pls ignore'
[19:50:57	]Test char pls ignore has given himself a cmru_card.
[19:50:57	]Test char pls ignore has gained a 'CMRU Level 1 Access Keycard' #1658877.
[19:50:59	]Test char pls ignore ran 'Bind' on item 'CMRU Level 1 Access Keycard' (#1658877)
[19:51:08	]Test char pls ignore entered observer.
[19:51:15	]Test char pls ignore exited observer at their location.
[19:51:16	]Test char pls ignore entered observer.
[19:51:16	]Test char pls ignore exited observer at their location.
[19:51:44	]Test char pls ignore entered observer.
[19:51:55	]Test char pls ignore exited observer at their location.
[19:51:58	]Test char pls ignore entered observer.
[19:52:08	]M!NT (STEAM_0:1:120751263) has disconnected.
