[13:27:13	]Ozzekiel has connected.
[18:01:09	][IC] Gah'Lung'Gah: Gung.
[18:01:10	][IC] 1231 3123: Gung...
[18:01:11	][IC] 1231 3123: Gung...
[18:01:12	][IC] Gah'Lung'Gah: Weeeeeeeeeeeeeeeeeeeeah-uh *Coughing*.
[18:01:12	][IC] 1231 3123: Done!
[18:01:13	][IC] Gah'Lung'Gah: Weeeeeeeeeeeeeeeeeeeeah-uh *Coughing*.
[18:01:13	][IC] Gah'Lung'Gah: Weeeeeeeeeeeeeeeeeeeeah-uh *Coughing*.
[18:01:14	][IC] Gah'Lung'Gah: Weeeeeeeeeeeeeeeeeeeeah-uh *Coughing*.
[18:01:16	][IC] 1231 3123: Weeee.
[18:01:18	]vortivort has gained level 50 in the Vortessence skill.
[18:01:18	]vortivort used command '/CharSkillSet ^ vortessence 50'.
[18:01:23	][IC] Gah'Lung'Gah: Anyway.
[18:01:25	]apathy is death loaded the character 'asdsaasd asdasd'
[18:01:25	][IC] 1231 3123: Antlions!
[18:01:26	]1231 3123 has taken 40 damage from Gah'Lung'Gah.
[18:01:28	][IC] 1231 3123: Antlions!
[18:01:29	][IC] 1231 3123: Antlions!
[18:01:30	][IC] 1231 3123: Antlions!
[18:01:30	][IC] Gah'Lung'Gah: Does that harm me?
[18:01:31	]Hiros | Error 410 loaded the character 'C24:CpT.TAP-777'
[18:01:32	][IC] Gah'Lung'Gah: Wait hold on.
[18:01:35	]1231 3123 entered observer.
[18:01:35	]apathy is death loaded the character 'vortivort'
[18:01:35	]1231 3123 exited observer at their location.
[18:01:37	][IC] Gah'Lung'Gah: Ok no.
[18:01:42	]C24:CpT.TAP-777 entered observer.
[18:01:44	][IC] vortivort: Aldfjdalkfj.
[18:01:46	][OOC] C24:CpT.TAP-777: GOLONGO
[18:01:47	]1231 3123 has given himself a ing_xen_extract.
[18:01:47	]1231 3123 has gained a 'Antlion Extract' #1650110.
[18:01:47	][IC] Gah'Lung'Gah: How do I do.
[18:01:48	]1231 3123 has given himself a xen_concoction.
[18:01:48	]1231 3123 has gained a 'Extract Concoction' #1650111.
[18:01:48	][IC] Gah'Lung'Gah: Big beem.
[18:01:49	][OOC] vortivort: GOLONGO
[18:01:51	]1231 3123 ran 'Consume' on item 'Extract Concoction' (#1650111)
[18:01:51	]1231 3123 has gained a level 15 long boost in Strength.
[18:01:51	]1231 3123 has gained a level 15 long boost in Agility.
[18:01:51	]1231 3123 has gained a level 15 long boost in Intelligence.
[18:01:51	]1231 3123 has gained a level 15 long boost in Perception.
[18:01:52	][IC] vortivort: Uhm.
[18:01:53	]1231 3123 is fully healed.
[18:01:53	][IC] vortivort: This one?
[18:01:54	]1231 3123 entered observer.
[18:01:56	]1231 3123 exited observer at their location.
[18:01:57	]C24:CpT.TAP-777 exited observer at their location.
[18:01:58	][IC] Gah'Lung'Gah: The 1shot beam.
[18:02:00	][IC] C24:CpT.TAP-777: <:: Guh. ::>
[18:02:01	]vortivort used command '/SetVortalEnergy ^ 100'.
[18:02:02	][IC] Gah'Lung'Gah: Weeeeeeeeeeeeeeeeeeeeah-uh *Coughing*.
[18:02:05	][IC] vortivort: Rejoin on your character.
[18:02:06	]vortivort has taken 40 damage from Gah'Lung'Gah.
[18:02:06	]1231 3123 has taken 40 damage from Gah'Lung'Gah.
[18:02:06	]C24:CpT.TAP-777 has taken 40 damage from Gah'Lung'Gah.
[18:02:07	]C24:CpT.TAP-777 entered observer.
[18:02:07	]C24:CpT.TAP-777 exited observer at their location.
[18:02:08	]vortivort entered observer.
[18:02:08	]1231 3123 used command '/CharGiveFlag ^ q'.
[18:02:09	]vortivort exited observer at their location.
[18:02:10	][IC] Gah'Lung'Gah: Hi.
[18:02:11	][IC] C24:CpT.TAP-777: <:: Rude. ::>
[18:02:14	][IC] Gah'Lung'Gah: Ok I reload char.
[18:02:15	]C24:CpT.TAP-777 ran SAM command 'hp' with arguments: '^' '100'
[18:02:16	][IC] 1231 3123: Gung...
[18:02:16	]C24:CpT.TAP-777 is fully healed.
[18:02:18	]vortivort ran SAM command 'hp' with arguments: '^' '200'
[18:02:20	]vortivort is fully healed.
[18:02:21	][IC] C24:CpT.TAP-777: <:: I want to test the uhh. ::>
[18:02:21	]vortivort used command '/SetVortalEnergy ^ 100'.
[18:02:23	][IC] C24:CpT.TAP-777: <:: Collar. ::>
[18:02:27	][IC] vortivort: Uhmm.
[18:02:28	][IC] vortivort: Take one.
[18:02:30	]Gah'Lung'Gah used command '/PlyGiveFlag Gah'Lung q'.
[18:02:32	][IC] C24:CpT.TAP-777: <:: How. ::>
[18:02:34	][IC] Gah'Lung'Gah: Da shield.
[18:02:35	][IC] vortivort: Create vort.
[18:02:39	][IC] Gah'Lung'Gah: DA SHIELD!!!
[18:02:39	]C24:CpT.TAP-777 has given himself a vortigaunt_slave_collar.
[18:02:40	]C24:CpT.TAP-777 has gained a 'Vortigaunt Collar' #1650112.
[18:02:43	][IC] vortivort: No.
[18:02:44	][IC] C24:CpT.TAP-777: <:: I mean. ::>
[18:02:44	][IC] vortivort: Not..
[18:02:46	]1231 3123 has given himself a xen_concoction.
[18:02:46	]1231 3123 has gained a 'Extract Concoction' #1650113.
[18:02:46	][IC] vortivort: Not that.
[18:02:47	]1231 3123 has given himself a xen_concoction.
[18:02:47	]1231 3123 has gained a 'Extract Concoction' #1650114.
[18:02:48	][IC] vortivort: Oh.
[18:02:50	][IC] C24:CpT.TAP-777: <:: I want to see it on datapad. ::>
[18:02:51	]1231 3123 ran 'Consume' on item 'Extract Concoction' (#1650113)
[18:02:51	]1231 3123 has wasted a level 15 long boost in Strength (current: 0; target: 15).
[18:02:51	]1231 3123 has wasted a level 15 long boost in Agility (current: 0; target: 15).
[18:02:51	]1231 3123 has wasted a level 15 long boost in Intelligence (current: 0; target: 15).
[18:02:51	]1231 3123 has wasted a level 15 long boost in Perception (current: 0; target: 15).
[18:02:52	][IC] C24:CpT.TAP-777: <:: Dumb. ::>
[18:02:53	]1231 3123 is fully healed.
[18:02:53	][IC] Gah'Lung'Gah: Cooking.
[18:02:54	][IC] Gah'Lung'Gah: Cooking.
[18:02:54	][IC] Gah'Lung'Gah: Cooking.
[18:02:55	][IC] Gah'Lung'Gah: Cooking.
[18:02:56	][IC] Gah'Lung'Gah: Cooking.
[18:02:57	][IC] C24:CpT.TAP-777: <:: COOKING DICK. ::>
[18:03:04	]vortivort has taken 40 damage from Gah'Lung'Gah.
[18:03:04	]1231 3123 has taken 40 damage from Gah'Lung'Gah.
[18:03:04	]C24:CpT.TAP-777 has taken 40 damage from Gah'Lung'Gah.
[18:03:04	]C24:CpT.TAP-777 entered observer.
[18:03:04	]C24:CpT.TAP-777 exited observer at their location.
[18:03:07	][IC] 1231 3123: How do I make extract work.
[18:03:07	]vortivort set extractEffectDuration to '60'.
[18:03:09	][IC] Gah'Lung'Gah: Get fucked off.
[18:03:10	][IC] 1231 3123: Cooking.
[18:03:11	][IC] 1231 3123: Cooking.
[18:03:12	][IC] 1231 3123: Cooking.
[18:03:12	][IC] 1231 3123: Cooking.
[18:03:13	][IC] C24:CpT.TAP-777: <:: Right click. ::>
[18:03:13	][IC] vortivort: Eat it.
[18:03:14	][IC] C24:CpT.TAP-777: <:: Eat. ::>
[18:03:16	]vortivort ran SAM command 'hp' with arguments: '^' '200'
[18:03:19	]Gah'Lung'Gah has given himself a xen_concoction.
[18:03:19	]Gah'Lung'Gah has gained a 'Extract Concoction' #1650115.
[18:03:19	][IC] 1231 3123: It's not working.
[18:03:20	]vortivort is fully healed.
[18:03:21	]C24:CpT.TAP-777 used command '/PlyWhitelist ^ vort'.
[18:03:22	]Gah'Lung'Gah ran 'Consume' on item 'Extract Concoction' (#1650115)
[18:03:22	]Gah'Lung'Gah has gained a level 15 long boost in Strength.
[18:03:22	]Gah'Lung'Gah has gained a level 15 long boost in Agility.
[18:03:22	]Gah'Lung'Gah has gained a level 15 long boost in Intelligence.
[18:03:22	]Gah'Lung'Gah has gained a level 15 long boost in Perception.
[18:03:22	][IC] vortivort: Uhm.
[18:03:23	][IC] Gah'Lung'Gah: Hmm.
[18:03:24	]Gah'Lung'Gah is fully healed.
[18:03:25	]1231 3123 ran 'Consume' on item 'Extract Concoction' (#1650114)
[18:03:25	]1231 3123 has wasted a level 15 long boost in Strength (current: 0; target: 15).
[18:03:25	]1231 3123 has wasted a level 15 long boost in Agility (current: 0; target: 15).
[18:03:25	]1231 3123 has wasted a level 15 long boost in Intelligence (current: 0; target: 15).
[18:03:25	]1231 3123 has wasted a level 15 long boost in Perception (current: 0; target: 15).
[18:03:26	][IC] Gah'Lung'Gah: Extract no workie.
[18:03:28	][IC] Gah'Lung'Gah: I chugged.
[18:03:28	]1231 3123 is fully healed.
[18:03:29	][IC] Gah'Lung'Gah: :(.
[18:03:32	][IC] 1231 3123: :(.
[18:03:35	][IC] Gah'Lung'Gah: Hi.
[18:03:36	]vortivort has given himself a xen_concoction.
[18:03:36	]vortivort has gained a 'Extract Concoction' #1650116.
[18:03:38	][IC] 1231 3123: No extract.
[18:03:39	]vortivort ran 'Consume' on item 'Extract Concoction' (#1650116)
[18:03:39	]vortivort has gained a level 15 long boost in Strength.
[18:03:39	]vortivort has gained a level 15 long boost in Agility.
[18:03:39	]vortivort has gained a level 15 long boost in Intelligence.
[18:03:39	]vortivort has gained a level 15 long boost in Perception.
[18:03:41	]1231 3123 has given himself a xen_concoction.
[18:03:41	]1231 3123 has gained a 'Extract Concoction' #1650117.
[18:03:42	]1231 3123 has given himself a xen_concoction.
[18:03:42	]1231 3123 has gained a 'Extract Concoction' #1650118.
[18:03:42	][IC] Gah'Lung'Gah: Galanga.
[18:03:43	]vortivort has given himself a xen_concoction.
[18:03:43	]vortivort has gained a 'Extract Concoction' #1650119.
[18:03:46	]C24:CpT.TAP-777 is fully healed.
[18:03:51	]Gah'Lung'Gah has given himself a ing_xen_extract.
[18:03:51	]Gah'Lung'Gah has gained a 'Antlion Extract' #1650120.
[18:03:51	][IC] vortivort: No extract =((.
[18:03:55	][IC] vortivort: I'll fix that later then.
[18:03:58	][IC] Gah'Lung'Gah: Hm...
[18:03:59	]Gah'Lung'Gah ran 'drop' on item 'Antlion Extract' (#1650120)
[18:03:59	]Gah'Lung'Gah has lost a 'Antlion Extract' #1650120.
[18:04:00	][IC] 1231 3123: :(((((((.
[18:04:02	][IC] Gah'Lung'Gah: The glowie.
[18:04:03	]1231 3123 entered observer.
[18:04:03	]1231 3123 exited observer at their location.
[18:04:04	]Gah'Lung'Gah entered observer.
[18:04:10	]1231 3123 entered observer.
[18:04:11	]1231 3123 exited observer at their location.
[18:04:11	]Gah'Lung'Gah has used a context menu option with the name: remove
[18:04:12	]Gah'Lung'Gah exited observer at their location.
[18:04:16	]Gah'Lung'Gah has given himself a xen_concoction.
[18:04:16	]Gah'Lung'Gah has gained a 'Extract Concoction' #1650121.
[18:04:18	]Hiros | Error 410 created the character 'Golon'go'
[18:04:18	]Hiros | Error 410 loaded the character 'Golon'go'
[18:04:18	]Golon'go has gained a 'Vortigaunt Hooks' #1650122.
[18:04:18	]Golon'go has gained a 'Vortigaunt Shackles' #1650123.
[18:04:18	]Golon'go has gained a 'Vortigaunt Collar' #1650124.
[18:04:19	]Gah'Lung'Gah ran 'Consume' on item 'Extract Concoction' (#1650121)
[18:04:19	]Gah'Lung'Gah has wasted a level 15 long boost in Strength (current: 0; target: 15).
[18:04:19	]Gah'Lung'Gah has wasted a level 15 long boost in Agility (current: 0; target: 15).
[18:04:19	]Gah'Lung'Gah has wasted a level 15 long boost in Intelligence (current: 0; target: 15).
[18:04:19	]Gah'Lung'Gah has wasted a level 15 long boost in Perception (current: 0; target: 15).
[18:04:24	]Golon'go entered observer.
[18:04:25	]Golon'go exited observer at their location.
[18:04:30	][IC] Gah'Lung'Gah: Greetings.
[18:04:33	][IC] Golon'go: I see the.
[18:04:33	][IC] Gah'Lung'Gah: Hello.
[18:04:38	][IC] Golon'go: Collar.
[18:04:41	][IC] vortivort: Gimme a moment and i'll fix extract.
[18:04:42	][IC] Gah'Lung'Gah: How do I recharge my vort essence.
[18:04:45	][IC] vortivort: Then i can ask votton to.
[18:04:46	][VORT] Gah'Lung'Gah: GALANGAA
[18:04:48	][IC] vortivort: Restart.
[18:04:50	][IC] vortivort: Uhm.
[18:04:51	][VORTSHOUT] Gah'Lung'Gah: I HATE SMOOTHSKINS
[18:04:51	][IC] vortivort: Ou can.
[18:04:54	][IC] vortivort: YOU can enter meditation.
[18:04:55	][IC] Gah'Lung'Gah: Oh.
[18:04:57	]Gah'Lung'Gah used command '/EnterMeditation'.
[18:04:58	]Golon'go used command '/ToggleRaise'.
[18:05:02	]vortivort used command '/EnterMeditation'.
[18:05:02	][IC] Gah'Lung'Gah: I am meditate.
[18:05:03	]1231 3123 used command '/EnterMeditation'.
[18:05:07	]Golon'go used command '/EnterMeditation'.
[18:05:14	][IC] Gah'Lung'Gah: Weeeeeeeeeeeeeeeeeeeeah-uh *Coughing*.
[18:05:20	]vortivort used command '/EnterMeditation'.
[18:05:22	][IC] Golon'go: Weeeeeeeeee.
[18:05:23	][IC] Gah'Lung'Gah: How quicky does it recharge?
[18:05:33	]Golon'go used command '/EnterMeditation'.
[18:05:40	]Golon'go ran 'drop' on item 'Vortigaunt Shackles' (#1650123)
[18:05:41	]Golon'go ran 'drop' on item 'Vortigaunt Hooks' (#1650122)
[18:05:44	][IC] Gah'Lung'Gah: How quickly should the meditation recharge u.
[18:05:48	]Golon'go has given himself a shackleskey.
[18:05:48	][IC] 1231 3123: Hm...
[18:05:48	]Golon'go has gained a 'Shackles Key' #1650125.
[18:05:50	][IC] 1231 3123: Hmm.
[18:05:59	][IC] Golon'go: 03948.
[18:06:04	][IC] Gah'Lung'Gah: Sixty nine.
[18:06:07	]1231 3123 used command '/EnterMeditation'.
[18:06:07	]Hiros | Error 410 loaded the character 'C24:CpT.TAP-777'
[18:06:12	]1231 3123 entered observer.
[18:06:12	][IC] Gah'Lung'Gah: Hi.
[18:06:14	][IC] Gah'Lung'Gah: Yes.
[18:06:18	]C24:CpT.TAP-777 used command '/Datafile 03948'.
[18:06:19	]Gah'Lung'Gah used command '/EnterMeditation'.
[18:06:22	][IC] C24:CpT.TAP-777: <:: So. ::>
[18:06:25	]1231 3123 exited observer at their location.
[18:06:27	][IC] C24:CpT.TAP-777: <:: How do i add cohesion points? ::>
[18:06:27	]Alessiodoomboy has connected.
[18:06:28	]Gah'Lung'Gah used command '/SetVortalEnergy Gah'Lung 1000'.
[18:06:30	][IC] Gah'Lung'Gah: Yes.
[18:06:34	]1231 3123 entered observer.
[18:06:34	]1231 3123 exited observer at their location.
[18:06:36	]C24:CpT.TAP-777 ran 'drop' on item 'Vortigaunt Collar' (#1650112)
[18:06:36	]C24:CpT.TAP-777 has lost a 'Vortigaunt Collar' #1650112.
[18:06:36	]1231 3123 entered observer.
[18:06:37	]1231 3123 exited observer at their location.
[18:06:42	]Gah'Lung'Gah has given himself a vortigaunt_trousers_dark.
[18:06:42	]Gah'Lung'Gah has gained a 'Vortigaunt Dark Trousers' #1650126.
[18:06:43	]Gah'Lung'Gah has given himself a vortigaunt_head_fedora.
[18:06:43	]Gah'Lung'Gah has gained a 'Vortigaunt Fedora' #1650127.
[18:06:45	]1231 3123 entered observer.
[18:06:46	][IC] vortivort: So.
[18:06:47	]1231 3123 exited observer at their location.
[18:06:48	]1231 3123 entered observer.
[18:06:48	][IC] vortivort: There is a command.
[18:06:49	]1231 3123 exited observer at their location.
[18:06:50	]1231 3123 entered observer.
[18:06:50	]1231 3123 exited observer at their location.
[18:06:51	]1231 3123 entered observer.
[18:06:51	]1231 3123 exited observer at their location.
[18:06:52	][IC] vortivort: ./addvortsc.
[18:06:55	]1231 3123 entered observer.
[18:06:56	]1231 3123 exited observer at their location.
[18:06:57	][IC] vortivort: ./setvortsc.
[18:06:57	][IC] Gah'Lung'Gah: M'lady.
[18:06:58	]1231 3123 entered observer.
[18:07:00	]1231 3123 exited observer at their location.
[18:07:00	][LOOC] C24:CpT.TAP-777: /addvortsc
[18:07:00	]1231 3123 entered observer.
[18:07:03	][LOOC] C24:CpT.TAP-777: ah i see
[18:07:04	][IC] vortivort: ./setvortsc.
[18:07:07	]1231 3123 exited observer at their location.
[18:07:07	][IC] vortivort: ./takevortsc.
[18:07:08	]Gah'Lung'Gah has given himself a vortigaunt_bandages.
[18:07:08	]Gah'Lung'Gah has gained a 'Vortigaunt Bandages' #1650128.
[18:07:18	]C24:CpT.TAP-777 used command '/AddVortSC 03948 50'.
[18:07:22	]1231 3123 has given himself a vortigaunt_trousers_brown.
[18:07:22	]1231 3123 has gained a 'Vortigaunt Brown Trousers' #1650129.
[18:07:22	]1231 3123 entered observer.
[18:07:23	][LOOC] C24:CpT.TAP-777: oke lemme see
[18:07:25	][IC] Gah'Lung'Gah: Galanga.
[18:07:30	]1231 3123 exited observer at their location.
[18:07:30	]Hiros | Error 410 loaded the character 'Golon'go'
[18:07:33	]Gah'Lung'Gah has given himself a vortigaunt_torso_cwu.
[18:07:33	]Gah'Lung'Gah has gained a 'Vortigaunt Worker Uniform' #1650130.
[18:07:37	]Alessiodoomboy loaded the character 'Fleur Blanc'
[18:07:37	]Fleur Blanc their 'tunnel stash' stash no longer exists, location reset.
[18:07:37	]1231 3123 has given himself a vortigaunt_head_fedora.
[18:07:37	]1231 3123 has gained a 'Vortigaunt Fedora' #1650131.
[18:07:40	][OOC] vortivort: should i ask votton to restart to make extract work or you guys want to test some stuff first?
[18:07:41	]Fleur Blanc is fully healed.
[18:07:42	][IC] 1231 3123: M'lday.
[18:07:43	][LOOC] Golon'go: ah ye
[18:07:47	][IC] Golon'go: Pp u have thoise points.
[18:07:50	]Golon'go ran 'use' on item 'Shackles Key' (#1650125)
[18:07:52	][IC] 1231 3123: Better to restart.
[18:07:53	]Gah'Lung'Gah has given himself a vortigaunt_meat01.
[18:07:53	]Gah'Lung'Gah has gained a 'Sustenance Belt' #1650132.
[18:07:55	]vortivort entered observer.
[18:07:56	]vortivort exited observer at their location.
[18:08:00	][IC] 1231 3123: Walter white.
[18:08:00	]Gah'Lung'Gah has given himself a vortigaunt_belt.
[18:08:00	]Gah'Lung'Gah has gained a 'Vortigaunt Belt' #1650133.
[18:08:07	][IC] Gah'Lung'Gah: Jesse.
[18:08:10	][IC] Golon'go: So, how do we uh.
[18:08:11	][IC] Gah'Lung'Gah: We have to cook the extract.
[18:08:13	][IC] 1231 3123: WE NEED TO COCK.
[18:08:14	][IC] Gah'Lung'Gah: We have to cook it jesser.
[18:08:17	][OOC] Fleur Blanc: GAH NO MY GM POWERS
[18:08:17	][IC] Gah'Lung'Gah: Weeeeeeeeeeeeeeeeeeeeah-uh *Coughing*.
[18:08:21	][IC] Golon'go: Ping collars.
[18:08:22	][IC] 1231 3123: We don't need to cook.
[18:08:26	][OOC] vortivort: ok RESTARTING IN A MINUTE
[18:08:26	][OOC] Gah'Lung'Gah: weeeeeeeeeeeeeeeeeeeeeeeeeeeeeeah-uh *Coughing*.
[18:08:28	][IC] Golon'go: Is there a way to do so?
[18:08:30	][IC] 1231 3123: Gung...
[18:08:32	][IC] Gah'Lung'Gah: Perish.
[18:08:32	][IC] 1231 3123: Done!
[18:08:33	][IC] 1231 3123: Gung...
[18:08:34	][IC] 1231 3123: Done!
[18:08:35	][IC] 1231 3123: Gung...
[18:08:36	][IC] Gah'Lung'Gah: Done!
[18:08:36	][IC] 1231 3123: Done!
[18:08:37	][IC] Gah'Lung'Gah: Done!
[18:08:37	][IC] 1231 3123: Gung...
[18:08:38	][IC] 1231 3123: Gung...
[18:08:38	][IC] Gah'Lung'Gah: Cooking.
[18:08:39	][IC] 1231 3123: Gung...
[18:08:39	][IC] Gah'Lung'Gah: Cooking.
[18:08:40	][IC] 1231 3123: Done!
[18:08:40	][IC] Gah'Lung'Gah: Cooking.
[18:08:41	][IC] Gah'Lung'Gah: Cooking.
[18:08:41	][IC] Golon'go: Cooking.
[18:08:42	][IC] 1231 3123: Cooking.
[18:08:42	][IC] Gah'Lung'Gah: Cooking.
[18:08:42	][IC] Golon'go: Cooking.
[18:08:43	][IC] Gah'Lung'Gah: Cooking.
[18:08:43	][IC] Gah'Lung'Gah: Cooking.
[18:08:43	][IC] Golon'go: Cooking.
[18:08:44	][IC] 1231 3123: Cooking.
[18:08:44	][IC] Gah'Lung'Gah: Cooking.
[18:08:44	][IC] Golon'go: Cooking.
[18:08:44	][IC] 1231 3123: Cooking.
[18:08:45	][IC] Gah'Lung'Gah: Cooking.
[18:08:45	][IC] 1231 3123: Cooking.
[18:08:45	][IC] Golon'go: Cooking.
[18:08:45	][IC] 1231 3123: Cooking.
[18:08:45	][IC] Gah'Lung'Gah: Cooking.
[18:08:46	][IC] Golon'go: Cooking.
[18:08:46	][IC] Gah'Lung'Gah: Cooking.
[18:08:46	][IC] 1231 3123: Cooking.
[18:12:45	]Hiros | Error 410 has connected.
[18:12:52	]kawasaniac has connected.
[18:13:06	]Sachimii has connected.
[18:13:32	]Alessiodoomboy has connected.
[18:13:42	]apathy is death has connected.
[18:14:03	]kawasaniac loaded the character '1231 3123'
[18:14:11	]Hiros | Error 410 (STEAM_0:1:54068821) deleted character 'Golon'go'
[18:14:16	]1231 3123 has given himself a xen_concoction.
[18:14:17	]1231 3123 has gained a 'Extract Concoction' #1650134.
[18:14:17	]1231 3123 has given himself a xen_concoction.
[18:14:17	]1231 3123 has gained a 'Extract Concoction' #1650135.
[18:14:19	]1231 3123 ran 'Consume' on item 'Extract Concoction' (#1650134)
[18:14:19	]1231 3123 has wasted a level 15 long boost in Strength (current: 0; target: 15).
[18:14:19	]1231 3123 has wasted a level 15 long boost in Agility (current: 0; target: 15).
