[05:50:28	]ryebredd has connected.
[06:07:05	]José Juan Carlos Bautista has used a context menu option with the name: persist_end
[06:07:34	]José Juan Carlos Bautista has enabled persistence for 'models/props_junk/garbage_newspaper001a.mdl'.
[06:07:34	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:07:48	]José Juan Carlos Bautista has spawned 'models/props/gg_vietnam/dirty_mattress01.mdl'.
[06:07:59	]José Juan Carlos Bautista has used a context menu option with the name: collision_off
[06:08:08	]José Juan Carlos Bautista has enabled persistence for 'models/props/gg_vietnam/dirty_mattress01.mdl'.
[06:08:08	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:08:13	]José Juan Carlos Bautista has used a context menu option with the name: collision_on
[06:08:18	]José Juan Carlos Bautista entered observer.
[06:08:19	]José Juan Carlos Bautista has fired a toolgun with the name: nocollideworld
[06:08:21	]José Juan Carlos Bautista has disabled persistence for 'models/props/gg_vietnam/dirty_mattress01.mdl'.
[06:08:21	]José Juan Carlos Bautista has used a context menu option with the name: persist_end
[06:08:33	]José Juan Carlos Bautista has enabled persistence for 'models/props/gg_vietnam/dirty_mattress01.mdl'.
[06:08:33	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:08:34	]José Juan Carlos Bautista exited observer at their location.
[06:08:51	]José Juan Carlos Bautista has spawned 'models/props/de_train/hr_t/barrel_b/barrel_b.mdl'.
[06:09:22	]José Juan Carlos Bautista has spawned a 'Entity [133][acwatt_apex_nade_fire]'.
[06:09:30	]José Juan Carlos Bautista has spawned a 'Entity [133][sent_vj_fireplace]'.
[06:09:53	]José Juan Carlos Bautista used command '/ActSit 5'.
[06:09:55	]José Juan Carlos Bautista used command '/ExitAct'.
[06:10:04	]José Juan Carlos Bautista has spawned 'models/props/de_boathouse/pillow01.mdl'.
[06:10:05	]José Juan Carlos Bautista has spawned 'models/props/de_boathouse/pillow02.mdl'.
[06:10:06	]José Juan Carlos Bautista has spawned 'models/props/de_mirage/pillow_b.mdl'.
[06:10:14	]José Juan Carlos Bautista used command '/ActSit 2'.
[06:10:15	]José Juan Carlos Bautista used command '/ExitAct'.
[06:10:17	]José Juan Carlos Bautista used command '/ActSit 2'.
[06:10:20	]José Juan Carlos Bautista used command '/ExitAct'.
[06:10:29	]José Juan Carlos Bautista has spawned 'models/props/de_mirage/pillow_c.mdl'.
[06:10:34	]José Juan Carlos Bautista has spawned 'models/props_c17/FurnitureMattress001a.mdl'.
[06:10:46	]José Juan Carlos Bautista has used a context menu option with the name: statue
[06:10:48	]José Juan Carlos Bautista has used a context menu option with the name: skin
[06:10:54	]José Juan Carlos Bautista has fired a toolgun with the name: nocollideworld
[06:11:23	]José Juan Carlos Bautista has spawned 'models/props_junk/cardboard_unfolded_02.mdl'.
[06:11:25	]José Juan Carlos Bautista has spawned 'models/props_junk/cardboard_unfolded_01.mdl'.
[06:11:29	]José Juan Carlos Bautista has fired a toolgun with the name: nocollideworld
[06:11:42	]José Juan Carlos Bautista entered observer.
[06:11:57	]José Juan Carlos Bautista exited observer at their location.
[06:11:59	]José Juan Carlos Bautista has spawned 'models/props_junk/cardboard_unfolded_02.mdl'.
[06:12:04	]José Juan Carlos Bautista has fired a toolgun with the name: nocollideworld
[06:12:20	]José Juan Carlos Bautista has spawned 'models/props_junk/cardboard_unfolded_02.mdl'.
[06:12:23	]José Juan Carlos Bautista has fired a toolgun with the name: nocollideworld
[06:12:50	]José Juan Carlos Bautista has enabled persistence for 'models/props_junk/cardboard_unfolded_02.mdl'.
[06:12:50	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:12:58	]José Juan Carlos Bautista has spawned 'models/props_junk/garbage_carboard002a.mdl'.
[06:13:03	]José Juan Carlos Bautista has enabled persistence for 'models/props_junk/garbage_carboard002a.mdl'.
[06:13:03	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:13:05	]José Juan Carlos Bautista has used a context menu option with the name: collision_off
[06:13:13	]José Juan Carlos Bautista has disabled persistence for 'models/props_junk/garbage_carboard002a.mdl'.
[06:13:13	]José Juan Carlos Bautista has used a context menu option with the name: persist_end
[06:13:16	]José Juan Carlos Bautista has enabled persistence for 'models/props_junk/garbage_carboard002a.mdl'.
[06:13:16	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:13:19	]José Juan Carlos Bautista has spawned 'models/props_junk/garbage256_composite002b.mdl'.
[06:13:24	]José Juan Carlos Bautista entered observer.
[06:13:31	]José Juan Carlos Bautista has enabled persistence for 'models/props_junk/garbage256_composite002b.mdl'.
[06:13:31	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:13:33	]José Juan Carlos Bautista has used a context menu option with the name: collision_off
[06:13:34	]José Juan Carlos Bautista exited observer at their location.
[06:13:39	]José Juan Carlos Bautista has spawned 'models/props_junk/garbage256_composite002a.mdl'.
[06:13:43	]José Juan Carlos Bautista entered observer.
[06:13:44	]José Juan Carlos Bautista exited observer at their location.
[06:13:57	]José Juan Carlos Bautista has enabled persistence for 'models/props_junk/garbage256_composite002a.mdl'.
[06:13:57	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:14:00	]José Juan Carlos Bautista has used a context menu option with the name: collision_off
[06:14:03	]José Juan Carlos Bautista entered observer.
[06:14:08	]José Juan Carlos Bautista exited observer at their location.
[06:14:18	]José Juan Carlos Bautista has spawned 'models/props_junk/trashdumpster02.mdl'.
[06:14:21	]José Juan Carlos Bautista entered observer.
[06:14:46	]José Juan Carlos Bautista has enabled persistence for 'models/props_junk/trashdumpster02.mdl'.
[06:14:46	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:14:52	]José Juan Carlos Bautista has spawned 'models/props_junk/trashcluster01a.mdl'.
[06:14:54	]José Juan Carlos Bautista has spawned 'models/props_junk/trashcluster01a.mdl'.
[06:14:56	]José Juan Carlos Bautista has used a context menu option with the name: skin
[06:14:58	]José Juan Carlos Bautista has used a context menu option with the name: skin
[06:15:00	]José Juan Carlos Bautista has used a context menu option with the name: skin
[06:15:02	]José Juan Carlos Bautista has used a context menu option with the name: skin
[06:15:06	]José Juan Carlos Bautista has spawned 'models/props/de_train/hr_t/trash_a/trash_a.mdl'.
[06:15:11	]José Juan Carlos Bautista has spawned 'models/props_junk/trashcluster01a_corner.mdl'.
[06:15:19	]José Juan Carlos Bautista has spawned 'models/props_downtown/bedding_pile_02.mdl'.
[06:15:29	]José Juan Carlos Bautista has spawned 'models/props_debris/concrete_cornerpile01a.mdl'.
[06:15:32	]José Juan Carlos Bautista has enabled persistence for 'models/props_debris/concrete_cornerpile01a.mdl'.
[06:15:32	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:15:42	]José Juan Carlos Bautista has spawned 'models/props/cs_militia/logpile2.mdl'.
[06:15:46	]José Juan Carlos Bautista has enabled persistence for 'models/props/cs_militia/logpile2.mdl'.
[06:15:46	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:15:49	]José Juan Carlos Bautista has disabled persistence for 'models/props/cs_militia/logpile2.mdl'.
[06:15:49	]José Juan Carlos Bautista has used a context menu option with the name: persist_end
[06:15:52	]José Juan Carlos Bautista has fired a toolgun with the name: nocollideworld
[06:16:01	]José Juan Carlos Bautista exited observer at their location.
[06:16:04	]José Juan Carlos Bautista has enabled persistence for 'models/props/cs_militia/logpile2.mdl'.
[06:16:04	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:16:07	]José Juan Carlos Bautista has spawned 'models/props/de_dust/hr_dust/dust_kasbah/dust_kasbah_mudbrick_pile_06.mdl'.
[06:16:16	]José Juan Carlos Bautista has enabled persistence for 'models/props/de_dust/hr_dust/dust_kasbah/dust_kasbah_mudbrick_pile_06.mdl'.
[06:16:16	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:16:22	]José Juan Carlos Bautista has spawned 'models/props_unique/airport/luggage_pile1.mdl'.
[06:16:28	]José Juan Carlos Bautista entered observer.
[06:16:46	]José Juan Carlos Bautista exited observer at their location.
[06:16:50	]José Juan Carlos Bautista has spawned 'models/props_unique/airport/luggage_pile1.mdl'.
[06:16:51	]José Juan Carlos Bautista entered observer.
[06:16:52	]José Juan Carlos Bautista exited observer at their location.
[06:16:53	]José Juan Carlos Bautista entered observer.
[06:17:09	]José Juan Carlos Bautista has enabled persistence for 'models/props_unique/airport/luggage_pile1.mdl'.
[06:17:09	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:17:13	]José Juan Carlos Bautista has spawned 'models/props/gg_handling/luggage_pile_switcher.mdl'.
[06:17:24	]José Juan Carlos Bautista exited observer at their location.
[06:17:31	]José Juan Carlos Bautista has spawned 'models/props/coop_autumn/tennis_ball_launcher/fraggrenade_pile.mdl'.
[06:17:34	]José Juan Carlos Bautista has spawned 'models/props/de_venice/venice_shoe_shop/venice_shoe_pile_01.mdl'.
[06:17:36	]José Juan Carlos Bautista has spawned 'models/props/coop_autumn/tennis_ball_launcher/smokegrenade_pile.mdl'.
[06:17:38	]José Juan Carlos Bautista has spawned 'models/props/hr_massive/rock_pile_1/rock_pile_1.mdl'.
[06:17:40	]José Juan Carlos Bautista has spawned 'models/props/de_venice/venice_shoe_shop/venice_shoe_pile_01.mdl'.
[06:17:47	]José Juan Carlos Bautista entered observer.
[06:18:01	]José Juan Carlos Bautista has spawned 'models/props_unique/airport/luggage_pile1.mdl'.
[06:18:05	]José Juan Carlos Bautista exited observer at their location.
[06:18:06	]José Juan Carlos Bautista entered observer.
[06:18:07	]José Juan Carlos Bautista exited observer at their location.
[06:19:59	]José Juan Carlos Bautista has enabled persistence for 'models/props_unique/airport/luggage_pile1.mdl'.
[06:19:59	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:20:18	]José Juan Carlos Bautista has spawned 'models/props/gg_handling/luggage_pile_switcher.mdl'.
[06:20:20	]José Juan Carlos Bautista has spawned 'models/props/gg_handling/bh_luggage_rack144_02.mdl'.
[06:20:27	]José Juan Carlos Bautista has spawned 'models/props_unique/airport/luggage_pile1.mdl'.
[06:20:28	]José Juan Carlos Bautista entered observer.
[06:20:35	]José Juan Carlos Bautista has spawned 'models/props_unique/airport/luggage_pile1.mdl'.
[06:20:42	]José Juan Carlos Bautista has enabled persistence for 'models/props_unique/airport/luggage_pile1.mdl'.
[06:20:42	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:20:44	]José Juan Carlos Bautista has spawned 'models/props/gg_handling/luggage_stack_01.mdl'.
[06:20:54	]José Juan Carlos Bautista has spawned 'models/props/gg_handling/bh_luggage_rack144_02.mdl'.
[06:21:01	]José Juan Carlos Bautista has spawned 'models/props/gg_handling/bh_luggage_rack144_02.mdl'.
[06:21:04	]José Juan Carlos Bautista has spawned 'models/props/gg_handling/luggage_stack_02.mdl'.
[06:21:16	]José Juan Carlos Bautista has spawned 'models/props/cs_militia/rockpileramp01.mdl'.
[06:21:19	]José Juan Carlos Bautista has spawned 'models/props/de_venice/venice_shoe_shop/venice_shoe_pile_01.mdl'.
[06:21:27	]José Juan Carlos Bautista has spawned 'models/props/de_venice/venice_shoe_shop/venice_shoe_pile_01.mdl'.
[06:21:30	]José Juan Carlos Bautista has spawned 'models/props/coop_autumn/tennis_ball_launcher/smokegrenade_pile.mdl'.
[06:21:32	]José Juan Carlos Bautista has spawned 'models/props/hr_massive/rock_pile_1/rock_pile_1.mdl'.
[06:21:36	]José Juan Carlos Bautista has spawned 'models/props_interiors/clothing_pile3.mdl'.
[06:21:38	]José Juan Carlos Bautista has spawned 'models/props_interiors/clothing_pile1.mdl'.
[06:21:42	]José Juan Carlos Bautista has fired a toolgun with the name: nocollideworld
[06:21:44	]José Juan Carlos Bautista has fired a toolgun with the name: nocollideworld
[06:21:45	]José Juan Carlos Bautista has fired a toolgun with the name: nocollideworld
[06:21:46	]José Juan Carlos Bautista exited observer at their location.
[06:21:57	]José Juan Carlos Bautista has enabled persistence for 'models/props/de_venice/venice_shoe_shop/venice_shoe_pile_01.mdl'.
[06:21:57	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:22:12	]José Juan Carlos Bautista has enabled persistence for 'models/props_interiors/clothing_pile3.mdl'.
[06:22:12	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:22:15	]José Juan Carlos Bautista has disabled persistence for 'models/props_unique/airport/luggage_pile1.mdl'.
[06:22:15	]José Juan Carlos Bautista has used a context menu option with the name: persist_end
[06:22:15	]José Juan Carlos Bautista has enabled persistence for 'models/props_unique/airport/luggage_pile1.mdl'.
[06:22:15	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:22:17	]José Juan Carlos Bautista has enabled persistence for 'models/props/gg_handling/bh_luggage_rack144_02.mdl'.
[06:22:17	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:22:26	]José Juan Carlos Bautista has enabled persistence for 'models/props_interiors/clothing_pile1.mdl'.
[06:22:26	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:22:40	]José Juan Carlos Bautista has spawned 'models/props_interiors/clothing_pile5.mdl'.
[06:22:44	]José Juan Carlos Bautista has enabled persistence for 'models/props_interiors/clothing_pile5.mdl'.
[06:22:44	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:22:49	]José Juan Carlos Bautista has spawned 'models/props/gg_handling/luggage_stack_01.mdl'.
[06:22:53	]José Juan Carlos Bautista has enabled persistence for 'models/props/gg_handling/luggage_stack_01.mdl'.
[06:22:53	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:23:11	]José Juan Carlos Bautista has spawned 'models/props/cs_assault/billboard.mdl'.
[06:23:13	]José Juan Carlos Bautista entered observer.
[06:23:23	]José Juan Carlos Bautista has spawned 'models/props/cs_assault/billboard.mdl'.
[06:23:49	]José Juan Carlos Bautista exited observer at their location.
[06:23:54	]José Juan Carlos Bautista entered observer.
[06:23:57	]José Juan Carlos Bautista has spawned 'models/props/de_dust/hr_dust/dust_awnings/dust_awning_rubble_pile_02.mdl'.
[06:24:04	]José Juan Carlos Bautista has spawned 'models/props/de_aztec/hr_aztec/aztec_walls/aztec_wall_stone_01_rubble_med_right_128.mdl'.
[06:24:12	]José Juan Carlos Bautista has enabled persistence for 'models/props/de_dust/hr_dust/dust_awnings/dust_awning_rubble_pile_02.mdl'.
[06:24:12	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:24:19	]José Juan Carlos Bautista has spawned 'models/props_debris/floor_rubble1.mdl'.
[06:24:27	]José Juan Carlos Bautista has spawned 'models/props_debris/corner_rubble1.mdl'.
[06:24:31	]José Juan Carlos Bautista has enabled persistence for 'models/props_debris/corner_rubble1.mdl'.
[06:24:31	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:24:34	]José Juan Carlos Bautista exited observer at their location.
[06:24:34	]José Juan Carlos Bautista entered observer.
[06:24:34	]José Juan Carlos Bautista exited observer at their location.
[06:24:46	]José Juan Carlos Bautista has spawned 'models/c24/debris_plankfloor.mdl'.
[06:24:50	]José Juan Carlos Bautista entered observer.
[06:25:07	]José Juan Carlos Bautista exited observer at their location.
[06:25:07	]José Juan Carlos Bautista entered observer.
[06:25:09	]José Juan Carlos Bautista exited observer at their location.
[06:25:12	]José Juan Carlos Bautista entered observer.
[06:25:12	]José Juan Carlos Bautista exited observer at their location.
[06:25:48	]José Juan Carlos Bautista has spawned 'models/props_furniture/dresser1.mdl'.
[06:25:58	]José Juan Carlos Bautista has enabled persistence for 'models/props_furniture/dresser1.mdl'.
[06:25:58	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:26:08	]José Juan Carlos Bautista has spawned 'models/props_interiors/furniture_lamp01a_static.mdl'.
[06:26:11	]José Juan Carlos Bautista has enabled persistence for 'models/props_interiors/furniture_lamp01a_static.mdl'.
[06:26:11	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:26:15	]José Juan Carlos Bautista entered observer.
[06:26:16	]José Juan Carlos Bautista exited observer at their location.
[06:26:17	]José Juan Carlos Bautista entered observer.
[06:26:18	]José Juan Carlos Bautista exited observer at their location.
[06:26:20	]José Juan Carlos Bautista entered observer.
[06:26:47	]José Juan Carlos Bautista has fired a toolgun with the name: nocollideworld
[06:27:00	]José Juan Carlos Bautista has enabled persistence for 'models/props/cs_assault/billboard.mdl'.
[06:27:00	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:27:19	]José Juan Carlos Bautista exited observer at their location.
[06:28:20	]José Juan Carlos Bautista used command '/PanelAdd https://i.imgur.com/wcbDc4a.png 3 55'.
[06:28:25	]José Juan Carlos Bautista entered observer.
[06:28:30	]José Juan Carlos Bautista exited observer at their location.
[06:28:34	]José Juan Carlos Bautista entered observer.
[06:28:44	]José Juan Carlos Bautista exited observer at their location.
[06:29:11	]José Juan Carlos Bautista has spawned 'models/props_urban/fence_cover001_256.mdl'.
[06:29:15	]José Juan Carlos Bautista has enabled persistence for 'models/props_urban/fence_cover001_256.mdl'.
[06:29:15	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:29:37	]José Juan Carlos Bautista entered observer.
[06:30:03	]José Juan Carlos Bautista has spawned 'models/props_urban/fence_cover001_256.mdl'.
[06:30:17	]José Juan Carlos Bautista has spawned 'models/props/de_overpass/overpass_billboard.mdl'.
[06:30:26	]José Juan Carlos Bautista exited observer at their location.
[06:30:26	]José Juan Carlos Bautista entered observer.
[06:30:29	]José Juan Carlos Bautista has spawned 'models/props/cs_assault/billboard.mdl'.
[06:30:58	]José Juan Carlos Bautista exited observer at their location.
[06:31:00	]José Juan Carlos Bautista entered observer.
[06:31:19	]José Juan Carlos Bautista has used a context menu option with the name: bodygroups
[06:31:21	]José Juan Carlos Bautista has used a context menu option with the name: remove
[06:31:52	]José Juan Carlos Bautista used command '/PanelAdd https://i.imgur.com/wcbDc4a.png 3 55'.
[06:31:56	]José Juan Carlos Bautista exited observer at their location.
[06:32:00	]José Juan Carlos Bautista entered observer.
