[00:39:52	]kawasaniac has connected.
[00:54:35	]Bilbo Baggins has used a context menu option with the name: remove
[00:54:37	]Bilbo Baggins entered observer.
[00:54:39	]Bilbo Baggins exited observer at their location.
[00:54:39	]Bilbo Baggins has taken 39 damage from worldspawn.
[00:56:00	]Bilbo Baggins entered observer.
[00:56:05	]Bilbo Baggins has spawned 'models/wn/ota_elite.mdl'.
[00:56:06	]Bilbo Baggins has spawned 'models/wn/ordinal.mdl'.
[00:56:07	]Bilbo Baggins has spawned 'models/willardnetworks/combine/antibody.mdl'.
[00:56:08	]Bilbo Baggins has spawned 'models/willardnetworks/combine/antibody.mdl'.
[00:56:17	]Bilbo Baggins has spawned 'models/wn/ota_elite.mdl'.
[00:56:17	]Bilbo Baggins has spawned 'models/wn/ota_elite.mdl'.
[00:56:21	]Bilbo Baggins has spawned 'models/wn/ota_shotgunner.mdl'.
[00:56:24	]Bilbo Baggins has spawned 'models/wn/ota_shotgunner.mdl'.
[00:56:31	]Bilbo Baggins has spawned 'models/willardnetworks/combine/antibody.mdl'.
[00:56:32	]Bilbo Baggins has spawned 'models/willardnetworks/combine/antibody.mdl'.
[00:59:22	]Bilbo Baggins exited observer at their location.
[00:59:24	]Bilbo Baggins has acquired his ration, gaining 10 credits, 0 wages and a ration ration.
[00:59:38	]Bilbo Baggins ran 'take' on item 'Ration' (#1649276)
[00:59:38	]Bilbo Baggins has gained a 'Ration' #1649276.
[00:59:38	]Bilbo Baggins entered observer.
[01:02:36	]Bilbo Baggins exited observer at their location.
[01:02:38	]Bilbo Baggins entered observer.
[01:02:39	]Bilbo Baggins exited observer at their location.
[01:02:44	]Bilbo Baggins entered observer.
[01:02:45	]Bilbo Baggins exited observer at their location.
[01:02:46	]Bilbo Baggins entered observer.
[01:02:46	]Bilbo Baggins exited observer at their location.
[01:02:47	]Bilbo Baggins entered observer.
[01:02:50	]Bilbo Baggins exited observer at their location.
[01:02:51	]Bilbo Baggins entered observer.
[01:03:06	]Bilbo Baggins exited observer at their location.
[01:03:13	]kawasaniac (STEAM_0:1:219693994) has disconnected.
[11:49:00	]Rabithunter has connected.
[11:50:54	]Rabithunter loaded the character 'Jenifer Maesroe'
[11:50:59	]Jenifer Maesroe is fully healed.
[11:51:28	]M!NT has connected.
[11:52:31	]M!NT loaded the character 'Alyosha Domnin'
[11:52:36	]Alyosha Domnin is fully healed.
[11:52:47	]Alyosha Domnin ran SAM command 'menu' with arguments: ''
[11:54:07	][IC] Jenifer Maesroe: -.
[11:54:09	]Jenifer Maesroe used command '/PrintStaffList'.
[11:54:17	]Jenifer Maesroe used command '/PrintStaffList'.
[11:54:27	]Jenifer Maesroe ran 'drop' on item 'Black Fedora' (#1649235)
[11:54:27	]Jenifer Maesroe has lost a 'Black Fedora' #1649235.
[11:54:28	]Jenifer Maesroe ran 'drop' on item 'Flat Cap' (#1583961)
[11:54:28	]Jenifer Maesroe has lost a 'Flat Cap' #1583961.
[11:54:28	]Jenifer Maesroe ran 'drop' on item 'Green Construction Hat' (#1649000)
[11:54:28	]Jenifer Maesroe has lost a 'Green Construction Hat' #1649000.
[11:54:29	]Jenifer Maesroe ran 'drop' on item 'Jumpsuit Trousers' (#1649004)
[11:54:29	]Jenifer Maesroe has lost a 'Jumpsuit Trousers' #1649004.
[11:54:30	]Jenifer Maesroe ran 'drop' on item 'Candyfloss' (#1649255)
[11:54:30	]Jenifer Maesroe has lost a 'Candyfloss' #1649255.
[11:54:30	]Jenifer Maesroe ran 'drop' on item 'Medical Gloves' (#1649002)
[11:54:30	]Jenifer Maesroe has lost a 'Medical Gloves' #1649002.
[11:54:31	]Jenifer Maesroe ran 'drop' on item 'White Fedora' (#1648147)
[11:54:31	]Jenifer Maesroe has lost a 'White Fedora' #1648147.
[11:54:32	]Jenifer Maesroe ran 'drop' on item '70s Glasses' (#1649108)
[11:54:32	]Jenifer Maesroe has lost a '70s Glasses' #1649108.
[11:54:32	]Jenifer Maesroe ran 'drop' on item 'Golden Goose' (#1649236)
[11:54:32	]Jenifer Maesroe has lost a 'Golden Goose' #1649236.
[11:56:25	]Console ran SAM command 'setrank' with arguments: 'jenifer' 'superadmin'
[11:56:31	]Jenifer Maesroe has fired a toolgun with the name: remover
[11:56:31	]Jenifer Maesroe has fired a toolgun with the name: remover
[11:56:32	]Jenifer Maesroe has fired a toolgun with the name: remover
[11:56:32	]Jenifer Maesroe has fired a toolgun with the name: remover
[11:56:32	]Jenifer Maesroe has fired a toolgun with the name: remover
[11:56:32	]Jenifer Maesroe has fired a toolgun with the name: remover
[11:56:32	]Jenifer Maesroe has fired a toolgun with the name: remover
[11:56:33	]Jenifer Maesroe has fired a toolgun with the name: remover
[11:56:33	]Jenifer Maesroe has fired a toolgun with the name: remover
[11:56:34	]Jenifer Maesroe has fired a toolgun with the name: remover
[11:56:35	]Jenifer Maesroe has fired a toolgun with the name: remover
[11:56:36	]Jenifer Maesroe has fired a toolgun with the name: remover
[11:56:36	]Jenifer Maesroe has fired a toolgun with the name: remover
[11:56:42	]Jenifer Maesroe used command '/PrintStaffList'.
[11:56:43	]Jenifer Maesroe entered observer.
[11:56:46	]Jenifer Maesroe ran SAM command 'menu' with arguments: ''
[11:56:55	]Jenifer Maesroe ran SAM command 'setrank' with arguments: '#2' 'superadmin' '0'
[11:56:59	]Alyosha Domnin entered observer.
[11:57:09	]Console ran SAM command 'setrank' with arguments: 'alyosha' 'superadmin'
[11:57:15	][OOC] Alyosha Domnin: thanks babe
[11:57:23	]Alyosha Domnin exited observer.
[11:57:24	][OOC] Jenifer Maesroe: welcome!
[11:57:24	]Alyosha Domnin entered observer.
[11:57:25	]Jenifer Maesroe exited observer at their location.
[11:57:51	]Alyosha Domnin exited observer at their location.
[11:57:58	]Alyosha Domnin ran 'drop' on item 'AKM' (#1648937)
[11:57:58	]Alyosha Domnin has lost a 'AKM' #1648937.
[11:58:02	]Alyosha Domnin has used a context menu option with the name: remove
[11:58:15	]Alyosha Domnin used command '/CharGiveItem alyosha zip_tie'.
[11:58:15	]Alyosha Domnin has gained a 'Zip Tie' #1649277.
[11:58:21	]Alyosha Domnin ran 'Use' on item 'Zip Tie' (#1649277)
[11:58:58	]Alyosha Domnin used command '/CharGiveItem alyosha wn_zip_tie'.
[11:58:58	]Alyosha Domnin has gained a 'Zip Tie' #1649278.
[11:59:01	]Alyosha Domnin ran 'Use' on item 'Zip Tie' (#1649278)
[11:59:44	]Alyosha Domnin entered observer.
[11:59:48	]Jenifer Maesroe has taken 28 damage from worldspawn.
[11:59:49	]Jenifer Maesroe is fully healed.
[11:59:57	]Jenifer Maesroe has taken 43 damage from worldspawn.
[11:59:58	]Alyosha Domnin exited observer at their location.
[11:59:59	]Jenifer Maesroe is fully healed.
[12:00:01	]Alyosha Domnin entered observer.
[12:00:04	]Jenifer Maesroe has taken 38 damage from worldspawn.
[12:00:06	]Alyosha Domnin exited observer at their location.
[12:00:06	]Alyosha Domnin has taken 17 damage from worldspawn.
[12:00:09	]Jenifer Maesroe is fully healed.
[12:00:11	]Alyosha Domnin is fully healed.
[12:00:45	]Alyosha Domnin has given himself a wn_bag.
[12:00:45	]Alyosha Domnin has gained a 'Draw String Canvas Bag' #1649279.
[12:00:48	]Alyosha Domnin ran 'Use' on item 'Draw String Canvas Bag' (#1649279)
[12:05:29	]M!NT (STEAM_0:1:120751263) has disconnected.
[12:05:31	]Rabithunter (STEAM_0:1:22394854) has disconnected.
