[00:00:20	][IC] Mar'Eyoo: Stop typing.
[00:14:33	]C17:RCT.YELLO-33 has gained a '30rnd MP-magazine' #1656025.
[00:14:35	]C17:RCT.YELLO-33 ran 'take' on item '30rnd MP-magazine' (#1656026)
[00:14:35	]C17:RCT.YELLO-33 has gained a '30rnd MP-magazine' #1656026.
[00:14:38	]Mister Promiscuous has spawned a bullets_smg1.
[00:14:38	]Mister Promiscuous has spawned a bullets_smg1.
[00:14:38	]Mister Promiscuous has spawned a bullets_smg1.
[00:14:38	]Mister Promiscuous has spawned a bullets_smg1.
[00:14:42	][IC] C17:RCT.YELLO-33: <:: I see what they mean by the MP7 looking ass. ::>
[00:14:45	]C17:RCT.YELLO-33 ran 'take' on item 'Sub-machinegun Bullets' (#1656029)
[00:14:45	]C17:RCT.YELLO-33 has gained a 'Sub-machinegun Bullets' #1656029.
[00:14:46	]C17:RCT.YELLO-33 ran 'take' on item 'Sub-machinegun Bullets' (#1656030)
[00:14:46	]C17:RCT.YELLO-33 has gained a 'Sub-machinegun Bullets' #1656030.
[00:14:47	]C17:RCT.YELLO-33 ran 'take' on item 'Sub-machinegun Bullets' (#1656027)
[00:14:47	]C17:RCT.YELLO-33 has gained a 'Sub-machinegun Bullets' #1656027.
[00:14:49	]C17:RCT.YELLO-33 ran 'take' on item 'Sub-machinegun Bullets' (#1656028)
[00:14:49	]C17:RCT.YELLO-33 has gained a 'Sub-machinegun Bullets' #1656028.
[00:14:51	]C17:RCT.YELLO-33 ran 'combine' on item '30rnd MP-magazine' (#1656026)
[00:14:51	]C17:RCT.YELLO-33 ran 'combine' on item '30rnd MP-magazine' (#1656025)
[00:14:52	]C17:RCT.YELLO-33 has lost a '30rnd MP-magazine' #1656026.
[00:14:53	][OOC] Mister Promiscuous: hello john husky
[00:14:55	]C17:RCT.YELLO-33 has gained a '30rnd MP-magazine' #1656026.
[00:14:55	]C17:RCT.YELLO-33 has lost a '30rnd MP-magazine' #1656025.
[00:14:58	]C17:RCT.YELLO-33 has gained a '30rnd MP-magazine' #1656025.
[00:14:58	]C17:RCT.YELLO-33 has lost a '30rnd MP-magazine' #1656026.
[00:15:01	]C17:RCT.YELLO-33 has gained a '30rnd MP-magazine' #1656026.
[00:15:01	]C17:RCT.YELLO-33 has lost a '30rnd MP-magazine' #1656025.
[00:15:01	][OOC] John Husky: milkman get on rebel u pussy
[00:15:14	][OOC] Mister Promiscuous: hot sexy femcop DD breast size
[00:15:15	][OOC] C17:RCT.YELLO-33: im a femcop now raptorian... look at me im femcop milkman
[00:15:18	]Mister Promiscuous entered observer.
[00:15:23	]John Husky ran 'Equip' on item 'UMP-45' (#1652766)
[00:15:24	]John Husky has lost a '25rnd Ump-magazine' #1653137.
[00:15:26	]John Husky has gained level 2 in the Guns skill.
[00:15:26	]John Husky has hit C17:RCT.YELLO-33 in the chest dealing 6 damage (CritChance was 0.25).
[00:15:26	]C17:RCT.YELLO-33 has taken 6 damage from John Husky.
[00:15:26	]C17:RCT.YELLO-33 has gained a '30rnd MP-magazine' #1656025.
[00:15:26	]C17:RCT.YELLO-33 has lost a '30rnd MP-magazine' #1656026.
[00:15:26	]John Husky has hit C17:RCT.YELLO-33 in the chest dealing 6 damage (CritChance was 0.26).
[00:15:26	]C17:RCT.YELLO-33 has taken 6 damage from John Husky.
[00:15:26	]John Husky has critically hit C17:RCT.YELLO-33 in the chest dealing 10 damage (CritChance was 0.26).
[00:15:26	]C17:RCT.YELLO-33 has taken 10 damage from John Husky.
[00:15:26	]John Husky has gained level 3 in the Guns skill.
[00:15:26	]John Husky has hit C17:RCT.YELLO-33 in the chest dealing 6 damage (CritChance was 0.26).
[00:15:26	]C17:RCT.YELLO-33 has taken 6 damage from John Husky.
[00:15:27	]John Husky has hit C17:RCT.YELLO-33 in the chest dealing 6 damage (CritChance was 0.26).
[00:15:27	]C17:RCT.YELLO-33 has taken 6 damage from John Husky.
[00:15:27	]John Husky has critically hit C17:RCT.YELLO-33 in the chest dealing 10 damage (CritChance was 0.26).
[00:15:27	]C17:RCT.YELLO-33 has taken 10 damage from John Husky.
[00:15:27	]John Husky has gained level 4 in the Guns skill.
[00:15:27	]John Husky has critically hit C17:RCT.YELLO-33 in the chest dealing 10 damage (CritChance was 0.26).
[00:15:27	]C17:RCT.YELLO-33 has taken 10 damage from John Husky.
[00:15:27	]John Husky has critically hit C17:RCT.YELLO-33 in the chest dealing 10 damage (CritChance was 0.87).
[00:15:27	]C17:RCT.YELLO-33 has taken 10 damage from John Husky.
[00:15:27	]John Husky has critically hit C17:RCT.YELLO-33 in the chest dealing 10 damage (CritChance was 0.87).
[00:15:27	]C17:RCT.YELLO-33 has taken 10 damage from John Husky.
[00:15:27	]John Husky has gained level 5 in the Guns skill.
[00:15:27	]John Husky has critically hit C17:RCT.YELLO-33 in the chest dealing 10 damage (CritChance was 0.87).
[00:15:27	]C17:RCT.YELLO-33 has taken 10 damage from John Husky.
[00:15:27	]John Husky has critically hit C17:RCT.YELLO-33 in the head dealing 11 damage (CritChance was 0.88).
[00:15:27	]C17:RCT.YELLO-33 has taken 11 damage from John Husky.
[00:15:27	]John Husky has critically hit C17:RCT.YELLO-33 in the head dealing 11 damage (CritChance was 0.88).
[00:15:27	]C17:RCT.YELLO-33 has taken 11 damage from John Husky.
[00:15:27	]John Husky has gained level 6 in the Guns skill.
[00:15:27	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 0 damage (CritChance was 0.88).
[00:15:27	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 3 damage (CritChance was 0.89).
[00:15:27	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:15:27	]John Husky has gained level 7 in the Guns skill.
[00:15:27	]John Husky has critically hit C17:RCT.YELLO-33 in the chest dealing 10 damage (CritChance was 0.89).
[00:15:27	]C17:RCT.YELLO-33 has taken 10 damage from John Husky.
[00:15:29	]John Husky has gained a '25rnd Ump-magazine' #1653137.
[00:15:29	]John Husky has lost a '25rnd Ump-magazine' #1652764.
[00:15:31	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 3 damage (CritChance was 0.90).
[00:15:31	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:15:31	]John Husky has critically hit C17:RCT.YELLO-33 in the right arm dealing 3 damage (CritChance was 0.90).
[00:15:31	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:15:31	]John Husky has gained level 8 in the Guns skill.
[00:15:31	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 3 damage (CritChance was 0.90).
[00:15:31	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:15:32	]John Husky has hit C17:RCT.YELLO-33 in the left leg dealing 3 damage (CritChance was 0.91).
[00:15:32	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:15:33	]John Husky has critically hit C17:RCT.YELLO-33 in the head dealing 11 damage (CritChance was 0.91).
[00:15:33	]C17:RCT.YELLO-33 has taken 11 damage from John Husky.
[00:15:33	]John Husky has gained level 9 in the Guns skill.
[00:15:33	]John Husky has critically hit C17:RCT.YELLO-33 in the stomach dealing 10 damage (CritChance was 0.91).
[00:15:33	]C17:RCT.YELLO-33 has gained a '30rnd MP-magazine' #1656026.
[00:15:33	]C17:RCT.YELLO-33 was knocked unconscious and is bleeding out.
[00:15:34	]John Husky has gained a '25rnd Ump-magazine' #1652764.
[00:15:34	]John Husky has lost a '25rnd Ump-magazine' #1652758.
[00:15:35	][IC] C17:RCT.YELLO-33: <:: Wtf. ::>
[00:15:37	][IC] C17:RCT.YELLO-33: <:: I cant shoot and move. ::>
[00:15:38	][ME] John Husky: shots
[00:15:42	][IC] John Husky: LOL.
[00:15:44	][IC] John Husky: Ur a fucking hl1 npc.
[00:15:46	][OOC] C17:RCT.YELLO-33: why cant i shoot while moving ...
[00:15:46	]Mister Promiscuous ran SAM command 'hp' with arguments: 'rct' '100'
[00:15:48	]Mister Promiscuous exited observer at their location.
[00:15:50	]C17:RCT.YELLO-33 is no longer unconscious from critical wounds.
[00:15:50	]C17:RCT.YELLO-33 is fully healed.
[00:15:55	]Mister Promiscuous used command '/CharStopBleedout rct'.
[00:15:57	]C17:RCT.YELLO-33 has lost a '30rnd MP-magazine' #1656025.
[00:16:07	][IC] C17:RCT.YELLO-33: <:: Oh it's cus i was sprinting i forgor. ::>
[00:16:07	]John Husky ran 'Equip' on item 'Model 870' (#1652743)
[00:16:09	]John Husky ran 'EquipUn' on item 'UMP-45' (#1652766)
[00:16:09	]John Husky has gained a '25rnd Ump-magazine' #1652758.
[00:16:10	]John Husky ran 'Equip' on item 'Model 870' (#1652743)
[00:16:11	]John Husky has lost a '8rnd 870-magazine' #1652749.
[00:16:13	][IC] C17:RCT.YELLO-33: <:: Too used to playing vort and beaming while sprinting. ::>
[00:16:14	]C17:RCT.YELLO-33 has gained a '30rnd MP-magazine' #1656025.
[00:16:14	]C17:RCT.YELLO-33 has lost a '30rnd MP-magazine' #1656026.
[00:16:24	]Mister Promiscuous entered observer.
[00:16:28	][IC] John Husky: Go on.
[00:16:29	]C17:RCT.YELLO-33 has hit John Husky in the head dealing 6 damage (CritChance was 0.14).
[00:16:29	]John Husky has taken 6 damage from C17:RCT.YELLO-33.
[00:16:29	]Leudoberct has connected.
[00:16:31	]John Husky has critically hit C17:RCT.YELLO-33 in the chest dealing 7 damage (CritChance was 0.84).
[00:16:31	]C17:RCT.YELLO-33 has taken 7 damage from John Husky.
[00:16:31	]John Husky has critically hit C17:RCT.YELLO-33 in the right arm dealing 2 damage (CritChance was 0.84).
[00:16:31	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:32	]John Husky has gained level 10 in the Guns skill.
[00:16:32	]John Husky has hit C17:RCT.YELLO-33 in the left arm dealing 2 damage (CritChance was 0.84).
[00:16:32	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:32	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 2 damage (CritChance was 0.84).
[00:16:32	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:33	]John Husky has critically hit C17:RCT.YELLO-33 in the head dealing 0 damage (CritChance was 0.84).
[00:16:33	]John Husky has gained level 11 in the Guns skill.
[00:16:33	]John Husky has hit C17:RCT.YELLO-33 in the head dealing 4 damage (CritChance was 0.84).
[00:16:33	]C17:RCT.YELLO-33 has taken 4 damage from John Husky.
[00:16:33	]John Husky has critically hit C17:RCT.YELLO-33 in the right arm dealing 0 damage (CritChance was 0.84).
[00:16:33	]John Husky has critically hit C17:RCT.YELLO-33 in the right arm dealing 2 damage (CritChance was 0.84).
[00:16:33	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:33	]John Husky has gained level 12 in the Guns skill.
[00:16:33	]John Husky has critically hit C17:RCT.YELLO-33 in the head dealing 0 damage (CritChance was 0.84).
[00:16:33	]John Husky has critically hit C17:RCT.YELLO-33 in the head dealing 8 damage (CritChance was 0.84).
[00:16:33	]C17:RCT.YELLO-33 has taken 8 damage from John Husky.
[00:16:33	]John Husky has critically hit C17:RCT.YELLO-33 in the chest dealing 7 damage (CritChance was 0.84).
[00:16:33	]C17:RCT.YELLO-33 has taken 7 damage from John Husky.
[00:16:33	]John Husky has gained level 13 in the Guns skill.
[00:16:33	]John Husky has hit C17:RCT.YELLO-33 in the chest dealing 4 damage (CritChance was 0.84).
[00:16:33	]C17:RCT.YELLO-33 has taken 4 damage from John Husky.
[00:16:33	]John Husky has critically hit C17:RCT.YELLO-33 in the right arm dealing 2 damage (CritChance was 0.84).
[00:16:33	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:33	]John Husky has hit C17:RCT.YELLO-33 in the chest dealing 4 damage (CritChance was 0.84).
[00:16:33	]C17:RCT.YELLO-33 has taken 4 damage from John Husky.
[00:16:33	]John Husky has critically hit C17:RCT.YELLO-33 in the right arm dealing 2 damage (CritChance was 0.84).
[00:16:33	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:33	]John Husky has gained level 14 in the Guns skill.
[00:16:33	]John Husky has critically hit C17:RCT.YELLO-33 in the chest dealing 7 damage (CritChance was 0.84).
[00:16:33	]C17:RCT.YELLO-33 has taken 7 damage from John Husky.
[00:16:33	]John Husky has hit C17:RCT.YELLO-33 in the chest dealing 4 damage (CritChance was 0.84).
[00:16:33	]C17:RCT.YELLO-33 has taken 4 damage from John Husky.
[00:16:33	]C17:RCT.YELLO-33 has hit John Husky in the head dealing 6 damage (CritChance was 0.14).
[00:16:33	]John Husky has taken 6 damage from C17:RCT.YELLO-33.
[00:16:33	]C17:RCT.YELLO-33 has hit John Husky in the head dealing 6 damage (CritChance was 0.14).
[00:16:33	]John Husky has taken 6 damage from C17:RCT.YELLO-33.
[00:16:34	]C17:RCT.YELLO-33 has hit John Husky in the head dealing 6 damage (CritChance was 0.14).
[00:16:34	]John Husky has taken 6 damage from C17:RCT.YELLO-33.
[00:16:34	]C17:RCT.YELLO-33 has hit John Husky in the left arm dealing 3 damage (CritChance was 0.14).
[00:16:34	]John Husky has taken 3 damage from C17:RCT.YELLO-33.
[00:16:34	]C17:RCT.YELLO-33 has hit John Husky in the stomach dealing 7 damage (CritChance was 0.14).
[00:16:34	]John Husky has taken 7 damage from C17:RCT.YELLO-33.
[00:16:34	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 2 damage (CritChance was 0.84).
[00:16:34	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:34	]John Husky has gained level 15 in the Guns skill.
[00:16:34	]John Husky has critically hit C17:RCT.YELLO-33 in the stomach dealing 7 damage (CritChance was 0.84).
[00:16:34	]C17:RCT.YELLO-33 has taken 7 damage from John Husky.
[00:16:34	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 2 damage (CritChance was 0.84).
[00:16:34	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:34	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 2 damage (CritChance was 0.84).
[00:16:34	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:34	]John Husky has gained level 16 in the Guns skill.
[00:16:34	]John Husky has critically hit C17:RCT.YELLO-33 in the stomach dealing 7 damage (CritChance was 0.84).
[00:16:34	]C17:RCT.YELLO-33 has taken 7 damage from John Husky.
[00:16:34	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 2 damage (CritChance was 0.84).
[00:16:34	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:34	]John Husky has gained level 17 in the Guns skill.
[00:16:34	]John Husky has critically hit C17:RCT.YELLO-33 in the stomach dealing 7 damage (CritChance was 0.84).
[00:16:34	]C17:RCT.YELLO-33 has taken 7 damage from John Husky.
[00:16:34	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 2 damage (CritChance was 0.84).
[00:16:34	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:35	]C17:RCT.YELLO-33 has critically hit John Husky in the left arm dealing 3 damage (CritChance was 0.13).
[00:16:35	]John Husky has taken 3 damage from C17:RCT.YELLO-33.
[00:16:35	]C17:RCT.YELLO-33 has hit John Husky in the chest dealing 7 damage (CritChance was 0.13).
[00:16:35	]John Husky has taken 7 damage from C17:RCT.YELLO-33.
[00:16:36	]C17:RCT.YELLO-33 has gained a '30rnd MP-magazine' #1656026.
[00:16:36	]C17:RCT.YELLO-33 has lost a '30rnd MP-magazine' #1656025.
[00:16:36	]John Husky has gained a '8rnd 870-magazine' #1652749.
[00:16:36	]John Husky has lost a '8rnd 870-magazine' #1652748.
[00:16:39	]C17:RCT.YELLO-33 has hit John Husky in the stomach dealing 7 damage (CritChance was 0.13).
[00:16:39	]John Husky has taken 7 damage from C17:RCT.YELLO-33.
[00:16:39	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 2 damage (CritChance was 0.84).
[00:16:39	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:39	]John Husky has hit C17:RCT.YELLO-33 in the left arm dealing 0 damage (CritChance was 0.84).
[00:16:39	]John Husky has gained level 18 in the Guns skill.
[00:16:39	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 0 damage (CritChance was 0.84).
[00:16:39	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 0 damage (CritChance was 0.84).
[00:16:39	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 0 damage (CritChance was 0.84).
[00:16:39	]John Husky has gained level 19 in the Guns skill.
[00:16:39	]John Husky has hit C17:RCT.YELLO-33 in the left arm dealing 0 damage (CritChance was 0.84).
[00:16:39	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 0 damage (CritChance was 0.84).
[00:16:39	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 2 damage (CritChance was 0.84).
[00:16:39	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:39	]John Husky has gained level 20 in the Guns skill.
[00:16:39	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 2 damage (CritChance was 0.84).
[00:16:39	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:39	]John Husky has critically hit C17:RCT.YELLO-33 in the right arm dealing 2 damage (CritChance was 0.84).
[00:16:39	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:39	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 0 damage (CritChance was 0.84).
[00:16:39	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 0 damage (CritChance was 0.84).
[00:16:39	]John Husky has gained level 21 in the Guns skill.
[00:16:39	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 2 damage (CritChance was 0.84).
[00:16:39	]C17:RCT.YELLO-33 has taken 2 damage from John Husky.
[00:16:39	]John Husky has critically hit C17:RCT.YELLO-33 in the left arm dealing 2 damage (CritChance was 0.84).
[00:16:39	]C17:RCT.YELLO-33 has gained a '30rnd MP-magazine' #1656025.
[00:16:39	]C17:RCT.YELLO-33 was knocked unconscious and is bleeding out.
[00:16:40	]John Husky has gained a '8rnd 870-magazine' #1652748.
[00:16:40	]John Husky has lost a '8rnd 870-magazine' #1652747.
[00:16:44	]John Husky has gained a '8rnd 870-magazine' #1652747.
[00:16:44	]John Husky has lost a '8rnd 870-magazine' #1652746.
[00:16:47	]Mister Promiscuous exited observer at their location.
[00:16:47	][IC] C17:RCT.YELLO-33: <:: This gun SUCKS!! ::>
[00:16:50	][IC] Mister Promiscuous: Balanced.
[00:16:52	][IC] John Husky: Tough.
[00:16:54	][IC] John Husky: What gun is it.
[00:16:55	]Mister Promiscuous ran SAM command 'hp' with arguments: 'rct' '100'
[00:16:55	]C17:RCT.YELLO-33 is no longer unconscious from critical wounds.
[00:16:55	]C17:RCT.YELLO-33 is fully healed.
[00:16:57	][IC] C17:RCT.YELLO-33: <:: Mp7. ::>
[00:16:59	]C17:RCT.YELLO-33 ran 'combine' on item '30rnd MP-magazine' (#1656026)
[00:17:00	]C17:RCT.YELLO-33 ran 'combine' on item '30rnd MP-magazine' (#1656025)
[00:17:01	][IC] Mister Promiscuous: !arm rct 100.
[00:17:02	]C17:RCT.YELLO-33 has lost a '30rnd MP-magazine' #1656026.
[00:17:03	][IC] John Husky: The smgs are so ass dude.
[00:17:05	][IC] John Husky: UMP is ass.
[00:17:05	]Mister Promiscuous ran SAM command 'armor' with arguments: 'rct' '100'
[00:17:06	]John Husky has gained a '8rnd 870-magazine' #1652746.
[00:17:06	]John Husky has lost a '8rnd 870-magazine' #1652747.
[00:17:09	]Leudoberct loaded the character 'C24:i5.GRID-3'
[00:17:09	]C24:i5.GRID-3 their 'civil protection lockers' stash no longer exists, location reset.
[00:17:13	]C17:RCT.YELLO-33 has gained level 6 in the Guns skill.
[00:17:14	]Mister Promiscuous used command '/CharStopBleedout yell'.
[00:17:17	]C24:i5.GRID-3 entered observer.
[00:17:24	]C24:i5.GRID-3 exited observer at their location.
[00:17:25	]John Husky ran 'drop' on item '25rnd Ump-magazine' (#1652764)
[00:17:25	]John Husky has lost a '25rnd Ump-magazine' #1652764.
[00:17:25	]John Husky ran 'drop' on item '25rnd Ump-magazine' (#1653128)
[00:17:25	]John Husky has lost a '25rnd Ump-magazine' #1653128.
[00:17:26	]John Husky ran 'drop' on item '25rnd Ump-magazine' (#1652760)
[00:17:26	]John Husky has lost a '25rnd Ump-magazine' #1652760.
[00:17:26	]John Husky ran 'unload' on item '25rnd Ump-magazine' (#1652763)
[00:17:26	]John Husky has gained a 'Sub-machinegun Bullets' #1656031.
[00:17:27	][IC] C24:i5.GRID-3: <:: MCP EVERYBODY GET ON THE GROUND. ::>
[00:17:28	]John Husky ran 'drop' on item '25rnd Ump-magazine' (#1652763)
[00:17:28	]John Husky has lost a '25rnd Ump-magazine' #1652763.
[00:17:29	]John Husky ran 'drop' on item '25rnd Ump-magazine' (#1652883)
[00:17:29	]John Husky has lost a '25rnd Ump-magazine' #1652883.
[00:17:30	]John Husky ran 'drop' on item '25rnd Ump-magazine' (#1652761)
[00:17:30	]John Husky has lost a '25rnd Ump-magazine' #1652761.
[00:17:30	]John Husky ran 'drop' on item '25rnd Ump-magazine' (#1652759)
[00:17:30	]John Husky has lost a '25rnd Ump-magazine' #1652759.
[00:17:30	]C17:RCT.YELLO-33 has gained a '30rnd MP-magazine' #1656026.
[00:17:30	]C17:RCT.YELLO-33 has lost a '30rnd MP-magazine' #1656025.
[00:17:32	]Mister Promiscuous entered observer.
[00:17:34	]John Husky ran 'take' on item '25rnd Ump-magazine' (#1652883)
[00:17:34	]John Husky has gained a '25rnd Ump-magazine' #1652883.
[00:17:34	]C17:RCT.YELLO-33 has gained a '30rnd MP-magazine' #1656025.
[00:17:34	]C17:RCT.YELLO-33 has lost a '30rnd MP-magazine' #1656026.
[00:17:36	]Mister Promiscuous exited observer at their location.
[00:17:38	]C24:i5.GRID-3 used command '/ToggleRaise'.
[00:17:42	][IC] C24:i5.GRID-3: <:: SHE'S GOT A GUN. ::>
[00:17:43	][IC] John Husky: ITS HIM.
[00:17:43	]C24:i5.GRID-3 has hit C17:RCT.YELLO-33 in the head dealing 5 damage (CritChance was 0.09).
[00:17:43	]C17:RCT.YELLO-33 has taken 5 damage from C24:i5.GRID-3.
[00:17:43	]C24:i5.GRID-3 has gained level 40 in the Guns skill.
[00:17:43	]C24:i5.GRID-3 has critically hit C17:RCT.YELLO-33 in the head dealing 10 damage (CritChance was 0.09).
[00:17:43	]C17:RCT.YELLO-33 has taken 10 damage from C24:i5.GRID-3.
[00:17:44	]C24:i5.GRID-3 has hit C17:RCT.YELLO-33 in the head dealing 5 damage (CritChance was 0.09).
[00:17:44	]C17:RCT.YELLO-33 has taken 5 damage from C24:i5.GRID-3.
[00:17:44	][IC] C17:RCT.YELLO-33: <:: I cant even lower and raise my gun without swapping mags. ::>
[00:17:44	]C24:i5.GRID-3 has critically hit C17:RCT.YELLO-33 in the head dealing 10 damage (CritChance was 0.09).
[00:17:44	]C17:RCT.YELLO-33 has taken 10 damage from C24:i5.GRID-3.
[00:17:44	]C24:i5.GRID-3 has hit C17:RCT.YELLO-33 in the head dealing 5 damage (CritChance was 0.09).
[00:17:44	]C17:RCT.YELLO-33 has taken 5 damage from C24:i5.GRID-3.
[00:17:44	]John Husky has gained a '8rnd 870-magazine' #1652747.
[00:17:44	]John Husky has lost a '8rnd 870-magazine' #1652746.
[00:17:44	]C24:i5.GRID-3 has hit C17:RCT.YELLO-33 in the head dealing 5 damage (CritChance was 0.09).
[00:17:44	]C17:RCT.YELLO-33 has taken 5 damage from C24:i5.GRID-3.
[00:17:44	]C17:RCT.YELLO-33 has gained a '30rnd MP-magazine' #1656026.
[00:17:44	]C17:RCT.YELLO-33 has lost a '30rnd MP-magazine' #1656025.
[00:17:45	]C17:RCT.YELLO-33 is fully healed.
[00:17:48	]C17:RCT.YELLO-33 has gained level 7 in the Guns skill.
[00:17:48	]C17:RCT.YELLO-33 has hit C24:i5.GRID-3 in the chest dealing 7 damage (CritChance was 0.14).
[00:17:48	]C24:i5.GRID-3 has taken 7 damage from C17:RCT.YELLO-33.
[00:17:50	]John Husky has hit C24:i5.GRID-3 in the head dealing 0 damage (CritChance was 0.25).
[00:17:50	]John Husky has hit C24:i5.GRID-3 in the head dealing 0 damage (CritChance was 0.25).
[00:17:50	]John Husky has hit C24:i5.GRID-3 in the head dealing 4 damage (CritChance was 0.25).
