[03:07:51	]TRL has connected.
[03:40:48	]Kirill Zapada ran 'use' on item 'Bandage Roll' (#2690534)
[03:40:48	]Kirill Zapada has performed the 'Use Bandage Roll' action, gaining 12 experience in medicine.
[03:40:48	]Kirill Zapada was bandaged by Kirill Zapada for 18 HP.
[03:40:49	]Kirill Zapada ran 'take' on item 'AKSU' (#2690535)
[03:40:49	]Kirill Zapada has gained a 'AKSU' #2690535.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:41	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:42	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:42	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:42	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:42	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:42	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:42	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:42	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:42	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:42	]Kirill Zapada has taken 1 damage from westside_backdoor.
[03:41:54	]Kirill Zapada ran 'take' on item 'Ψ' (#2390966)
[03:41:54	]Kirill Zapada has gained a 'Ψ' #2390966.
[03:41:57	]Kirill Zapada ran 'Name' on item 'Ψ' (#2390966)
[03:41:59	]Kirill Zapada ran 'Place' on item 'Ψ' (#2390966)
[03:41:59	]Kirill Zapada has lost a 'Ψ' #2390966.
[03:42:16	]Kirill Zapada ran 'use' on item 'Bandage Roll' (#2690533)
[03:42:16	]Kirill Zapada has performed the 'Use Bandage Roll' action, gaining 15 experience in medicine.
[03:42:16	]Kirill Zapada was bandaged by Kirill Zapada for 18 HP.
[03:42:16	]Kirill Zapada ran 'use' on item 'Bandage Roll' (#2690533)
[03:42:16	]Kirill Zapada has performed the 'Use Bandage Roll' action, gaining 15 experience in medicine.
[03:42:16	]Kirill Zapada was bandaged by Kirill Zapada for 18 HP.
[03:42:17	]Kirill Zapada ran 'use' on item 'Bandage Roll' (#2690533)
[03:42:17	]Kirill Zapada has performed the 'Use Bandage Roll' action, gaining 8 experience in medicine.
[03:42:17	]Kirill Zapada was bandaged by Kirill Zapada for 18 HP.
[03:42:17	]Kirill Zapada ran 'use' on item 'Bandage Roll' (#2690533)
[03:42:17	]Kirill Zapada was bandaged by Kirill Zapada for 18 HP.
[03:42:50	]Kirill Zapada ran 'Equip' on item 'AKSU' (#2690535)
[03:42:51	]Kirill Zapada ran 'EquipUn' on item 'AKSU' (#2690535)
[03:43:19	]Kirill Zapada opened the 'Medium File Cabinet' #119096 container.
[03:43:28	]Kirill Zapada closed the 'Medium File Cabinet' #119096 container.
[03:43:36	]Kirill Zapada opened the 'Medium File Cabinet' #119105 container.
[03:44:52	]Kirill Zapada has gained a 'Stitched Cloth' #2621678 from a container with the name 'Medium File Cabinet' #119105.
[03:44:53	]Kirill Zapada has gained a 'Stitched Cloth' #2621681 from a container with the name 'Medium File Cabinet' #119105.
[03:44:56	]Kirill Zapada has gained a 'Cloth Rags' #2686001 from a container with the name 'Medium File Cabinet' #119105.
[03:44:57	]Kirill Zapada has gained a 'Cloth Rags' #2634763 from a container with the name 'Medium File Cabinet' #119105.
[03:44:58	]Kirill Zapada has gained a 'Cloth Rags' #2666679 from a container with the name 'Medium File Cabinet' #119105.
[03:45:00	]Kirill Zapada has gained a 'Adhesive' #2663176 from a container with the name 'Medium File Cabinet' #119105.
[03:45:01	]Kirill Zapada has gained a 'Box of Nails' #2681300 from a container with the name 'Medium File Cabinet' #119105.
[03:45:03	]Kirill Zapada closed the 'Medium File Cabinet' #119105 container.
[03:45:11	]Kirill Zapada opened the 'Medium File Cabinet' #119105 container.
[03:45:16	]Kirill Zapada has gained a 'Wooden Board' #2666689 from a container with the name 'Medium File Cabinet' #119105.
[03:45:18	]Kirill Zapada has gained a 'Glass shards' #2673701 from a container with the name 'Medium File Cabinet' #119105.
[03:45:19	]Kirill Zapada has gained a 'Glass shards' #2634302 from a container with the name 'Medium File Cabinet' #119105.
[03:45:27	]Kirill Zapada closed the 'Medium File Cabinet' #119105 container.
[03:46:39	]Kirill Zapada used the 'Dodgy Dealer Dave' smuggler.
[03:46:41	]Kirill Zapada has gained 23 chips.
[03:46:41	]Kirill Zapada sold a 'comp_stitched_cloth' to the 'Dodgy Dealer Dave' smuggler.
[03:46:41	]Kirill Zapada has gained 23 chips.
[03:46:41	]Kirill Zapada sold a 'comp_stitched_cloth' to the 'Dodgy Dealer Dave' smuggler.
[03:46:42	]Kirill Zapada has gained 23 chips.
[03:46:42	]Kirill Zapada sold a 'comp_stitched_cloth' to the 'Dodgy Dealer Dave' smuggler.
[03:46:43	]Kirill Zapada has gained 23 chips.
[03:46:43	]Kirill Zapada sold a 'comp_stitched_cloth' to the 'Dodgy Dealer Dave' smuggler.
[03:46:43	]Kirill Zapada has gained 23 chips.
[03:46:43	]Kirill Zapada sold a 'comp_stitched_cloth' to the 'Dodgy Dealer Dave' smuggler.
[03:46:44	]Kirill Zapada has gained 23 chips.
[03:46:44	]Kirill Zapada sold a 'comp_stitched_cloth' to the 'Dodgy Dealer Dave' smuggler.
[03:46:47	]Kirill Zapada has gained 12 chips.
[03:46:47	]Kirill Zapada sold a 'comp_nails_screws' to the 'Dodgy Dealer Dave' smuggler.
[03:46:50	]Kirill Zapada has gained 10 chips.
[03:46:50	]Kirill Zapada sold a 'comp_adhesive' to the 'Dodgy Dealer Dave' smuggler.
[03:46:59	]Kirill Zapada used the 'Dodgy Dealer Dave' smuggler.
[03:52:15	]Kirill Zapada has gone afk.
[03:53:10	]Kirill Zapada is no longer afk. Total time spent AFK: 350
[03:53:56	]Kirill Zapada has hit Kirill Zapada dealing 1 damage (CritChance was 0.00).
[03:53:56	]Kirill Zapada has taken 1 damage from Kirill Zapada.
[03:53:56	]Kirill Zapada has hit Kirill Zapada dealing 2 damage (CritChance was 0.00).
[03:53:56	]Kirill Zapada has taken 2 damage from Kirill Zapada.
[03:53:56	]Kirill Zapada has hit Kirill Zapada dealing 3 damage (CritChance was 0.00).
[03:53:56	]Kirill Zapada has taken 3 damage from Kirill Zapada.
[03:53:57	]Kirill Zapada has hit Kirill Zapada dealing 4 damage (CritChance was 0.00).
[03:53:57	]Kirill Zapada has taken 4 damage from Kirill Zapada.
[03:53:57	]Kirill Zapada has hit Kirill Zapada dealing 6 damage (CritChance was 0.00).
[03:53:57	]Kirill Zapada has taken 6 damage from Kirill Zapada.
[03:53:57	]Kirill Zapada has hit Kirill Zapada dealing 7 damage (CritChance was 0.00).
[03:53:57	]Kirill Zapada has taken 7 damage from Kirill Zapada.
[03:53:58	]Kirill Zapada has hit Kirill Zapada dealing 8 damage (CritChance was 0.00).
[03:53:58	]Kirill Zapada has taken 8 damage from Kirill Zapada.
[03:53:58	]Kirill Zapada has hit Kirill Zapada dealing 9 damage (CritChance was 0.00).
[03:53:58	]Kirill Zapada has taken 9 damage from Kirill Zapada.
[03:53:58	]Kirill Zapada has hit Kirill Zapada dealing 9 damage (CritChance was 0.00).
[03:53:58	]Kirill Zapada has taken 9 damage from Kirill Zapada.
[03:53:59	]Kirill Zapada has hit Kirill Zapada dealing 9 damage (CritChance was 0.00).
[03:53:59	]Kirill Zapada has taken 9 damage from Kirill Zapada.
[03:53:59	]Kirill Zapada has hit Kirill Zapada dealing 9 damage (CritChance was 0.00).
[03:53:59	]Kirill Zapada has taken 9 damage from Kirill Zapada.
[03:53:59	]Kirill Zapada has hit Kirill Zapada dealing 9 damage (CritChance was 0.00).
[03:53:59	]Kirill Zapada has taken 9 damage from Kirill Zapada.
[03:54:00	]Kirill Zapada has hit Kirill Zapada dealing 9 damage (CritChance was 0.00).
[03:54:00	]Kirill Zapada has taken 9 damage from Kirill Zapada.
[03:54:00	]Kirill Zapada has hit Kirill Zapada dealing 9 damage (CritChance was 0.00).
[03:54:00	]Kirill Zapada has taken 9 damage from Kirill Zapada.
[03:54:00	]Kirill Zapada has hit Kirill Zapada dealing 9 damage (CritChance was 0.00).
[03:54:00	]Kirill Zapada was knocked unconscious and is bleeding out.
[03:54:02	]Kirill Zapada used command '/CharGetUp'.
[03:54:04	]Kirill Zapada used command '/CharGetUp'.
[03:54:05	]Kirill Zapada used command '/CharGetUp'.
[03:54:08	]Kirill Zapada used command '/CharGetUp'.
[03:54:09	]Kirill Zapada used command '/CharGetUp'.
[03:54:35	]Kirill Zapada used command '/CharGetUp'.
[03:54:44	]TRL (STEAM_0:0:128354744) has disconnected.
[04:09:20	]Goulashnikov has connected.
[04:09:52	]Goulashnikov loaded the character 'Joseph Hailburg'
[04:15:22	]Joseph Hailburg has gone afk.
[04:18:37	]Joseph Hailburg is no longer afk. Total time spent AFK: 490
[04:27:06	]Goulashnikov (STEAM_0:1:37693714) has disconnected.
[04:32:26	]Goulashnikov has connected.
[04:33:29	]Goulashnikov loaded the character 'Joseph Hailburg'
[04:50:37	]Goulashnikov (STEAM_0:1:37693714) has disconnected.
[06:37:54	]Divine has connected.
[06:41:01	]Divine (STEAM_0:0:63629212) deleted character 'Grobnobbler'
[06:41:44	]Divine created the character 'C17:RCT.YELLO-60'
[06:41:44	]Divine has gained level 5 in the Guns skill.
[06:41:44	]Divine has gained level 10 in the Speed skill.
[06:41:44	]Divine loaded the character 'C17:RCT.YELLO-60'
[06:41:44	]C17:RCT.YELLO-60 has gained a '#07134's Identity Card' #2693240.
[06:41:44	]C17:RCT.YELLO-60 has gained a 'Combine PDA' #2693241.
[06:41:44	]C17:RCT.YELLO-60 has gained a 'Light Functionary Uniform' #2693242.
[06:41:44	]C17:RCT.YELLO-60 has gained a 'PMG-5 (AUG) Gasmask' #2693243.
[06:41:44	]C17:RCT.YELLO-60 has gained a 'Small Bag' #2693244.
[06:41:44	]C17:RCT.YELLO-60 has gained a 'Large Bag' #2693245.
[06:42:20	]C17:RCT.YELLO-60 has changed C17:RCT.YELLO-60's bodygroups.
[06:48:19	]C17:RCT.YELLO-60 has changed C17:RCT.YELLO-60's bodygroups.
[06:48:29	]C17:RCT.YELLO-60 has changed C17:RCT.YELLO-60's bodygroups.
[06:48:35	]C17:RCT.YELLO-60 has changed C17:RCT.YELLO-60's bodygroups.
[06:48:54	]C17:RCT.YELLO-60 has changed C17:RCT.YELLO-60's bodygroups.
[06:49:04	]Divine (STEAM_0:0:63629212) deleted character 'C17:RCT.YELLO-60'
[06:52:25	]Divine created the character 'asdasdads'
[06:52:25	]Divine loaded the character 'asdasdads'
[06:52:25	]asdasdads has gained a 'Flashlight' #2693246.
[06:52:25	]asdasdads has gained a 'Black Armband' #2693247.
[06:52:25	]asdasdads has gained a '#59329's Identity Card' #2693248.
[06:52:25	]asdasdads has gained a 'Civilian Jumpsuit' #2693249.
[06:52:25	]asdasdads has gained a 'Jumpsuit Trousers' #2693250.
[06:52:25	]asdasdads has gained a 'Worn Brown Shoes' #2693251.
[06:52:50	]Divine (STEAM_0:0:63629212) deleted character 'asdasdads'
[06:53:11	]Divine created the character 'C17:RCT.YELLO-60'
[06:53:11	]Divine has gained level 5 in the Guns skill.
[06:53:11	]Divine has gained level 10 in the Speed skill.
[06:53:12	]C17:RCT.YELLO-60 has gained a '#11739's Identity Card' #2693252.
[06:53:12	]C17:RCT.YELLO-60 has gained a 'Combine PDA' #2693253.
[06:53:12	]C17:RCT.YELLO-60 has gained a 'Light Functionary Uniform' #2693254.
[06:53:12	]Divine loaded the character 'C17:RCT.YELLO-60'
[06:53:12	]C17:RCT.YELLO-60 has gained a 'PMG-5 (AUG) Gasmask' #2693255.
[06:53:12	]C17:RCT.YELLO-60 has gained a 'Small Bag' #2693256.
[06:53:12	]C17:RCT.YELLO-60 has gained a 'Large Bag' #2693257.
[06:53:38	]C17:RCT.YELLO-60 opened the 'Trash Bin' #111885 container.
[06:53:43	]C17:RCT.YELLO-60 has transferred a 'Light Functionary Uniform' #2693254 to a container with the name 'Trash Bin' #111885.
[06:53:45	]C17:RCT.YELLO-60 closed the 'Trash Bin' #111885 container.
[06:53:50	]Divine (STEAM_0:0:63629212) deleted character 'C17:RCT.YELLO-60'
[06:54:47	]Divine created the character 'John Testerton'
[06:54:47	]Divine loaded the character 'John Testerton'
[06:54:47	]John Testerton has gained a 'Flashlight' #2693258.
[06:54:47	]John Testerton has gained a 'Black Armband' #2693259.
[06:54:47	]John Testerton has gained a '#63938's Identity Card' #2693260.
[06:54:47	]John Testerton has gained a 'Civilian Jumpsuit' #2693261.
[06:54:47	]John Testerton has gained a 'Jumpsuit Trousers' #2693262.
[06:54:47	]John Testerton has gained a 'Worn Brown Shoes' #2693263.
[06:55:16	]John Testerton opened the 'Trash Bin' #111885 container.
[06:55:23	]John Testerton closed the 'Trash Bin' #111885 container.
[06:55:33	]John Testerton ran 'ViewAlt' on item 'Suitcase' (#2307706)
[06:55:42	]John Testerton used the 'John Doe' vendor.
[06:55:50	]John Testerton ran 'take' on item 'PMG-5 (AUG) Gasmask' (#2611100)
[06:55:50	]John Testerton has gained a 'PMG-5 (AUG) Gasmask' #2611100.
[06:55:52	]John Testerton ran 'take' on item 'Makeshift P90' (#2690714)
[06:55:52	]John Testerton has gained a 'Makeshift P90' #2690714.
[06:55:55	]John Testerton ran 'drop' on item 'Makeshift P90' (#2690714)
[06:55:55	]John Testerton has lost a 'Makeshift P90' #2690714.
[06:56:06	]John Testerton ran 'take' on item 'MP7A1' (#2690984)
[06:56:06	]John Testerton has gained a 'MP7A1' #2690984.
[06:56:07	]John Testerton ran 'Equip' on item 'MP7A1' (#2690984)
[06:56:14	]John Testerton ran 'drop' on item 'MP7A1' (#2690984)
[06:56:14	]John Testerton has lost a 'MP7A1' #2690984.
[06:56:16	]John Testerton used the 'John Doe' vendor.
[06:56:19	]John Testerton has gained 0 chips.
[06:56:19	]John Testerton has gained a 'MP5A3' #2693264.
[06:56:21	]John Testerton ran 'Equip' on item 'MP5A3' (#2693264)
[06:56:25	]John Testerton ran 'EquipUn' on item 'MP5A3' (#2693264)
[06:56:26	]John Testerton ran 'drop' on item 'MP5A3' (#2693264)
[06:56:26	]John Testerton has lost a 'MP5A3' #2693264.
[06:56:27	]John Testerton used the 'John Doe' vendor.
[06:56:46	]John Testerton has gained 0 chips.
[06:56:46	]John Testerton has gained a 'Spas-12' #2693265.
[06:56:48	]John Testerton ran 'Equip' on item 'Spas-12' (#2693265)
[06:56:53	]John Testerton ran 'EquipUn' on item 'Spas-12' (#2693265)
[06:56:54	]John Testerton ran 'drop' on item 'Spas-12' (#2693265)
[06:56:54	]John Testerton has lost a 'Spas-12' #2693265.
[06:56:55	]John Testerton used the 'John Doe' vendor.
[06:57:00	]John Testerton ran 'take' on item 'AKM' (#2690717)
[06:57:00	]John Testerton has gained a 'AKM' #2690717.
[06:57:04	]John Testerton ran 'Equip' on item 'AKM' (#2690717)
[06:57:16	]John Testerton used command '/ToggleRaise'.
[06:57:18	]John Testerton used command '/ToggleRaise'.
[06:57:30	]John Testerton ran 'EquipUn' on item 'AKM' (#2690717)
[06:57:30	]John Testerton ran 'drop' on item 'AKM' (#2690717)
[06:57:30	]John Testerton has lost a 'AKM' #2690717.
[06:57:33	]John Testerton used the 'John Doe' vendor.
[06:57:50	]John Testerton has gained 0 chips.
[06:57:50	]John Testerton has gained a 'Glock 17' #2693266.
[06:57:52	]John Testerton ran 'Equip' on item 'Glock 17' (#2693266)
[06:57:57	]John Testerton ran 'drop' on item 'Glock 17' (#2693266)
[06:57:57	]John Testerton has lost a 'Glock 17' #2693266.
[06:57:59	]John Testerton used the 'John Doe' vendor.
[06:58:02	]John Testerton has gained 0 chips.
[06:58:02	]John Testerton has gained a 'HK USP .45' #2693267.
[06:58:04	]John Testerton ran 'Equip' on item 'HK USP .45' (#2693267)
[06:58:15	]John Testerton used command '/ToggleRaise'.
[06:58:18	]John Testerton used command '/ToggleRaise'.
[06:59:13	]John Testerton ran 'take' on item 'Overwatch Standard-Issue Pulse Rifle' (#2693167)
[06:59:13	]John Testerton has gained a 'Overwatch Standard-Issue Pulse Rifle' #2693167.
[06:59:15	]John Testerton ran 'Equip' on item 'Overwatch Standard-Issue Pulse Rifle' (#2693167)
[06:59:26	]John Testerton ran 'EquipUn' on item 'Overwatch Standard-Issue Pulse Rifle' (#2693167)
[06:59:27	]John Testerton ran 'drop' on item 'Overwatch Standard-Issue Pulse Rifle' (#2693167)
[06:59:27	]John Testerton has lost a 'Overwatch Standard-Issue Pulse Rifle' #2693167.
[06:59:29	]John Testerton ran 'take' on item 'M16A2' (#2693177)
[06:59:29	]John Testerton has gained a 'M16A2' #2693177.
[06:59:31	]John Testerton ran 'Equip' on item 'M16A2' (#2693177)
[06:59:34	]John Testerton ran 'drop' on item 'M16A2' (#2693177)
[06:59:34	]John Testerton has lost a 'M16A2' #2693177.
[06:59:43	]John Testerton opened the 'Dumpster' #117026 container.
[06:59:45	]John Testerton closed the 'Dumpster' #117026 container.
[06:59:47	]John Testerton opened the 'Trash Bin' #102565 container.
[06:59:47	]John Testerton closed the 'Trash Bin' #102565 container.
[07:01:35	]John Testerton opened the 'Trash Bin' #111885 container.
[07:01:42	]John Testerton closed the 'Trash Bin' #111885 container.
[07:01:49	]John Testerton ran 'take' on item 'Suitcase' (#2307706)
[07:01:49	]John Testerton has gained a 'Suitcase' #2307706.
[07:01:49	]John Testerton has gained a 'Brown Jumpsuit Trousers' #2522067.
[07:01:49	]John Testerton has gained a 'Brown Jumpsuit' #2521267.
[07:01:52	]John Testerton ran 'Equip' on item 'Suitcase' (#2307706)
[07:01:56	]John Testerton used command '/ToggleRaise'.
[07:01:58	]John Testerton opened the 'Trash Bin' #111885 container.
[07:02:18	]John Testerton ran 'EquipUn' on item 'Suitcase' (#2307706)
[07:02:18	]John Testerton closed the 'Trash Bin' #111885 container.
[07:02:20	]John Testerton ran 'drop' on item 'Suitcase' (#2307706)
[07:02:20	]John Testerton has lost a 'Suitcase' #2307706.
[07:02:20	]John Testerton has lost a 'Brown Jumpsuit Trousers' #2522067.
[07:02:20	]John Testerton has lost a 'Brown Jumpsuit' #2521267.
[07:02:23	]John Testerton ran 'ViewAlt' on item 'Suitcase' (#2307706)
[07:02:25	]John Testerton opened the 'Trash Bin' #111885 container.
[07:02:26	]John Testerton closed the 'Trash Bin' #111885 container.
[07:02:35	]Divine loaded the character 'pc divine'
[07:02:40	]pc divine is fully healed.
[07:03:04	][IC] pc divine: <:: 10-0, 10-0; viscerator is hunting!. ::>
[07:03:11	]Divine loaded the character 'S10/OWS.SWIFT-37'
[07:03:16	]S10/OWS.SWIFT-37 is fully healed.
[07:03:49	]S10/OWS.SWIFT-37 ran 'Place' on item 'Breaching Charge' (#2621044)
[07:03:51	]S10/OWS.SWIFT-37 ran 'Place' on item 'Breaching Charge' (#2621044)
[07:03:55	]S10/OWS.SWIFT-37 ran 'Place' on item 'Breaching Charge' (#2621044)
[07:04:01	]S10/OWS.SWIFT-37 has taken 100 damage from env_explosion.
[07:04:17	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:17	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:17	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:17	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:17	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:17	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:17	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 has taken 1 damage from alley_elevator1.
[07:04:18	]S10/OWS.SWIFT-37 was knocked unconscious and is bleeding out.
[07:04:35	]S10/OWS.SWIFT-37 was just killed due to: accepting their death
[07:04:49	]Divine (STEAM_0:0:63629212) deleted character 'John Testerton'
[07:04:59	]Divine created the character 'C17:RCT.YELLO-87'
[07:04:59	]S10/OWS.SWIFT-37 has gained level 5 in the Guns skill.
[07:04:59	]S10/OWS.SWIFT-37 has gained level 10 in the Speed skill.
[07:05:00	]Divine loaded the character 'C17:RCT.YELLO-87'
[07:05:00	]C17:RCT.YELLO-87 has gained a '#16352's Identity Card' #2693268.
[07:05:00	]C17:RCT.YELLO-87 has gained a 'Combine PDA' #2693269.
[07:05:00	]C17:RCT.YELLO-87 has gained a 'Light Functionary Uniform' #2693270.
[07:05:00	]C17:RCT.YELLO-87 has gained a 'PMG-5 (AUG) Gasmask' #2693271.
[07:05:00	]C17:RCT.YELLO-87 has gained a 'Small Bag' #2693272.
[07:05:00	]C17:RCT.YELLO-87 has gained a 'Large Bag' #2693273.
[07:05:52	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:52	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:52	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:53	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
[07:05:54	]C17:RCT.YELLO-87 has taken 1 damage from alley_elevator1.
