[23:43:18	]reece has connected.
[23:54:30	]fwafgawawf used command '/ToggleRaise'.
[23:54:31	]fwafgawawf used command '/ToggleRaise'.
[23:54:43	]fwafgawawf used command '/PlyWhitelist f Vortigaunt'.
[23:54:50	]fwafgawawf used command '/ToggleRaise'.
[23:54:50	]fwafgawawf used command '/ToggleRaise'.
[23:54:57	]fwafgawawf used command '/PlyWhitelist f Civil Protection'.
[23:55:01	]fwafgawawf entered observer.
[23:55:01	]fwafgawawf exited observer at their location.
[23:55:23	]reece created the character 'C17:RCT.YELLO-09'
[23:55:23	]fwafgawawf has gained level 5 in the Guns skill.
[23:55:23	]fwafgawawf has gained level 10 in the Speed skill.
[23:55:23	]reece loaded the character 'C17:RCT.YELLO-09'
[23:55:23	]C17:RCT.YELLO-09 has gained a '#16494's Identity Card' #161.
[23:55:23	]C17:RCT.YELLO-09 has gained a 'Combine PDA' #162.
[23:55:23	]C17:RCT.YELLO-09 has gained a 'CP Uniform' #163.
[23:55:23	]C17:RCT.YELLO-09 has gained a 'CP Mask' #164.
[23:55:23	]C17:RCT.YELLO-09 has gained a 'Handheld Radio' #165.
[23:55:23	]C17:RCT.YELLO-09 has gained a 'Small Bag' #166.
[23:55:23	]C17:RCT.YELLO-09 has gained a 'Large Bag' #167.
[23:55:54	]C17:RCT.YELLO-09 ran 'take' on item '9mm Pistol Bullets' (#160)
[23:55:54	]C17:RCT.YELLO-09 has gained a '9mm Pistol Bullets' #160.
[23:55:57	]C17:RCT.YELLO-09 ran 'take' on item 'Data-Disc' (#137)
[23:55:57	]C17:RCT.YELLO-09 has gained a 'Data-Disc' #137.
[23:56:00	]C17:RCT.YELLO-09 ran 'drop' on item '#16494's Identity Card' (#161)
[23:56:00	]C17:RCT.YELLO-09 has lost a '#16494's Identity Card' #161.
[23:56:12	]C17:RCT.YELLO-09 ran 'take' on item '#16494's Identity Card' (#161)
[23:56:12	]C17:RCT.YELLO-09 has gained a '#16494's Identity Card' #161.
[23:56:23	]C17:RCT.YELLO-09 ran 'drop' on item '#16494's Identity Card' (#161)
[23:56:23	]C17:RCT.YELLO-09 has lost a '#16494's Identity Card' #161.
[23:56:34	]C17:RCT.YELLO-09 ran 'take' on item '#16494's Identity Card' (#161)
[23:56:34	]C17:RCT.YELLO-09 has gained a '#16494's Identity Card' #161.
[23:56:55	]C17:RCT.YELLO-09 ran 'take' on item 'Data-Disc' (#77)
[23:56:55	]C17:RCT.YELLO-09 has gained a 'Data-Disc' #77.
[23:56:57	]C17:RCT.YELLO-09 ran 'drop' on item 'Data-Disc' (#77)
[23:56:57	]C17:RCT.YELLO-09 has lost a 'Data-Disc' #77.
[23:57:08	]C17:RCT.YELLO-09 ran 'take' on item 'Combine Battery' (#80)
[23:57:08	]C17:RCT.YELLO-09 has gained a 'Combine Battery' #80.
[23:57:10	]C17:RCT.YELLO-09 ran 'drop' on item 'Combine Battery' (#80)
[23:57:10	]C17:RCT.YELLO-09 has lost a 'Combine Battery' #80.
[23:57:19	]C17:RCT.YELLO-09 ran 'SetFullCharge' on item 'Combine Battery' (#80)
[23:57:36	]C17:RCT.YELLO-09 has spawned a junk_empty_bobwater.
[23:57:58	]C17:RCT.YELLO-09 has spawned a combinebattery.
[23:58:00	]C17:RCT.YELLO-09 ran 'SetFullCharge' on item 'Combine Battery' (#169)
[23:58:05	]env_entity_dissolver destroyed a 'Empty Bob Water' #168.
[23:58:08	]entityflame destroyed a 'Combine Battery' #169.
[23:58:11	]C17:RCT.YELLO-09 has spawned a combinebattery.
[23:58:16	]C17:RCT.YELLO-09 has spawned a baseballbat.
[23:58:20	]env_entity_dissolver destroyed a 'Baseball Bat' #171.
[23:58:30	]C17:RCT.YELLO-09 used command '/ToggleRaise'.
[23:58:31	]C17:RCT.YELLO-09 used command '/ToggleRaise'.
[23:58:39	]C17:RCT.YELLO-09 used command '/ToggleRaise'.
[23:58:43	]C17:RCT.YELLO-09 used command '/CharGiveFlag Y pet'.
[23:59:36	]C17:RCT.YELLO-09 ran 'take' on item 'Resin' (#172)
[23:59:36	]C17:RCT.YELLO-09 has gained a 'Resin' #172.
[23:59:58	]C17:RCT.YELLO-09 ran 'take' on item 'Resin' (#173)
[23:59:58	]C17:RCT.YELLO-09 has gained a 'Resin' #173.
