[11:59:25	]Rabithunter has connected.
[12:07:54	]asdasdas ran 'fill' on item 'Water Bucket' (#653)
[12:07:55	]asdasdas ran 'fill' on item 'Water Bucket' (#651)
[12:07:56	]asdasdas ran 'fill' on item 'Water Bucket' (#651)
[12:07:57	]asdasdas ran 'fill' on item 'Water Bucket' (#651)
[12:07:59	]asdasdas ran 'fill' on item 'Water Bucket' (#651)
[12:08:00	]asdasdas ran 'fill' on item 'Water Bucket' (#654)
[12:08:01	]asdasdas ran 'fill' on item 'Water Bucket' (#654)
[12:08:02	]asdasdas ran 'fill' on item 'Water Bucket' (#654)
[12:08:04	]asdasdas ran 'fill' on item 'Water Bucket' (#654)
[12:08:06	]asdasdas ran 'fill' on item 'Water Bucket' (#652)
[12:08:07	]asdasdas ran 'fill' on item 'Water Bucket' (#652)
[12:08:08	]asdasdas ran 'fill' on item 'Water Bucket' (#652)
[12:08:09	]asdasdas ran 'fill' on item 'Water Bucket' (#652)
[12:08:12	]asdasdas has given himself a advanced_fertilizer.
[12:08:12	]asdasdas has gained a 'Advanced Fertilizer' #655.
[12:08:13	]asdasdas has given himself a advanced_fertilizer.
[12:08:13	]asdasdas has gained a 'Advanced Fertilizer' #656.
[12:08:13	]asdasdas has given himself a advanced_fertilizer.
[12:08:13	]asdasdas has gained a 'Advanced Fertilizer' #657.
[12:08:14	]asdasdas has given himself a advanced_fertilizer.
[12:08:14	]asdasdas has gained a 'Advanced Fertilizer' #658.
[12:08:18	]asdasdas has given himself a advanced_fertilizer.
[12:08:18	]asdasdas has gained a 'Advanced Fertilizer' #659.
[12:08:30	]asdasdas ran 'Water' on item 'Water Bucket' (#626)
[12:08:31	]asdasdas ran 'Water' on item 'Water Bucket' (#626)
[12:08:32	]asdasdas ran 'Water' on item 'Water Bucket' (#626)
[12:08:33	]asdasdas ran 'Water' on item 'Water Bucket' (#626)
[12:08:35	]asdasdas ran 'Water' on item 'Advanced Fertilizer' (#655)
[12:08:45	]asdasdas ran 'Water' on item 'Water Bucket' (#625)
[12:08:46	]asdasdas ran 'Water' on item 'Water Bucket' (#625)
[12:08:47	]asdasdas ran 'Water' on item 'Water Bucket' (#625)
[12:08:48	]asdasdas ran 'Water' on item 'Water Bucket' (#625)
[12:08:49	]asdasdas ran 'Water' on item 'Advanced Fertilizer' (#656)
[12:08:55	]asdasdas ran 'Water' on item 'Water Bucket' (#650)
[12:08:56	]asdasdas ran 'Water' on item 'Water Bucket' (#650)
[12:08:57	]asdasdas ran 'Water' on item 'Water Bucket' (#650)
[12:08:58	]asdasdas ran 'Water' on item 'Water Bucket' (#650)
[12:09:00	]asdasdas ran 'Water' on item 'Advanced Fertilizer' (#657)
[12:09:15	]asdasdas ran 'Water' on item 'Water Bucket' (#651)
[12:09:16	]asdasdas ran 'Water' on item 'Water Bucket' (#651)
[12:09:17	]asdasdas ran 'Water' on item 'Water Bucket' (#651)
[12:09:19	]asdasdas ran 'Water' on item 'Water Bucket' (#651)
[12:09:20	]asdasdas ran 'Water' on item 'Advanced Fertilizer' (#658)
[12:09:43	]asdasdas ran 'Water' on item 'Water Bucket' (#651)
[12:09:48	]asdasdas ran 'Water' on item 'Water Bucket' (#653)
[12:09:49	]asdasdas ran 'Water' on item 'Water Bucket' (#653)
[12:09:50	]asdasdas ran 'Water' on item 'Water Bucket' (#653)
[12:09:51	]asdasdas ran 'Water' on item 'Water Bucket' (#653)
[12:09:53	]asdasdas ran 'Water' on item 'Advanced Fertilizer' (#659)
[12:09:59	]asdasdas ran 'Water' on item 'Water Bucket' (#654)
[12:10:01	]asdasdas ran 'Water' on item 'Water Bucket' (#654)
[12:10:02	]asdasdas ran 'Water' on item 'Water Bucket' (#654)
[12:10:03	]asdasdas ran 'Water' on item 'Water Bucket' (#654)
[12:10:04	]asdasdas ran 'Water' on item 'Advanced Fertilizer' (#645)
[12:10:12	]asdasdas ran 'Water' on item 'Water Bucket' (#652)
[12:10:13	]asdasdas ran 'Water' on item 'Water Bucket' (#652)
[12:10:14	]asdasdas ran 'Water' on item 'Water Bucket' (#652)
[12:10:15	]asdasdas ran 'Water' on item 'Water Bucket' (#652)
[12:10:16	]asdasdas ran 'Water' on item 'Advanced Fertilizer' (#646)
[12:10:24	]asdasdas ran 'fill' on item 'Water Bucket' (#626)
[12:10:25	]asdasdas ran 'fill' on item 'Water Bucket' (#626)
[12:10:26	]asdasdas ran 'fill' on item 'Water Bucket' (#626)
[12:10:27	]asdasdas ran 'fill' on item 'Water Bucket' (#626)
[12:10:28	]asdasdas ran 'fill' on item 'Water Bucket' (#625)
[12:10:29	]asdasdas ran 'fill' on item 'Water Bucket' (#625)
[12:10:30	]asdasdas ran 'fill' on item 'Water Bucket' (#625)
[12:10:31	]asdasdas ran 'fill' on item 'Water Bucket' (#625)
[12:10:32	]asdasdas ran 'fill' on item 'Water Bucket' (#650)
[12:10:33	]asdasdas ran 'fill' on item 'Water Bucket' (#650)
[12:10:34	]asdasdas ran 'fill' on item 'Water Bucket' (#650)
[12:10:35	]asdasdas ran 'fill' on item 'Water Bucket' (#650)
[12:10:45	]asdasdas ran 'Water' on item 'Water Bucket' (#626)
[12:10:47	]asdasdas ran 'Water' on item 'Water Bucket' (#626)
[12:10:48	]asdasdas ran 'Water' on item 'Water Bucket' (#626)
[12:10:50	]asdasdas ran 'Water' on item 'Water Bucket' (#626)
[12:10:53	]asdasdas ran 'Water' on item 'Advanced Fertilizer' (#647)
[12:10:58	]asdasdas ran 'Water' on item 'Water Bucket' (#625)
[12:10:59	]asdasdas ran 'Water' on item 'Water Bucket' (#625)
[12:11:00	]asdasdas ran 'Water' on item 'Water Bucket' (#625)
[12:11:01	]asdasdas ran 'Water' on item 'Water Bucket' (#625)
[12:11:03	]asdasdas ran 'Water' on item 'Advanced Fertilizer' (#648)
[12:11:09	]asdasdas ran 'Water' on item 'Water Bucket' (#650)
[12:11:10	]asdasdas ran 'Water' on item 'Water Bucket' (#650)
[12:11:11	]asdasdas ran 'Water' on item 'Water Bucket' (#650)
[12:11:12	]asdasdas ran 'Water' on item 'Water Bucket' (#650)
[12:11:14	]asdasdas ran 'Water' on item 'Advanced Fertilizer' (#649)
[12:11:25	]asdasdas ran 'drop' on item 'Water Bucket' (#653)
[12:11:25	]asdasdas has lost a 'Water Bucket' #653.
[12:11:26	]asdasdas ran 'drop' on item 'Water Bucket' (#650)
[12:11:26	]asdasdas has lost a 'Water Bucket' #650.
[12:11:26	]asdasdas ran 'drop' on item 'Water Bucket' (#625)
[12:11:26	]asdasdas has lost a 'Water Bucket' #625.
[12:11:27	]asdasdas ran 'drop' on item 'Water Bucket' (#651)
[12:11:27	]asdasdas has lost a 'Water Bucket' #651.
[12:11:27	]asdasdas ran 'drop' on item 'Water Bucket' (#626)
[12:11:27	]asdasdas has lost a 'Water Bucket' #626.
[12:11:28	]asdasdas ran 'drop' on item 'Water Bucket' (#652)
[12:11:28	]asdasdas has lost a 'Water Bucket' #652.
[12:11:29	]asdasdas ran 'drop' on item 'Water Bucket' (#654)
[12:11:29	]asdasdas has lost a 'Water Bucket' #654.
[12:11:32	]asdasdas has fired a toolgun with the name: remover
[12:11:32	]asdasdas has fired a toolgun with the name: remover
[12:11:32	]asdasdas has fired a toolgun with the name: remover
[12:11:33	]asdasdas has fired a toolgun with the name: remover
[12:11:33	]asdasdas has fired a toolgun with the name: remover
[12:11:33	]asdasdas has fired a toolgun with the name: remover
[12:11:34	]asdasdas has fired a toolgun with the name: remover
[12:11:34	]asdasdas has fired a toolgun with the name: remover
[12:11:34	]asdasdas has fired a toolgun with the name: remover
[12:13:34	]asdasdas has spawned a 'Entity [221][ix_fabricator]'.
[12:13:37	]asdasdas has spawned a 'Entity [222][ix_fabricator]'.
[12:13:39	]asdasdas has spawned a 'Entity [223][ix_fabricator]'.
[12:13:42	]asdasdas has spawned a 'Entity [224][ix_fabricator]'.
[12:14:17	]asdasdas has spawned 'models/props_wasteland/controlroom_storagecloset001b.mdl'.
[12:14:28	]asdasdas has fired a toolgun with the name: stacker_improved
[12:14:28	]asdasdas has spawned 'models/props_wasteland/controlroom_storagecloset001b.mdl'.
[12:14:29	]asdasdas has fired a toolgun with the name: stacker_improved
[12:14:29	]asdasdas has spawned 'models/props_wasteland/controlroom_storagecloset001b.mdl'.
[12:14:29	]asdasdas has fired a toolgun with the name: stacker_improved
[12:14:29	]asdasdas has spawned 'models/props_wasteland/controlroom_storagecloset001b.mdl'.
[12:14:30	]asdasdas has fired a toolgun with the name: stacker_improved
[12:14:30	]asdasdas has spawned 'models/props_wasteland/controlroom_storagecloset001b.mdl'.
[12:14:30	]asdasdas has fired a toolgun with the name: stacker_improved
[12:14:30	]asdasdas has spawned 'models/props_wasteland/controlroom_storagecloset001b.mdl'.
[12:14:31	]asdasdas has fired a toolgun with the name: stacker_improved
[12:14:31	]asdasdas has spawned 'models/props_wasteland/controlroom_storagecloset001b.mdl'.
[12:14:34	]asdasdas created a 'Large Metal Cabinet' container.
[12:14:34	]asdasdas has used a context menu option with the name: wncontainer_create
[12:14:36	]asdasdas created a 'Large Metal Cabinet' container.
[12:14:36	]asdasdas has used a context menu option with the name: wncontainer_create
[12:14:37	]asdasdas created a 'Large Metal Cabinet' container.
[12:14:37	]asdasdas has used a context menu option with the name: wncontainer_create
[12:14:38	]asdasdas created a 'Large Metal Cabinet' container.
[12:14:38	]asdasdas has used a context menu option with the name: wncontainer_create
[12:14:41	]asdasdas created a 'Large Metal Cabinet' container.
[12:14:41	]asdasdas has used a context menu option with the name: wncontainer_create
[12:14:42	]asdasdas created a 'Large Metal Cabinet' container.
[12:14:42	]asdasdas has used a context menu option with the name: wncontainer_create
[12:14:43	]asdasdas created a 'Large Metal Cabinet' container.
[12:14:43	]asdasdas has used a context menu option with the name: wncontainer_create
[12:14:47	]asdasdas ran 'drop' on item '15 Credits Coupon' (#494)
[12:14:47	]asdasdas has lost a '15 Credits Coupon' #494.
[12:14:47	]asdasdas ran 'drop' on item 'Breen's Water' (#493)
[12:14:47	]asdasdas has lost a 'Breen's Water' #493.
[12:14:48	]asdasdas ran 'drop' on item '#22713's Identity Card' (#487)
[12:14:48	]asdasdas has lost a '#22713's Identity Card' #487.
[12:14:48	]asdasdas ran 'drop' on item 'Light Grey Armband' (#486)
[12:14:48	]asdasdas has lost a 'Light Grey Armband' #486.
[12:14:49	]asdasdas ran 'drop' on item 'Spoiled Artificial Paste' (#492)
[12:14:49	]asdasdas has lost a 'Spoiled Artificial Paste' #492.
[12:14:49	]asdasdas ran 'drop' on item 'Flashlight' (#485)
[12:14:49	]asdasdas has lost a 'Flashlight' #485.
[12:14:51	]asdasdas ran 'drop' on item 'Combine PDA' (#495)
[12:14:51	]asdasdas has lost a 'Combine PDA' #495.
[12:14:55	]asdasdas has fired a toolgun with the name: remover
[12:14:56	]asdasdas has fired a toolgun with the name: remover
[12:14:56	]asdasdas has fired a toolgun with the name: remover
[12:14:56	]asdasdas has fired a toolgun with the name: remover
[12:14:56	]asdasdas has fired a toolgun with the name: remover
[12:14:57	]asdasdas has fired a toolgun with the name: remover
[12:14:57	]asdasdas has fired a toolgun with the name: remover
[12:14:58	]asdasdas has fired a toolgun with the name: remover
[12:14:58	]asdasdas has fired a toolgun with the name: remover
[12:14:59	]asdasdas has fired a toolgun with the name: remover
[12:14:59	]asdasdas has fired a toolgun with the name: remover
[12:15:20	]asdasdas has spawned a file_box.
[12:15:23	]asdasdas ran 'take' on item 'File Box' (#660)
[12:15:23	]asdasdas has gained a 'File Box' #660.
[12:15:25	]asdasdas ran 'Place' on item 'File Box' (#660)
[12:15:48	]asdasdas ran 'drop' on item 'File Box' (#660)
[12:15:48	]asdasdas has lost a 'File Box' #660.
[12:15:50	]asdasdas has used a context menu option with the name: remove
[12:16:15	]asdasdas used command '/CharGiveItem asd combinebattery 24'.
[12:16:15	]asdasdas has gained a 'Combine Battery' #661.
[12:16:15	]asdasdas has gained a 'Combine Battery' #662.
[12:16:15	]asdasdas has gained a 'Combine Battery' #663.
[12:16:15	]asdasdas has gained a 'Combine Battery' #664.
[12:16:15	]asdasdas has gained a 'Combine Battery' #665.
[12:16:15	]asdasdas has gained a 'Combine Battery' #666.
[12:16:15	]asdasdas has gained a 'Combine Battery' #667.
[12:16:15	]asdasdas has gained a 'Combine Battery' #668.
[12:16:15	]asdasdas has gained a 'Combine Battery' #669.
[12:16:15	]asdasdas has gained a 'Combine Battery' #670.
[12:16:15	]asdasdas has gained a 'Combine Battery' #671.
[12:16:15	]asdasdas has gained a 'Combine Battery' #672.
[12:16:15	]asdasdas has gained a 'Combine Battery' #673.
[12:16:15	]asdasdas has gained a 'Combine Battery' #674.
[12:16:15	]asdasdas has gained a 'Combine Battery' #675.
[12:16:15	]asdasdas has gained a 'Combine Battery' #676.
[12:16:15	]asdasdas has gained a 'Combine Battery' #677.
[12:16:15	]asdasdas has gained a 'Combine Battery' #678.
[12:16:15	]asdasdas has gained a 'Combine Battery' #679.
[12:16:15	]asdasdas has gained a 'Combine Battery' #680.
[12:16:15	]asdasdas has gained a 'Combine Battery' #681.
[12:16:15	]asdasdas has gained a 'Combine Battery' #682.
[12:16:15	]asdasdas has gained a 'Combine Battery' #683.
[12:16:15	]asdasdas has gained a 'Combine Battery' #684.
[12:16:17	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#684)
[12:16:18	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#678)
[12:16:19	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#672)
[12:16:20	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#666)
[12:16:21	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#665)
[12:16:22	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#671)
[12:16:23	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#677)
[12:16:23	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#683)
[12:16:24	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#682)
[12:16:25	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#676)
[12:16:26	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#670)
[12:16:27	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#664)
[12:16:27	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#663)
[12:16:28	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#669)
[12:16:29	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#675)
[12:16:30	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#681)
[12:16:31	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#680)
[12:16:32	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#674)
[12:16:33	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#668)
[12:16:33	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#662)
[12:16:34	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#661)
[12:16:35	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#667)
[12:16:36	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#673)
[12:16:37	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#679)
[12:16:42	]asdasdas opened the 'Large Metal Cabinet' #170 container.
[12:16:43	]asdasdas has transferred a 'Combine Battery' #684 to a container with the name 'Large Metal Cabinet' #170.
[12:16:43	]asdasdas has transferred a 'Combine Battery' #678 to a container with the name 'Large Metal Cabinet' #170.
[12:16:44	]asdasdas has transferred a 'Combine Battery' #672 to a container with the name 'Large Metal Cabinet' #170.
[12:16:44	]asdasdas has transferred a 'Combine Battery' #666 to a container with the name 'Large Metal Cabinet' #170.
[12:16:44	]asdasdas has transferred a 'Combine Battery' #665 to a container with the name 'Large Metal Cabinet' #170.
[12:16:44	]asdasdas has transferred a 'Combine Battery' #671 to a container with the name 'Large Metal Cabinet' #170.
[12:16:45	]asdasdas has transferred a 'Combine Battery' #677 to a container with the name 'Large Metal Cabinet' #170.
[12:16:45	]asdasdas has transferred a 'Combine Battery' #683 to a container with the name 'Large Metal Cabinet' #170.
[12:16:45	]asdasdas has transferred a 'Combine Battery' #682 to a container with the name 'Large Metal Cabinet' #170.
[12:16:46	]asdasdas has transferred a 'Combine Battery' #676 to a container with the name 'Large Metal Cabinet' #170.
[12:16:46	]asdasdas has transferred a 'Combine Battery' #670 to a container with the name 'Large Metal Cabinet' #170.
[12:16:46	]asdasdas has transferred a 'Combine Battery' #664 to a container with the name 'Large Metal Cabinet' #170.
[12:16:47	]asdasdas has transferred a 'Combine Battery' #663 to a container with the name 'Large Metal Cabinet' #170.
[12:16:47	]asdasdas has transferred a 'Combine Battery' #669 to a container with the name 'Large Metal Cabinet' #170.
[12:16:47	]asdasdas has transferred a 'Combine Battery' #675 to a container with the name 'Large Metal Cabinet' #170.
[12:16:48	]asdasdas has transferred a 'Combine Battery' #680 to a container with the name 'Large Metal Cabinet' #170.
[12:16:48	]asdasdas has transferred a 'Combine Battery' #681 to a container with the name 'Large Metal Cabinet' #170.
[12:16:49	]asdasdas has transferred a 'Combine Battery' #674 to a container with the name 'Large Metal Cabinet' #170.
[12:16:49	]asdasdas has transferred a 'Combine Battery' #668 to a container with the name 'Large Metal Cabinet' #170.
[12:16:49	]asdasdas has transferred a 'Combine Battery' #662 to a container with the name 'Large Metal Cabinet' #170.
[12:16:49	]asdasdas has transferred a 'Combine Battery' #661 to a container with the name 'Large Metal Cabinet' #170.
[12:16:50	]asdasdas has transferred a 'Combine Battery' #667 to a container with the name 'Large Metal Cabinet' #170.
[12:16:50	]asdasdas has transferred a 'Combine Battery' #673 to a container with the name 'Large Metal Cabinet' #170.
[12:16:50	]asdasdas has transferred a 'Combine Battery' #679 to a container with the name 'Large Metal Cabinet' #170.
[12:16:52	]asdasdas closed the 'Large Metal Cabinet' #170 container.
[12:16:52	]asdasdas used command '/CharGiveItem asd combinebattery 24'.
[12:16:53	]asdasdas has gained a 'Combine Battery' #685.
[12:16:53	]asdasdas has gained a 'Combine Battery' #686.
[12:16:53	]asdasdas has gained a 'Combine Battery' #687.
[12:16:53	]asdasdas has gained a 'Combine Battery' #688.
[12:16:53	]asdasdas has gained a 'Combine Battery' #689.
[12:16:53	]asdasdas has gained a 'Combine Battery' #690.
[12:16:53	]asdasdas has gained a 'Combine Battery' #691.
[12:16:53	]asdasdas has gained a 'Combine Battery' #692.
[12:16:53	]asdasdas has gained a 'Combine Battery' #693.
[12:16:53	]asdasdas has gained a 'Combine Battery' #694.
[12:16:53	]asdasdas has gained a 'Combine Battery' #695.
[12:16:53	]asdasdas has gained a 'Combine Battery' #696.
[12:16:53	]asdasdas has gained a 'Combine Battery' #697.
[12:16:53	]asdasdas has gained a 'Combine Battery' #698.
[12:16:53	]asdasdas has gained a 'Combine Battery' #699.
[12:16:53	]asdasdas has gained a 'Combine Battery' #700.
[12:16:53	]asdasdas has gained a 'Combine Battery' #701.
[12:16:53	]asdasdas has gained a 'Combine Battery' #702.
[12:16:53	]asdasdas has gained a 'Combine Battery' #703.
[12:16:53	]asdasdas has gained a 'Combine Battery' #704.
[12:16:53	]asdasdas has gained a 'Combine Battery' #705.
[12:16:53	]asdasdas has gained a 'Combine Battery' #706.
[12:16:53	]asdasdas has gained a 'Combine Battery' #707.
[12:16:53	]asdasdas has gained a 'Combine Battery' #708.
[12:16:55	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#708)
[12:16:56	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#702)
[12:16:57	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#696)
[12:16:57	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#690)
[12:16:58	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#689)
[12:16:59	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#695)
[12:16:59	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#701)
[12:17:00	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#707)
[12:17:01	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#706)
[12:17:02	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#700)
[12:17:04	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#694)
[12:17:04	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#688)
[12:17:05	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#687)
[12:17:06	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#693)
[12:17:07	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#699)
[12:17:07	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#705)
[12:17:08	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#704)
[12:17:10	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#698)
[12:17:10	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#692)
[12:17:11	]asdasdas ran 'SetFullCharge' on item 'Combine Battery' (#686)
