[01:48:17	]'Sevens' has connected.
[10:10:28	]S10/OSL.SAVAGE-37 entered observer.
[10:10:29	]S10/OSL.SAVAGE-37 exited observer at their location.
[10:15:58	]S10/OSL.SAVAGE-37 has spawned a combinebattery.
[10:16:08	]reece loaded the character 'GM character'
[10:16:41	]GM character has spawned a head_helmet.
[10:16:52	]env_entity_dissolver destroyed a 'Combat Helmet' #2050567.
[10:16:58	]GM character has spawned a expo_battery.
[10:17:15	]env_entity_dissolver destroyed a 'Car Battery (Full)' #2050568.
[10:17:18	]GM character ran 'take' on item 'Combine Battery' (#2050548)
[10:17:18	]GM character has gained a 'Combine Battery' #2050548.
[10:17:22	]GM character ran 'take' on item 'Combine Battery' (#2050566)
[10:17:22	]GM character has gained a 'Combine Battery' #2050566.
[10:17:24	]GM character ran 'drop' on item 'Combine Battery' (#2050566)
[10:17:24	]GM character has lost a 'Combine Battery' #2050566.
[10:17:41	]GM character has spawned a datadisc.
[10:17:44	]GM character ran 'take' on item 'Data-Disc' (#2050569)
[10:17:44	]GM character has gained a 'Data-Disc' #2050569.
[10:17:45	]GM character ran 'drop' on item 'Data-Disc' (#2050569)
[10:17:45	]GM character has lost a 'Data-Disc' #2050569.
[10:17:56	]GM character has spawned a biopaste.
[10:18:00	]GM character has used a context menu option with the name: remove
[10:18:05	]GM character has spawned a usp.
[10:18:56	]GM character ran 'take' on item 'Data-Disc' (#2050569)
[10:18:56	]GM character has gained a 'Data-Disc' #2050569.
[10:18:58	]GM character ran 'drop' on item 'Data-Disc' (#2050569)
[10:18:58	]GM character has lost a 'Data-Disc' #2050569.
[10:19:04	]GM character ran 'drop' on item 'Combine Battery' (#2050548)
[10:19:04	]GM character has lost a 'Combine Battery' #2050548.
[10:19:33	]GM character used command '/CreateCid GM'.
[10:19:33	]GM character has gained a '#52785's Identity Card' #2050572.
[10:19:59	]GM character ran 'take' on item 'Data-Disc' (#2050569)
[10:19:59	]GM character has gained a 'Data-Disc' #2050569.
[10:20:10	]GM character ran 'take' on item 'Data-Disc' (#2050438)
[10:20:10	]GM character has gained a 'Data-Disc' #2050438.
[10:20:15	]GM character ran 'take' on item 'CWU Management Access Keycard' (#2050556)
[10:20:15	]GM character has gained a 'CWU Management Access Keycard' #2050556.
[10:20:19	]GM character ran 'take' on item '#75307's Identity Card' (#2050555)
[10:20:19	]GM character has gained a '#75307's Identity Card' #2050555.
[10:20:23	]GM character ran 'drop' on item '#75307's Identity Card' (#2050555)
[10:20:23	]GM character has lost a '#75307's Identity Card' #2050555.
[10:20:24	]GM character ran 'drop' on item 'CWU Management Access Keycard' (#2050556)
[10:20:24	]GM character has lost a 'CWU Management Access Keycard' #2050556.
[10:20:27	]GM character ran 'take' on item 'CWU Management Access Keycard' (#2050556)
[10:20:27	]GM character has gained a 'CWU Management Access Keycard' #2050556.
[10:20:30	]GM character ran 'drop' on item 'CWU Management Access Keycard' (#2050556)
[10:20:30	]GM character has lost a 'CWU Management Access Keycard' #2050556.
[10:20:35	]GM character has used a context menu option with the name: remove
[10:20:37	]GM character has used a context menu option with the name: remove
[10:20:42	]GM character has given himself a cwu_card.
[10:20:42	]GM character has gained a 'CWU Member Access Keycard' #2050573.
[10:20:45	]GM character ran 'Bind' on item 'CWU Member Access Keycard' (#2050573)
[10:20:56	]GM character ran 'Bind' on item 'CWU Member Access Keycard' (#2050573)
[10:21:11	]GM character ran 'take' on item 'Combine Battery' (#2050492)
[10:21:11	]GM character has gained a 'Combine Battery' #2050492.
[10:21:13	]GM character ran 'take' on item 'Combine Battery' (#2050494)
[10:21:13	]GM character has gained a 'Combine Battery' #2050494.
[10:21:17	]GM character ran 'drop' on item 'Combine Battery' (#2050492)
[10:21:17	]GM character has lost a 'Combine Battery' #2050492.
[10:21:30	]GM character ran 'drop' on item 'Data-Disc' (#2050438)
[10:21:30	]GM character has lost a 'Data-Disc' #2050438.
[10:22:09	]GM character has given himself a comp_reshaped_metal.
[10:22:09	]GM character has gained a 'Iron' #2050574.
[10:22:10	]GM character has given himself a comp_reshaped_metal.
[10:22:10	]GM character has gained a 'Iron' #2050575.
[10:22:21	]GM character has given himself a comp_resin.
[10:22:21	]GM character has gained a 'Resin' #2050576.
[10:22:22	]GM character has given himself a comp_resin.
[10:22:22	]GM character has gained a 'Resin' #2050577.
[10:22:23	]GM character has given himself a comp_resin.
[10:22:23	]GM character has gained a 'Resin' #2050578.
[10:22:23	]GM character has given himself a comp_resin.
[10:22:23	]GM character has gained a 'Resin' #2050579.
[10:22:24	]GM character has given himself a comp_resin.
[10:22:24	]GM character has gained a 'Resin' #2050580.
[10:22:25	]GM character has given himself a comp_resin.
[10:22:25	]GM character has gained a 'Resin' #2050581.
[10:22:25	]GM character has given himself a comp_resin.
[10:22:25	]GM character has gained a 'Resin' #2050582.
[10:22:26	]GM character has given himself a comp_resin.
[10:22:26	]GM character has gained a 'Resin' #2050583.
[10:22:26	]GM character has given himself a comp_resin.
[10:22:27	]GM character has gained a 'Resin' #2050584.
[10:22:27	]GM character has given himself a comp_resin.
[10:22:27	]GM character has gained a 'Resin' #2050585.
[10:22:28	]GM character has given himself a comp_resin.
[10:22:28	]GM character has gained a 'Resin' #2050586.
[10:22:28	]GM character has given himself a comp_resin.
[10:22:28	]GM character has gained a 'Resin' #2050587.
[10:22:49	]GM character entered observer.
[10:22:53	]GM character exited observer at their location.
[10:22:59	]GM character ran 'take' on item 'USP-45' (#2050588)
[10:22:59	]GM character has gained a 'USP-45' #2050588.
[10:23:03	]GM character ran 'drop' on item 'USP-45' (#2050588)
[10:23:03	]GM character has lost a 'USP-45' #2050588.
[10:23:20	]GM character ran 'take' on item 'Data-Disc' (#2050438)
[10:23:20	]GM character has gained a 'Data-Disc' #2050438.
[10:23:32	]GM character ran 'drop' on item 'Combine Battery' (#2050494)
[10:23:32	]GM character has lost a 'Combine Battery' #2050494.
[10:24:06	]GM character ran 'drop' on item 'Data-Disc' (#2050438)
[10:24:06	]GM character has lost a 'Data-Disc' #2050438.
[10:24:28	]GM character entered observer.
[10:24:34	]GM character exited observer at their location.
[10:24:50	]GM character ran 'drop' on item 'CWU Member Access Keycard' (#2050573)
[10:24:50	]GM character has lost a 'CWU Member Access Keycard' #2050573.
[10:24:58	]GM character ran 'drop' on item '#52785's Identity Card' (#2050572)
[10:24:58	]GM character has lost a '#52785's Identity Card' #2050572.
[10:25:40	]GM character has given himself a pda.
[10:25:40	]GM character has gained a 'Combine PDA' #2050589.
[10:25:50	]GM character used command '/Datafile GM character'.
[10:26:10	]GM character has spawned a buttoned_black.
[10:28:55	]GM character used command '/PlyTransfer GM character CWU'.
[10:29:01	]GM character used command '/PlyTransfer GM character Civil Worker Union'.
[10:29:07	]GM character used command '/PlyTransfer GM character Civil worker union'.
[10:29:18	]GM character used command '/PlyTransfer GM character Civil workers union'.
[10:29:41	]reece created the character 'fawfawfawfwfawf'
[10:29:41	]reece loaded the character 'fawfawfawfwfawf'
[10:29:41	]fawfawfawfwfawf has gained a '#04525's Identity Card' #2050591.
[10:29:41	]fawfawfawfwfawf has gained a 'CWU PDA' #2050592.
[10:29:41	]fawfawfawfwfawf has gained a 'CWU Member Access Keycard' #2050593.
[10:30:08	]fawfawfawfwfawf used command '/CharGiveFlag fawfawfawfwfaw f'.
[10:30:14	]fawfawfawfwfawf used command '/CharGiveFlag fawfawfawfwfaw Fj'.
[10:30:21	]fawfawfawfwfawf used command '/CharGiveFlag fawfawfawfwfaw JLM'.
[10:30:25	]fawfawfawfwfawf used command '/CharGiveFlag fawfawfawfwfaw T'.
[10:30:35	]fawfawfawfwfawf has spawned a 'Entity [304][ix_workshiftterminal]'.
[10:31:04	]fawfawfawfwfawf has used a context menu option with the name: remove
[10:31:06	]fawfawfawfwfawf has used a context menu option with the name: remove
[10:31:12	]fawfawfawfwfawf ran 'drop' on item 'CWU Member Access Keycard' (#2050593)
[10:31:12	]fawfawfawfwfawf has lost a 'CWU Member Access Keycard' #2050593.
[10:31:13	]fawfawfawfwfawf ran 'drop' on item '#04525's Identity Card' (#2050591)
[10:31:13	]fawfawfawfwfawf has lost a '#04525's Identity Card' #2050591.
[10:31:25	]fawfawfawfwfawf ran 'take' on item 'CWU Member Access Keycard' (#2050593)
[10:31:25	]fawfawfawfwfawf has gained a 'CWU Member Access Keycard' #2050593.
[10:31:29	]fawfawfawfwfawf ran 'SetFaction' on item 'CWU Member Access Keycard' (#2050593)
[10:31:30	]fawfawfawfwfawf ran 'drop' on item 'CWU Member Access Keycard' (#2050593)
[10:31:30	]fawfawfawfwfawf has lost a 'CWU Member Access Keycard' #2050593.
[10:31:55	]fawfawfawfwfawf ran 'take' on item '#04525's Identity Card' (#2050591)
[10:31:55	]fawfawfawfwfawf has gained a '#04525's Identity Card' #2050591.
[10:31:56	]fawfawfawfwfawf ran 'take' on item 'CWU Member Access Keycard' (#2050593)
[10:31:56	]fawfawfawfwfawf has gained a 'CWU Member Access Keycard' #2050593.
[10:32:02	]reece loaded the character 'GM character'
[10:32:19	]GM character has given himself a cwu_card.
[10:32:19	]GM character has gained a 'CWU Member Access Keycard' #2050594.
[10:32:21	]GM character ran 'Bind' on item 'CWU Member Access Keycard' (#2050594)
[10:32:30	]GM character used command '/CreateCid GM'.
[10:32:30	]GM character has gained a '#52785's Identity Card' #2050595.
[10:32:33	]GM character ran 'drop' on item '#52785's Identity Card' (#2050595)
[10:32:33	]GM character has lost a '#52785's Identity Card' #2050595.
[10:32:37	]GM character ran 'drop' on item 'CWU Member Access Keycard' (#2050594)
[10:32:37	]GM character has lost a 'CWU Member Access Keycard' #2050594.
[10:32:39	]GM character ran 'take' on item 'CWU Member Access Keycard' (#2050594)
[10:32:39	]GM character has gained a 'CWU Member Access Keycard' #2050594.
[10:32:42	]GM character ran 'drop' on item 'CWU Member Access Keycard' (#2050594)
[10:32:42	]GM character has lost a 'CWU Member Access Keycard' #2050594.
[10:33:05	]GM character ran 'take' on item '#52785's Identity Card' (#2050595)
[10:33:05	]GM character has gained a '#52785's Identity Card' #2050595.
[10:33:06	]GM character ran 'take' on item 'CWU Member Access Keycard' (#2050594)
[10:33:06	]GM character has gained a 'CWU Member Access Keycard' #2050594.
[10:33:09	]reece (STEAM_0:1:158746618) has disconnected.
[11:44:51	]reece has connected.
[11:45:35	]reece loaded the character 'S10/OSL.SAVAGE-37'
[11:45:46	]S10/OSL.SAVAGE-37 entered observer.
[11:45:51	]S10/OSL.SAVAGE-37 exited observer at their location.
[11:45:52	]S10/OSL.SAVAGE-37 entered observer.
[11:45:53	]S10/OSL.SAVAGE-37 exited observer at their location.
[11:46:08	]S10/OSL.SAVAGE-37 ran SAM command 'hp' with arguments: 'S' '10'
[11:46:12	]S10/OSL.SAVAGE-37 ran 'use' on item 'Health Syringe' (#1921450)
[11:46:12	]S10/OSL.SAVAGE-37 has performed the 'Use Health Syringe' action, gaining 46 experience in medicine.
[11:46:12	]S10/OSL.SAVAGE-37 was disinfected by S10/OSL.SAVAGE-37 for 42 seconds.
[11:46:12	]S10/OSL.SAVAGE-37 was bandaged by S10/OSL.SAVAGE-37 for 30 HP.
[11:46:14	]S10/OSL.SAVAGE-37 entered observer.
[11:46:15	]S10/OSL.SAVAGE-37 exited observer at their location.
[11:46:17	]S10/OSL.SAVAGE-37 was knocked unconscious and is bleeding out.
[11:47:02	]S10/OSL.SAVAGE-37 has given himself a makeshift_bandage.
[11:47:02	]S10/OSL.SAVAGE-37 has gained a 'Makeshift Bandage Roll' #2050596.
[11:47:25	]S10/OSL.SAVAGE-37 is no longer unconscious from critical wounds.
[11:47:29	]S10/OSL.SAVAGE-37 ran 'use' on item 'Makeshift Bandage Roll' (#2050596)
[11:47:29	]S10/OSL.SAVAGE-37 has performed the 'Use Makeshift Bandage Roll' action, gaining 10 experience in medicine.
[11:47:29	]S10/OSL.SAVAGE-37's bleeding was stopped by S10/OSL.SAVAGE-37.
[11:47:29	]S10/OSL.SAVAGE-37 was bandaged by S10/OSL.SAVAGE-37 for 10 HP.
[11:49:29	]S10/OSL.SAVAGE-37 entered observer.
[11:49:30	]S10/OSL.SAVAGE-37 exited observer at their location.
[11:49:32	]S10/OSL.SAVAGE-37 entered observer.
[11:49:32	]S10/OSL.SAVAGE-37 exited observer at their location.
[11:49:57	]S10/OSL.SAVAGE-37 entered observer.
[11:49:58	]S10/OSL.SAVAGE-37 exited observer at their location.
[11:51:06	]S10/OSL.SAVAGE-37 entered observer.
[11:51:06	]S10/OSL.SAVAGE-37 exited observer at their location.
[11:52:32	]S10/OSL.SAVAGE-37 entered observer.
[11:52:32	]S10/OSL.SAVAGE-37 exited observer at their location.
[11:52:34	]S10/OSL.SAVAGE-37 entered observer.
[11:52:34	]S10/OSL.SAVAGE-37 exited observer at their location.
[11:52:47	]S10/OSL.SAVAGE-37 entered observer.
[11:52:47	]S10/OSL.SAVAGE-37 exited observer at their location.
[11:52:56	]reece loaded the character 'GM character'
[11:54:10	]GM character has fired a toolgun with the name: remover
[11:54:10	]GM character has fired a toolgun with the name: remover
[11:54:10	]GM character has fired a toolgun with the name: remover
[11:54:11	]GM character has fired a toolgun with the name: remover
[11:54:11	]GM character has fired a toolgun with the name: remover
[11:54:11	]GM character has fired a toolgun with the name: remover
[11:54:12	]GM character has fired a toolgun with the name: remover
[11:54:12	]GM character has fired a toolgun with the name: remover
[11:54:16	]GM character ran 'drop' on item 'Data-Disc' (#2050569)
[11:54:16	]GM character has lost a 'Data-Disc' #2050569.
[11:54:17	]GM character ran 'drop' on item 'Small Bag' (#2014355)
[11:54:17	]GM character has lost a 'Small Bag' #2014355.
[11:54:17	]GM character ran 'drop' on item 'Biopaste' (#2050533)
[11:54:17	]GM character has lost a 'Biopaste' #2050533.
[11:54:17	]GM character ran 'drop' on item 'Black Armband' (#2014338)
[11:54:17	]GM character has lost a 'Black Armband' #2014338.
[11:54:18	]GM character ran 'drop' on item '#52785's Identity Card' (#2014325)
[11:54:18	]GM character has lost a '#52785's Identity Card' #2014325.
[11:54:18	]GM character ran 'drop' on item 'Flashlight' (#2014324)
[11:54:18	]GM character has lost a 'Flashlight' #2014324.
[11:54:18	]GM character ran 'drop' on item 'Combine PDA' (#2050589)
[11:54:18	]GM character has lost a 'Combine PDA' #2050589.
[11:54:18	]GM character ran 'drop' on item 'White collaborator armband' (#2014362)
[11:54:18	]GM character has lost a 'White collaborator armband' #2014362.
[11:54:19	]GM character ran 'drop' on item 'Suitcase' (#2014323)
[11:54:19	]GM character has lost a 'Suitcase' #2014323.
[11:54:19	]GM character ran 'drop' on item 'Dark Green Trousers' (#2014359)
[11:54:19	]GM character has lost a 'Dark Green Trousers' #2014359.
[11:54:20	]GM character ran 'drop' on item 'Red Haven' (#2014358)
[11:54:20	]GM character has lost a 'Red Haven' #2014358.
[11:54:20	]GM character ran 'drop' on item 'Gloves' (#2014360)
[11:54:20	]GM character has lost a 'Gloves' #2014360.
[11:54:20	]GM character ran 'drop' on item '#52785's Identity Card' (#2050595)
[11:54:20	]GM character has lost a '#52785's Identity Card' #2050595.
[11:54:21	]GM character ran 'drop' on item 'Iron' (#2050574)
[11:54:21	]GM character has lost a 'Iron' #2050574.
[11:54:21	]GM character ran 'drop' on item 'CWU Member Access Keycard' (#2050594)
[11:54:21	]GM character has lost a 'CWU Member Access Keycard' #2050594.
[11:54:23	]GM character has fired a toolgun with the name: remover
[11:54:23	]GM character has fired a toolgun with the name: remover
[11:54:23	]GM character has fired a toolgun with the name: remover
[11:54:23	]GM character has fired a toolgun with the name: remover
[11:54:24	]GM character has fired a toolgun with the name: remover
[11:54:24	]GM character has fired a toolgun with the name: remover
[11:54:24	]GM character has fired a toolgun with the name: remover
[11:54:24	]GM character has fired a toolgun with the name: remover
[11:54:25	]GM character has fired a toolgun with the name: remover
[11:54:25	]GM character has fired a toolgun with the name: remover
[11:54:25	]GM character has fired a toolgun with the name: remover
[11:54:26	]GM character has fired a toolgun with the name: remover
[11:54:26	]GM character has fired a toolgun with the name: remover
[11:54:26	]GM character has fired a toolgun with the name: remover
[11:54:26	]GM character has fired a toolgun with the name: remover
[11:54:27	]GM character has fired a toolgun with the name: remover
[11:54:27	]GM character has fired a toolgun with the name: remover
[11:54:27	]GM character has fired a toolgun with the name: remover
[11:54:27	]GM character has fired a toolgun with the name: remover
[11:54:27	]GM character has fired a toolgun with the name: remover
[11:54:28	]GM character has fired a toolgun with the name: remover
[11:54:28	]GM character has fired a toolgun with the name: remover
[11:54:28	]GM character has fired a toolgun with the name: remover
[11:54:28	]GM character has fired a toolgun with the name: remover
[11:54:28	]GM character has fired a toolgun with the name: remover
[11:54:29	]GM character has fired a toolgun with the name: remover
[11:54:29	]GM character has fired a toolgun with the name: remover
[11:54:29	]GM character has fired a toolgun with the name: remover
[11:54:57	]GM character has spawned a 'Entity [294][ix_discscanner]'.
[11:54:59	]GM character has used a context menu option with the name: remove
[11:55:01	]GM character has spawned a 'Entity [296][ix_pickupterminal]'.
[11:55:02	]GM character has spawned a 'Entity [294][ix_rationdispenser]'.
[11:55:04	]GM character has spawned a 'Entity [294][ix_trashcollector]'.
[11:55:09	]GM character has spawned a 'Entity [294][ix_rebelfield]'.
[11:55:14	]GM character has spawned a 'Entity [294][ix_discscanner]'.
[11:55:16	]GM character has spawned a 'Entity [294][ix_fabricator]'.
[11:55:19	]GM character has spawned a 'Entity [294][ix_console]'.
[11:55:27	]GM character has spawned a 'Entity [294][ix_batterycharger]'.
[11:55:34	]GM character has spawned a 'Entity [294][ix_combinemonitor]'.
[11:55:36	]GM character has spawned a 'Entity [296][ix_combinemonitor_small]'.
[11:55:38	]GM character has spawned a 'Entity [294][ix_combinemonitor_tv]'.
[11:55:39	]GM character has spawned a 'Entity [296][ix_computer]'.
[11:55:40	]GM character has spawned a 'Entity [294][ix_console]'.
[11:55:41	]GM character has spawned a 'Entity [296][ix_containerlock]'.
[11:55:42	]GM character has spawned a 'Entity [294][ix_crackedprinter]'.
[11:55:43	]GM character has spawned a 'Entity [296][ix_cwuterminal]'.
[11:55:44	]GM character has spawned a 'Entity [294][ix_cwuterminal]'.
[11:55:54	]GM character used command '/CreateCid gm'.
[11:55:54	]GM character has gained a '#52785's Identity Card' #2050597.
[11:56:17	]GM character has given himself a cwu_card.
[11:56:17	]GM character has gained a 'CWU Member Access Keycard' #2050598.
[11:56:18	]GM character ran 'Bind' on item 'CWU Member Access Keycard' (#2050598)
[11:56:31	]GM character ran 'drop' on item 'CWU Member Access Keycard' (#2050598)
[11:56:31	]GM character has lost a 'CWU Member Access Keycard' #2050598.
[11:56:31	]GM character ran 'drop' on item '#52785's Identity Card' (#2050597)
[11:56:31	]GM character has lost a '#52785's Identity Card' #2050597.
[11:56:47	]GM character used command '/CreateCid gm'.
[11:56:47	]GM character has gained a '#52785's Identity Card' #2050599.
[11:56:50	]GM character ran 'drop' on item '#52785's Identity Card' (#2050599)
[11:56:50	]GM character has lost a '#52785's Identity Card' #2050599.
[12:00:23	]GM character used command '/PlyTransfer GM citizen'.
[12:00:25	]GM character ran 'take' on item 'CWU Member Access Keycard' (#2050598)
[12:00:25	]GM character has gained a 'CWU Member Access Keycard' #2050598.
[12:00:27	]GM character ran 'take' on item '#52785's Identity Card' (#2050599)
[12:00:27	]GM character has gained a '#52785's Identity Card' #2050599.
[12:00:30	]GM character ran 'drop' on item '#52785's Identity Card' (#2050599)
[12:00:30	]GM character has lost a '#52785's Identity Card' #2050599.
[12:00:31	]GM character ran 'drop' on item 'CWU Member Access Keycard' (#2050598)
[12:00:31	]GM character has lost a 'CWU Member Access Keycard' #2050598.
[12:00:46	]GM character ran 'take' on item 'CWU Member Access Keycard' (#2050598)
