[02:35:45	]Fractures has connected.
[02:39:05	]Crash test dummy has gained a 'Heavy Pulse Rounds' #1655624.
[02:39:08	]Crash test dummy ran 'combine' on item '24rnd Heavy-Pulse Magazine' (#1655623)
[02:39:09	]Crash test dummy has lost a '24rnd Heavy-Pulse Magazine' #1655623.
[02:39:12	]S10/WALLHAMMER.ICE-20 used command '/Radio sup'.
[02:39:20	]S10/WALLHAMMER.ICE-20 ran 'take' on item 'Frag Grenade' (#1655590)
[02:39:20	]S10/WALLHAMMER.ICE-20 has gained a 'Frag Grenade' #1655590.
[02:39:31	]Crash test dummy ran 'removeMag' on item 'OSPR2A-EXP' (#1655619)
[02:39:31	]Crash test dummy has gained a '24rnd Heavy-Pulse Magazine' #1655623.
[02:39:32	]Crash test dummy ran 'EquipUn' on item 'OSPR2A-EXP' (#1655619)
[02:39:33	]Crash test dummy used the 'John Doe' vendor.
[02:39:36	]Crash test dummy has gained 0 chips.
[02:39:37	]Crash test dummy has gained 0 chips.
[02:39:39	]Crash test dummy has gained 0 chips.
[02:39:40	]Crash test dummy has gained 0 chips.
[02:39:41	]Crash test dummy has gained 0 chips.
[02:39:44	]S10/WALLHAMMER.ICE-20 ran 'take' on item 'H&K P2000' (#1652787)
[02:39:44	]S10/WALLHAMMER.ICE-20 has gained a 'H&K P2000' #1652787.
[02:39:44	]Crash test dummy ran 'drop' on item 'Pulse Rifle Bullets' (#1655622)
[02:39:44	]Crash test dummy has lost a 'Pulse Rifle Bullets' #1655622.
[02:39:46	]Crash test dummy ran 'take' on item 'G3' (#1652222)
[02:39:46	]Crash test dummy has gained a 'G3' #1652222.
[02:39:49	]Crash test dummy ran 'take' on item '20rnd DMR-magazine' (#1652267)
[02:39:49	]Crash test dummy has gained a '20rnd DMR-magazine' #1652267.
[02:39:50	]Crash test dummy ran 'take' on item 'Combine PDA' (#1652279)
[02:39:50	]Crash test dummy has gained a 'Combine PDA' #1652279.
[02:39:51	]Crash test dummy ran 'take' on item 'Repair Plating' (#1652292)
[02:39:51	]Crash test dummy has gained a 'Repair Plating' #1652292.
[02:39:52	]Crash test dummy ran 'take' on item 'Flashlight' (#1652205)
[02:39:52	]Crash test dummy has gained a 'Flashlight' #1652205.
[02:39:53	]Crash test dummy used the 'John Doe' vendor.
[02:39:57	]Crash test dummy ran 'Equip' on item 'G3' (#1652222)
[02:39:59	]Crash test dummy ran 'combine' on item 'Health Syringe' (#1652293)
[02:40:02	]Crash test dummy used the 'John Doe' vendor.
[02:40:08	]S10/WALLHAMMER.ICE-20 has taken 5 damage from Alien Grunt.
[02:40:08	]S10/WALLHAMMER.ICE-20 has taken 5 damage from Alien Grunt.
[02:40:08	]S10/WALLHAMMER.ICE-20 has taken 5 damage from Alien Grunt.
[02:40:09	]S10/WALLHAMMER.ICE-20 has taken 5 damage from Alien Grunt.
[02:40:09	]S10/WALLHAMMER.ICE-20 used command '/ToggleRaise'.
[02:40:09	]S10/WALLHAMMER.ICE-20 has taken 5 damage from Alien Grunt.
[02:40:09	]Crash test dummy has gained 0 chips.
[02:40:09	]Crash test dummy has gained a 'Rifle Bullets' #1655625.
[02:40:09	]Crash test dummy has gained 0 chips.
[02:40:10	]Crash test dummy has gained a 'Rifle Bullets' #1655626.
[02:40:10	]S10/WALLHAMMER.ICE-20 has taken 5 damage from Alien Grunt.
[02:40:10	]S10/WALLHAMMER.ICE-20 has taken 5 damage from Alien Grunt.
[02:40:10	]Crash test dummy has gained 0 chips.
[02:40:10	]Crash test dummy has gained a 'Rifle Bullets' #1655627.
[02:40:14	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_aliengrunt in the head dealing 15 damage (CritChance was 1.01).
[02:40:14	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_aliengrunt in the head dealing 15 damage (CritChance was 1.01).
[02:40:15	]Crash test dummy used the 'John Doe' vendor.
[02:40:20	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_aliengrunt in the head dealing 15 damage (CritChance was 1.01).
[02:40:20	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_aliengrunt in the head dealing 10 damage (CritChance was 1.01).
[02:40:22	]Crash test dummy has gained 0 chips.
[02:40:22	]Crash test dummy has gained a 'Flash Grenade' #1655628.
[02:40:31	]Crash test dummy has warped from Rebels - Box to Rebels - Slums.
[02:40:40	]Crash test dummy used command '/ToggleRaise'.
[02:40:49	]S10/WALLHAMMER.ICE-20 used command '/PM STEAM_0:1:2921822 need a TP'.
[02:40:56	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_gman dealing 14 damage (CritChance was 1.01).
[02:40:57	]Crash test dummy used command '/Reply where are you?'.
[02:41:01	]S10/WALLHAMMER.ICE-20 used command '/PM STEAM_0:1:2921822 Nexus'.
[02:41:04	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_gman dealing 0 damage (CritChance was 1.01).
[02:41:04	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_gman dealing 14 damage (CritChance was 1.01).
[02:41:04	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_gman dealing 14 damage (CritChance was 1.01).
[02:41:04	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_gman dealing 14 damage (CritChance was 1.01).
[02:41:04	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_gman dealing 14 damage (CritChance was 1.01).
[02:41:04	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_gman dealing 14 damage (CritChance was 1.01).
[02:41:04	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_gman dealing 14 damage (CritChance was 1.01).
[02:41:05	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_gman dealing 14 damage (CritChance was 1.01).
[02:41:05	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_gman dealing 14 damage (CritChance was 1.01).
[02:41:06	]S10/WALLHAMMER.ICE-20 has critically hit npc_vj_hlr1_gman dealing 14 damage (CritChance was 1.01).
[02:41:07	]Crash test dummy used command '/Reply come to slums'.
[02:41:12	]Crash test dummy has warped from Rebels - Slums to Rebels - Box.
[02:41:16	]S10/WALLHAMMER.ICE-20 is fully healed.
[02:41:22	]Crash test dummy has warped from Rebels - Box to Rebels - Slums.
[02:41:29	]Crash test dummy ran 'use' on item 'Health Syringe' (#1652293)
[02:41:29	]Crash test dummy has performed the 'Use Health Syringe' action, gaining 41 experience in medicine.
[02:41:29	]Crash test dummy was disinfected by Crash test dummy for 198 seconds.
[02:41:29	]Crash test dummy was bandaged by Crash test dummy for 45 HP.
[02:41:31	]Crash test dummy ran 'Equip' on item 'Flash Grenade' (#1655628)
[02:41:32	]Crash test dummy used command '/ToggleRaise'.
[02:42:30	]Crash test dummy has taken 60 damage from S10/WALLHAMMER.ICE-20.
[02:42:33	][IC] S10/WALLHAMMER.ICE-20: Sup.
[02:42:38	][LOOC] Crash test dummy: YOU'RE NOT A WALLHAMMER..
[02:42:43	]Crash test dummy used command '/ToggleRaise'.
[02:42:49	]Crash test dummy has lost a '20rnd DMR-magazine' #1652268.
[02:42:50	]Crash test dummy has taken 60 damage from S10/WALLHAMMER.ICE-20.
[02:43:02	]Crash test dummy has warped from Rebels - Slums to Rebels - Box.
[02:43:06	]S10/WALLHAMMER.ICE-20 has warped from Rebels - Slums to Rebels - Box.
[02:43:07	]Crash test dummy has gained a '20rnd DMR-magazine' #1652268.
[02:43:07	]Crash test dummy has lost a '20rnd DMR-magazine' #1652267.
[02:43:15	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 in the stomach dealing 0 damage (CritChance was 0.85).
[02:43:15	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 in the left arm dealing 9 damage (CritChance was 0.85).
[02:43:15	]S10/WALLHAMMER.ICE-20 has taken 9 damage from Crash test dummy.
[02:43:15	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 in the left arm dealing 9 damage (CritChance was 0.94).
[02:43:15	]S10/WALLHAMMER.ICE-20 has taken 9 damage from Crash test dummy.
[02:43:15	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 in the chest dealing 34 damage (CritChance was 0.94).
[02:43:15	]S10/WALLHAMMER.ICE-20 has taken 34 damage from Crash test dummy.
[02:43:16	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 in the right arm dealing 9 damage (CritChance was 0.94).
[02:43:16	]S10/WALLHAMMER.ICE-20 has taken 9 damage from Crash test dummy.
[02:43:16	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 in the chest dealing 34 damage (CritChance was 0.94).
[02:43:16	]S10/WALLHAMMER.ICE-20 has taken 34 damage from Crash test dummy.
[02:43:16	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 in the head dealing 36 damage (CritChance was 0.94).
[02:43:16	]S10/WALLHAMMER.ICE-20 was knocked unconscious and is bleeding out.
[02:43:21	][IC] S10/WALLHAMMER.ICE-20: Ahn.
[02:43:25	]Crash test dummy used command '/Reply YOU KILLED THE VENDOR'.
[02:43:28	][IC] S10/WALLHAMMER.ICE-20: HAHAHA.
[02:43:34	]Crash test dummy has gained a '20rnd DMR-magazine' #1652267.
[02:43:34	]Crash test dummy has lost a '20rnd DMR-magazine' #1652266.
[02:43:35	]S10/WALLHAMMER.ICE-20 was just killed due to: accepting their death
[02:43:57	][LOOC] Crash test dummy: I wanna test my damage vs OTA kevlar
[02:44:01	]S10/WALLHAMMER.ICE-20 used the 'John Doe' vendor.
[02:44:04	]Crash test dummy has gained a '20rnd DMR-magazine' #1652266.
[02:44:04	]Crash test dummy has lost a '20rnd DMR-magazine' #1652269.
[02:44:05	]S10/WALLHAMMER.ICE-20 has gained 0 chips.
[02:44:05	]S10/WALLHAMMER.ICE-20 has gained a 'Containment Uniform' #1655629.
[02:44:06	]Crash test dummy ran 'use' on item 'Health Syringe' (#1652293)
[02:44:06	]Crash test dummy has performed the 'Use Health Syringe' action, gaining 46 experience in medicine.
[02:44:06	]Crash test dummy was disinfected by Crash test dummy for 198 seconds.
[02:44:06	]Crash test dummy was bandaged by Crash test dummy for 45 HP.
[02:44:09	]Crash test dummy ran 'Repair' on item 'CP Rank Leader Uniform' (#1652265)
[02:44:13	][IC] S10/WALLHAMMER.ICE-20: <:: Yep. ::>
[02:44:18	][IC] S10/WALLHAMMER.ICE-20: <:: Hehehe, friend game effective. ::>
[02:44:22	]Crash test dummy has changed Crash test dummy's bodygroups.
[02:44:25	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 dealing 34 damage (CritChance was 0.23).
[02:44:25	]S10/WALLHAMMER.ICE-20 has taken 34 damage from Crash test dummy.
[02:44:25	]Crash test dummy has hit S10/WALLHAMMER.ICE-20 dealing 21 damage (CritChance was 0.23).
[02:44:25	]S10/WALLHAMMER.ICE-20 has taken 21 damage from Crash test dummy.
[02:44:26	]S10/WALLHAMMER.ICE-20 is fully healed.
[02:44:26	]Crash test dummy has hit S10/WALLHAMMER.ICE-20 dealing 21 damage (CritChance was 0.23).
[02:44:26	]S10/WALLHAMMER.ICE-20 has taken 21 damage from Crash test dummy.
[02:44:27	][IC] S10/WALLHAMMER.ICE-20: <:: You can come out now. ::>
[02:44:29	][IC] S10/WALLHAMMER.ICE-20: <:: Come out. ::>
[02:44:31	]S10/WALLHAMMER.ICE-20 is fully healed.
[02:44:35	][IC] Crash test dummy: Wow.. Still hits for a good amount.
[02:44:38	][IC] S10/WALLHAMMER.ICE-20: <:: You can come out now! ::>
[02:44:40	]Crash test dummy has hit S10/WALLHAMMER.ICE-20 dealing 21 damage (CritChance was 0.23).
[02:44:40	]S10/WALLHAMMER.ICE-20 has taken 21 damage from Crash test dummy.
[02:44:40	]Crash test dummy has hit S10/WALLHAMMER.ICE-20 dealing 21 damage (CritChance was 0.23).
[02:44:40	]S10/WALLHAMMER.ICE-20 has taken 21 damage from Crash test dummy.
[02:44:40	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 dealing 34 damage (CritChance was 0.94).
[02:44:40	]S10/WALLHAMMER.ICE-20 has taken 34 damage from Crash test dummy.
[02:44:40	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 dealing 34 damage (CritChance was 0.94).
[02:44:40	]S10/WALLHAMMER.ICE-20 has taken 34 damage from Crash test dummy.
[02:44:40	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 dealing 34 damage (CritChance was 0.94).
[02:44:40	]S10/WALLHAMMER.ICE-20 has taken 34 damage from Crash test dummy.
[02:44:41	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 dealing 34 damage (CritChance was 0.94).
[02:44:41	]S10/WALLHAMMER.ICE-20 was knocked unconscious and is bleeding out.
[02:44:44	][IC] S10/WALLHAMMER.ICE-20: <:: **Heavy Breathing**. ::>
[02:44:52	]Crash test dummy ran 'give' on item 'Health Syringe' (#1652293)
[02:44:52	]Crash test dummy has performed the 'Use Health Syringe' action, gaining 46 experience in medicine.
[02:44:52	]S10/WALLHAMMER.ICE-20 was disinfected by Crash test dummy for 198 seconds.
[02:44:52	]S10/WALLHAMMER.ICE-20's bleeding was stopped by Crash test dummy.
[02:44:52	]S10/WALLHAMMER.ICE-20 was bandaged by Crash test dummy for 45 HP.
[02:44:54	]Crash test dummy used the 'John Doe' vendor.
[02:45:03	][IC] S10/WALLHAMMER.ICE-20: <:: Haha. ::>
[02:45:07	][IC] S10/WALLHAMMER.ICE-20: <:: APF. ::>
[02:45:10	]Crash test dummy used the 'John Doe' vendor.
[02:45:10	][IC] S10/WALLHAMMER.ICE-20: <:: Yep. ::>
[02:45:14	]Crash test dummy has gained 0 chips.
[02:45:14	]Crash test dummy has gained a 'Flash Grenade' #1655630.
[02:45:15	]Crash test dummy has gained 0 chips.
[02:45:15	]Crash test dummy has gained a 'Flash Grenade' #1655631.
[02:45:15	][IC] S10/WALLHAMMER.ICE-20: <:: Expiring. ::>
[02:45:15	]Crash test dummy has gained 0 chips.
[02:45:16	]Crash test dummy has gained a 'Flash Grenade' #1655632.
[02:45:18	]Crash test dummy ran 'Equip' on item 'Flash Grenade' (#1655632)
[02:45:20	]Crash test dummy used the 'John Doe' vendor.
[02:45:20	][IC] S10/WALLHAMMER.ICE-20: <:: Help. ::>
[02:45:23	]Crash test dummy has gained 0 chips.
[02:45:23	]Crash test dummy has gained a 'Flash Grenade' #1655633.
[02:45:27	][IC] S10/WALLHAMMER.ICE-20: <:: I have stuff. ::>
[02:45:28	]Crash test dummy used command '/Reply Wanna play a game?'.
[02:45:28	][IC] S10/WALLHAMMER.ICE-20: <:: On me. ::>
[02:45:33	][LOOC] Crash test dummy: Wanna play a game?
[02:45:35	][IC] S10/WALLHAMMER.ICE-20: <:: Let's test OWS. ::>
[02:45:35	]Crash test dummy used command '/ToggleRaise'.
[02:45:44	][IC] S10/WALLHAMMER.ICE-20: <:: Get me up. ::>
[02:45:45	][LOOC] Crash test dummy: its called flash
[02:45:52	][IC] S10/WALLHAMMER.ICE-20: <:: DOesn't work on me. ::>
[02:45:52	]Crash test dummy ran 'Equip' on item 'Flash Grenade' (#1655630)
[02:45:53	]Crash test dummy used command '/ToggleRaise'.
[02:45:54	][IC] S10/WALLHAMMER.ICE-20: <:: Haha. ::>
[02:45:55	][IC] S10/WALLHAMMER.ICE-20: <:: Haha. ::>
[02:45:57	][IC] S10/WALLHAMMER.ICE-20: <:: Haha. ::>
[02:46:02	]S10/WALLHAMMER.ICE-20 was knocked unconscious and is bleeding out.
[02:46:08	][IC] S10/WALLHAMMER.ICE-20: <:: I hate these things. ::>
[02:46:20	][IC] Crash test dummy: This is bullshit!
[02:46:22	]S10/WALLHAMMER.ICE-20 was just killed due to: accepting their death
[02:46:25	][IC] S10/WALLHAMMER.ICE-20: <:: Yep. ::>
[02:46:29	]S10/WALLHAMMER.ICE-20 ran 'Equip' on item 'OSITR' (#1652321)
[02:46:29	]S10/WALLHAMMER.ICE-20 used command '/ToggleRaise'.
[02:46:37	][IC] Crash test dummy: So which armor?
[02:46:38	]S10/WALLHAMMER.ICE-20 ran 'drop' on item 'Containment Uniform' (#1655629)
[02:46:38	]S10/WALLHAMMER.ICE-20 has lost a 'Containment Uniform' #1655629.
[02:46:39	]S10/WALLHAMMER.ICE-20 used the 'John Doe' vendor.
[02:46:44	]Crash test dummy has gained a '20rnd DMR-magazine' #1652269.
[02:46:44	]Crash test dummy has lost a '20rnd DMR-magazine' #1652266.
[02:46:47	]S10/WALLHAMMER.ICE-20 has gained 0 chips.
[02:46:47	]S10/WALLHAMMER.ICE-20 has gained a 'OTA Uniform' #1655634.
[02:46:52	][IC] S10/WALLHAMMER.ICE-20: <:: Yep. ::>
[02:46:53	]Crash test dummy used command '/ToggleRaise'.
[02:46:56	]Crash test dummy has hit S10/WALLHAMMER.ICE-20 in the chest dealing 21 damage (CritChance was 0.23).
[02:46:56	]S10/WALLHAMMER.ICE-20 has taken 21 damage from Crash test dummy.
[02:46:56	]Crash test dummy has hit S10/WALLHAMMER.ICE-20 in the chest dealing 21 damage (CritChance was 0.23).
[02:46:56	]S10/WALLHAMMER.ICE-20 has taken 21 damage from Crash test dummy.
[02:46:56	]Crash test dummy has hit S10/WALLHAMMER.ICE-20 in the chest dealing 21 damage (CritChance was 0.23).
[02:46:56	]S10/WALLHAMMER.ICE-20 has taken 21 damage from Crash test dummy.
[02:46:57	]Crash test dummy has hit S10/WALLHAMMER.ICE-20 in the chest dealing 21 damage (CritChance was 0.23).
[02:46:57	]S10/WALLHAMMER.ICE-20 has taken 21 damage from Crash test dummy.
[02:46:57	]Crash test dummy has hit S10/WALLHAMMER.ICE-20 in the chest dealing 21 damage (CritChance was 0.23).
[02:46:57	]S10/WALLHAMMER.ICE-20 has taken 21 damage from Crash test dummy.
[02:46:57	]Crash test dummy has hit S10/WALLHAMMER.ICE-20 in the chest dealing 21 damage (CritChance was 0.23).
[02:46:57	]S10/WALLHAMMER.ICE-20 has taken 21 damage from Crash test dummy.
[02:46:57	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 in the chest dealing 34 damage (CritChance was 0.23).
[02:46:57	]S10/WALLHAMMER.ICE-20 has taken 34 damage from Crash test dummy.
[02:46:57	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 in the chest dealing 34 damage (CritChance was 0.94).
[02:46:57	]S10/WALLHAMMER.ICE-20 has taken 34 damage from Crash test dummy.
[02:46:57	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 in the chest dealing 34 damage (CritChance was 0.94).
[02:46:57	]S10/WALLHAMMER.ICE-20 has taken 34 damage from Crash test dummy.
[02:47:12	][IC] Crash test dummy: What's your armor look like?
[02:47:16	][IC] S10/WALLHAMMER.ICE-20: <:: 72 hp 0 armor. ::>
[02:47:21	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 in the chest dealing 34 damage (CritChance was 0.94).
[02:47:21	]S10/WALLHAMMER.ICE-20 has taken 34 damage from Crash test dummy.
[02:47:22	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 in the chest dealing 34 damage (CritChance was 0.94).
[02:47:22	]S10/WALLHAMMER.ICE-20 has taken 34 damage from Crash test dummy.
[02:47:26	][IC] S10/WALLHAMMER.ICE-20: <:: 4 hp. ::>
[02:47:38	][IC] Crash test dummy: So 10 shots almost nukes an OTA..
[02:47:49	][IC] Crash test dummy: Getting the jump on a squad isn't half bad for damage by the looks of it..
[02:47:54	]Crash test dummy used command '/ToggleRaise'.
[02:47:57	][IC] S10/WALLHAMMER.ICE-20: <:: Yep. ::>
[02:48:01	][IC] S10/WALLHAMMER.ICE-20: <:: Missed! ::>
[02:48:01	]Crash test dummy ran 'Equip' on item 'Flash Grenade' (#1655633)
[02:48:02	]Crash test dummy used command '/ToggleRaise'.
[02:48:09	][IC] S10/WALLHAMMER.ICE-20: <:: Missed! ::>
[02:48:10	]Crash test dummy ran 'Equip' on item 'Flash Grenade' (#1655631)
[02:48:12	][IC] S10/WALLHAMMER.ICE-20: <:: Haha, hostile is scrambled. ::>
[02:48:13	]Crash test dummy used command '/ToggleRaise'.
[02:48:15	]Crash test dummy has critically hit S10/WALLHAMMER.ICE-20 in the chest dealing 34 damage (CritChance was 0.94).
[02:48:15	]S10/WALLHAMMER.ICE-20 has gained a '60rnd OTAR-magazine' #1652322.
[02:48:15	]S10/WALLHAMMER.ICE-20 was knocked unconscious and is bleeding out.
[02:48:15	]S10/WALLHAMMER.ICE-20 used command '/ToggleRaise'.
[02:48:17	][IC] S10/WALLHAMMER.ICE-20: <:: Hoe. ::>
[02:48:19	][IC] Crash test dummy: Ha.. Didn't miss.
[02:48:27	]Crash test dummy ran 'combine' on item '20rnd DMR-magazine' (#1652268)
[02:48:28	]Crash test dummy ran 'combine' on item '20rnd DMR-magazine' (#1652267)
[02:48:28	]Crash test dummy ran 'combine' on item '20rnd DMR-magazine' (#1652269)
[02:48:29	]Crash test dummy ran 'combine' on item 'Rifle Bullets' (#1655627)
[02:48:30	]Crash test dummy ran 'combine' on item 'Rifle Bullets' (#1655627)
[02:48:31	]Crash test dummy has gained a '20rnd DMR-magazine' #1652266.
[02:48:31	]Crash test dummy has lost a '20rnd DMR-magazine' #1652269.
[02:48:31	]S10/WALLHAMMER.ICE-20 was just killed due to: accepting their death
[02:48:39	][LOOC] Crash test dummy: try marshmellow
[02:48:42	]Crash test dummy ran 'combine' on item '20rnd DMR-magazine' (#1652266)
[02:48:42	]Taliazure loaded the character 'ELputo loco'
[02:48:43	]Crash test dummy has gained a '20rnd DMR-magazine' #1652269.
[02:48:43	]Crash test dummy has lost a '20rnd DMR-magazine' #1652268.
[02:48:51	]Crash test dummy ran 'combine' on item '20rnd DMR-magazine' (#1652269)
[02:49:00	]Crash test dummy has taken 15 damage from ELputo loco.
[02:49:00	]Crash test dummy has taken 1 damage from entityflame.
[02:49:00	]Crash test dummy has taken 1 damage from entityflame.
[02:49:00	]Crash test dummy has taken 1 damage from entityflame.
[02:49:01	]Crash test dummy has taken 1 damage from entityflame.
[02:49:01	]Crash test dummy has taken 1 damage from entityflame.
[02:49:01	]Crash test dummy has taken 1 damage from entityflame.
[02:49:01	]Crash test dummy has taken 1 damage from entityflame.
[02:49:01	]Crash test dummy has taken 1 damage from entityflame.
[02:49:02	]Crash test dummy has taken 1 damage from entityflame.
[02:49:02	]Crash test dummy has taken 1 damage from entityflame.
[02:49:02	]Crash test dummy has taken 1 damage from entityflame.
[02:49:02	]Crash test dummy has taken 1 damage from entityflame.
[02:49:02	]Crash test dummy has taken 1 damage from entityflame.
[02:49:03	]Crash test dummy has taken 1 damage from entityflame.
[02:49:03	]Crash test dummy has taken 1 damage from entityflame.
[02:49:03	]Crash test dummy has taken 1 damage from entityflame.
[02:49:03	]Crash test dummy has taken 1 damage from entityflame.
[02:49:03	]Crash test dummy has taken 1 damage from entityflame.
[02:49:04	]ELputo loco used command '/ToggleRaise'.
[02:49:04	]Crash test dummy has taken 1 damage from entityflame.
[02:49:04	]Crash test dummy has taken 1 damage from entityflame.
[02:49:04	]Crash test dummy has taken 1 damage from entityflame.
