[04:44:58	]Mikey has connected.
[22:29:39	]hayden!!adayden!!!! entered observer.
[22:29:42	]hayden!!adayden!!!! exited observer at their location.
[22:29:46	]hayden!!adayden!!!! entered observer.
[22:29:47	]hayden!!adayden!!!! exited observer at their location.
[22:29:49	]hayden!!adayden!!!! entered observer.
[22:29:50	]hayden!!adayden!!!! exited observer at their location.
[22:29:52	]hayden!!adayden!!!! entered observer.
[22:29:54	]hayden!!adayden!!!! exited observer at their location.
[22:30:00	]hayden!!adayden!!!! entered observer.
[22:30:04	]hayden!!adayden!!!! exited observer at their location.
[22:31:53	]hayden!!adayden!!!! entered observer.
[22:31:58	]hayden!!adayden!!!! exited observer at their location.
[22:32:57	]Hayden created the character 'secondary char'
[22:32:57	]Hayden loaded the character 'secondary char'
[22:32:57	]secondary char has gained a '#75846's Identity Card' #1649814.
[22:33:29	]Hayden loaded the character 'hayden!!adayden!!!!'
[22:33:52	]Hayden loaded the character 'secondary char'
[22:33:58	]secondary char entered observer.
[22:34:07	]secondary char exited observer at their location.
[22:34:11	][PICKUP DISPENSER] Hayden ( secondary char ) picked up an item from the pickup dispenser.
[22:34:11	]secondary char has gained a 'Shop Key' #1649815.
[22:34:15	]secondary char entered observer.
[22:34:19	]secondary char exited observer at their location.
[22:34:29	]secondary char entered observer.
[22:34:34	]secondary char exited observer at their location.
[22:35:27	]secondary char entered observer.
[22:35:51	]secondary char exited observer at their location.
[22:36:36	]Hayden loaded the character 'hayden!!adayden!!!!'
[22:37:32	]Hayden loaded the character 'secondary char'
[22:38:11	]Hayden loaded the character 'hayden!!adayden!!!!'
[22:43:41	]hayden!!adayden!!!! has gone afk.
[22:44:41	]hayden!!adayden!!!! is no longer afk. Total time spent AFK: 355
