[13:29:51	]TheDeNuke has connected.
[17:06:46	]Galungae has spawned a 'NPC [439][npc_zombie]'.
[17:07:09	]Galungae has spawned a 'NPC [428][npc_zombie]'.
[17:07:35	]Galungae used command '/SetVortalEnergy ^ 0'.
[17:08:42	]Galungae used command '/SetVortalEnergy ^ 100'.
[17:09:12	]Galungae entered observer.
[17:09:17	]Galungae exited observer at their location.
[17:09:21	]Galungae has spawned a 'NPC [428][npc_zombie]'.
[17:09:47	]Galungae has fired a toolgun with the name: creator
[17:09:47	]Galungae has spawned a 'NPC [428][npc_citizen]'.
[17:09:56	]Galungae has fired a toolgun with the name: creator
[17:09:56	]Galungae has spawned a 'NPC [436][npc_citizen]'.
[17:09:58	]Galungae has fired a toolgun with the name: creator
[17:09:58	]Galungae has spawned a 'NPC [438][npc_citizen]'.
[17:10:00	]Galungae has fired a toolgun with the name: creator
[17:10:00	]Galungae has spawned a 'NPC [440][npc_citizen]'.
[17:10:01	]Galungae has fired a toolgun with the name: creator
[17:10:01	]Galungae has spawned a 'NPC [430][npc_citizen]'.
[17:10:03	]Galungae has fired a toolgun with the name: creator
[17:10:03	]Galungae has spawned a 'NPC [426][npc_citizen]'.
[17:10:17	]Galungae has fired a toolgun with the name: rope
[17:10:17	]Galungae has fired a toolgun with the name: rope
[17:10:18	]Galungae has fired a toolgun with the name: rope
[17:10:18	]Galungae has fired a toolgun with the name: rope
[17:10:22	]Galungae has fired a toolgun with the name: rope
[17:10:22	]Galungae has fired a toolgun with the name: rope
[17:10:23	]Galungae has fired a toolgun with the name: rope
[17:10:23	]Galungae has fired a toolgun with the name: rope
[17:10:31	]Galungae has fired a toolgun with the name: rope
[17:10:32	]Galungae has fired a toolgun with the name: rope
[17:10:32	]Galungae has fired a toolgun with the name: rope
[17:10:33	]Galungae has fired a toolgun with the name: rope
[17:10:36	]Galungae has fired a toolgun with the name: rope
[17:10:36	]Galungae has fired a toolgun with the name: rope
[17:10:36	]Galungae has fired a toolgun with the name: rope
[17:10:37	]Galungae has fired a toolgun with the name: rope
[17:10:40	]Galungae has fired a toolgun with the name: rope
[17:10:40	]Galungae has fired a toolgun with the name: rope
[17:10:41	]Galungae has fired a toolgun with the name: rope
[17:10:41	]Galungae has fired a toolgun with the name: rope
[17:10:44	]Galungae has fired a toolgun with the name: rope
[17:10:44	]Galungae has fired a toolgun with the name: rope
[17:10:45	]Galungae has fired a toolgun with the name: rope
[17:10:45	]Galungae has fired a toolgun with the name: rope
[17:10:49	]Galungae entered observer.
[17:10:59	]Galungae exited observer at their location.
[17:11:25	]Galungae used command '/SetVortalEnergy ^ 100'.
[17:11:49	]Galungae entered observer.
[17:11:49	]Galungae exited observer at their location.
[17:12:29	]Galungae has fired a toolgun with the name: rope
[17:12:32	]Galungae has fired a toolgun with the name: rope
[17:12:55	]Galungae has fired a toolgun with the name: rope
[17:12:58	]Galungae has fired a toolgun with the name: rope
[17:13:16	]Galungae has spawned a 'NPC [431][npc_citizen]'.
[17:13:18	]Galungae has spawned a 'NPC [436][npc_citizen]'.
[17:13:23	]Galungae has fired a toolgun with the name: rope
[17:13:23	]Galungae has fired a toolgun with the name: rope
[17:13:24	]Galungae has fired a toolgun with the name: rope
[17:13:24	]Galungae has fired a toolgun with the name: rope
[17:13:52	]Galungae has used a context menu option with the name: remove
[17:13:53	]Galungae has used a context menu option with the name: remove
[17:13:57	]Galungae has spawned a 'NPC [430][npc_citizen]'.
[17:13:59	]Galungae has spawned a 'NPC [436][npc_citizen]'.
[17:14:01	]Galungae has spawned a 'NPC [430][npc_citizen]'.
[17:15:09	]Galungae entered observer.
[17:15:20	]Galungae exited observer at their location.
[17:15:40	]Galungae has spawned a 'NPC [430][npc_metropolice]'.
[17:15:43	]Galungae entered observer.
[17:15:47	]Galungae has spawned a 'NPC [430][npc_metropolice]'.
[17:15:49	]Galungae has spawned a 'NPC [433][npc_metropolice]'.
[17:15:57	]Galungae has spawned a 'NPC [431][npc_vortigaunt]'.
[17:16:17	]Galungae exited observer at their location.
[17:16:19	]Galungae entered observer.
[17:17:39	]Galungae has spawned a 'NPC [433][npc_citizen]'.
[17:17:41	]Galungae exited observer at their location.
[17:17:42	]Galungae entered observer.
[17:17:56	]Galungae has spawned a 'NPC [433][npc_vortigaunt]'.
[17:18:05	]Galungae has spawned a 'NPC [436][npc_metropolice]'.
[17:18:07	]Galungae has spawned a 'NPC [457][npc_metropolice]'.
[17:18:09	]Galungae has spawned a 'NPC [463][npc_metropolice]'.
[17:18:10	]Galungae has spawned a 'NPC [457][npc_metropolice]'.
[17:18:11	]Galungae has spawned a 'NPC [463][npc_metropolice]'.
[17:18:12	]Galungae has spawned a 'NPC [457][npc_metropolice]'.
[17:18:13	]Galungae has spawned a 'NPC [463][npc_metropolice]'.
[17:18:14	]Galungae has spawned a 'NPC [457][npc_metropolice]'.
[17:18:15	]Galungae has spawned a 'NPC [463][npc_metropolice]'.
[17:18:16	]Galungae has spawned a 'NPC [457][npc_metropolice]'.
[17:18:17	]Galungae has spawned a 'NPC [463][npc_metropolice]'.
[17:18:59	]Galungae exited observer at their location.
[17:19:03	]Galungae entered observer.
[17:20:51	]Galungae has spawned a 'NPC [437][npc_metropolice]'.
[17:20:52	]Galungae exited observer at their location.
[17:20:55	]Galungae entered observer.
[17:21:19	]Galungae has fired a toolgun with the name: rope
[17:21:19	]Galungae has fired a toolgun with the name: rope
[17:21:20	]Galungae has fired a toolgun with the name: rope
[17:21:20	]Galungae has fired a toolgun with the name: rope
[17:23:28	]Galungae exited observer at their location.
[17:23:41	]Galungae entered observer.
[17:24:50	]Galungae exited observer at their location.
[17:24:53	]Galungae entered observer.
[17:25:02	]Galungae exited observer at their location.
[17:25:04	]Galungae has spawned a 'NPC [426][npc_antlion]'.
[17:25:11	]Galungae has spawned a 'NPC [426][npc_antlion]'.
[17:25:11	]Galungae has spawned a 'NPC [429][npc_antlion]'.
[17:25:13	]Galungae has taken 5 damage from npc_antlion.
[17:25:14	]Galungae is fully healed.
[17:25:29	]Galungae has spawned a 'NPC [429][npc_antlion]'.
[17:25:29	]Galungae has spawned a 'NPC [432][npc_antlion]'.
[17:25:30	]Galungae has spawned a 'NPC [433][npc_antlion]'.
[17:25:47	]Galungae has spawned a 'NPC [429][npc_headcrab_fast]'.
[17:25:49	]Galungae has spawned a 'NPC [436][npc_headcrab_fast]'.
[17:25:49	]Galungae has taken 5 damage from npc_headcrab_fast.
[17:25:54	]Galungae is fully healed.
[17:25:55	]Galungae has taken 5 damage from npc_headcrab_fast.
[17:25:59	]Galungae is fully healed.
[17:26:00	]Galungae used command '/SetVortalEnergy ^ 100'.
[17:28:34	]Galungae has taken 12 damage from worldspawn.
[17:28:34	]Galungae is fully healed.
[17:30:16	]Furret No Furry Asimo loaded the character 'Billly Bo'
[17:30:51	]Billly Bo has given himself a p2000.
[17:30:51	]Billly Bo has gained a 'H&K P2000' #1650247.
[17:30:54	]Billly Bo ran 'Equip' on item 'H&K P2000' (#1650247)
[17:31:00	]Billly Bo has given himself a magazine_p2000_13rnd.
[17:31:00	]Billly Bo has gained a '13rnd P2000-magazine' #1650248.
[17:31:03	]Billly Bo has given himself a bullets_pistol.
[17:31:03	]Billly Bo has gained a '9mm Pistol Bullets' #1650249.
[17:31:13	]Billly Bo entered observer.
[17:31:14	]Billly Bo used command '/ToggleRaise'.
[17:31:14	]Billly Bo exited observer at their location.
[17:31:16	]Billly Bo ran 'combine' on item '13rnd P2000-magazine' (#1650248)
[17:31:17	]Billly Bo has lost a '13rnd P2000-magazine' #1650248.
[17:31:31	]Billly Bo ran 'removeMag' on item 'H&K P2000' (#1650247)
[17:31:31	]Billly Bo has gained a '13rnd P2000-magazine' #1650248.
[17:31:31	]Billly Bo ran 'combine' on item '13rnd P2000-magazine' (#1650248)
[17:31:32	]Billly Bo has lost a '13rnd P2000-magazine' #1650248.
[17:31:36	]Billly Bo has spawned a 'NPC [428][npc_zombie]'.
[17:31:37	]Billly Bo has hit npc_zombie in the chest dealing 5 damage (CritChance was 0.84).
[17:31:37	]Billly Bo has critically hit npc_zombie in the right arm dealing 7 damage (CritChance was 0.84).
[17:31:37	]Billly Bo has critically hit npc_zombie in the right arm dealing 7 damage (CritChance was 0.84).
[17:31:41	]Billly Bo has gained level 1 in the Guns skill.
[17:31:43	]Billly Bo has hit npc_zombie in the chest dealing 5 damage (CritChance was 0.84).
[17:31:44	]Billly Bo has critically hit npc_zombie in the chest dealing 8 damage (CritChance was 0.84).
[17:31:44	]Billly Bo has gained level 2 in the Guns skill.
[17:31:44	]Billly Bo has critically hit npc_zombie in the chest dealing 8 damage (CritChance was 0.84).
[17:31:45	]Billly Bo has critically hit npc_zombie in the chest dealing 8 damage (CritChance was 0.85).
[17:31:45	]Billly Bo has critically hit npc_zombie in the chest dealing 0 damage (CritChance was 0.85).
[17:31:45	]Billly Bo has gained level 3 in the Guns skill.
[17:31:45	]Billly Bo has critically hit npc_zombie in the chest dealing 8 damage (CritChance was 0.85).
[17:31:45	]Billly Bo has critically hit npc_zombie in the chest dealing 8 damage (CritChance was 0.85).
[17:31:46	]Billly Bo has critically hit npc_zombie in the chest dealing 8 damage (CritChance was 0.85).
[17:31:46	]Billly Bo has gained level 4 in the Guns skill.
[17:31:46	]Billly Bo has hit npc_zombie in the chest dealing 5 damage (CritChance was 0.85).
[17:31:48	]Billly Bo has hit npc_zombie in the chest dealing 5 damage (CritChance was 0.86).
[17:31:48	]Billly Bo has critically hit npc_zombie in the chest dealing 8 damage (CritChance was 0.86).
[17:31:51	]Billly Bo ran 'removeMag' on item 'H&K P2000' (#1650247)
[17:31:51	]Billly Bo has gained a '13rnd P2000-magazine' #1650248.
[17:31:51	]Billly Bo ran 'combine' on item '13rnd P2000-magazine' (#1650248)
[17:31:52	]Billly Bo has lost a '13rnd P2000-magazine' #1650248.
[17:31:55	]Billly Bo has gained level 5 in the Guns skill.
[17:31:55	]Billly Bo has critically hit npc_zombie in the chest dealing 8 damage (CritChance was 0.86).
[17:31:55	]Billly Bo has critically hit npc_zombie in the chest dealing 8 damage (CritChance was 0.86).
[17:31:56	]Billly Bo has critically hit npc_zombie in the chest dealing 8 damage (CritChance was 0.86).
[17:32:18	]Billly Bo used command '/CharSkillReset ^ guns'.
[17:32:21	]Billly Bo ran 'EquipUn' on item 'H&K P2000' (#1650247)
[17:32:21	]Billly Bo has gained a '13rnd P2000-magazine' #1650248.
[17:32:38	]Billly Bo has given himself a akm.
[17:32:38	]Billly Bo has gained a 'AKM' #1650250.
[17:32:44	]Billly Bo has given himself a magazine_ak_30rnd.
[17:32:44	]Billly Bo has gained a '30rnd AK-magazine' #1650251.
[17:32:45	]Billly Bo has given himself a magazine_ak_30rnd.
[17:32:45	]Billly Bo has gained a '30rnd AK-magazine' #1650252.
[17:32:49	]Billly Bo has given himself a bullets_assaultrifle.
[17:32:49	]Billly Bo has gained a 'Assault Rifle Bullets' #1650253.
[17:32:49	]Billly Bo has given himself a bullets_assaultrifle.
[17:32:49	]Billly Bo has gained a 'Assault Rifle Bullets' #1650254.
[17:32:51	]Billly Bo ran 'combine' on item '30rnd AK-magazine' (#1650251)
[17:32:52	]Billly Bo ran 'combine' on item '30rnd AK-magazine' (#1650252)
[17:32:53	]Billly Bo ran 'Equip' on item 'AKM' (#1650250)
[17:32:54	]Billly Bo has lost a '30rnd AK-magazine' #1650252.
[17:32:55	]Billly Bo used command '/ToggleRaise'.
[17:33:00	]Billly Bo has spawned a 'NPC [429][npc_zombie]'.
[17:33:02	]Billly Bo has gained level 1 in the Guns skill.
[17:33:02	]Billly Bo has hit npc_zombie in the chest dealing 11 damage (CritChance was 0.42).
[17:33:04	]Billly Bo has hit npc_zombie in the chest dealing 11 damage (CritChance was 0.44).
[17:33:05	]Billly Bo has critically hit npc_zombie in the head dealing 19 damage (CritChance was 0.44).
[17:33:06	]Billly Bo has gained level 2 in the Guns skill.
[17:33:06	]Billly Bo has critically hit npc_zombie in the chest dealing 18 damage (CritChance was 0.44).
[17:33:09	]Billly Bo has critically hit npc_headcrab dealing 18 damage (CritChance was 0.46).
[17:33:13	]Billly Bo has spawned a 'NPC [432][npc_zombie]'.
[17:33:14	]Billly Bo has hit npc_zombie in the chest dealing 11 damage (CritChance was 0.46).
[17:33:15	]Billly Bo has gained level 3 in the Guns skill.
[17:33:15	]Billly Bo has hit npc_zombie in the head dealing 0 damage (CritChance was 0.46).
[17:33:15	]Billly Bo has hit npc_zombie in the head dealing 0 damage (CritChance was 0.48).
[17:33:15	]Billly Bo has hit npc_zombie in the head dealing 9 damage (CritChance was 0.48).
[17:33:16	]Billly Bo has critically hit npc_zombie in the head dealing 0 damage (CritChance was 0.48).
[17:33:16	]Billly Bo has gained level 4 in the Guns skill.
[17:33:16	]Billly Bo has critically hit npc_zombie in the head dealing 19 damage (CritChance was 0.48).
[17:33:48	]Billly Bo has gained a '30rnd AK-magazine' #1650252.
[17:33:48	]Billly Bo has lost a '30rnd AK-magazine' #1650251.
[17:33:50	]Billly Bo has spawned a 'NPC [432][npc_zombie]'.
[17:33:52	]Billly Bo has hit npc_zombie in the right arm dealing 7 damage (CritChance was 0.50).
[17:33:55	]Billly Bo has critically hit npc_zombie in the chest dealing 18 damage (CritChance was 0.50).
[17:33:56	]Billly Bo has gained level 5 in the Guns skill.
[17:33:56	]Billly Bo has hit npc_zombie in the head dealing 0 damage (CritChance was 0.50).
[17:33:56	]Billly Bo has critically hit npc_zombie in the head dealing 19 damage (CritChance was 0.53).
[17:33:57	]Kaffee has connected.
[17:33:58	]Billly Bo has hit npc_zombie in the right arm dealing 7 damage (CritChance was 0.53).
[17:33:59	]Billly Bo has gained level 6 in the Guns skill.
[17:33:59	]Billly Bo has critically hit npc_zombie in the head dealing 19 damage (CritChance was 0.53).
[17:34:41	]Billly Bo has gained a '30rnd AK-magazine' #1650251.
[17:34:41	]Billly Bo has lost a '30rnd AK-magazine' #1650252.
[17:34:43	]Billly Bo used command '/ToggleRaise'.
[17:37:04	]Kaffee loaded the character 'Sho'Tcop'
[17:37:09	]Sho'Tcop is fully healed.
[17:37:19	]Sho'Tcop entered observer.
[17:37:23	]Sho'Tcop exited observer at their location.
[17:37:58	]Billly Bo has gained a '30rnd AK-magazine' #1650252.
[17:37:58	]Billly Bo was knocked unconscious and is bleeding out.
[17:38:02	][IC] Billly Bo: Guh.
[17:38:09	]Billly Bo ran SAM command 'hp' with arguments: '^' '100'
[17:38:17	][IC] Billly Bo: How'd you one shot me.
[17:38:26	][LOOC] Sho'Tcop: 50 vortessence
[17:38:26	][IC] Billly Bo: Which beam did u use.
[17:38:35	]Billly Bo has taken 96 damage from Sho'Tcop.
[17:38:38	][IC] Billly Bo: Ah.
[17:38:41	][IC] Billly Bo: 96 damage.
[17:38:43	][IC] Billly Bo: All good.
[17:38:50	]Sho'Tcop used command '/EnterMeditation'.
[17:38:57	][IC] Billly Bo: So uh.
[17:39:02	][IC] Billly Bo: They said that lasts 30 minutes.
[17:39:09	][IC] Billly Bo: Can you move at all.
[17:39:12	][IC] Billly Bo: Or cancel it.
[17:39:13	][IC] Sho'Tcop: No.
[17:39:16	][IC] Billly Bo: Ah.
[17:39:16	][IC] Billly Bo: So.
[17:39:18	][IC] Billly Bo: You do that.
[17:39:19	][IC] Sho'Tcop: I can re enter the command.
[17:39:23	]Sho'Tcop used command '/EnterMeditation'.
[17:39:24	][IC] Billly Bo: Civvie comes.
[17:39:27	][IC] Billly Bo: Ah good.
[17:39:37	][IC] Billly Bo: Cause otherwise you enter it and a civvie comes, snitches and OTA just picks you up.
[17:39:41	][IC] Billly Bo: WHile you;  re frozed.
[17:39:43	][IC] Billly Bo: That'd be funny.
[17:39:51	][LOOC] Sho'Tcop: have you tested time to kill with pyro
[17:39:59	]Billly Bo ran SAM command 'hp' with arguments: '^' '100'
[17:40:00	][IC] Billly Bo: Hit me.
[17:40:08	]Sho'Tcop used command '/SetVortalEnergy sho 100'.
[17:40:15	]Billly Bo has taken 15 damage from Sho'Tcop.
[17:40:15	]Billly Bo has taken 1 damage from entityflame.
[17:40:15	]Billly Bo has taken 1 damage from entityflame.
[17:40:15	]Billly Bo has taken 1 damage from entityflame.
[17:40:16	]Billly Bo has taken 1 damage from entityflame.
[17:40:16	]Billly Bo has taken 1 damage from entityflame.
[17:40:16	]Billly Bo has taken 1 damage from entityflame.
[17:40:16	]Billly Bo has taken 1 damage from entityflame.
[17:40:16	]Billly Bo has taken 1 damage from entityflame.
[17:40:17	]Billly Bo has taken 1 damage from entityflame.
[17:40:17	]Billly Bo has taken 1 damage from entityflame.
[17:40:17	]Billly Bo has taken 1 damage from entityflame.
[17:40:17	]Billly Bo has taken 1 damage from entityflame.
[17:40:17	]Billly Bo has taken 1 damage from entityflame.
[17:40:18	]Billly Bo has taken 1 damage from entityflame.
[17:40:18	]Billly Bo has taken 1 damage from entityflame.
[17:40:18	]Billly Bo has taken 1 damage from entityflame.
[17:40:18	]Billly Bo has taken 1 damage from entityflame.
[17:40:18	]Billly Bo has taken 1 damage from entityflame.
[17:40:19	]Billly Bo has taken 1 damage from entityflame.
[17:40:19	]Billly Bo has taken 1 damage from entityflame.
[17:40:19	]Billly Bo has taken 1 damage from entityflame.
[17:40:19	]Billly Bo has taken 1 damage from entityflame.
[17:40:19	]Billly Bo has taken 1 damage from entityflame.
[17:40:20	]Billly Bo has taken 1 damage from entityflame.
[17:40:20	]Billly Bo has taken 1 damage from entityflame.
[17:40:20	]Billly Bo has taken 1 damage from entityflame.
[17:40:20	]Billly Bo has taken 1 damage from entityflame.
[17:40:20	]Billly Bo has taken 1 damage from entityflame.
[17:40:21	]Billly Bo has taken 1 damage from entityflame.
[17:40:21	]Billly Bo has taken 1 damage from entityflame.
[17:40:21	]Billly Bo has taken 1 damage from entityflame.
[17:40:21	]Billly Bo has taken 1 damage from entityflame.
[17:40:21	]Billly Bo has taken 1 damage from entityflame.
[17:40:22	]Billly Bo has taken 1 damage from entityflame.
[17:40:22	]Billly Bo has taken 1 damage from entityflame.
[17:40:22	]Billly Bo has taken 1 damage from entityflame.
[17:40:22	]Billly Bo has taken 1 damage from entityflame.
[17:40:22	]Billly Bo has taken 1 damage from entityflame.
[17:40:23	]Billly Bo has taken 1 damage from entityflame.
[17:40:23	]Billly Bo has taken 1 damage from entityflame.
[17:40:23	]Billly Bo has taken 1 damage from entityflame.
[17:40:23	]Billly Bo has taken 1 damage from entityflame.
[17:40:23	]Billly Bo has taken 1 damage from entityflame.
[17:40:24	]Billly Bo has taken 1 damage from entityflame.
[17:40:24	]Billly Bo has taken 1 damage from entityflame.
[17:40:24	]Billly Bo has taken 1 damage from entityflame.
[17:40:24	]Billly Bo has taken 1 damage from entityflame.
[17:40:24	]Billly Bo has taken 1 damage from entityflame.
[17:40:25	]Billly Bo has taken 1 damage from entityflame.
[17:40:25	]Billly Bo has taken 1 damage from entityflame.
[17:40:25	]Billly Bo has taken 1 damage from entityflame.
[17:40:25	]Billly Bo has taken 1 damage from entityflame.
[17:40:25	]Billly Bo has taken 1 damage from entityflame.
[17:40:26	]Billly Bo has taken 1 damage from entityflame.
