[13:39:29	]Kranky has connected.
[22:50:52	]S10/EOW.SENTINEL-08 destroyed a 'Overwatch Assault Shotgun' #1655365.
[22:50:53	]S10/EOW.SENTINEL-08 destroyed a 'OSITR' #1655812.
[22:50:58	]S10/EOW.SENTINEL-08 destroyed a 'Incendiary Grenade' #1652000.
[22:51:11	]S10/EOW.SENTINEL-08 used command '/LinkRemove'.
[22:51:25	]S10/EOW.SENTINEL-08 used command '/LinkAccount https://willard.network/forums/members/vadim.2059/'.
[22:51:37	]S10/EOW.SENTINEL-08 used command '/LinkComplete UHropvRScQjp'.
[22:51:50	]Vadim loaded the character 'S10/OSL.SPEAR-78'
[22:51:55	]S10/OSL.SPEAR-78 is fully healed.
[22:52:25	]Vadim (STEAM_0:1:555082508) deleted character 'Delegate Calus'
[22:52:32	]Vadim has unloaded their "S10/OSL.SPEAR-78" character.
[22:52:46	]Vadim loaded the character 'C24/SCN-09'
[22:52:51	]C24/SCN-09 is fully healed.
[22:53:28	]C24/SCN-09 used command '/LinkRemove'.
[22:53:55	]C24/SCN-09 used command '/LinkAccount https://willard.network/forums/members/vadim.2059/'.
[22:54:11	]C24/SCN-09 used command '/LinkComplete qIP3cSGxfWBB'.
[22:54:15	]Vadim has unloaded their "C24/SCN-09" character.
[22:54:27	]Vadim (STEAM_0:1:555082508) has disconnected.
[23:01:18	]Vadim has connected.
[23:04:47	]Vadim created the character 'wwwwwwwwwwwwwwwwww'
[23:04:47	]Vadim loaded the character 'wwwwwwwwwwwwwwwwww'
[23:05:31	]wwwwwwwwwwwwwwwwww has gained a 'Counterculture Radio' #1655823.
[23:05:35	]wwwwwwwwwwwwwwwwww ran 'Deploy' on item 'Counterculture Radio' (#1655823)
[23:05:49	]wwwwwwwwwwwwwwwwww ran 'take' on item 'CP Mask' (#1653007)
[23:05:49	]wwwwwwwwwwwwwwwwww has gained a 'CP Mask' #1653007.
[23:05:51	]wwwwwwwwwwwwwwwwww ran 'take' on item 'USP-45' (#347034)
[23:05:51	]wwwwwwwwwwwwwwwwww has gained a 'USP-45' #347034.
[23:05:54	]wwwwwwwwwwwwwwwwww ran 'take' on item 'Sub-machinegun Bullets' (#1653488)
[23:05:54	]wwwwwwwwwwwwwwwwww has gained a 'Sub-machinegun Bullets' #1653488.
[23:05:56	]wwwwwwwwwwwwwwwwww ran 'take' on item 'Sub-machinegun Bullets' (#1653487)
[23:05:56	]wwwwwwwwwwwwwwwwww has gained a 'Sub-machinegun Bullets' #1653487.
[23:06:01	]wwwwwwwwwwwwwwwwww ran 'Equip' on item 'USP-45' (#347034)
[23:06:05	]wwwwwwwwwwwwwwwwww ran 'EquipUn' on item 'USP-45' (#347034)
[23:06:07	]wwwwwwwwwwwwwwwwww ran 'clearChamber' on item 'USP-45' (#347034)
[23:06:07	]wwwwwwwwwwwwwwwwww has gained a '9mm Pistol Bullets' #1655824.
[23:06:08	]wwwwwwwwwwwwwwwwww ran 'Equip' on item 'USP-45' (#347034)
[23:06:32	]wwwwwwwwwwwwwwwwww ran 'EquipUn' on item 'USP-45' (#347034)
[23:06:34	]wwwwwwwwwwwwwwwwww ran 'Equip' on item 'USP-45' (#347034)
[23:07:31	]wwwwwwwwwwwwwwwwww ran 'EquipUn' on item 'USP-45' (#347034)
[23:07:32	]wwwwwwwwwwwwwwwwww ran 'drop' on item 'USP-45' (#347034)
[23:07:32	]wwwwwwwwwwwwwwwwww has lost a 'USP-45' #347034.
[23:07:33	]wwwwwwwwwwwwwwwwww ran 'take' on item 'UMP-45' (#1655153)
[23:07:33	]wwwwwwwwwwwwwwwwww has gained a 'UMP-45' #1655153.
[23:07:38	]wwwwwwwwwwwwwwwwww ran 'take' on item '25rnd Ump-magazine' (#1650939)
[23:07:38	]wwwwwwwwwwwwwwwwww has gained a '25rnd Ump-magazine' #1650939.
[23:07:40	]wwwwwwwwwwwwwwwwww ran 'take' on item '25rnd Ump-magazine' (#1650938)
[23:07:40	]wwwwwwwwwwwwwwwwww has gained a '25rnd Ump-magazine' #1650938.
[23:07:42	]wwwwwwwwwwwwwwwwww ran 'take' on item '25rnd Ump-magazine' (#1652925)
[23:07:42	]wwwwwwwwwwwwwwwwww has gained a '25rnd Ump-magazine' #1652925.
[23:07:44	]wwwwwwwwwwwwwwwwww ran 'take' on item 'Sub-machinegun Bullets' (#1655155)
[23:07:44	]wwwwwwwwwwwwwwwwww has gained a 'Sub-machinegun Bullets' #1655155.
[23:07:48	]wwwwwwwwwwwwwwwwww ran 'drop' on item '9mm Pistol Bullets' (#1655824)
[23:07:48	]wwwwwwwwwwwwwwwwww has lost a '9mm Pistol Bullets' #1655824.
[23:07:51	]wwwwwwwwwwwwwwwwww ran 'drop' on item 'CP Mask' (#1653007)
[23:07:51	]wwwwwwwwwwwwwwwwww has lost a 'CP Mask' #1653007.
[23:07:56	]wwwwwwwwwwwwwwwwww ran 'combine' on item '25rnd Ump-magazine' (#1652925)
[23:07:59	]wwwwwwwwwwwwwwwwww ran 'combine' on item 'Sub-machinegun Bullets' (#1653487)
[23:08:05	]wwwwwwwwwwwwwwwwww ran 'Equip' on item 'UMP-45' (#1655153)
[23:08:06	]wwwwwwwwwwwwwwwwww has lost a '25rnd Ump-magazine' #1652925.
[23:08:06	]wwwwwwwwwwwwwwwwww has gained a '25rnd Ump-magazine' #1650940.
[23:08:09	]wwwwwwwwwwwwwwwwww has gained a '25rnd Ump-magazine' #1652925.
[23:08:09	]wwwwwwwwwwwwwwwwww has lost a '25rnd Ump-magazine' #1650940.
[23:08:21	]wwwwwwwwwwwwwwwwww has gained a '25rnd Ump-magazine' #1650940.
[23:08:21	]wwwwwwwwwwwwwwwwww has lost a '25rnd Ump-magazine' #1652925.
[23:08:25	]wwwwwwwwwwwwwwwwww ran 'combine' on item '25rnd Ump-magazine' (#1650940)
[23:08:26	]wwwwwwwwwwwwwwwwww ran 'combine' on item '25rnd Ump-magazine' (#1650940)
[23:09:15	]wwwwwwwwwwwwwwwwww has gained a '25rnd Ump-magazine' #1652925.
[23:09:15	]wwwwwwwwwwwwwwwwww has lost a '25rnd Ump-magazine' #1650940.
[23:09:18	]wwwwwwwwwwwwwwwwww ran 'combine' on item '25rnd Ump-magazine' (#1652925)
[23:09:20	]wwwwwwwwwwwwwwwwww has gained a '25rnd Ump-magazine' #1650940.
[23:09:20	]wwwwwwwwwwwwwwwwww has lost a '25rnd Ump-magazine' #1652925.
[23:09:28	]wwwwwwwwwwwwwwwwww has gained a '25rnd Ump-magazine' #1652925.
[23:09:28	]wwwwwwwwwwwwwwwwww has lost a '25rnd Ump-magazine' #1650940.
[23:09:34	]wwwwwwwwwwwwwwwwww ran 'take' on item '20rnd DMR-magazine' (#1654820)
[23:09:34	]wwwwwwwwwwwwwwwwww has gained a '20rnd DMR-magazine' #1654820.
[23:09:35	]wwwwwwwwwwwwwwwwww ran 'take' on item 'Assault Rifle Bullets' (#1655198)
[23:09:35	]wwwwwwwwwwwwwwwwww has gained a 'Assault Rifle Bullets' #1655198.
[23:09:38	]wwwwwwwwwwwwwwwwww ran 'take' on item 'Assault Rifle Bullets' (#1655199)
[23:09:38	]wwwwwwwwwwwwwwwwww has gained a 'Assault Rifle Bullets' #1655199.
[23:09:50	]wwwwwwwwwwwwwwwwww ran 'drop' on item 'UMP-45' (#1655153)
[23:09:50	]wwwwwwwwwwwwwwwwww has lost a 'UMP-45' #1655153.
[23:09:52	]wwwwwwwwwwwwwwwwww ran 'drop' on item '25rnd Ump-magazine' (#1650939)
[23:09:52	]wwwwwwwwwwwwwwwwww has lost a '25rnd Ump-magazine' #1650939.
[23:09:53	]wwwwwwwwwwwwwwwwww ran 'drop' on item '25rnd Ump-magazine' (#1652925)
[23:09:53	]wwwwwwwwwwwwwwwwww has lost a '25rnd Ump-magazine' #1652925.
[23:09:54	]wwwwwwwwwwwwwwwwww ran 'drop' on item '25rnd Ump-magazine' (#1650938)
[23:09:54	]wwwwwwwwwwwwwwwwww has lost a '25rnd Ump-magazine' #1650938.
[23:09:56	]wwwwwwwwwwwwwwwwww ran 'drop' on item 'Sub-machinegun Bullets' (#1655155)
[23:09:56	]wwwwwwwwwwwwwwwwww has lost a 'Sub-machinegun Bullets' #1655155.
[23:09:59	]wwwwwwwwwwwwwwwwww ran 'take' on item 'Rifle Bullets' (#1654579)
[23:09:59	]wwwwwwwwwwwwwwwwww has gained a 'Rifle Bullets' #1654579.
[23:10:04	]wwwwwwwwwwwwwwwwww ran 'take' on item 'SCAR-H' (#1655114)
[23:10:04	]wwwwwwwwwwwwwwwwww has gained a 'SCAR-H' #1655114.
[23:10:11	]wwwwwwwwwwwwwwwwww ran 'Equip' on item 'SCAR-H' (#1655114)
[23:10:19	]wwwwwwwwwwwwwwwwww ran 'combine' on item '20rnd DMR-magazine' (#1654820)
[23:10:20	]wwwwwwwwwwwwwwwwww ran 'drop' on item 'Assault Rifle Bullets' (#1655198)
[23:10:20	]wwwwwwwwwwwwwwwwww has lost a 'Assault Rifle Bullets' #1655198.
[23:10:21	]wwwwwwwwwwwwwwwwww ran 'drop' on item 'Assault Rifle Bullets' (#1655199)
[23:10:21	]wwwwwwwwwwwwwwwwww has lost a 'Assault Rifle Bullets' #1655199.
[23:10:25	]wwwwwwwwwwwwwwwwww has lost a '20rnd DMR-magazine' #1654820.
[23:12:51	]wwwwwwwwwwwwwwwwww has taken 47 damage from worldspawn.
[23:13:09	]wwwwwwwwwwwwwwwwww has taken 0 damage from worldspawn.
[23:13:14	]wwwwwwwwwwwwwwwwww has taken 46 damage from worldspawn.
[23:13:17	]Vadim (STEAM_0:1:555082508) has disconnected.
