[08:48:04	]Commissar_Krieger has connected.
[15:50:52	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:52	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:52	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:52	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:53	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:53	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:53	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:53	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:54	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:54	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:54	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:54	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:54	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:55	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:55	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:56	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:56	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:56	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:56	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:57	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:57	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:57	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:57	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:58	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:58	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:59	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:50:59	]C24:i5.ROLLER-34 has fired a toolgun with the name: remover
[15:51:12	]C24:i5.ROLLER-34 used command '/AreaEdit'.
[15:51:18	]C24:i5.ROLLER-34 has removed area "New Area".
[15:51:19	][Area-Based NPC Spawner] SERVER has automatically removed invalid area spawner: test at New Area
