[00:00:03	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 17 damage (CritChance was 0.65).
[00:02:30	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the stomach dealing 19 damage (CritChance was 0.65).
[00:02:30	]Julia Jazmin has hit npc_vj_hlr2_rebel in the stomach dealing 12 damage (CritChance was 0.65).
[00:02:30	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 12 damage (CritChance was 0.65).
[00:02:31	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:02:32	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:02:32	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:02:33	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:02:33	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:02:33	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:02:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:02:41	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the right arm dealing 19 damage (CritChance was 0.65).
[00:02:41	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:02:42	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:03:01	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 12 damage (CritChance was 0.65).
[00:03:01	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:03:01	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:03:02	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:03:02	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:03:02	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:03:03	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 12 damage (CritChance was 0.65).
[00:03:03	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:03:03	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 12 damage (CritChance was 0.65).
[00:03:04	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the stomach dealing 19 damage (CritChance was 0.65).
[00:03:05	]Julia Jazmin ran 'drop' on item 'Tikhar Ball Rifle' (#2687464)
[00:03:05	]Julia Jazmin has lost a 'Tikhar Ball Rifle' #2687464.
[00:03:17	]Julia Jazmin used the 'John Doe' vendor.
[00:03:27	]Julia Jazmin has gained 0 chips.
[00:03:27	]Julia Jazmin has gained a 'VSK-94' #2687465.
[00:03:29	]Julia Jazmin ran 'Equip' on item 'VSK-94' (#2687465)
[00:03:29	]Julia Jazmin used command '/ToggleRaise'.
[00:03:33	][IC] Julia Jazmin: Patience.
[00:03:34	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:34	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 8 damage (CritChance was 0.65).
[00:03:34	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:35	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 8 damage (CritChance was 0.65).
[00:03:35	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the right arm dealing 13 damage (CritChance was 0.65).
[00:03:35	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:35	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:36	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:36	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:36	]Julia Jazmin has hit npc_vj_hlr2_rebel in the stomach dealing 8 damage (CritChance was 0.65).
[00:03:36	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:36	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 8 damage (CritChance was 0.65).
[00:03:37	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:37	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the right arm dealing 13 damage (CritChance was 0.65).
[00:03:37	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the left arm dealing 13 damage (CritChance was 0.65).
[00:03:37	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:37	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:37	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 8 damage (CritChance was 0.65).
[00:03:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:41	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 8 damage (CritChance was 0.65).
[00:03:54	]Julia Jazmin has hit npc_vj_hlr2_rebel in the head dealing 8 damage (CritChance was 0.65).
[00:03:54	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:55	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:03:55	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 13 damage (CritChance was 0.65).
[00:04:07	]Julia Jazmin ran 'drop' on item 'VSK-94' (#2687465)
[00:04:07	]Julia Jazmin has lost a 'VSK-94' #2687465.
[00:04:09	]Julia Jazmin used the 'John Doe' vendor.
[00:04:13	]Julia Jazmin has gained 0 chips.
[00:04:13	]Julia Jazmin has gained a 'MP-155' #2687466.
[00:04:14	]Julia Jazmin has gained 0 chips.
[00:04:14	]Julia Jazmin has gained a 'M1911' #2687467.
[00:04:16	]Julia Jazmin ran 'Equip' on item 'MP-155' (#2687466)
[00:04:16	]Julia Jazmin used command '/ToggleRaise'.
[00:04:28	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:28	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:28	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:28	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:28	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 4 damage (CritChance was 0.84).
[00:04:28	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:28	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 4 damage (CritChance was 0.84).
[00:04:28	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 4 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 4 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 4 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has hit npc_vj_hlr2_rebel in the right arm dealing 4 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the right arm dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the right arm dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the right arm dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the right arm dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the right arm dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 4 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 4 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:40	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.84).
[00:04:44	]Julia Jazmin ran 'drop' on item 'MP-155' (#2687466)
[00:04:44	]Julia Jazmin has lost a 'MP-155' #2687466.
[00:04:48	]Julia Jazmin used the 'John Doe' vendor.
[00:04:54	]Julia Jazmin has gained 0 chips.
[00:04:54	]Julia Jazmin has gained a 'AKM' #2687468.
[00:04:57	]Julia Jazmin ran 'Equip' on item 'AKM' (#2687468)
[00:04:57	]Julia Jazmin used command '/ToggleRaise'.
[00:05:01	]Julia Jazmin has hit npc_vj_hlr2_rebel in the stomach dealing 12 damage (CritChance was 0.65).
[00:05:01	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:01	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:01	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 12 damage (CritChance was 0.65).
[00:05:01	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:02	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:02	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:02	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the stomach dealing 19 damage (CritChance was 0.65).
[00:05:02	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:02	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:02	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the stomach dealing 19 damage (CritChance was 0.65).
[00:05:03	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 12 damage (CritChance was 0.65).
[00:05:03	]Julia Jazmin has hit npc_vj_hlr2_rebel in the right arm dealing 12 damage (CritChance was 0.65).
[00:05:03	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 12 damage (CritChance was 0.65).
[00:05:04	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 12 damage (CritChance was 0.65).
[00:05:04	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:04	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:26	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:26	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:27	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:27	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 12 damage (CritChance was 0.65).
[00:05:27	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:28	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:05:29	]Julia Jazmin ran 'drop' on item 'AKM' (#2687468)
[00:05:29	]Julia Jazmin has lost a 'AKM' #2687468.
[00:05:30	]Julia Jazmin ran 'Equip' on item 'M1911' (#2687467)
[00:05:31	]Julia Jazmin used command '/ToggleRaise'.
[00:05:35	]Julia Jazmin destroyed a 'Helsing Bolt Rifle' #2687461.
[00:05:35	]Julia Jazmin destroyed a 'Makeshift AK' #2687459.
[00:05:36	]Julia Jazmin destroyed a 'VSK-94' #2687465.
[00:05:36	]Julia Jazmin destroyed a 'AKM' #2687468.
[00:05:37	]Julia Jazmin destroyed a 'Duplet' #2687460.
[00:05:38	]Julia Jazmin destroyed a 'Popper' #2687463.
[00:05:38	]Julia Jazmin destroyed a 'MP-155' #2687466.
[00:05:43	]Julia Jazmin destroyed a 'MP-153' #2687454.
[00:05:43	]Julia Jazmin destroyed a 'M16A2' #2687455.
[00:05:44	]Julia Jazmin destroyed a 'MP5A3' #2687456.
[00:05:45	]Julia Jazmin destroyed a 'Tikhar Ball Rifle' #2687464.
[00:05:46	]Julia Jazmin destroyed a 'MP7A1' #2687458.
[00:05:51	]Julia Jazmin destroyed a 'MP5-SD' #2687457.
[00:05:52	]Julia Jazmin destroyed a 'Makeshift P90' #2687462.
[00:05:53	]Julia Jazmin destroyed a 'Overwatch Pulse Submachine-gun' #2687453.
[00:05:54	]Julia Jazmin destroyed a 'Overwatch Standard-Issue Carbine' #2687452.
[00:05:59	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 15 damage (CritChance was 0.89).
[00:06:00	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 15 damage (CritChance was 0.89).
[00:06:00	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 15 damage (CritChance was 0.89).
[00:06:00	]Julia Jazmin has hit npc_vj_hlr2_rebel in the stomach dealing 9 damage (CritChance was 0.89).
[00:06:01	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the stomach dealing 15 damage (CritChance was 0.89).
[00:06:01	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the stomach dealing 15 damage (CritChance was 0.89).
[00:06:01	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 15 damage (CritChance was 0.89).
[00:06:02	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 9 damage (CritChance was 0.89).
[00:06:16	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 15 damage (CritChance was 0.89).
[00:06:16	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 15 damage (CritChance was 0.89).
[00:06:16	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 15 damage (CritChance was 0.89).
[00:06:16	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 15 damage (CritChance was 0.89).
[00:06:17	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the stomach dealing 15 damage (CritChance was 0.89).
