[10:30:34	]thc has connected.
[22:00:23	]Merlinsclaw has enabled persistence for 'models/props_forest/bunkbed2.mdl'.
[22:00:26	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:00:26	]Merlinsclaw has disabled persistence for 'models/props_forest/bunkbed2.mdl'.
[22:00:26	]Merlinsclaw entered observer.
[22:00:27	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:00:27	]Merlinsclaw has enabled persistence for 'models/props_forest/bunkbed2.mdl'.
[22:00:27	]Merlinsclaw exited observer at their location.
[22:00:29	]Merlinsclaw entered observer.
[22:00:29	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:00:29	]Merlinsclaw has disabled persistence for 'models/props_forest/bunkbed2.mdl'.
[22:00:30	]Merlinsclaw exited observer at their location.
[22:00:31	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:00:31	]Merlinsclaw has enabled persistence for 'models/props_forest/bunkbed2.mdl'.
[22:00:32	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:00:32	]Merlinsclaw has disabled persistence for 'models/props_forest/bunkbed.mdl'.
[22:00:32	]Merlinsclaw entered observer.
[22:00:33	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:00:33	]Merlinsclaw has disabled persistence for 'models/props_forest/bunkbed2.mdl'.
[22:00:34	]Merlinsclaw exited observer at their location.
[22:00:38	]Merlinsclaw entered observer.
[22:00:39	]Merlinsclaw has fired a toolgun with the name: remover
[22:00:40	]Merlinsclaw exited observer at their location.
[22:00:40	]Merlinsclaw entered observer.
[22:00:41	]Merlinsclaw exited observer at their location.
[22:00:48	]Merlinsclaw has spawned 'models/props_junk/garbage128_composite001b.mdl'.
[22:00:54	]Michael Brians has spawned 'models/props_wasteland/interior_fence001b.mdl'.
[22:00:59	]Merlinsclaw has spawned 'models/props_combine/combine_intmonitor001.mdl'.
[22:01:02	]Merlinsclaw has used a context menu option with the name: skin
[22:01:07	]Michael Brians entered observer.
[22:01:08	]Michael Brians exited observer at their location.
[22:01:13	]Michael Brians has spawned 'models/props_wasteland/interior_fence001c.mdl'.
[22:01:13	]Merlinsclaw has spawned 'models/props_combine/combine_interface001.mdl'.
[22:01:15	]Merlinsclaw has used a context menu option with the name: skin
[22:01:21	]Michael Brians has fired a toolgun with the name: nocollideworld
[22:01:31	]Merlinsclaw has spawned 'models/props/coop_kashbah/cables/ceiling_cables.mdl'.
[22:01:35	]Michael Brians has used a context menu option with the name: remove
[22:01:37	]Michael Brians has used a context menu option with the name: remove
[22:01:45	]Merlinsclaw has spawned 'models/props/coop_kashbah/cables/ceiling_cables_02.mdl'.
[22:01:46	]Michael Brians has spawned 'models/props_wasteland/interior_fence001c.mdl'.
[22:01:52	]Michael Brians has used a context menu option with the name: remove
[22:01:54	]Merlinsclaw has fired a toolgun with the name: nocollideworld
[22:01:58	]Michael Brians has fired a toolgun with the name: nocollideworld
[22:01:59	]Merlinsclaw entered observer.
[22:02:14	]Jon Hoodfella exited observer at their location.
[22:02:19	]Michael Brians has spawned 'models/props_wasteland/interior_fence002d.mdl'.
[22:02:21	]Merlinsclaw exited observer at their location.
[22:02:28	]Michael Brians has used a context menu option with the name: remove
[22:02:30	]Merlinsclaw entered observer.
[22:02:34	]Merlinsclaw exited observer at their location.
[22:02:38	]Michael Brians has spawned 'models/props_wasteland/interior_fence001c.mdl'.
[22:02:38	]Merlinsclaw entered observer.
[22:02:39	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:02:39	]Merlinsclaw has enabled persistence for 'models/props_combine/combine_intmonitor001.mdl'.
[22:02:41	]Michael Brians has fired a toolgun with the name: nocollideworld
[22:02:41	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:02:41	]Merlinsclaw has disabled persistence for 'models/props_combine/combine_intmonitor001.mdl'.
[22:02:42	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:02:42	]Merlinsclaw has enabled persistence for 'models/props/coop_kashbah/cables/ceiling_cables_02.mdl'.
[22:02:43	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:02:43	]Merlinsclaw has enabled persistence for 'models/props_combine/combine_intmonitor001.mdl'.
[22:02:44	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:02:44	]Merlinsclaw has enabled persistence for 'models/props/coop_kashbah/cables/ceiling_cables.mdl'.
[22:02:45	]Merlinsclaw exited observer at their location.
[22:02:45	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:02:45	]Merlinsclaw has enabled persistence for 'models/props_combine/combine_interface001.mdl'.
[22:02:46	]Merlinsclaw entered observer.
[22:02:48	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:02:48	]Merlinsclaw has enabled persistence for 'models/props_junk/garbage128_composite001b.mdl'.
[22:02:48	]Merlinsclaw exited observer at their location.
[22:02:49	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:02:49	]Merlinsclaw has enabled persistence for 'models\props/cs_militia/footlocker01_closed.mdl'.
[22:02:49	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:02:49	]Merlinsclaw has enabled persistence for 'models/props_forest/bunkbed.mdl'.
[22:03:02	]Merlinsclaw entered observer.
[22:03:03	]Michael Brians has spawned 'models/props_wasteland/exterior_fence002c.mdl'.
[22:03:06	]Jon Hoodfella entered observer.
[22:03:06	]Merlinsclaw exited observer at their location.
[22:03:06	]Michael Brians has spawned 'models/props_wasteland/exterior_fence002c.mdl'.
[22:03:09	]Merlinsclaw has spawned 'models/props_junk/garbage_carboard002a.mdl'.
[22:03:09	]Michael Brians has fired a toolgun with the name: nocollideworld
[22:03:11	]Michael Brians entered observer.
[22:03:14	]Jon Hoodfella exited observer at their location.
[22:03:15	]Michael Brians exited observer at their location.
[22:03:16	]Merlinsclaw has spawned 'models/props_junk/garbage_carboard002a.mdl'.
[22:03:17	]Michael Brians entered observer.
[22:03:19	]Michael Brians exited observer at their location.
[22:03:19	]Michael Brians entered observer.
[22:03:20	]Michael Brians exited observer at their location.
[22:03:24	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:03:24	]Merlinsclaw has enabled persistence for 'models/props_junk/garbage_carboard002a.mdl'.
[22:03:25	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:03:25	]Merlinsclaw has enabled persistence for 'models/props_junk/garbage_carboard002a.mdl'.
[22:03:26	]Merlinsclaw entered observer.
[22:03:26	]Jon Hoodfella entered observer.
[22:03:28	]Michael Brians has spawned 'models/props_wasteland/interior_fence001b.mdl'.
[22:03:33	]Michael Brians has spawned 'models/props_wasteland/interior_fence001b.mdl'.
[22:03:38	]Jon Hoodfella exited observer at their location.
[22:03:38	]Michael Brians has spawned 'models/props_wasteland/exterior_fence002c.mdl'.
[22:03:40	]Merlinsclaw exited observer at their location.
[22:03:42	]Michael Brians has spawned 'models/props_wasteland/interior_fence001c.mdl'.
[22:03:56	]Merlinsclaw has spawned 'models/props/hr_massive/survival_mattress/survival_mattress_01.mdl'.
[22:04:00	]Michael Brians has spawned 'models/props_wasteland/interior_fence001a.mdl'.
[22:04:03	]Michael Brians entered observer.
[22:04:04	]Michael Brians exited observer at their location.
[22:04:05	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:04:05	]Merlinsclaw has enabled persistence for 'models/props/hr_massive/survival_mattress/survival_mattress_01.mdl'.
[22:04:06	]Michael Brians has fired a toolgun with the name: nocollideworld
[22:04:13	]Jon Hoodfella entered observer.
[22:04:13	]Merlinsclaw has spawned 'models/props/hr_massive/survival_mattress/survival_mattress_01.mdl'.
[22:04:14	]Merlinsclaw has spawned 'models/props/hr_massive/survival_mattress/survival_mattress_02.mdl'.
[22:04:19	]Michael Brians entered observer.
[22:04:25	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:04:25	]Merlinsclaw has enabled persistence for 'models/props/hr_massive/survival_mattress/survival_mattress_02.mdl'.
[22:04:26	]Michael Brians exited observer at their location.
[22:04:29	]Michael Brians has enabled persistence for 'models/props_wasteland/interior_fence001a.mdl'.
[22:04:29	]Michael Brians has used a context menu option with the name: persist
[22:04:30	]Michael Brians has enabled persistence for 'models/props_wasteland/interior_fence001c.mdl'.
[22:04:30	]Michael Brians has used a context menu option with the name: persist
[22:04:30	]Jon Hoodfella exited observer at their location.
[22:04:31	]Michael Brians has enabled persistence for 'models/props_wasteland/interior_fence001c.mdl'.
[22:04:31	]Michael Brians has used a context menu option with the name: persist
[22:04:32	]Michael Brians has enabled persistence for 'models/props_wasteland/interior_fence001c.mdl'.
[22:04:32	]Michael Brians has used a context menu option with the name: persist
[22:04:43	]Jon Hoodfella has spawned 'models/props_c17/Lockers001a.mdl'.
[22:04:44	]Michael Brians has enabled persistence for 'models/props_wasteland/controlroom_desk001b.mdl'.
[22:04:44	]Michael Brians has used a context menu option with the name: persist
[22:04:45	]Merlinsclaw entered observer.
[22:04:46	]Merlinsclaw exited observer at their location.
[22:04:52	]Merlinsclaw entered observer.
[22:04:54	]Merlinsclaw exited observer at their location.
[22:04:56	]Merlinsclaw has spawned 'models/props_junk/ravenholmsign.mdl'.
[22:05:00	]Michael Brians has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[22:05:01	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:05:01	]Merlinsclaw has disabled persistence for 'models/props_junk/garbage_carboard002a.mdl'.
[22:05:02	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:05:02	]Merlinsclaw has disabled persistence for 'models/props_junk/garbage_carboard002a.mdl'.
[22:05:03	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:05:03	]Merlinsclaw has enabled persistence for 'models/props_junk/garbage_carboard002a.mdl'.
[22:05:03	]Merlinsclaw has fired a toolgun with the name: sh_persist
[22:05:03	]Merlinsclaw has enabled persistence for 'models/props_junk/garbage_carboard002a.mdl'.
[22:05:04	]Jon Hoodfella has spawned 'models/props_wasteland/controlroom_desk001b.mdl'.
[22:05:06	]Jon Hoodfella has spawned 'models/props_wasteland/controlroom_desk001a.mdl'.
[22:05:07	]Jon Hoodfella has spawned 'models/props_wasteland/controlroom_desk001b.mdl'.
[22:05:08	]Michael Brians has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[22:05:09	]Merlinsclaw has spawned 'models/props_debris/wood_board04a.mdl'.
[22:05:12	]Merlinsclaw has spawned 'models/props_debris/wood_board06a.mdl'.
