[00:00:00	]Raptorian - S10/K'A'N:WOLF-85 used command '/Radio unit is down'.
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the head dealing 0 damage (CritChance was 0.84).
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the head dealing 0 damage (CritChance was 0.84).
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the head dealing 11 damage (CritChance was 0.84).
[00:00:13	]Maine - S10/K'A'N.DESTROYER-70 has taken 11 damage from Hank J. Wimleton.
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the chest dealing 10 damage (CritChance was 0.84).
[00:00:13	]Maine - S10/K'A'N.DESTROYER-70 has taken 10 damage from Hank J. Wimleton.
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the head dealing 0 damage (CritChance was 0.84).
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the head dealing 11 damage (CritChance was 0.84).
[00:00:13	]Maine - S10/K'A'N.DESTROYER-70 has taken 11 damage from Hank J. Wimleton.
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the chest dealing 0 damage (CritChance was 0.84).
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the chest dealing 10 damage (CritChance was 0.84).
[00:00:13	]Maine - S10/K'A'N.DESTROYER-70 has taken 10 damage from Hank J. Wimleton.
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the chest dealing 0 damage (CritChance was 0.84).
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the chest dealing 10 damage (CritChance was 0.84).
[00:00:13	]Maine - S10/K'A'N.DESTROYER-70 has taken 10 damage from Hank J. Wimleton.
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the chest dealing 0 damage (CritChance was 0.84).
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the chest dealing 0 damage (CritChance was 0.84).
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the chest dealing 10 damage (CritChance was 0.84).
[00:00:13	]Maine - S10/K'A'N.DESTROYER-70 has taken 10 damage from Hank J. Wimleton.
[00:00:13	]Tamara Lahtizer used command '/ToggleRaise'.
[00:00:13	]Maine - S10/K'A'N.DESTROYER-70 has hit Hank J. Wimleton in the chest dealing 16 damage (CritChance was 0.44).
[00:00:13	]Hank J. Wimleton has taken 16 damage from Maine - S10/K'A'N.DESTROYER-70.
[00:00:13	]Hank J. Wimleton has hit Maine - S10/K'A'N.DESTROYER-70 in the left arm dealing 0 damage (CritChance was 0.84).
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the left arm dealing 0 damage (CritChance was 0.84).
[00:00:13	]Hank J. Wimleton has hit Maine - S10/K'A'N.DESTROYER-70 in the left arm dealing 0 damage (CritChance was 0.84).
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the left arm dealing 3 damage (CritChance was 0.84).
[00:00:13	]Maine - S10/K'A'N.DESTROYER-70 has taken 2 damage from Hank J. Wimleton.
[00:00:13	]Hank J. Wimleton has hit Maine - S10/K'A'N.DESTROYER-70 in the chest dealing 6 damage (CritChance was 0.84).
[00:00:13	]Maine - S10/K'A'N.DESTROYER-70 has taken 6 damage from Hank J. Wimleton.
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the left arm dealing 3 damage (CritChance was 0.84).
[00:00:13	]Maine - S10/K'A'N.DESTROYER-70 has gained a '30rnd Pulse-magazine' #2049428.
[00:00:13	]Maine - S10/K'A'N.DESTROYER-70 was knocked unconscious and is bleeding out.
[00:00:15	]rebel mcrebel has gained a '30rnd SG556-magazine' #2049104.
[00:00:15	]rebel mcrebel has lost a '30rnd SG556-magazine' #2049108.
[00:00:15	]Hank J. Wimleton has gained a '8rnd 870-magazine' #1987256.
[00:00:15	]Hank J. Wimleton has lost a '8rnd 870-magazine' #1987255.
[00:00:15	]Scook has gained level 36 in the Speed skill.
[00:00:16	]Hank J. Wimleton is fully healed.
[00:00:16	][OOC] VADIM - SPEAR-78: whoever the apf was hit us with it dude I lost ALL my hp and armor 
[00:00:17	][OOC] Raptorian - S10/K'A'N:WOLF-85: superior tactics
[00:00:18	][IC] Mr McVort: Ow.
[00:00:19	]Moses McVortal used command '/CharGetUp'.
[00:00:19	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 used command '/Radio RED LEAK ON BODYPACK'.
[00:00:20	]Mr McVort ran SAM command 'asay' with arguments: 'Im bleeding'
[00:00:21	][LOOC] Hank J. Wimleton: jump shotted lmao
[00:00:23	][OOC] Male_07: might have to redo that one. Apparently OTA got propkilled LOL
[00:00:24	]Hank J. Wimleton ran 'removeMag' on item 'Model 870' (#1987240)
[00:00:24	]Hank J. Wimleton has gained a '8rnd 870-magazine' #1987255.
[00:00:25	]Hank J. Wimleton ran 'combine' on item '8rnd 870-magazine' (#1987255)
[00:00:25	]Hank J. Wimleton has lost a '8rnd 870-magazine' #1987255.
[00:00:29	][OOC] Mr McVort: NO SHUT UP
[00:00:31	][OOC] Milkman - S10/ORD.K'A'N:VIGGAKILLA-10: riot shield FAIL
[00:00:32	]ULTIMA - S10/APF.K'A'N-999 used command '/D what did i do vadim what'.
[00:00:33	]Male_07 ran SAM command 'respawn' with arguments: 'S10'
[00:00:35	][OOC] Don Lorenzo: yeah bc they used a dumb prop lol?
[00:00:35	]ULTIMA - S10/APF.K'A'N-999 used command '/CharGetUp'.
[00:00:36	]ULTIMA - S10/APF.K'A'N-999 used command '/CharGetUp'.
[00:00:36	][OOC] rebel mcrebel: Did they come in with a table prop to block against shots
[00:00:36	][OOC] VADIM - SPEAR-78: whoever was the apf is actually removed from krah..
[00:00:36	]Male_07 ran SAM command 'respawn' with arguments: 'S10'
[00:00:36	]Maine - S10/K'A'N.DESTROYER-70 is fully healed.
[00:00:37	]Scook used the 'John Doe' vendor.
[00:00:38	]ULTIMA - S10/APF.K'A'N-999 used command '/CharGetUp'.
[00:00:39	]Milkman - S10/ORD.K'A'N:VIGGAKILLA-10 used command '/CharGetUp'.
[00:00:39	]ULTIMA - S10/APF.K'A'N-999 used command '/CharGetUp'.
[00:00:39	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 has lost a '30rnd Pulse-magazine' #2049484.
[00:00:40	]Scook has gained 0 chips.
[00:00:40	]Scook has gained a 'First Aid Kit' #2049641.
[00:00:40	]Scook has gained 0 chips.
[00:00:40	]Scook has gained a 'First Aid Kit' #2049642.
[00:00:41	][OOC] Tsah'Lih: vortikinesis
[00:00:41	]Scook has gained 0 chips.
[00:00:41	]Scook has gained a 'First Aid Kit' #2049643.
[00:00:41	]Moses McVortal used command '/EnterMeditation'.
[00:00:42	]Don Lorenzo ran 'combine' on item '30rnd Pulse-magazine' (#2001949)
[00:00:42	]Male_07 ran SAM command 'respawn' with arguments: 'Vadim'
[00:00:42	]Maine - S10/K'A'N.DESTROYER-70 used command '/ToggleRaise'.
[00:00:43	][OOC] Su'Kma'Ba'Lez: Lmao, actual prop
[00:00:43	]ULTIMA - S10/APF.K'A'N-999 has lost a '24rnd Heavy-Pulse Magazine' #2048589.
[00:00:43	]Don Lorenzo ran 'combine' on item '30rnd Pulse-magazine' (#2001949)
[00:00:43	]Tamara Lahtizer has gained a '10rnd Sniper-magazine' #2049124.
[00:00:43	]Tamara Lahtizer has lost a '10rnd Sniper-magazine' #2049125.
[00:00:44	]ULTIMA - S10/APF.K'A'N-999 used the '<:: Overwatch Requisitions Terminal ::>' vendor.
[00:00:44	][OOC] Milkman - S10/ORD.K'A'N:VIGGAKILLA-10: omg just spawn us at outpost
[00:00:44	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 has gained a '30rnd Pulse-magazine' #2049484.
[00:00:44	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 has lost a '30rnd Pulse-magazine' #2049437.
[00:00:44	]Don Lorenzo ran 'combine' on item '30rnd Pulse-magazine' (#2001959)
[00:00:45	]Maine - S10/K'A'N.DESTROYER-70 has lost a '30rnd Pulse-magazine' #2049418.
[00:00:45	]Don Lorenzo ran 'combine' on item 'Pulse Rifle Bullets' (#2049550)
[00:00:46	]Don Lorenzo has gained a '30rnd Pulse-magazine' #2001948.
[00:00:46	]Don Lorenzo has lost a '30rnd Pulse-magazine' #2001959.
[00:00:47	][OOC] Milkman - S10/ORD.K'A'N:VIGGAKILLA-10: please
[00:00:47	]Male_07 ran SAM command 'respawn' with arguments: 'Vadim'
[00:00:48	]Maine - S10/K'A'N.DESTROYER-70 used command '/ToggleRaise'.
[00:00:48	]Don Lorenzo ran 'combine' on item '30rnd Pulse-magazine' (#2001948)
[00:00:49	][OOC] Raptorian - S10/K'A'N:WOLF-85: pls
[00:00:50	]VADIM - SPEAR-78 used command '/D you walked right through us with a prop, you downed 1 of us and i got sent to 0 hp and armor'.
[00:00:52	][OOC] rebel mcrebel: This is WAVE 2
[00:00:54	][IC] Hank J. Wimleton: Free defence.
[00:00:54	]Maine - S10/K'A'N.DESTROYER-70 ran 'combine' on item '30rnd Pulse-magazine' (#2049429)
[00:00:55	]Mr McVort ran SAM command 'asay' with arguments: 'Im bleeding'
[00:00:56	]Milkman - S10/ORD.K'A'N:VIGGAKILLA-10 used command '/D LOLOLOL'.
[00:00:56	]Maine - S10/K'A'N.DESTROYER-70 ran 'combine' on item '30rnd Pulse-magazine' (#2049428)
[00:00:57	]Maine - S10/K'A'N.DESTROYER-70 ran 'combine' on item '30rnd Pulse-magazine' (#2049428)
[00:00:58	][OOC] Tamara Lahtizer: Outpost or Beach brawl
[00:00:58	]VADIM - SPEAR-78 used command '/CharFallOver'.
[00:00:58	]Maine - S10/K'A'N.DESTROYER-70 ran 'combine' on item '30rnd Pulse-magazine' (#2049428)
[00:00:58	]ULTIMA - S10/APF.K'A'N-999 used command '/D ?????'.
[00:00:59	]ULTIMA - S10/APF.K'A'N-999 used the '<:: Overwatch Requisitions Terminal ::>' vendor.
[00:00:59	]Vill'um claimed a report by Mr McVort (Tuki).
[00:01:00	]VADIM - SPEAR-78 used command '/CharGetUp'.
[00:01:00	]rebel mcrebel has gained a '30rnd SG556-magazine' #2049108.
[00:01:00	]rebel mcrebel has lost a '30rnd SG556-magazine' #2049105.
[00:01:02	]VADIM - SPEAR-78 used command '/CharGetUp'.
[00:01:03	]rebel mcrebel ran 'combine' on item '30rnd SG556-magazine' (#2049103)
[00:01:04	]Maine - S10/K'A'N.DESTROYER-70 used the 'John Doe' vendor.
[00:01:04	]Su'Kma'Ba'Lez has given himself a morphine.
[00:01:04	]Su'Kma'Ba'Lez has gained a 'Morphine' #2049644.
[00:01:04	]Tamara Lahtizer ran 'Repair' on item 'Brown Trench Coat' (#2049140)
[00:01:04	]Male_07 used command '/Announce okay, every1 reset'.
[00:01:04	]rebel mcrebel ran 'combine' on item '30rnd SG556-magazine' (#2049104)
[00:01:05	]Milkman - S10/ORD.K'A'N:VIGGAKILLA-10 has lost a '30rnd Pulse-magazine' #2049002.
[00:01:05	]Su'Kma'Ba'Lez has given himself a morphine.
[00:01:05	]Su'Kma'Ba'Lez has gained a 'Morphine' #2049645.
[00:01:05	]rebel mcrebel ran 'combine' on item '30rnd SG556-magazine' (#2049108)
[00:01:05	]Vill'um used command '/CharStopBleedout mcvort'.
[00:01:05	]Su'Kma'Ba'Lez has given himself a morphine.
[00:01:05	]Su'Kma'Ba'Lez has gained a 'Morphine' #2049646.
[00:01:06	]VADIM - SPEAR-78 used command '/CharGetUp'.
[00:01:08	]ULTIMA - S10/APF.K'A'N-999 used command '/D i got sent to 1 hp and immediately died lol'.
[00:01:09	]Male_07 used command '/StopSong'.
[00:01:09	]Maine - S10/K'A'N.DESTROYER-70 used the '<:: Overwatch Requisitions Terminal ::>' vendor.
[00:01:09	]ULTIMA - S10/APF.K'A'N-999 used command '/D i got sent to 1 hp and immediately died lol'.
[00:01:10	]ULTIMA - S10/APF.K'A'N-999 used the '<:: Overwatch Requisitions Terminal ::>' vendor.
[00:01:10	]Su'Kma'Ba'Lez ran 'use' on item 'Morphine' (#2049646)
[00:01:10	]Su'Kma'Ba'Lez has performed the 'Use Morphine' action, gaining 50 experience in medicine.
[00:01:10	]Su'Kma'Ba'Lez has gained a level 4 short boost in Strength.
[00:01:10	]Raptorian - S10/K'A'N:WOLF-85 ran 'use' on item 'Adrenaline' (#2049149)
[00:01:10	]Raptorian - S10/K'A'N:WOLF-85 has performed the 'Use Adrenaline' action, gaining 60 experience in medicine.
[00:01:10	]Raptorian - S10/K'A'N:WOLF-85 has gained a level 4 short boost in Agility.
[00:01:11	][OOC] Milkman - S10/ORD.K'A'N:VIGGAKILLA-10: SPAWN US AT OUTPOST...
[00:01:11	]rebel mcrebel used the 'John Doe' vendor.
[00:01:11	]Raptorian - S10/K'A'N:WOLF-85 ran 'use' on item 'Health Vial' (#2049402)
[00:01:11	]Raptorian - S10/K'A'N:WOLF-85 has performed the 'Use Health Vial' action, gaining 108 experience in medicine.
[00:01:11	]Raptorian - S10/K'A'N:WOLF-85 was disinfected by Raptorian - S10/K'A'N:WOLF-85 for 228 seconds.
[00:01:11	]Raptorian - S10/K'A'N:WOLF-85 was bandaged by Raptorian - S10/K'A'N:WOLF-85 for 55 HP.
[00:01:12	]Vill'um used command '/CharStopBleedout mcvort'.
[00:01:13	]Raptorian - S10/K'A'N:WOLF-85 ran 'use' on item 'Health Vial' (#2049402)
[00:01:13	]Raptorian - S10/K'A'N:WOLF-85 has performed the 'Use Health Vial' action, gaining 41 experience in medicine.
[00:01:13	]Raptorian - S10/K'A'N:WOLF-85 was disinfected by Raptorian - S10/K'A'N:WOLF-85 for 228 seconds.
[00:01:13	]Raptorian - S10/K'A'N:WOLF-85 was bandaged by Raptorian - S10/K'A'N:WOLF-85 for 55 HP.
[00:01:13	]Raptorian - S10/K'A'N:WOLF-85 has gained a 'Empty Health Vial' #2049647.
[00:01:14	]Milkman - S10/ORD.K'A'N:VIGGAKILLA-10 used command '/ToggleRaise'.
[00:01:14	]Maine - S10/K'A'N.DESTROYER-70 has gained 0 chips.
[00:01:14	]Maine - S10/K'A'N.DESTROYER-70 has gained a 'Frag Grenade' #2049648.
[00:01:14	]Raptorian - S10/K'A'N:WOLF-85 ran 'use' on item 'Adrenaline' (#2049149)
[00:01:14	]Raptorian - S10/K'A'N:WOLF-85 has wasted a level 4 short boost in Agility (current: 0; target: 4).
[00:01:14	][OOC] Tsah'Lih: just respawn them at outpost
[00:01:14	]Maine - S10/K'A'N.DESTROYER-70 has gained 0 chips.
[00:01:14	]rebel mcrebel has gained 0 chips.
[00:01:14	]Maine - S10/K'A'N.DESTROYER-70 has gained a 'Frag Grenade' #2049649.
[00:01:14	]rebel mcrebel has gained a 'Assault Rifle Bullets' #2049650.
[00:01:15	]rebel mcrebel has gained 0 chips.
[00:01:15	]rebel mcrebel has gained a 'Assault Rifle Bullets' #2049651.
[00:01:15	]ULTIMA - S10/APF.K'A'N-999 used the '<:: Overwatch Requisitions Terminal ::>' vendor.
[00:01:15	]Hank J. Wimleton has gained a '8rnd 870-magazine' #1987255.
[00:01:15	]Hank J. Wimleton has lost a '8rnd 870-magazine' #1987256.
[00:01:15	]Raptorian - S10/K'A'N:WOLF-85 ran 'use' on item 'Adrenaline' (#2049149)
[00:01:15	]Raptorian - S10/K'A'N:WOLF-85 has wasted a level 4 short boost in Agility (current: 0; target: 4).
[00:01:16	]rebel mcrebel has gained 0 chips.
[00:01:16	]rebel mcrebel has gained a 'Assault Rifle Bullets' #2049652.
[00:01:18	]ULTIMA - S10/APF.K'A'N-999 used the '<:: Overwatch Requisitions Terminal ::>' vendor.
[00:01:18	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 ran 'combine' on item '30rnd Pulse-magazine' (#2049485)
[00:01:19	]Raptorian - S10/K'A'N:WOLF-85 used the '<:: Overwatch Requisitions Terminal ::>' vendor.
[00:01:19	]Vill'um used command '/CharStopBleedout mr mcvort'.
[00:01:20	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 ran 'combine' on item '30rnd Pulse-magazine' (#2049486)
[00:01:21	]VADIM - SPEAR-78 used the 'John Doe' vendor.
[00:01:21	]Maine - S10/K'A'N.DESTROYER-70 has gained 0 chips.
[00:01:21	]Maine - S10/K'A'N.DESTROYER-70 has gained a 'Smoke Grenade' #2049653.
[00:01:21	]Raptorian - S10/K'A'N:WOLF-85 has gained 0 chips.
[00:01:21	]Raptorian - S10/K'A'N:WOLF-85 has gained a 'Adrenaline' #2049654.
[00:01:21	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 ran 'drop' on item 'Pulse Rifle Bullets' (#2049503)
[00:01:21	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 has lost a 'Pulse Rifle Bullets' #2049503.
[00:01:22	]ULTIMA - S10/APF.K'A'N-999 used the '<:: Overwatch Requisitions Terminal ::>' vendor.
[00:01:23	]Milkman - S10/ORD.K'A'N:VIGGAKILLA-10 used command '/ToggleRaise'.
[00:01:23	]Tamara Lahtizer has lost a 'PM-II (7x)' #2049185.
[00:01:23	]rebel mcrebel ran 'combine' on item 'Assault Rifle Bullets' (#2049116)
[00:01:23	]Vill'um entered observer.
[00:01:24	]VADIM - SPEAR-78 has gained 0 chips.
[00:01:24	]VADIM - SPEAR-78 has gained a 'Frag Grenade' #2049655.
[00:01:24	]Hank J. Wimleton ran 'take' on item 'Buckshot Shotgun Shells' (#2049547)
[00:01:24	]Hank J. Wimleton has gained a 'Buckshot Shotgun Shells' #2049547.
[00:01:24	]Raptorian - S10/K'A'N:WOLF-85 has gained 0 chips.
[00:01:24	]Raptorian - S10/K'A'N:WOLF-85 has gained a 'Health Vial' #2049656.
[00:01:24	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 used the 'John Doe' vendor.
[00:01:25	]Maine - S10/K'A'N.DESTROYER-70 ran 'Equip' on item 'Frag Grenade' (#2049649)
[00:01:25	]VADIM - SPEAR-78 has gained 0 chips.
[00:01:25	]VADIM - SPEAR-78 has gained a 'Flash Grenade' #2049657.
[00:01:25	][IC] Mr McVort: Ow.
[00:01:25	]rebel mcrebel ran 'combine' on item 'Assault Rifle Bullets' (#2049466)
[00:01:25	]ULTIMA - S10/APF.K'A'N-999 has gained 0 chips.
[00:01:25	]ULTIMA - S10/APF.K'A'N-999 has gained a 'Smoke Grenade' #2049658.
[00:01:26	][IC] Mr McVort: Ow.
[00:01:26	]rebel mcrebel has gained a '30rnd SG556-magazine' #2049105.
[00:01:26	]rebel mcrebel has lost a '30rnd SG556-magazine' #2049108.
[00:01:26	][IC] Mr McVort: Ow.
[00:01:27	][IC] Mr McVort: Ow.
[00:01:27	]ULTIMA - S10/APF.K'A'N-999 used the '<:: Overwatch Requisitions Terminal ::>' vendor.
[00:01:27	]Don Lorenzo used command '/ToggleRaise'.
[00:01:28	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 has gained 0 chips.
[00:01:28	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 has gained a 'Pulse Rifle Bullets' #2049659.
[00:01:28	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 has gained 0 chips.
[00:01:28	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 has gained a 'Pulse Rifle Bullets' #2049660.
[00:01:30	]Hank J. Wimleton ran 'removeMag' on item 'Model 870' (#1987240)
[00:01:30	]Hank J. Wimleton has gained a '8rnd 870-magazine' #1987256.
[00:01:30	][IC] Mr McVort: HEAL ME.
[00:01:31	]Hank J. Wimleton ran 'combine' on item '8rnd 870-magazine' (#1987256)
[00:01:31	]Hank J. Wimleton has lost a '8rnd 870-magazine' #1987256.
[00:01:31	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 ran 'combine' on item 'Ammunition Pouch' (#2049378)
[00:01:32	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 ran 'combine' on item 'Ammunition Pouch' (#2049378)
[00:01:32	]ULTIMA - S10/APF.K'A'N-999 has gained 0 chips.
[00:01:32	]ULTIMA - S10/APF.K'A'N-999 has gained a 'Health Kit' #2049661.
[00:01:33	][OOC] Milkman - S10/ORD.K'A'N:VIGGAKILLA-10: i thought the riot shield would work :sadge
[00:01:33	][IC] Mr McVort: Ow.
[00:01:33	]Male_07 ran SAM command 'bring' with arguments: 'S10'
[00:01:33	]Tamara Lahtizer ran 'combine' on item '10rnd Sniper-magazine' (#2049124)
[00:01:34	]ULTIMA - S10/APF.K'A'N-999 ran 'use' on item 'Health Kit' (#2049661)
[00:01:34	]ULTIMA - S10/APF.K'A'N-999 has performed the 'Use Health Kit' action, gaining 55 experience in medicine.
[00:01:34	]ULTIMA - S10/APF.K'A'N-999 was disinfected by ULTIMA - S10/APF.K'A'N-999 for 210 seconds.
[00:01:34	]ULTIMA - S10/APF.K'A'N-999 was bandaged by ULTIMA - S10/APF.K'A'N-999 for 75 HP.
[00:01:34	][IC] Mr McVort: Ow.
[00:01:34	]ULTIMA - S10/APF.K'A'N-999 ran 'use' on item 'Health Kit' (#2049661)
[00:01:34	]ULTIMA - S10/APF.K'A'N-999 was disinfected by ULTIMA - S10/APF.K'A'N-999 for 210 seconds.
[00:01:34	]ULTIMA - S10/APF.K'A'N-999 was bandaged by ULTIMA - S10/APF.K'A'N-999 for 75 HP.
[00:01:35	][IC] Mr McVort: HEAL ME.
[00:01:36	]Male_07 ran SAM command 'bring' with arguments: 'Vadim'
[00:01:38	][IC] Moses McVortal: Cooking.
[00:01:38	]Milkman - S10/ORD.K'A'N:VIGGAKILLA-10 used command '/Radio maybe the 2 team method could work now...'.
[00:01:40	][IC] rebel mcrebel: Help him.
[00:01:40	]Raptorian - S10/K'A'N:WOLF-85 used command '/D we could have won bro.. me and maine got in there and secured kills'.
[00:01:41	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 used command '/ToggleGM'.
[00:01:41	][IC] Mr McVort: HEAL ME.
[00:01:41	]VADIM - SPEAR-78 ran 'combine' on item '30rnd Pulse-magazine' (#2048994)
[00:01:41	][IC] Hank J. Wimleton: Cooking.
[00:01:41	]Vill'um exited observer at their location.
[00:01:41	]ULTIMA - S10/APF.K'A'N-999 used command '/D doesit even block bullets'.
[00:01:43	][IC] Moses McVortal: No.
[00:01:43	]Male_07 ran SAM command 'sethp' with arguments: 'S10' '100'
[00:01:44	]VADIM - SPEAR-78 ran 'combine' on item '30rnd Pulse-magazine' (#2049207)
[00:01:44	]Moses McVortal used command '/EnterMeditation'.
[00:01:45	]Hank J. Wimleton used the 'John Doe' vendor.
[00:01:46	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 used command '/ToggleGM'.
[00:01:46	]rebel mcrebel has taken 1 damage from env_fire.
[00:01:46	]PURPLE - S10/OWS.K'A'N:SOMETHINGCOOL-69 is fully healed.
[00:01:47	]Milkman - S10/ORD.K'A'N:VIGGAKILLA-10 used command '/D yeah'.
[00:01:47	]rebel mcrebel has taken 1 damage from env_fire.
[00:01:48	]Male_07 ran SAM command 'setarmor' with arguments: 'S10' '100'
[00:01:49	]Mr McVort has taken 1 damage from env_fire.
[00:01:49	]Maine - S10/K'A'N.DESTROYER-70 used command '/Radio Units, split up. 07 and 78 interlock with PT-70.'.
[00:01:50	]Mr McVort has taken 1 damage from env_fire.
[00:01:51	]Mr McVort has taken 1 damage from env_fire.
[00:01:51	]Scook ran SAM command 'asay' with arguments: 'May i be granted a refund on my HE grenade if we're resetting? :-)'
