[05:19:58	]Divine has connected.
[14:52:00	]Joseph Star has hit npc_zombie in the head dealing 13 damage (CritChance was 0.07).
[14:52:00	]Joseph Star has hit npc_zombie in the chest dealing 13 damage (CritChance was 0.21).
[14:52:01	]Joseph Star has critically hit npc_zombie in the chest dealing 14 damage (CritChance was 0.21).
[14:52:01	]Joseph Star has critically hit npc_zombie in the chest dealing 14 damage (CritChance was 0.21).
[14:52:01	]Joseph Star has hit npc_zombie in the right arm dealing 9 damage (CritChance was 0.21).
[14:52:01	]Joseph Star has hit npc_zombie in the chest dealing 13 damage (CritChance was 0.21).
[14:52:01	]Joseph Star has hit npc_zombie in the left arm dealing 9 damage (CritChance was 0.21).
[14:52:01	]Joseph Star has hit npc_zombie in the left arm dealing 9 damage (CritChance was 0.21).
[14:52:01	]Joseph Star has hit npc_zombie in the left arm dealing 9 damage (CritChance was 0.21).
[14:52:01	]Joseph Star has critically hit npc_zombie in the left arm dealing 11 damage (CritChance was 0.21).
[14:52:01	]Joseph Star has hit npc_zombie in the left arm dealing 9 damage (CritChance was 0.21).
[14:52:01	]Joseph Star has hit npc_zombie in the left arm dealing 9 damage (CritChance was 0.21).
[14:52:06	]Joseph Star has hit npc_zombie in the right leg dealing 9 damage (CritChance was 0.21).
[14:52:06	]Joseph Star has hit npc_zombie in the chest dealing 13 damage (CritChance was 0.21).
[14:52:07	]Joseph Star has hit npc_zombie in the head dealing 13 damage (CritChance was 0.07).
[14:52:07	]Joseph Star has hit npc_zombie in the head dealing 13 damage (CritChance was 0.07).
[14:52:07	]Joseph Star has hit npc_zombie in the head dealing 13 damage (CritChance was 0.07).
[14:52:08	]Joseph Star has hit npc_zombie in the head dealing 13 damage (CritChance was 0.07).
[14:52:08	]Joseph Star has hit npc_zombie in the head dealing 13 damage (CritChance was 0.07).
[14:52:08	]Joseph Star has hit npc_zombie in the head dealing 13 damage (CritChance was 0.07).
[14:52:08	]Joseph Star has hit npc_zombie in the left arm dealing 9 damage (CritChance was 0.21).
[14:52:08	]Joseph Star has hit npc_zombie in the chest dealing 13 damage (CritChance was 0.21).
[14:52:08	]Joseph Star has critically hit npc_zombie in the chest dealing 14 damage (CritChance was 0.21).
[14:52:10	]Joseph Star has hit npc_zombie in the head dealing 13 damage (CritChance was 0.07).
[14:52:10	]Joseph Star has critically hit npc_zombie in the head dealing 16 damage (CritChance was 0.07).
[14:52:18	]Joseph Star ran 'drop' on item 'Makeshift AK' (#3307214)
[14:52:18	]Joseph Star has lost a 'Makeshift AK' #3307214.
[14:52:20	]Joseph Star has used a context menu option with the name: remove
[14:53:08	]Joseph Star has given himself a gen_mp7.
[14:53:08	]Joseph Star has gained a 'MP7A1' #3307215.
[14:53:09	]Joseph Star ran 'Equip' on item 'MP7A1' (#3307215)
[14:53:49	]Joseph Star has spawned a 'NPC [443][npc_zombie]'.
[14:53:49	]Joseph Star has critically hit npc_zombie in the left arm dealing 9 damage (CritChance was 0.28).
[14:53:49	]Joseph Star has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.28).
[14:53:50	]Joseph Star has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.28).
[14:53:51	]Joseph Star has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.28).
[14:53:51	]Joseph Star has hit npc_zombie in the head dealing 10 damage (CritChance was 0.09).
[14:53:51	]Joseph Star has hit npc_zombie in the head dealing 10 damage (CritChance was 0.09).
[14:54:10	]Joseph Star has spawned a 'NPC [443][npc_zombie]'.
[14:54:11	]Joseph Star has critically hit npc_zombie in the head dealing 12 damage (CritChance was 0.09).
[14:54:11	]Joseph Star has hit npc_zombie in the head dealing 10 damage (CritChance was 0.09).
[14:54:11	]Joseph Star has critically hit npc_zombie in the chest dealing 11 damage (CritChance was 0.28).
[14:54:11	]Joseph Star has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.28).
[14:54:12	]Joseph Star has hit npc_headcrab dealing 9 damage (CritChance was 0.47).
[14:54:12	]Joseph Star has critically hit npc_headcrab dealing 11 damage (CritChance was 0.47).
[14:54:37	]Joseph Star has spawned a 'NPC [443][npc_zombie]'.
[14:54:37	]Joseph Star has spawned a 'NPC [444][npc_zombie]'.
[14:54:37	]Joseph Star has spawned a 'NPC [456][npc_zombie]'.
[14:54:38	]Joseph Star has spawned a 'NPC [457][npc_zombie]'.
[14:54:38	]Joseph Star has hit npc_zombie in the right leg dealing 7 damage (CritChance was 0.28).
[14:54:39	]Joseph Star has hit npc_zombie in the head dealing 10 damage (CritChance was 0.09).
[14:54:39	]Joseph Star has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.28).
[14:54:39	]Joseph Star has critically hit npc_zombie in the chest dealing 11 damage (CritChance was 0.28).
[14:54:39	]Joseph Star has hit npc_zombie in the right leg dealing 7 damage (CritChance was 0.28).
[14:54:40	]Joseph Star has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.28).
[14:54:40	]Joseph Star has critically hit npc_zombie in the left leg dealing 9 damage (CritChance was 0.28).
[14:54:40	]Joseph Star has critically hit npc_zombie in the chest dealing 11 damage (CritChance was 0.28).
[14:54:40	]Joseph Star has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.28).
[14:54:40	]Joseph Star has hit npc_zombie in the right leg dealing 7 damage (CritChance was 0.28).
[14:54:40	]Joseph Star has critically hit npc_zombie in the chest dealing 11 damage (CritChance was 0.28).
[14:54:41	]Joseph Star has hit npc_headcrab dealing 9 damage (CritChance was 0.47).
[14:54:42	]Joseph Star has hit npc_headcrab dealing 9 damage (CritChance was 0.47).
[14:54:43	]Joseph Star has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.28).
[14:54:43	]Joseph Star has critically hit npc_zombie in the left arm dealing 9 damage (CritChance was 0.28).
[14:54:43	]Joseph Star has hit npc_zombie in the head dealing 10 damage (CritChance was 0.09).
[14:54:44	]Joseph Star has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.28).
[14:54:44	]Joseph Star has critically hit npc_zombie in the head dealing 12 damage (CritChance was 0.09).
[14:54:49	]Joseph Star has critically hit npc_zombie in the chest dealing 11 damage (CritChance was 0.28).
[14:54:49	]Joseph Star has critically hit npc_zombie in the right arm dealing 9 damage (CritChance was 0.28).
[14:54:49	]Joseph Star has hit npc_zombie in the head dealing 10 damage (CritChance was 0.09).
[14:54:49	]Joseph Star has hit npc_zombie in the head dealing 10 damage (CritChance was 0.09).
[14:54:49	]Joseph Star has hit npc_zombie in the head dealing 10 damage (CritChance was 0.09).
[14:54:50	]Joseph Star has hit npc_zombie in the head dealing 10 damage (CritChance was 0.09).
[14:54:50	]Joseph Star has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.28).
[14:54:51	]Joseph Star has hit npc_zombie in the chest dealing 10 damage (CritChance was 0.28).
[14:54:51	]Joseph Star has hit npc_zombie in the head dealing 10 damage (CritChance was 0.09).
[14:54:51	]Joseph Star has hit npc_zombie in the head dealing 10 damage (CritChance was 0.09).
[14:54:51	]Joseph Star has hit npc_zombie in the head dealing 10 damage (CritChance was 0.09).
[14:54:51	]Joseph Star has hit npc_zombie in the head dealing 10 damage (CritChance was 0.09).
[14:55:33	]Joseph Star has given himself a res_329pd.
[14:55:33	]Joseph Star has gained a 'Model 329PD' #3307216.
[14:55:34	]Joseph Star ran 'Equip' on item 'Model 329PD' (#3307216)
[14:55:46	]Joseph Star has spawned a 'NPC [445][npc_zombie]'.
[14:55:46	]Joseph Star has spawned a 'NPC [452][npc_zombie]'.
[14:55:47	]Joseph Star has spawned a 'NPC [453][npc_zombie]'.
[14:55:47	]Joseph Star has hit npc_zombie in the chest dealing 45 damage (CritChance was 0.37).
[14:55:48	]Joseph Star has hit npc_zombie in the chest dealing 45 damage (CritChance was 0.37).
[14:55:49	]Joseph Star has hit npc_zombie in the head dealing 45 damage (CritChance was 0.12).
[14:55:49	]Joseph Star has hit npc_zombie in the head dealing 45 damage (CritChance was 0.12).
[14:55:56	]Joseph Star has hit npc_zombie in the head dealing 45 damage (CritChance was 0.12).
[14:55:58	]Joseph Star has hit npc_zombie in the head dealing 45 damage (CritChance was 0.12).
[14:56:21	]Joseph Star has spawned a 'NPC [445][npc_zombie]'.
[14:56:22	]Joseph Star has hit npc_zombie in the chest dealing 45 damage (CritChance was 0.37).
[14:56:23	]Joseph Star has hit npc_zombie in the chest dealing 45 damage (CritChance was 0.37).
[14:56:24	]Joseph Star has hit npc_zombie in the head dealing 45 damage (CritChance was 0.12).
[14:56:24	]Joseph Star has hit npc_zombie in the head dealing 45 damage (CritChance was 0.12).
[15:01:00	]Joseph Star ran 'EquipUn' on item 'MP7A1' (#3307215)
[15:01:16	]Joseph Star has given himself a jnk_vsv.
[15:01:16	]Joseph Star has gained a 'VSK-94' #3307217.
[15:01:17	]Joseph Star ran 'drop' on item 'MP7A1' (#3307215)
[15:01:17	]Joseph Star has lost a 'MP7A1' #3307215.
[15:01:19	]Joseph Star has given himself a jnk_vsv.
[15:01:19	]Joseph Star has gained a 'VSK-94' #3307218.
[15:01:21	]Joseph Star has used a context menu option with the name: remove
[15:01:22	]Joseph Star ran 'Equip' on item 'VSK-94' (#3307218)
[15:02:31	]Joseph Star has gained level 50 in the Guns skill.
[15:02:31	]Joseph Star used command '/CharSkillSet ^ guns 50'.
[15:03:13	]Joseph Star has spawned a 'NPC [442][npc_zombie]'.
[15:03:13	]Joseph Star has spawned a 'NPC [445][npc_zombie]'.
[15:03:14	]Joseph Star has critically hit npc_zombie in the right arm dealing 12 damage (CritChance was 0.43).
[15:03:14	]Joseph Star has hit npc_zombie in the chest dealing 14 damage (CritChance was 0.43).
[15:03:14	]Joseph Star has hit npc_zombie in the head dealing 14 damage (CritChance was 0.14).
[15:03:15	]Joseph Star has critically hit npc_zombie in the right arm dealing 12 damage (CritChance was 0.43).
[15:03:15	]Joseph Star has hit npc_zombie in the chest dealing 14 damage (CritChance was 0.43).
[15:03:15	]Joseph Star has hit npc_zombie in the head dealing 14 damage (CritChance was 0.14).
[15:03:15	]Joseph Star has hit npc_zombie in the head dealing 14 damage (CritChance was 0.14).
[15:03:15	]Joseph Star has hit npc_zombie in the head dealing 14 damage (CritChance was 0.14).
[15:03:15	]Joseph Star has hit npc_zombie in the head dealing 14 damage (CritChance was 0.14).
[15:03:17	]Joseph Star has hit npc_zombie in the left arm dealing 9 damage (CritChance was 0.43).
[15:03:17	]Joseph Star has hit npc_zombie in the chest dealing 14 damage (CritChance was 0.43).
[15:03:17	]Joseph Star has hit npc_zombie in the head dealing 14 damage (CritChance was 0.14).
[15:03:17	]Joseph Star has hit npc_zombie in the head dealing 14 damage (CritChance was 0.14).
[15:05:51	]apathy is death (STEAM_0:1:210259346) has disconnected.
