[18:03:44	]Kappatalist has connected.
[18:15:50	]Eric Bayer entered observer.
[18:15:50	]Eric Bayer exited observer at their location.
[18:15:51	]Eric Bayer entered observer.
[18:15:52	]Eric Bayer exited observer at their location.
[18:15:53	]Eric Bayer entered observer.
[18:15:53	]Eric Bayer exited observer at their location.
[18:15:54	]Eric Bayer entered observer.
[18:16:01	]Eric Bayer exited observer at their location.
[18:16:02	]Eric Bayer has spawned a black_ink.
[18:16:03	]Eric Bayer has spawned a black_ink.
[18:16:12	]Eric Bayer has spawned a paper.
[18:16:12	]Eric Bayer has spawned a paper.
[18:16:16	]Eric Bayer has spawned a book.
[18:16:20	]Eric Bayer has used a context menu option with the name: remove
[18:16:24	]Eric Bayer has spawned a paper.
[18:16:24	]Eric Bayer has spawned a paper.
[18:16:25	]Eric Bayer has spawned a paper.
[18:16:27	]Eric Bayer has spawned a paper.
[18:16:28	]Eric Bayer has spawned a paper.
[18:16:29	]Eric Bayer has spawned a paper.
[18:16:29	]Eric Bayer has spawned a paper.
[18:16:31	]Eric Bayer has spawned a paper.
[18:16:32	]Eric Bayer has spawned a black_ink.
[18:16:33	]Eric Bayer has spawned a black_ink.
[18:16:33	]Eric Bayer has spawned a black_ink.
[18:16:34	]Eric Bayer has spawned a black_ink.
[18:16:35	]Eric Bayer has spawned a black_ink.
[18:16:37	]Eric Bayer has spawned a black_ink.
[18:16:37	]Eric Bayer has spawned a black_ink.
[18:22:01	]Eric Bayer entered observer.
[18:22:02	]Eric Bayer exited observer at their location.
[18:22:03	]Eric Bayer ordered a shipment
[18:22:03	]Eric Bayer entered observer.
[18:22:03	]Eric Bayer exited observer at their location.
[18:22:03	]Eric Bayer entered observer.
[18:22:05	]Eric Bayer exited observer at their location.
[18:22:06	]Eric Bayer entered observer.
[18:22:06	]Eric Bayer exited observer at their location.
[18:22:07	]Eric Bayer entered observer.
[18:22:07	]Eric Bayer exited observer at their location.
[18:22:07	]Eric Bayer entered observer.
[18:22:08	]Eric Bayer exited observer at their location.
[18:22:09	]Eric Bayer entered observer.
[18:22:09	]Eric Bayer exited observer at their location.
[18:22:10	]Eric Bayer entered observer.
[18:22:11	]Eric Bayer exited observer at their location.
[18:22:12	]Eric Bayer entered observer.
[18:22:12	]Eric Bayer exited observer at their location.
[18:22:12	]Eric Bayer entered observer.
[18:22:13	]Eric Bayer exited observer at their location.
[18:22:13	]Eric Bayer entered observer.
[18:22:13	]Eric Bayer exited observer at their location.
[18:22:14	]Eric Bayer entered observer.
[18:22:14	]Eric Bayer exited observer at their location.
[18:22:15	]Eric Bayer entered observer.
[18:22:15	]Eric Bayer exited observer at their location.
[18:22:15	]Eric Bayer entered observer.
[18:22:17	]Eric Bayer exited observer at their location.
[18:22:20	]Eric Bayer took 'Newspaper' from the shipment
[18:22:20	]Eric Bayer has gained a 'Newspaper' #2050003.
[18:22:20	]Eric Bayer took 'Newspaper' from the shipment
[18:22:20	]Eric Bayer has gained a 'Newspaper' #2050004.
[18:22:20	]Eric Bayer took 'Newspaper' from the shipment
[18:22:20	]Eric Bayer has gained a 'Newspaper' #2050005.
[18:22:20	]Eric Bayer took 'Newspaper' from the shipment
[18:22:21	]Eric Bayer has gained a 'Newspaper' #2050006.
[18:22:21	]Eric Bayer took 'Newspaper' from the shipment
[18:22:21	]Eric Bayer has gained a 'Newspaper' #2050007.
[18:22:21	]Eric Bayer took 'Newspaper' from the shipment
[18:22:21	]Eric Bayer has gained a 'Newspaper' #2050008.
[18:22:22	]Eric Bayer took 'Newspaper' from the shipment
[18:22:22	]Eric Bayer has gained a 'Newspaper' #2050009.
[18:22:22	]Eric Bayer took 'Newspaper' from the shipment
[18:22:22	]Eric Bayer has gained a 'Newspaper' #2050010.
[18:22:22	]Eric Bayer took 'Newspaper' from the shipment
[18:22:22	]Eric Bayer has gained a 'Newspaper' #2050011.
[18:22:23	]Eric Bayer took 'Newspaper' from the shipment
[18:22:23	]Eric Bayer has gained a 'Newspaper' #2050012.
[18:22:24	]Eric Bayer ran 'Write' on item 'Vortigaunts Speak!' (#2050011)
[18:22:30	]Eric Bayer entered observer.
[18:22:30	]Eric Bayer exited observer at their location.
[18:22:31	]Eric Bayer entered observer.
[18:22:31	]Eric Bayer exited observer at their location.
[18:22:32	]Eric Bayer entered observer.
[18:22:32	]Eric Bayer exited observer at their location.
[18:22:33	]Eric Bayer entered observer.
[18:22:34	]Eric Bayer exited observer at their location.
[18:22:35	]Eric Bayer entered observer.
[18:22:35	]Eric Bayer exited observer at their location.
[18:22:36	]Eric Bayer entered observer.
[18:22:36	]Eric Bayer exited observer at their location.
[18:22:37	]Eric Bayer entered observer.
[18:22:38	]Eric Bayer exited observer at their location.
[18:22:39	]Eric Bayer entered observer.
[18:22:39	]Eric Bayer exited observer at their location.
[18:22:40	]Eric Bayer entered observer.
[18:22:40	]Eric Bayer exited observer at their location.
[18:22:42	]Eric Bayer entered observer.
[18:22:42	]Eric Bayer exited observer at their location.
[18:22:43	]Eric Bayer entered observer.
[18:22:43	]Eric Bayer exited observer at their location.
[18:22:44	]Eric Bayer entered observer.
[18:22:44	]Eric Bayer exited observer at their location.
[18:22:45	]Eric Bayer entered observer.
[18:23:02	]Eric Bayer has used a context menu option with the name: remove
[18:23:21	]Eric Bayer has spawned a newspaper_printer.
[18:23:22	]Eric Bayer ran 'Place' on item 'Newspaper Printer' (#2050013)
[18:23:27	]Eric Bayer exited observer at their location.
[18:23:34	]Eric Bayer has spawned a newspaper_printer_cracked.
[18:23:41	]Eric Bayer has used a context menu option with the name: skin
[18:23:42	]Eric Bayer has used a context menu option with the name: skin
[18:23:44	]Eric Bayer has used a context menu option with the name: remove
[18:23:44	]Eric Bayer entered observer.
[18:23:46	]Eric Bayer has used a context menu option with the name: remove
[18:23:57	]Eric Bayer exited observer at their location.
[18:23:58	]Eric Bayer entered observer.
[18:23:58	]Eric Bayer exited observer at their location.
[18:24:00	]Eric Bayer entered observer.
[18:24:00	]Eric Bayer exited observer at their location.
[18:24:01	]Eric Bayer entered observer.
[18:24:01	]Eric Bayer exited observer at their location.
[18:24:02	]Eric Bayer entered observer.
[18:24:03	]Eric Bayer exited observer at their location.
[18:24:04	]Eric Bayer entered observer.
[18:24:04	]Eric Bayer exited observer at their location.
[18:24:05	]Eric Bayer entered observer.
[18:24:05	]Eric Bayer exited observer at their location.
[18:24:06	]Eric Bayer entered observer.
[18:24:06	]Eric Bayer exited observer at their location.
[18:24:08	]Eric Bayer entered observer.
[18:24:08	]Eric Bayer exited observer at their location.
[18:24:09	]Eric Bayer entered observer.
[18:24:09	]Eric Bayer exited observer at their location.
[18:24:10	]Eric Bayer entered observer.
[18:24:10	]Eric Bayer exited observer at their location.
[18:24:12	]Eric Bayer entered observer.
[18:24:12	]Eric Bayer exited observer at their location.
[18:24:13	]Eric Bayer entered observer.
[18:24:13	]Eric Bayer exited observer at their location.
[18:24:14	]Eric Bayer entered observer.
[18:24:15	]Eric Bayer exited observer at their location.
[18:24:17	]Eric Bayer entered observer.
[18:24:17	]Eric Bayer exited observer at their location.
[18:24:18	]Eric Bayer entered observer.
[18:24:19	]Eric Bayer exited observer at their location.
[18:24:20	]Eric Bayer entered observer.
[18:24:21	]Eric Bayer exited observer at their location.
[18:24:21	]Eric Bayer entered observer.
[18:24:57	]Eric Bayer exited observer at their location.
[18:24:57	]Eric Bayer entered observer.
[18:25:02	]Eric Bayer has used a context menu option with the name: ixpropviewowner
[18:38:00	]Eric Bayer has used a context menu option with the name: remove
[19:16:06	]Eric Bayer has gone afk.
[19:38:36	]Eric Bayer is fully healed.
[19:55:01	]Eric Bayer is no longer afk. Total time spent AFK: 2630
[19:55:10	]Eric Bayer used command '/PlyWhitelist Eric Bayer Civil Protection'.
[19:55:37	]Eric Bayer has spawned 'models/wn7new/metropolice/male_03.mdl'.
[19:55:47	]Eric Bayer has spawned 'models/wn7new/metropolice/male_02.mdl'.
[19:55:51	]Eric Bayer has used a context menu option with the name: skin
[19:56:35	]Kappatalist created the character 'C17:RCT.YELLO-37'
[19:56:35	]Eric Bayer has gained level 5 in the Guns skill.
[19:56:35	]Eric Bayer has gained level 10 in the Speed skill.
[19:56:35	]Kappatalist loaded the character 'C17:RCT.YELLO-37'
[19:56:35	]C17:RCT.YELLO-37 has gained a '#53129's Identity Card' #2050015.
[19:56:35	]C17:RCT.YELLO-37 has gained a 'Combine PDA' #2050016.
[19:56:35	]C17:RCT.YELLO-37 has gained a 'CP Uniform' #2050017.
[19:56:35	]C17:RCT.YELLO-37 has gained a 'CP Mask' #2050018.
[19:56:35	]C17:RCT.YELLO-37 has gained a 'Handheld Radio' #2050019.
[19:56:35	]C17:RCT.YELLO-37 has gained a 'Small Bag' #2050020.
[19:56:35	]C17:RCT.YELLO-37 has gained a 'Large Bag' #2050021.
[19:57:06	]C17:RCT.YELLO-37 entered observer.
[19:57:14	]C17:RCT.YELLO-37 exited observer at their location.
[19:57:27	]C17:RCT.YELLO-37 used command '/ViewInfo yello-37'.
[19:57:53	]C17:RCT.YELLO-37 used command '/ListColors'.
[19:58:23	]C17:RCT.YELLO-37 has given himself a beard_razor.
[19:58:23	]C17:RCT.YELLO-37 has gained a 'Hairdresser tools' #2050022.
[19:58:25	]C17:RCT.YELLO-37 ran 'Style' on item 'Hairdresser tools' (#2050022)
[19:58:48	]C17:RCT.YELLO-37 entered observer.
[19:59:01	]C17:RCT.YELLO-37 exited observer at their location.
[19:59:21	]C17:RCT.YELLO-37 has fired a toolgun with the name: camera
[19:59:41	]C17:RCT.YELLO-37 ran SAM command 'slay' with arguments: 'yello'
[19:59:43	]C17:RCT.YELLO-37 entered observer.
[19:59:57	]C17:RCT.YELLO-37 has used a context menu option with the name: remove
[19:59:58	]C17:RCT.YELLO-37 has fired a toolgun with the name: advdupe2
[19:59:58	]C17:RCT.YELLO-37 has spawned 'models/wn7new/metropolice/male_02.mdl'.
[20:00:00	]C17:RCT.YELLO-37 has used a context menu option with the name: rb655_make_animatable
[20:00:04	]C17:RCT.YELLO-37 has fired a toolgun with the name: colour
[20:00:06	]C17:RCT.YELLO-37 has fired a toolgun with the name: colour
[20:00:21	]C17:RCT.YELLO-37 has fired a toolgun with the name: colour
[20:00:30	]C17:RCT.YELLO-37 has fired a toolgun with the name: submaterial
[20:00:32	]C17:RCT.YELLO-37 has fired a toolgun with the name: submaterial
[20:00:38	]C17:RCT.YELLO-37 has fired a toolgun with the name: submaterial
[20:00:41	]C17:RCT.YELLO-37 has fired a toolgun with the name: submaterial
[20:00:42	]C17:RCT.YELLO-37 has fired a toolgun with the name: submaterial
[20:00:45	]C17:RCT.YELLO-37 has fired a toolgun with the name: submaterial
[20:00:50	]C17:RCT.YELLO-37 has fired a toolgun with the name: submaterial
[20:00:58	]C17:RCT.YELLO-37 has fired a toolgun with the name: rb655_easy_animation
[20:00:58	]C17:RCT.YELLO-37 has fired a toolgun with the name: rb655_easy_animation
[20:01:50	]C17:RCT.YELLO-37 has used a context menu option with the name: rb655_make_ragdoll
[20:01:58	]C17:RCT.YELLO-37 has spawned 'models/willardnetworks/clothingitems/head_helmet.mdl'.
[20:02:02	]C17:RCT.YELLO-37 has spawned 'models/willardnetworks/clothingitems/head_helmet.mdl'.
[20:02:41	]C17:RCT.YELLO-37 has spawned 'models/weapons/arccw_go/v_smg_mp9.mdl'.
[20:02:44	]C17:RCT.YELLO-37 has spawned 'models/weapons/arccw_go/v_smg_mp7.mdl'.
[20:03:30	]C17:RCT.YELLO-37 has fired a toolgun with the name: faceposer
[20:03:30	]C17:RCT.YELLO-37 has fired a toolgun with the name: faceposer
[20:03:34	]C17:RCT.YELLO-37 has fired a toolgun with the name: faceposer
[20:03:35	]C17:RCT.YELLO-37 has fired a toolgun with the name: faceposer
[20:03:38	]C17:RCT.YELLO-37 exited observer at their location.
[20:03:44	]C17:RCT.YELLO-37 has fired a toolgun with the name: eyeposer
[20:03:46	]C17:RCT.YELLO-37 has fired a toolgun with the name: eyeposer
[20:03:51	]C17:RCT.YELLO-37 has fired a toolgun with the name: faceposer
[20:03:51	]C17:RCT.YELLO-37 has fired a toolgun with the name: faceposer
[20:03:54	]C17:RCT.YELLO-37 has fired a toolgun with the name: faceposer
[20:03:55	]C17:RCT.YELLO-37 has fired a toolgun with the name: faceposer
[20:03:56	]C17:RCT.YELLO-37 has fired a toolgun with the name: faceposer
[20:03:56	]C17:RCT.YELLO-37 has fired a toolgun with the name: faceposer
[20:03:56	]C17:RCT.YELLO-37 has fired a toolgun with the name: faceposer
[20:03:56	]C17:RCT.YELLO-37 has fired a toolgun with the name: faceposer
[20:03:56	]C17:RCT.YELLO-37 has fired a toolgun with the name: faceposer
[20:04:04	]C17:RCT.YELLO-37 entered observer.
[20:07:51	]C17:RCT.YELLO-37 exited observer at their location.
[20:07:58	]C17:RCT.YELLO-37 ran 'drop' on item 'Large Bag' (#2050021)
[20:07:58	]C17:RCT.YELLO-37 has lost a 'Large Bag' #2050021.
[20:08:00	]C17:RCT.YELLO-37 ran 'take' on item 'Large Bag' (#2050021)
[20:08:00	]C17:RCT.YELLO-37 has gained a 'Large Bag' #2050021.
[20:08:06	]C17:RCT.YELLO-37 ran 'drop' on item 'Large Bag' (#2050021)
[20:08:06	]C17:RCT.YELLO-37 has lost a 'Large Bag' #2050021.
[20:08:07	]C17:RCT.YELLO-37 has used a context menu option with the name: remove
[20:08:20	]C17:RCT.YELLO-37 entered observer.
[20:08:27	]Kappatalist loaded the character 'Eric Bayer'
[20:08:32	]delo has connected.
[20:08:40	]Eric Bayer entered observer.
[20:08:41	]Eric Bayer exited observer at their location.
[20:08:42	]Eric Bayer entered observer.
[20:08:43	]Eric Bayer exited observer at their location.
[20:08:45	]Eric Bayer ran 'Write' on item 'Vortigaunts Speak!' (#2050003)
[20:08:47	]Eric Bayer entered observer.
[20:08:51	]Eric Bayer exited observer at their location.
[20:09:02	]Eric Bayer entered observer.
[20:09:03	]Eric Bayer exited observer at their location.
[20:09:03	]Eric Bayer entered observer.
[20:09:04	]Eric Bayer exited observer at their location.
[20:09:04	]Eric Bayer entered observer.
[20:09:05	]Eric Bayer exited observer at their location.
[20:09:05	]Eric Bayer entered observer.
[20:09:05	]Eric Bayer exited observer at their location.
[20:09:22	]delo loaded the character 'Razi Oliver'
[20:09:23	]Razi Oliver their 'indigent stash' stash no longer exists, location reset.
[20:09:27	]Razi Oliver is fully healed.
[20:09:34	]Eric Bayer entered observer.
[20:09:35	]Eric Bayer exited observer at their location.
[20:09:35	]Eric Bayer entered observer.
[20:09:36	]Eric Bayer exited observer at their location.
[20:09:37	]Eric Bayer entered observer.
[20:09:40	]Eric Bayer exited observer at their location.
[20:09:40	]Eric Bayer entered observer.
[20:09:48	]Eric Bayer exited observer at their location.
[20:09:49	]Eric Bayer entered observer.
[20:09:49	]Eric Bayer exited observer at their location.
[20:09:50	]Eric Bayer entered observer.
[20:09:50	]Eric Bayer exited observer at their location.
[20:09:51	]Eric Bayer entered observer.
[20:09:51	]Eric Bayer exited observer at their location.
[20:09:52	]Eric Bayer entered observer.
[20:09:52	]Eric Bayer exited observer at their location.
[20:09:53	]Eric Bayer entered observer.
[20:09:54	]Eric Bayer exited observer at their location.
[20:09:57	]Eric Bayer entered observer.
[20:09:58	]Eric Bayer exited observer at their location.
[20:09:58	]Eric Bayer entered observer.
[20:09:59	]Eric Bayer exited observer at their location.
[20:10:38	]Eric Bayer entered observer.
[20:10:39	]Eric Bayer exited observer at their location.
[20:10:40	]Eric Bayer entered observer.
[20:10:51	]Eric Bayer exited observer at their location.
[20:10:54	]Eric Bayer entered observer.
[20:11:30	]Eric Bayer is admin-searching Razi Oliver's inventory.
[20:11:30	]Eric Bayer has used a context menu option with the name: ixviewinventory
[20:11:32	]Eric Bayer has closed Razi Oliver's inventory.
[20:11:37	]Eric Bayer has spawned a 'Entity [4870][hydra_base]'.
[20:12:11	]Eric Bayer has spawned a 'Entity [4870][gmod_sent_vehicle_fphysics_base]'.
[20:12:13	]Eric Bayer has spawned a 'Entity [4876][gmod_sent_vehicle_fphysics_base]'.
[20:12:20	]Eric Bayer is admin-searching Razi Oliver's inventory.
[20:12:20	]Eric Bayer has used a context menu option with the name: ixviewinventory
[20:12:24	]Eric Bayer has closed Razi Oliver's inventory.
[20:13:12	]Razi Oliver used command '/PrintStaffList'.
[20:13:31	]Eric Bayer is admin-searching Razi Oliver's inventory.
[20:13:31	]Eric Bayer has used a context menu option with the name: ixviewinventory
[20:13:32	]Eric Bayer has closed Razi Oliver's inventory.
[20:13:45	]Eric Bayer has spawned a 'NPC [4891][npc_vj_hlr1a_ivan]'.
[20:14:17	]Eric Bayer has spawned a 'NPC [2883][npc_vj_hlr1_tentacle]'.
[20:14:21	]Eric Bayer exited observer at their location.
[20:14:24	]Eric Bayer entered observer.
[20:14:50	]Eric Bayer has spawned a 'NPC [4903][npc_vj_hlr1_osprey]'.
[20:15:00	]Razi Oliver has taken 5 damage from Human Sergeant.
[20:15:00	]Razi Oliver has taken 1 damage from Human Sergeant.
[20:15:00	]Razi Oliver has taken 1 damage from Human Sergeant.
[20:15:00	]Razi Oliver has taken 1 damage from Human Sergeant.
[20:15:01	]Razi Oliver has taken 1 damage from Human Sergeant.
[20:15:01	]Razi Oliver has taken 1 damage from Human Sergeant.
[20:15:01	]Razi Oliver has taken 1 damage from Human Sergeant.
[20:15:01	]Razi Oliver has taken 1 damage from Human Sergeant.
[20:15:01	]Razi Oliver has taken 1 damage from Human Sergeant.
[20:15:02	]Razi Oliver has taken 1 damage from Human Sergeant.
[20:15:02	]Razi Oliver has taken 1 damage from Human Sergeant.
[20:15:02	]Razi Oliver has taken 5 damage from Human Sergeant.
[20:15:03	]Razi Oliver has taken 5 damage from Human Sergeant.
[20:15:03	]Razi Oliver has taken 5 damage from Human Sergeant.
[20:15:03	]Razi Oliver has taken 5 damage from Human Sergeant.
[20:15:03	]Razi Oliver has taken 1 damage from Human Grunt.
