[11:33:01	].thc has connected.
[11:44:06	]test-cca-chaar has fired a toolgun with the name: vjstool_bullseye
[11:44:08	]test-cca-chaar has fired a toolgun with the name: vjstool_bullseye
[11:44:09	]test-cca-chaar entered observer.
[11:44:11	]test-cca-chaar has fired a toolgun with the name: vjstool_bullseye
[11:44:11	]test-cca-chaar has fired a toolgun with the name: vjstool_bullseye
[11:44:15	]test-cca-chaar exited observer.
[11:44:34	]test-cca-chaar has fired a toolgun with the name: vjstool_npcequipment
[11:44:59	]test-cca-chaar has fired a toolgun with the name: sh_persist
[11:45:01	]test-cca-chaar has fired a toolgun with the name: sh_persist
[11:45:03	]test-cca-chaar has fired a toolgun with the name: sh_persist
[11:45:03	]test-cca-chaar has enabled persistence for 'models/props_c17/metalladder001.mdl'.
[11:45:33	][IC] test-cca-chaar: Arccw_go_nade_molotov.
[11:45:37	]test-cca-chaar used command '/CreateCustomItem'.
[11:47:32	]test-cca-chaar has gained a 'arccw_go_nade_molotov' #1649360.
[11:47:36	]test-cca-chaar ran 'Equip' on item 'arccw_go_nade_molotov' (#1649360)
[11:47:51	]test-cca-chaar ran 'EquipUn' on item 'arccw_go_nade_molotov' (#1649360)
[11:47:52	]test-cca-chaar ran 'drop' on item 'arccw_go_nade_molotov' (#1649360)
[11:47:52	]test-cca-chaar has lost a 'arccw_go_nade_molotov' #1649360.
[11:47:54	]test-cca-chaar has used a context menu option with the name: remove
[11:48:30	]test-cca-chaar has fired a toolgun with the name: creator
[11:48:30	]test-cca-chaar has spawned a 'Weapon [6535][arccw_go_nade_molotov]'.
[11:48:57	]test-cca-chaar has taken 0 damage from test-cca-chaar.
[11:48:57	]test-cca-chaar has taken 1 damage from test-cca-chaar.
[11:48:57	]test-cca-chaar has taken 0 damage from test-cca-chaar.
[11:48:57	]test-cca-chaar has taken 1 damage from test-cca-chaar.
[11:48:58	]test-cca-chaar has taken 1 damage from test-cca-chaar.
[11:48:58	]test-cca-chaar has taken 2 damage from test-cca-chaar.
[11:49:30	]test-cca-chaar used command '/clothingcreator'.
[11:52:21	]test-cca-chaar used command '/CreateCustomItem'.
[11:52:40	]test-cca-chaar is fully healed.
[11:53:15	]test-cca-chaar used command '/CreateCustomItem'.
[11:53:43	]test-cca-chaar has gained a 'weapon_smg1' #1649361.
[11:53:44	]test-cca-chaar ran 'Equip' on item 'weapon_smg1' (#1649361)
[11:54:40	]test-cca-chaar has spawned a Rabit_test.
[11:54:40	]test-cca-chaar was knocked unconscious and is bleeding out.
[11:54:45	]test-cca-chaar ran SAM command 'respawn' with arguments: ''
[11:54:50	]test-cca-chaar is fully healed.
[11:54:53	]test-cca-chaar has used a context menu option with the name: remove
[11:54:57	]test-cca-chaar has spawned a Rabit_test.
[11:55:22	]test-cca-chaar ran 'EquipUn' on item 'weapon_smg1' (#1649361)
[11:55:26	]test-cca-chaar has used a context menu option with the name: remove
[11:55:29	]test-cca-chaar has spawned a cleaningcart.
[11:55:32	]test-cca-chaar ran 'take' on item 'Cleaning Cart' (#1649364)
[11:55:32	]test-cca-chaar has gained a 'Cleaning Cart' #1649364.
[11:55:36	]test-cca-chaar has spawned a custom_item.
[11:55:37	]test-cca-chaar ran 'take' on item 'Cleaning Solution' (#1649365)
[11:55:37	]test-cca-chaar has gained a 'Cleaning Solution' #1649365.
[11:55:40	]test-cca-chaar ran 'drop' on item 'Cleaning Cart' (#1649364)
[11:55:40	]test-cca-chaar has lost a 'Cleaning Cart' #1649364.
[11:55:44	]test-cca-chaar has spawned a broom.
[11:55:46	]test-cca-chaar ran 'take' on item 'Worn Broom' (#1649366)
[11:55:46	]test-cca-chaar has gained a 'Worn Broom' #1649366.
[11:55:47	]test-cca-chaar has spawned a propagandaworkdesk.
[11:55:56	]test-cca-chaar has used a context menu option with the name: remove
[11:55:59	]test-cca-chaar has spawned a xushi_the_meal.
[11:56:01	]test-cca-chaar ran 'take' on item ''The Meal'' (#1649368)
[11:56:01	]test-cca-chaar has gained a ''The Meal'' #1649368.
[11:56:04	]test-cca-chaar has spawned a xushi_the_meal_improved.
[11:56:05	]test-cca-chaar ran 'take' on item ''The Meal'' (#1649369)
[11:56:05	]test-cca-chaar has gained a ''The Meal'' #1649369.
[11:56:12	].thc (STEAM_0:1:709534478) has disconnected.
