[14:30:47	]garry has connected.
[14:33:32	]James Dinerd has gained a '30rnd MP-magazine' #1659742.
[14:33:33	]James Dinerd has gained 0 chips.
[14:33:33	]James Dinerd has gained a '30rnd MP-magazine' #1659743.
[14:33:33	]James Dinerd has gained 0 chips.
[14:33:33	]James Dinerd has gained a '30rnd MP-magazine' #1659744.
[14:33:34	]James Dinerd has gained 0 chips.
[14:33:34	]James Dinerd has gained a '30rnd MP-magazine' #1659745.
[14:33:39	]James Dinerd has gained 0 chips.
[14:33:39	]James Dinerd has gained a 'Sub-machinegun Bullets' #1659746.
[14:33:39	]James Dinerd has gained 0 chips.
[14:33:40	]James Dinerd has gained a 'Sub-machinegun Bullets' #1659747.
[14:33:40	]James Dinerd has gained 0 chips.
[14:33:40	]James Dinerd has gained a 'Sub-machinegun Bullets' #1659748.
[14:33:41	]James Dinerd has gained 0 chips.
[14:33:41	]James Dinerd has gained a 'Sub-machinegun Bullets' #1659749.
[14:33:41	]James Dinerd has gained 0 chips.
[14:33:41	]James Dinerd has gained a 'Sub-machinegun Bullets' #1659750.
[14:33:42	]James Dinerd has gained 0 chips.
[14:33:42	]James Dinerd has gained a 'Sub-machinegun Bullets' #1659751.
[14:33:46	]James Dinerd ran 'Equip' on item 'MP5A3' (#1659741)
[14:33:47	]James Dinerd ran 'combine' on item '30rnd MP-magazine' (#1659743)
[14:33:47	]James Dinerd ran 'combine' on item '30rnd MP-magazine' (#1659742)
[14:33:48	]James Dinerd ran 'combine' on item '30rnd MP-magazine' (#1659745)
[14:33:49	]James Dinerd ran 'combine' on item '30rnd MP-magazine' (#1659744)
[14:33:50	]James Dinerd has lost a '30rnd MP-magazine' #1659745.
[14:33:57	]James Dinerd has gained a '30rnd MP-magazine' #1659745.
[14:33:57	]James Dinerd has lost a '30rnd MP-magazine' #1659744.
[14:34:18	]James Dinerd used the 'Munition Lady' vendor.
[14:34:27	]James Dinerd has gained 0 chips.
[14:34:28	]James Dinerd has gained a 'Frag Grenade' #1659752.
[14:34:28	]James Dinerd has gained 0 chips.
[14:34:28	]James Dinerd has gained a 'Frag Grenade' #1659753.
[14:34:28	]James Dinerd has gained 0 chips.
[14:34:28	]James Dinerd has gained a 'Frag Grenade' #1659754.
[14:34:29	]James Dinerd has gained 0 chips.
[14:34:29	]James Dinerd has gained a 'Frag Grenade' #1659755.
[14:34:29	]James Dinerd has gained 0 chips.
[14:34:29	]James Dinerd has gained a 'Frag Grenade' #1659756.
[14:34:30	]James Dinerd has gained 0 chips.
[14:34:30	]James Dinerd has gained a 'Frag Grenade' #1659757.
[14:34:30	]James Dinerd has gained 0 chips.
[14:34:30	]James Dinerd has gained a 'Frag Grenade' #1659758.
[14:34:30	]James Dinerd has gained 0 chips.
[14:34:31	]James Dinerd has gained a 'Frag Grenade' #1659759.
[14:34:36	]James Dinerd used the 'Munition Lady' vendor.
[14:34:45	]James Dinerd has gained a '30rnd MP-magazine' #1659744.
[14:34:45	]James Dinerd has lost a '30rnd MP-magazine' #1659743.
[14:34:49	]James Dinerd has critically hit npc_combine_camera dealing 0 damage (CritChance was 0.84).
[14:34:49	]James Dinerd has critically hit npc_combine_camera dealing 16 damage (CritChance was 0.84).
[14:34:49	]James Dinerd has critically hit npc_combine_camera dealing 16 damage (CritChance was 0.84).
[14:34:49	]James Dinerd has critically hit npc_combine_camera dealing 0 damage (CritChance was 0.84).
[14:34:49	]James Dinerd has critically hit npc_combine_camera dealing 16 damage (CritChance was 0.84).
[14:34:49	]James Dinerd has critically hit npc_combine_camera dealing 0 damage (CritChance was 0.84).
[14:34:49	]James Dinerd has critically hit npc_combine_camera dealing 16 damage (CritChance was 0.84).
[14:34:49	]James Dinerd has critically hit npc_combine_camera dealing 0 damage (CritChance was 0.84).
[14:34:49	]James Dinerd has critically hit npc_combine_camera dealing 16 damage (CritChance was 0.84).
[14:34:49	]James Dinerd has critically hit npc_combine_camera dealing 0 damage (CritChance was 0.84).
[14:34:49	]James Dinerd has critically hit npc_combine_camera dealing 16 damage (CritChance was 0.84).
[14:34:49	]James Dinerd has critically hit npc_combine_camera dealing 0 damage (CritChance was 0.84).
[14:34:49	]James Dinerd has hit npc_combine_camera dealing 10 damage (CritChance was 0.84).
[14:34:54	]James Dinerd has gained a '30rnd MP-magazine' #1659743.
[14:34:54	]James Dinerd has lost a '30rnd MP-magazine' #1659742.
[14:35:09	]James Dinerd ran 'Equip' on item 'Frag Grenade' (#1659755)
[14:35:10	]James Dinerd ran 'Equip' on item 'Frag Grenade' (#1659754)
[14:35:16	]James Dinerd ran 'Equip' on item 'Frag Grenade' (#1659754)
[14:35:24	]James Dinerd has gained a '30rnd MP-magazine' #1659742.
[14:35:24	]James Dinerd was knocked unconscious and is bleeding out.
[14:35:40	]James Dinerd was just killed due to: accepting their death
[14:35:43	]James Dinerd used command '/CharGetUp'.
[14:35:45	]James Dinerd ran 'Equip' on item 'Frag Grenade' (#1659759)
[14:35:51	]James Dinerd ran 'Equip' on item 'Frag Grenade' (#1659753)
[14:35:54	]James Dinerd used the 'John Doe' vendor.
[14:35:57	]James Dinerd used the 'Munition Lady' vendor.
[14:36:35	]James Dinerd used the 'Munition Lady' vendor.
[14:36:40	]James Dinerd has gained 0 chips.
[14:36:42	]James Dinerd used the 'Munition Lady' vendor.
[14:37:07	]James Dinerd has gained 0 chips.
[14:37:11	]James Dinerd ran 'drop' on item '30rnd MP-magazine' (#1659744)
[14:37:11	]James Dinerd has lost a '30rnd MP-magazine' #1659744.
[14:37:12	]James Dinerd ran 'drop' on item 'MP5A3' (#1659741)
[14:37:12	]James Dinerd has lost a 'MP5A3' #1659741.
[14:37:16	]James Dinerd ran 'take' on item '30rnd MP-magazine' (#1659744)
[14:37:16	]James Dinerd has gained a '30rnd MP-magazine' #1659744.
[14:37:18	]James Dinerd ran 'take' on item 'OSITR' (#1659761)
[14:37:23	]James Dinerd ran 'take' on item 'OSITR' (#1659761)
[14:37:26	]James Dinerd ran 'drop' on item '30rnd MP-magazine' (#1659744)
[14:37:26	]James Dinerd has lost a '30rnd MP-magazine' #1659744.
[14:37:27	]James Dinerd ran 'take' on item 'OSITR' (#1659761)
[14:37:30	]James Dinerd ran 'drop' on item '30rnd MP-magazine' (#1659742)
[14:37:30	]James Dinerd has lost a '30rnd MP-magazine' #1659742.
[14:37:31	]James Dinerd ran 'drop' on item 'Sub-machinegun Bullets' (#1659746)
[14:37:31	]James Dinerd has lost a 'Sub-machinegun Bullets' #1659746.
[14:37:32	]James Dinerd ran 'take' on item 'OSITR' (#1659761)
[14:37:32	]James Dinerd has gained a 'OSITR' #1659761.
[14:37:34	]James Dinerd ran 'Equip' on item 'OSITR' (#1659761)
[14:37:42	]James Dinerd used the 'Munition Lady' vendor.
[14:37:52	]James Dinerd has gained 0 chips.
[14:37:54	]James Dinerd ran 'drop' on item 'OSITR' (#1659761)
[14:37:54	]James Dinerd has lost a 'OSITR' #1659761.
[14:37:58	]James Dinerd ran 'take' on item 'AR-2' (#1659762)
[14:37:58	]James Dinerd has gained a 'AR-2' #1659762.
[14:38:00	]James Dinerd ran 'Equip' on item 'AR-2' (#1659762)
[14:38:01	]James Dinerd used the 'Munition Lady' vendor.
[14:38:09	]James Dinerd has gained 0 chips.
[14:38:09	]James Dinerd has gained a 'Pulse Rifle Bullets' #1659763.
[14:38:09	]James Dinerd has gained 0 chips.
[14:38:10	]James Dinerd has gained a 'Pulse Rifle Bullets' #1659764.
[14:38:10	]James Dinerd has gained 0 chips.
[14:38:10	]James Dinerd has gained a 'Pulse Rifle Bullets' #1659765.
[14:38:11	]James Dinerd has gained 0 chips.
[14:38:11	]James Dinerd has gained a 'Pulse Rifle Bullets' #1659766.
[14:38:19	]James Dinerd has gained 0 chips.
[14:38:19	]James Dinerd has gained a '17rnd Usp-magazine' #1659767.
[14:38:20	]James Dinerd has gained 0 chips.
[14:38:20	]James Dinerd has gained a '30rnd Pulse-magazine' #1659768.
[14:38:21	]James Dinerd has gained 0 chips.
[14:38:21	]James Dinerd has gained a '30rnd Pulse-magazine' #1659769.
[14:38:21	]James Dinerd has gained 0 chips.
[14:38:21	]James Dinerd has gained a '30rnd Pulse-magazine' #1659770.
[14:38:22	]James Dinerd has gained 0 chips.
[14:38:22	]James Dinerd has gained a '30rnd Pulse-magazine' #1659771.
[14:38:32	]James Dinerd ran 'combine' on item '30rnd Pulse-magazine' (#1659769)
[14:38:33	]James Dinerd ran 'combine' on item '30rnd Pulse-magazine' (#1659768)
[14:38:34	]James Dinerd ran 'combine' on item '30rnd Pulse-magazine' (#1659771)
[14:38:35	]James Dinerd ran 'combine' on item '30rnd Pulse-magazine' (#1659770)
[14:38:38	]James Dinerd has lost a '30rnd Pulse-magazine' #1659771.
[14:38:41	]James Dinerd has gained a '30rnd Pulse-magazine' #1659771.
[14:38:41	]James Dinerd has lost a '30rnd Pulse-magazine' #1659770.
[14:38:48	]James Dinerd has gained a '30rnd Pulse-magazine' #1659770.
[14:38:48	]James Dinerd has lost a '30rnd Pulse-magazine' #1659769.
[14:38:55	]James Dinerd destroyed a 'Orange collaborator armband' #1641497.
[14:38:55	]James Dinerd destroyed a 'Hairdresser tools' #1646404.
[14:39:02	]garry (STEAM_0:0:556861499) has disconnected.
[15:28:44	]Purple Knight has connected.
[15:29:31	]Purple Knight loaded the character 'S10/OWS.GHOST-53'
[15:29:36	]S10/OWS.GHOST-53 is fully healed.
[15:29:45	][OOC] S10/OWS.GHOST-53: Gonna need vorti wl broski
[15:29:56	]S10/OWS.GHOST-53 ran 'Equip' on item 'Volk'd PKP' (#1658493)
[15:29:57	]S10/OWS.GHOST-53 has lost a '100rnd Volk-magazine' #1658624.
[15:30:54	]S10/OWS.GHOST-53 used command '/ToggleMentor'.
[15:31:48	]Mango has connected.
[15:32:33	]Mango loaded the character 'Banana'
[15:32:41	][IC] S10/OWS.GHOST-53: <:: Gimme vorti WL. ::>
[15:32:44	][IC] Banana: Cooking.
[15:32:51	]Banana used command '/PlyWhitelist s10 vortigaunt'.
[15:32:57	]Purple Knight has unloaded their "S10/OWS.GHOST-53" character.
[15:33:07	]Banana used command '/CharGiveFlag banana U'.
[15:33:09	]Banana used command '/Datafile banana'.
[15:33:21	]Banana entered observer.
[15:33:22	]Banana exited observer at their location.
[15:34:01	]Purple Knight created the character 'Galanga'
[15:34:01	]Purple Knight loaded the character 'Galanga'
[15:34:10	][IC] Galanga: Galanga.
[15:34:50	]Galanga ran 'take' on item '357 Rounds' (#1659455)
[15:34:50	]Galanga has gained a '357 Rounds' #1659455.
[15:34:54	][IC] Banana: A.
[15:34:57	][IC] Galanga: Pew.
[15:35:03	][IC] Galanga: Galanga.
[15:35:05	][IC] Galanga: Galanga.
[15:35:05	][IC] Banana: What's your collar id my vorti.
[15:35:15	][IC] Galanga: Dont got one lol.
[15:35:29	]Banana has given himself a vortigaunt_slave_collar_fake.
[15:35:29	]Banana has gained a 'Vortigaunt Collar (fake)' #1659772.
[15:35:30	][IC] Galanga: Collar me up homie.
[15:35:32	]Banana ran 'drop' on item 'Vortigaunt Collar (fake)' (#1659772)
[15:35:32	]Banana has lost a 'Vortigaunt Collar (fake)' #1659772.
[15:35:36	]Galanga ran 'take' on item 'Vortigaunt Collar (fake)' (#1659772)
[15:35:36	]Galanga has gained a 'Vortigaunt Collar (fake)' #1659772.
[15:35:46	][IC] Galanga: 83549.
[15:35:51	]Banana used command '/Datafile !83549'.
[15:36:03	][IC] Banana: All works there so far.
[15:36:04	]Banana used command '/Datafile !83549'.
[15:36:14	]Banana entered observer.
[15:36:15	]Banana exited observer at their location.
[15:36:19	]Banana used command '/CharGiveFlag ga U'.
[15:36:30	][IC] Banana: You can do /datafile and a collarid now.
[15:36:38	][IC] Banana: 48099.
[15:36:42	]Galanga used command '/Datafile 48099'.
[15:36:49	][IC] Banana: Do! Before the numbers.
[15:36:52	][IC] Galanga: Ah...
[15:36:57	]Galanga used command '/Datafile !48099'.
[15:37:08	]Banana used command '/Datafile gal'.
[15:37:13	][IC] Galanga: Hello banana.
[15:37:17	][IC] Banana: Hello.
[15:37:28	]Galanga used command '/Datafile !48099'.
[15:37:33	][IC] Banana: Lme check console.
[15:37:49	][IC] Galanga: No nullification option?
[15:37:57	][IC] Banana: Wym.
[15:37:58	][IC] Galanga: Or have you not implimented that bit yet.
[15:38:01	]Galanga used command '/Datafile !48099'.
[15:38:10	]Banana used command '/Datafile !48099'.
[15:38:15	][IC] Banana: Wtf.
[15:38:26	][IC] Banana: Oh.
[15:38:29	][IC] Banana: There is an error.
[15:38:37	][IC] Banana: For the vortbeam someone modified.
[15:39:07	][IC] Banana: Hold on.
[15:39:10	][IC] Banana: Let me try create this char again.
[15:39:13	][IC] Banana: Its old.
[15:39:17	]Mango (STEAM_0:0:544539350) deleted character 'Banana'
[15:39:18	][IC] Galanga: Galanga. Galanga. Galanga. Galanga. Galanga. Galanga. Galanga. Galanga. Galanga. Galanga. Galanga. Galanga. Galanga. Galanga. Galanga. Galanga.
[15:39:39	]Mango created the character 'Abulubulu'
[15:39:39	]Mango loaded the character 'Abulubulu'
[15:39:39	]Abulubulu has gained a 'Vortigaunt Hooks' #1659773.
[15:39:39	]Abulubulu has gained a 'Vortigaunt Shackles' #1659774.
[15:39:39	]Abulubulu has gained a 'Vortigaunt Collar' #1659775.
[15:39:47	][IC] Abulubulu: Oke oke.
[15:39:56	][IC] Abulubulu: 19081.
[15:40:01	]Galanga used command '/Datafile !19081'.
[15:40:17	][IC] Galanga: That's better.
[15:40:25	][IC] Galanga: Got the coheision points and le nulling.
[15:40:27	]Galanga used command '/Datafile !19081'.
[15:41:02	]Abulubulu used command '/CharGiveFlag abu U'.
[15:41:03	]Abulubulu used command '/Datafile !19081'.
[15:41:27	][IC] Abulubulu: Yessssssss.
[15:41:32	][IC] Galanga: Broosh.
[15:41:35	][IC] Abulubulu: I'm clean.
[15:41:36	][IC] Abulubulu: Bish.
[15:41:52	][IC] Abulubulu: Yes.
[15:41:53	][IC] Abulubulu: Yes...
[15:41:55	][IC] Galanga: Galanga. Galanga. Galanga. Galanga. Galanga. Galanga. Galanga. Galanga.
[15:41:58	][IC] Abulubulu: Come in, come in!
[15:42:02	][IC] Abulubulu: Come in, come in!
[15:42:04	][IC] Abulubulu: Enter...
[15:42:07	][IC] Galanga: Come!
[15:42:13	][IC] Abulubulu: Cooking. Come!
[15:42:23	][IC] Abulubulu: Behold!
[15:42:26	][IC] Galanga: Come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come,.
[15:42:30	][IC] Abulubulu: Im.
[15:42:32	][IC] Abulubulu: Dead.
[15:42:34	][IC] Galanga: XD.
[15:42:40	]Abulubulu has spawned a 'NPC [210][npc_monk]'.
[15:42:42	][IC] Abulubulu: ATTACK.
[15:42:47	]Abulubulu has damaged npc_monk, dealing 5 with ix_hands
[15:42:48	]Abulubulu has damaged npc_monk, dealing 5 with ix_hands
[15:42:48	]Abulubulu has taken 63 damage from Galanga.
[15:42:48	][VORT] Galanga has damaged Abulubulu, dealing 63.6 with vortbeam
[15:42:48	][VORT] Galanga has damaged npc_monk, dealing 63.6 with vortbeam
[15:42:50	]Abulubulu has damaged npc_monk, dealing 5 with ix_hands
[15:42:51	]Abulubulu has damaged npc_monk, dealing 5 with ix_hands
[15:42:51	]Abulubulu has damaged npc_monk, dealing 5 with ix_hands
[15:42:52	]Abulubulu has damaged npc_monk, dealing 5 with ix_hands
[15:42:53	]Abulubulu has damaged npc_monk, dealing 5 with ix_hands
[15:42:53	]Galanga has damaged npc_monk, dealing 19 with ix_hands
[15:42:54	]Abulubulu has damaged npc_monk, dealing 5 with ix_hands
[15:42:54	]Galanga has damaged npc_monk, dealing 19 with ix_hands
[15:42:54	]Abulubulu has damaged npc_monk, dealing 5 with ix_hands
[15:42:55	]Galanga has damaged npc_monk, dealing 19 with ix_hands
[15:42:56	]Galanga has damaged npc_monk, dealing 19 with ix_hands
[15:42:56	][IC] Abulubulu: Fucker.
[15:42:57	]Galanga has damaged npc_monk, dealing 19 with ix_hands
[15:42:57	]Abulubulu has damaged npc_monk, dealing 5 with ix_hands
[15:43:02	][IC] Galanga: How sassy.
[15:43:07	][IC] Abulubulu: Yes.
[15:43:19	][IC] Abulubulu: Oh and you're using a fake collar.
[15:43:21	][IC] Galanga: Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cooking. Cook.
[15:43:28	][IC] Galanga: Yes.
[15:43:29	][IC] Abulubulu: Try giving the collar to me.
[15:43:33	]Galanga ran 'drop' on item 'Vortigaunt Collar (fake)' (#1659772)
[15:43:33	]Galanga has lost a 'Vortigaunt Collar (fake)' #1659772.
[15:43:37	][IC] Abulubulu: Wait I go on another char.
[15:43:52	]Mango created the character 'gagagagahafasfad'
[15:43:53	]Mango loaded the character 'gagagagahafasfad'
[15:44:00	]gagagagahafasfad entered observer.
[15:44:04	]gagagagahafasfad exited observer at their location.
[15:44:16	][IC] gagagagahafasfad: Bruh can't interact with it.
[15:44:19	][IC] Galanga: Bruh.
[15:44:19	][IC] gagagagahafasfad: Its from my other char.
[15:44:21	][IC] gagagagahafasfad: Hahahahahah.
[15:44:23	][IC] Galanga: LOL.
[15:44:26	][IC] gagagagahafasfad: Makes sense.
[15:44:33	][IC] Galanga: I'll make a new one.
[15:44:34	][IC] gagagagahafasfad: I'll unlock my other..
[15:44:36	][IC] gagagagahafasfad: Oh.
[15:44:36	][IC] gagagagahafasfad: Yes.
[15:44:39	]Purple Knight has unloaded their "Galanga" character.
[15:45:02	]Purple Knight created the character 'Cooking'
[15:45:03	]Purple Knight loaded the character 'Cooking'
[15:45:03	]Cooking has gained a 'Vortigaunt Hooks' #1659776.
[15:45:03	]Cooking has gained a 'Vortigaunt Shackles' #1659777.
[15:45:03	]Cooking has gained a 'Vortigaunt Collar' #1659778.
[15:45:22	][IC] Cooking: BRUH.
[15:45:27	][IC] Cooking: ITS FROM MY CHAR LOL.
[15:45:43	][IC] gagagagahafasfad: IM.
[15:45:45	][IC] gagagagahafasfad: AAAAAAAAAAA.
[15:45:47	][IC] gagagagahafasfad: YYAAAAAAAAAAAPJTAMSFASJFDAPSA;.
[15:45:49	]gagagagahafasfad used command '/EnterMeditation'.
[15:45:53	][IC] Cooking: Fuck you willy networks.
[15:45:56	]gagagagahafasfad used command '/EnterMeditation'.
[15:46:00	][IC] gagagagahafasfad: Wiwaweworks.
[15:46:16	]Cooking used command '/EnterMeditation'.
[15:46:21	]gagagagahafasfad used command '/EnterMeditation'.
[15:46:23	]gagagagahafasfad used command '/EnterMeditation'.
[15:46:26	][IC] gagagagahafasfad: Uhhh what else.
[15:46:28	][IC] Cooking: Fuck you willy networks.
[15:46:29	][IC] gagagagahafasfad: Should we be trying.
[15:46:32	]Cooking used command '/EnterMeditation'.
[15:46:34	][IC] Cooking: Hmmm'.
[15:46:36	][IC] gagagagahafasfad: Combine machines?
[15:46:41	][IC] Cooking: Sure.
[15:46:43	][IC] gagagagahafasfad: If you're on a free vort and I give you cid.
[15:46:53	][IC] Cooking: Lemme get on the free one.
[15:46:56	]Purple Knight has unloaded their "Cooking" character.
[15:47:04	]Purple Knight loaded the character 'Galanga'
[15:47:05	]Mango loaded the character 'Abulubulu'
[15:47:10	]Abulubulu is fully healed.
[15:47:22	][IC] Galanga: Guh tf.
[15:47:25	]Galanga used the 'Munition Lady' vendor.
[15:47:29	]Abulubulu entered observer.
[15:47:29	]Galanga has gained 0 chips.
[15:47:29	]Galanga has gained a 'Desert Eagle' #1659779.
[15:47:32	]Abulubulu exited observer at their location.
[15:47:35	]Galanga has gained 0 chips.
[15:47:35	]Galanga has gained a '357 Rounds' #1659780.
[15:47:36	]Galanga has gained 0 chips.
[15:47:36	]Galanga has gained a '357 Rounds' #1659781.
[15:47:42	]Galanga has gained 0 chips.
[15:47:42	]Galanga has gained a '7rnd Desert Eagle Magazine' #1659782.
[15:47:47	]Galanga ran 'Equip' on item 'Desert Eagle' (#1659779)
[15:47:49	]Galanga ran 'combine' on item '7rnd Desert Eagle Magazine' (#1659782)
[15:47:50	]Galanga has lost a '7rnd Desert Eagle Magazine' #1659782.
[15:47:51	]Abulubulu used command '/CreateCid gal'.
[15:47:51	]Galanga has gained a '#83917's Identity Card' #1659783.
[15:47:56	][IC] Galanga: Vorti with a gat.
[15:48:05	]Galanga ran 'removeMag' on item 'Desert Eagle' (#1659779)
[15:48:05	]Galanga has gained a '7rnd Desert Eagle Magazine' #1659782.
[15:48:06	]Galanga ran 'combine' on item '7rnd Desert Eagle Magazine' (#1659782)
[15:48:07	]Galanga has lost a '7rnd Desert Eagle Magazine' #1659782.
[15:48:10	]Galanga has critically hit Abulubulu dealing 37 damage (CritChance was 0.90).
[15:48:10	]Abulubulu has taken 37 damage from Galanga.
[15:48:47	][IC] Abulubulu: Well, I assume the datafiles work.
[15:48:54	][IC] Abulubulu: And you didnt manage to break anything which is good.
[15:48:57	][IC] Galanga: Cooking. Cooking.
[15:49:00	][IC] Abulubulu: Cooking.
[15:49:02	][IC] Galanga: Cooking. Cooking. Cooking. Cooking.
[15:49:03	]Galanga used the 'Munition Lady' vendor.
[15:49:06	][IC] Abulubulu: Forward. Cooking. Enter... Forward.
[15:49:09	]Galanga has gained 0 chips.
[15:49:09	]Galanga has gained a '7rnd Desert Eagle Magazine' #1659784.
[15:49:09	]Galanga has gained 0 chips.
[15:49:09	]Galanga has gained a '7rnd Desert Eagle Magazine' #1659785.
[15:49:13	][IC] Abulubulu: Enter...
[15:49:26	][IC] Galanga: Enter... Enter... Enter... Enter... Enter... Enter... Enter... Enter... Enter... Enter...
[15:49:30	]Galanga ran 'combine' on item '7rnd Desert Eagle Magazine' (#1659785)
[15:49:31	]Galanga ran 'combine' on item '7rnd Desert Eagle Magazine' (#1659784)
[15:49:34	][IC] Abulubulu: Thanks for helping me u awesome turtle.
[15:49:34	]Galanga has gained a '7rnd Desert Eagle Magazine' #1659782.
[15:49:34	]Galanga has lost a '7rnd Desert Eagle Magazine' #1659785.
[15:49:39	][IC] Galanga: Damn right.
[15:49:40	]Galanga has hit Abulubulu dealing 0 damage (CritChance was 0.90).
[15:49:40	]Galanga has hit Abulubulu dealing 23 damage (CritChance was 0.90).
[15:49:40	]Abulubulu has taken 23 damage from Galanga.
[15:49:41	]Galanga has critically hit Abulubulu dealing 37 damage (CritChance was 0.90).
[15:49:41	]Abulubulu has taken 37 damage from Galanga.
[15:49:41	]Galanga has critically hit Abulubulu dealing 37 damage (CritChance was 0.90).
[15:49:41	]Abulubulu has taken 37 damage from Galanga.
[15:49:41	]Galanga has hit Abulubulu dealing 23 damage (CritChance was 0.90).
[15:49:41	]Abulubulu has taken 23 damage from Galanga.
[15:49:42	]Galanga has critically hit Abulubulu dealing 37 damage (CritChance was 0.90).
[15:49:42	]Abulubulu has taken 37 damage from Galanga.
[15:49:42	]Galanga has critically hit Abulubulu dealing 0 damage (CritChance was 0.90).
[15:49:42	]Galanga has critically hit Abulubulu dealing 37 damage (CritChance was 0.90).
[15:49:42	]Abulubulu was knocked unconscious and is bleeding out.
[15:49:43	]Galanga has gained a '7rnd Desert Eagle Magazine' #1659785.
[15:49:43	]Galanga has lost a '7rnd Desert Eagle Magazine' #1659784.
[15:49:47	][IC] Abulubulu: Bish.
[15:49:49	][IC] Galanga: <3.
[15:50:07	][IC] Galanga: Need me for anything else or are we good?
[15:50:11	]Galanga ran 'combine' on item '7rnd Desert Eagle Magazine' (#1659782)
[15:50:11	]Galanga ran 'combine' on item '7rnd Desert Eagle Magazine' (#1659785)
[15:50:12	]Galanga ran 'combine' on item '7rnd Desert Eagle Magazine' (#1659785)
[15:50:13	]Galanga ran 'combine' on item '7rnd Desert Eagle Magazine' (#1659782)
[15:50:14	]Galanga has gained a '7rnd Desert Eagle Magazine' #1659784.
[15:50:14	]Galanga has lost a '7rnd Desert Eagle Magazine' #1659785.
[15:50:16	]Galanga ran 'combine' on item '7rnd Desert Eagle Magazine' (#1659784)
[15:50:21	]Galanga has gained a '7rnd Desert Eagle Magazine' #1659785.
[15:50:21	]Galanga has lost a '7rnd Desert Eagle Magazine' #1659782.
[15:50:25	]Galanga has gained a '7rnd Desert Eagle Magazine' #1659782.
[15:50:25	]Galanga has lost a '7rnd Desert Eagle Magazine' #1659784.
[15:50:26	][IC] Abulubulu: We goodie.
[15:50:28	][IC] Abulubulu: Goodie gooodies.
[15:50:31	][IC] Galanga: Okie!
[15:50:32	]Purple Knight (STEAM_0:1:63227876) has disconnected.
[15:50:35	]Mango (STEAM_0:0:544539350) has disconnected.
[21:27:16	]M!NT has connected.
[21:27:42	]M!NT loaded the character 'test char'
[21:27:51	]test char entered observer.
[21:27:52	]test char exited observer at their location.
[21:28:02	]test char entered observer.
[21:28:07	]test char exited observer at their location.
[21:28:08	][IC] test char: Hi.
[21:28:12	]test char ran SAM command 'hp' with arguments: 'test' '10000'
[21:28:17	]test char is fully healed.
