[17:43:30	]Shimac's Stew has connected.
[17:51:29	]Shimac Stew ran 'Water' on item 'Water Bucket' (#423)
[17:51:30	]Shimac Stew ran 'fill' on item 'Water Bucket' (#423)
[17:51:31	]Shimac Stew ran 'fill' on item 'Water Bucket' (#423)
[17:51:39	]Shimac Stew ran 'Water' on item 'Water Bucket' (#423)
[17:51:40	]Shimac Stew ran 'Water' on item 'Fertilizer' (#425)
[17:51:47	]Shimac Stew ran 'Water' on item 'Water Bucket' (#423)
[17:52:42	]Shimac Stew ran 'fill' on item 'Water Bucket' (#423)
[17:52:43	]Shimac Stew ran 'fill' on item 'Water Bucket' (#423)
[17:52:46	]Shimac Stew ran 'fill' on item 'Water Bucket' (#423)
[17:52:47	]Shimac Stew ran 'fill' on item 'Water Bucket' (#423)
[17:52:50	]Shimac Stew ran 'fill' on item 'Water Bucket' (#423)
[17:52:51	]Shimac Stew ran 'fill' on item 'Water Bucket' (#423)
[17:52:56	]Shimac Stew ran 'Read' on item 'Cooking and Culinary - Part 2' (#424)
[17:53:46	]Shimac Stew has gained level 16 in the Cooking skill.
[17:53:59	]Shimac's Stew has unloaded their "Shimac Stew" character.
[17:54:04	]Shimac's Stew loaded the character 'Shimac Stew'
[17:54:23	]Shimac Stew ran 'Water' on item 'Water Bucket' (#423)
[17:54:24	]Shimac Stew ran 'Water' on item 'Water Bucket' (#423)
[17:54:29	]Shimac Stew ran 'Water' on item 'Water Bucket' (#423)
[17:55:06	]Shimac Stew used the 'Steven the farmer' vendor.
[17:56:29	]Shimac Stew used the 'Steven the farmer' vendor.
[17:56:32	]Shimac Stew has gained 0 chips.
[17:56:32	]Shimac Stew has gained a 'Advanced Fertilizer' #427.
[17:56:58	]Shimac Stew ran 'Water' on item 'Advanced Fertilizer' (#427)
[17:57:45	]Jolly Astro has connected.
[17:57:56	]Shimac Stew has performed the 'Harvest Plant' action, gaining 250 experience in cooking.
[17:57:56	]Shimac Stew has gained a 'Apple' #428.
[17:57:56	]Shimac Stew has gained a 'Apple' #429.
[17:57:56	]Shimac Stew has gained a 'Apple' #430.
[17:57:56	]Shimac Stew has gained a 'Apple' #431.
[17:57:56	]Shimac Stew has gained a 'Apple' #432.
[17:57:56	]Shimac Stew has gained a 'Apple' #433.
[17:57:59	]Shimac Stew ran 'Consume' on item 'Apple' (#430)
[17:58:09	]Shimac Stew ran 'Consume' on item 'Apple' (#433)
[17:58:10	]Shimac Stew ran 'Consume' on item 'Apple' (#428)
[17:58:11	]Shimac Stew ran 'Consume' on item 'Apple' (#429)
[17:58:11	]Shimac Stew ran 'Consume' on item 'Apple' (#431)
[17:58:12	]Shimac Stew ran 'Consume' on item 'Apple' (#432)
[17:58:16	]Shimac Stew used the 'Steven the farmer' vendor.
[17:58:18	]Shimac Stew has gained 0 chips.
[17:58:18	]Shimac Stew has gained a 'Advanced Fertilizer' #434.
[17:58:20	]Shimac Stew has gained 0 chips.
[17:58:20	]Shimac Stew has gained a 'Advanced Fertilizer' #435.
[17:58:29	]Shimac's Stew (STEAM_0:1:97461406) has disconnected.
[18:00:05	]Jolly Astro loaded the character 'S10/OWS.GHOST-11'
[18:00:54	]S10/OWS.GHOST-11 has spawned a 'Entity [345][ix_workerk_gas]'.
[18:00:56	]S10/OWS.GHOST-11 has spawned a 'Entity [347][ix_workerk_water]'.
[18:01:00	]S10/OWS.GHOST-11 has spawned a 'Entity [346][ix_workerk_water]'.
[18:01:05	]S10/OWS.GHOST-11 has spawned a 'Entity [348][ix_workerk_gas]'.
[18:04:03	]S10/OWS.GHOST-11 used command '/PlyWhitelist ghost cp'.
[18:04:21	]Jolly Astro created the character 'C17:RCT.YELLO-51'
[18:04:21	]S10/OWS.GHOST-11 has gained level 5 in the Guns skill.
[18:04:21	]S10/OWS.GHOST-11 has gained level 10 in the Speed skill.
[18:04:21	]C17:RCT.YELLO-51 has gained a '#19929's Identity Card' #436.
[18:04:21	]C17:RCT.YELLO-51 has gained a 'Combine PDA' #437.
[18:04:21	]C17:RCT.YELLO-51 has gained a 'CP Uniform' #438.
[18:04:21	]C17:RCT.YELLO-51 has gained a 'CP Mask' #439.
[18:04:21	]C17:RCT.YELLO-51 has gained a 'Handheld Radio' #440.
[18:04:21	]C17:RCT.YELLO-51 has gained a 'Small Bag' #441.
[18:04:21	]C17:RCT.YELLO-51 has gained a 'Large Bag' #442.
[18:04:21	]Jolly Astro loaded the character 'C17:RCT.YELLO-51'
[18:07:23	]C17:RCT.YELLO-51 entered observer.
[18:07:24	]C17:RCT.YELLO-51 exited observer at their location.
[18:07:25	]C17:RCT.YELLO-51 used the 'Steven the farmer' vendor.
[18:12:51	]C17:RCT.YELLO-51 has gone afk.
[18:12:53	]Console ran SAM command 'adduserid' with arguments: 'STEAM_0:1:97461406' 'server_admin'
[18:14:36	]C17:RCT.YELLO-51 is no longer afk. Total time spent AFK: 400
[18:15:45	]C17:RCT.YELLO-51 used the 'Steven the farmer' vendor.
[18:15:57	]C17:RCT.YELLO-51 entered observer.
[18:16:00	]C17:RCT.YELLO-51 exited observer at their location.
[18:22:42	]Jolly Astro has connected.
[18:24:29	]Jolly Astro loaded the character 'C17:RCT.YELLO-51'
[18:25:12	]C17:RCT.YELLO-51 has given himself a combinebattery.
[18:25:12	]C17:RCT.YELLO-51 has gained a 'Combine Battery' #443.
[18:25:15	]C17:RCT.YELLO-51 ran 'SetFullCharge' on item 'Combine Battery' (#443)
[18:25:16	]C17:RCT.YELLO-51 ran 'drop' on item 'Combine Battery' (#443)
[18:25:16	]C17:RCT.YELLO-51 has lost a 'Combine Battery' #443.
[18:25:37	]C17:RCT.YELLO-51 has given himself a datadisc.
[18:25:37	]C17:RCT.YELLO-51 has gained a 'Data-Disc' #444.
[18:25:45	]C17:RCT.YELLO-51 ran 'drop' on item 'Data-Disc' (#444)
[18:25:45	]C17:RCT.YELLO-51 has lost a 'Data-Disc' #444.
[18:25:50	]C17:RCT.YELLO-51 ran 'take' on item 'Data-Disc' (#444)
[18:25:50	]C17:RCT.YELLO-51 has gained a 'Data-Disc' #444.
[18:25:54	]C17:RCT.YELLO-51 ran 'drop' on item 'Data-Disc' (#444)
[18:25:54	]C17:RCT.YELLO-51 has lost a 'Data-Disc' #444.
[18:26:13	]C17:RCT.YELLO-51 has given himself a clawhammer.
[18:26:14	]C17:RCT.YELLO-51 has gained a 'Claw Hammer' #445.
[18:26:15	]C17:RCT.YELLO-51 ran 'drop' on item 'Claw Hammer' (#445)
[18:26:15	]C17:RCT.YELLO-51 has lost a 'Claw Hammer' #445.
[18:26:28	]C17:RCT.YELLO-51 used command '/CharGiveFlag yello pet'.
[18:26:46	]C17:RCT.YELLO-51 ran 'take' on item 'Data-Disc' (#444)
[18:26:46	]C17:RCT.YELLO-51 has gained a 'Data-Disc' #444.
[18:27:00	]C17:RCT.YELLO-51 entered observer.
[18:27:02	]C17:RCT.YELLO-51 exited observer at their location.
[18:27:11	]C17:RCT.YELLO-51 has given himself a combinebattery.
[18:27:11	]C17:RCT.YELLO-51 has gained a 'Combine Battery' #446.
[18:27:12	]C17:RCT.YELLO-51 ran 'SetFullCharge' on item 'Combine Battery' (#446)
[18:27:14	]C17:RCT.YELLO-51 ran 'drop' on item 'Combine Battery' (#446)
[18:27:14	]C17:RCT.YELLO-51 has lost a 'Combine Battery' #446.
[18:27:37	]C17:RCT.YELLO-51 has spawned a pulse.
[18:27:55	]C17:RCT.YELLO-51 entered observer.
[18:27:55	]C17:RCT.YELLO-51 exited observer at their location.
[18:28:10	]C17:RCT.YELLO-51 ran 'take' on item 'Resin' (#448)
[18:28:10	]C17:RCT.YELLO-51 has gained a 'Resin' #448.
[18:28:28	]C17:RCT.YELLO-51 has given himself a underclass_ration.
[18:28:29	]C17:RCT.YELLO-51 has gained a 'Underclass Ration' #449.
[18:28:32	]C17:RCT.YELLO-51 ran 'Open' on item 'Underclass Ration' (#449)
[18:28:32	]C17:RCT.YELLO-51 has gained a 'Artificial Paste' #450.
[18:28:32	]C17:RCT.YELLO-51 has gained a 'Breen's Water' #451.
[18:28:36	]C17:RCT.YELLO-51 ran 'drop' on item 'Breen's Water' (#451)
[18:28:36	]C17:RCT.YELLO-51 has lost a 'Breen's Water' #451.
[18:28:36	]C17:RCT.YELLO-51 ran 'drop' on item 'Artificial Paste' (#450)
[18:28:36	]C17:RCT.YELLO-51 has lost a 'Artificial Paste' #450.
[18:28:49	]C17:RCT.YELLO-51 has given himself a comp_resin.
[18:28:49	]C17:RCT.YELLO-51 has gained a 'Resin' #452.
[18:29:07	]C17:RCT.YELLO-51 ran 'drop' on item 'Data-Disc' (#444)
[18:29:07	]C17:RCT.YELLO-51 has lost a 'Data-Disc' #444.
[18:29:37	]C17:RCT.YELLO-51 ran 'take' on item 'Claw Hammer' (#453)
[18:29:37	]C17:RCT.YELLO-51 has gained a 'Claw Hammer' #453.
[18:29:39	]C17:RCT.YELLO-51 ran 'Equip' on item 'Claw Hammer' (#453)
[18:29:40	]C17:RCT.YELLO-51 used command '/ToggleRaise'.
[18:30:26	]C24:RL.YELLO-51 used command '/CharSetName yello C24:RL.YELLO-51'.
[18:30:30	]C24:RL.YELLO-51 ran 'drop' on item 'CP Uniform' (#438)
[18:30:31	]C24:RL.YELLO-51 ran 'drop' on item 'CP Uniform' (#438)
[18:30:31	]C24:RL.YELLO-51 has lost a 'CP Uniform' #438.
[18:30:38	]C24:RL.YELLO-51 has given himself a uniform_com.
[18:30:38	]C24:RL.YELLO-51 has gained a 'CP Rank Leader Uniform' #454.
[18:30:43	]C24:RL.YELLO-51 has used a context menu option with the name: rb655_dissolve
[18:30:45	]env_entity_dissolver destroyed a 'CP Uniform' #438.
[18:30:59	]C24:RL.YELLO-51 has spawned a 'Entity [357][ix_cwuterminal]'.
[18:31:16	]C24:RL.YELLO-51 ran 'drop' on item '#19929's Identity Card' (#436)
[18:31:16	]C24:RL.YELLO-51 has lost a '#19929's Identity Card' #436.
[18:32:03	][CITY FUND] C24:RL.YELLO-51 has took out loan:  9000 credits.
[18:32:14	][CITY FUND] C24:RL.YELLO-51 has paid loan with 10000 credits.
[18:32:28	][CITY FUND] C24:RL.YELLO-51 has changed Infestation Control's budget from 10000 to 10000 credits.
[18:32:35	][CITY FUND] C24:RL.YELLO-51 has withdrew 8000 credits.
[18:32:50	]C24:RL.YELLO-51 ran 'take' on item '#19929's Identity Card' (#436)
[18:32:50	]C24:RL.YELLO-51 has gained a '#19929's Identity Card' #436.
[18:33:06	]C24:RL.YELLO-51 ran 'drop' on item '#19929's Identity Card' (#436)
[18:33:06	]C24:RL.YELLO-51 has lost a '#19929's Identity Card' #436.
[18:33:31	][CITY FUND] C24:RL.YELLO-51 has deposited 8000 credits.
[18:33:50	]C24:RL.YELLO-51 used command '/Broadcast A workshift is about to commence.'.
[18:34:14	]Jolly Astro loaded the character 'sfsdfdsf'
[18:34:17	]sfsdfdsf entered observer.
[18:34:19	]sfsdfdsf exited observer at their location.
[18:34:28	]Jolly Astro loaded the character 'C24:RL.YELLO-51'
[18:35:11	]C24:RL.YELLO-51 ran 'take' on item '#19929's Identity Card' (#436)
[18:35:11	]C24:RL.YELLO-51 has gained a '#19929's Identity Card' #436.
[18:35:16	]C24:RL.YELLO-51 has acquired his ration, gaining 0 credits, 0 wages and a civil_protection_ration ration.
[18:35:25	][PICKUP DISPENSER] Jolly Astro ( C24:RL.YELLO-51 ) picked up an item from the pickup dispenser.
[18:35:25	]C24:RL.YELLO-51 has gained a '30 Credits Coupon' #455.
[18:35:29	]C24:RL.YELLO-51 ran 'take' on item 'Civil Protection Ration' (#456)
[18:35:29	]C24:RL.YELLO-51 has gained a 'Civil Protection Ration' #456.
[18:35:32	]C24:RL.YELLO-51 ran 'Open' on item 'Civil Protection Ration' (#456)
[18:35:32	]C24:RL.YELLO-51 has gained a 'Metropolice Supplements' #457.
[18:35:32	]C24:RL.YELLO-51 has gained a 'Soda Bob Brawn' #458.
[18:35:32	]C24:RL.YELLO-51 has gained a '20 Credits Coupon' #459.
[18:35:34	]C24:RL.YELLO-51 entered observer.
[18:35:35	]C24:RL.YELLO-51 exited observer at their location.
[18:35:37	]C24:RL.YELLO-51 was knocked unconscious and is bleeding out.
[18:35:40	]C24:RL.YELLO-51 ran SAM command 'slay' with arguments: '^'
[18:36:22	]C24:RL.YELLO-51 has spawned a 'NPC [360][npc_zombie]'.
[18:36:23	]C24:RL.YELLO-51 has taken 10 damage from npc_zombie.
[18:36:28	]C24:RL.YELLO-51 is fully healed.
[18:36:43	]C24:RL.YELLO-51 entered observer.
[18:36:43	]C24:RL.YELLO-51 exited observer at their location.
[18:37:48	]C24:RL.YELLO-51 has gained level 50 in the Guns skill.
[18:37:48	]C24:RL.YELLO-51 used command '/CharSkillAdd yello guns 50'.
[18:38:00	]C24:RL.YELLO-51 has spawned a 'NPC [349][npc_zombie]'.
[18:38:24	]C24:RL.YELLO-51 entered observer.
[18:38:24	]C24:RL.YELLO-51 exited observer at their location.
[18:38:41	]C24:RL.YELLO-51 has taken 0 damage from C24:RL.YELLO-51.
[18:38:41	]C24:RL.YELLO-51 has taken 0 damage from C24:RL.YELLO-51.
[18:38:41	]C24:RL.YELLO-51 has taken 0 damage from C24:RL.YELLO-51.
[18:38:41	]C24:RL.YELLO-51 has taken 0 damage from C24:RL.YELLO-51.
[18:38:41	]C24:RL.YELLO-51 has taken 0 damage from C24:RL.YELLO-51.
[18:38:41	]C24:RL.YELLO-51 has taken 0 damage from C24:RL.YELLO-51.
[18:38:41	]C24:RL.YELLO-51 has taken 1 damage from C24:RL.YELLO-51.
[18:38:41	]C24:RL.YELLO-51 has taken 0 damage from C24:RL.YELLO-51.
[18:38:41	]C24:RL.YELLO-51 has taken 2 damage from C24:RL.YELLO-51.
[18:38:42	]C24:RL.YELLO-51 has taken 3 damage from C24:RL.YELLO-51.
[18:38:42	]C24:RL.YELLO-51 has taken 1 damage from C24:RL.YELLO-51.
[18:38:42	]C24:RL.YELLO-51 has taken 2 damage from C24:RL.YELLO-51.
[18:38:42	]C24:RL.YELLO-51 has taken 0 damage from C24:RL.YELLO-51.
[18:38:42	]C24:RL.YELLO-51 has taken 2 damage from C24:RL.YELLO-51.
[18:38:43	]C24:RL.YELLO-51 has taken 0 damage from C24:RL.YELLO-51.
[18:38:45	]C24:RL.YELLO-51 has taken 0 damage from C24:RL.YELLO-51.
[18:38:45	]C24:RL.YELLO-51 has taken 2 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 1 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 3 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 4 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 4 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 3 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 3 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 3 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 3 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 3 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 3 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 3 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 2 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 5 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 3 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 0 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 0 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 0 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 2 damage from C24:RL.YELLO-51.
[18:38:46	]C24:RL.YELLO-51 has taken 4 damage from C24:RL.YELLO-51.
[18:38:47	]C24:RL.YELLO-51 was knocked unconscious and is bleeding out.
[18:38:51	]C24:RL.YELLO-51 ran SAM command 'respawn' with arguments: '^'
[18:38:51	]C24:RL.YELLO-51 has taken 2 damage from C24:RL.YELLO-51.
[18:38:51	]C24:RL.YELLO-51 has taken 1 damage from C24:RL.YELLO-51.
[18:38:52	]C24:RL.YELLO-51 has taken 1 damage from C24:RL.YELLO-51.
[18:38:52	]C24:RL.YELLO-51 has taken 2 damage from C24:RL.YELLO-51.
[18:38:52	]C24:RL.YELLO-51 has taken 1 damage from C24:RL.YELLO-51.
[18:38:52	]C24:RL.YELLO-51 has taken 2 damage from C24:RL.YELLO-51.
[18:38:53	]C24:RL.YELLO-51 has taken 1 damage from C24:RL.YELLO-51.
[18:38:53	]C24:RL.YELLO-51 has taken 2 damage from C24:RL.YELLO-51.
[18:38:53	]C24:RL.YELLO-51 has taken 2 damage from C24:RL.YELLO-51.
[18:38:53	]C24:RL.YELLO-51 entered observer.
[18:38:54	]C24:RL.YELLO-51 exited observer at their location.
[18:39:51	]C24:RL.YELLO-51 entered observer.
[18:39:55	]C24:RL.YELLO-51 exited observer at their location.
[18:39:58	]C24:RL.YELLO-51 used command '/ToggleRaise'.
[18:40:00	]C24:RL.YELLO-51 has taken 0 damage from point_hurt.
[18:40:00	]C24:RL.YELLO-51 has taken 0 damage from point_hurt.
[18:40:00	]C24:RL.YELLO-51 has taken 0 damage from point_hurt.
[18:40:01	]C24:RL.YELLO-51 has taken 0 damage from point_hurt.
[18:40:01	]C24:RL.YELLO-51 has taken 0 damage from point_hurt.
[18:40:09	]C24:RL.YELLO-51 entered observer.
[18:40:10	]C24:RL.YELLO-51 exited observer at their location.
[18:40:11	]C24:RL.YELLO-51 entered observer.
[18:40:13	]C24:RL.YELLO-51 exited observer at their location.
[18:40:15	]C24:RL.YELLO-51 opened the 'Large Metal Cabinet' #82 container.
[18:40:17	]C24:RL.YELLO-51 closed the 'Large Metal Cabinet' #82 container.
[18:40:18	]C24:RL.YELLO-51 used the 'Steven the farmer' vendor.
[18:40:21	]C24:RL.YELLO-51 entered observer.
[18:40:21	]C24:RL.YELLO-51 exited observer at their location.
[18:40:22	]C24:RL.YELLO-51 entered observer.
[18:40:23	]C24:RL.YELLO-51 exited observer at their location.
[18:40:23	]C24:RL.YELLO-51 entered observer.
[18:40:34	]C24:RL.YELLO-51 exited observer at their location.
[18:40:35	]C24:RL.YELLO-51 entered observer.
[18:40:36	]C24:RL.YELLO-51 exited observer at their location.
[18:41:06	]C24:RL.YELLO-51 used command '/ToggleRaise'.
[18:41:21	]C24:RL.YELLO-51 has spawned a 'NPC [379][npc_poisonzombie]'.
[18:41:30	]C24:RL.YELLO-51 entered observer.
[18:41:33	]C24:RL.YELLO-51 exited observer at their location.
[18:41:37	]C24:RL.YELLO-51 used command '/ToggleRaise'.
[18:41:48	]C24:RL.YELLO-51 entered observer.
[18:42:16	]Jolly Astro (STEAM_0:1:86837969) has disconnected.
