[17:55:11	]Purple Knight has connected.
[20:08:11	][IC] ELputo loco: You know.
[20:08:17	][IC] ELputo loco: We could set up some cool trap here.
[20:08:25	][IC] ELputo loco: Place wooden boards here.
[20:08:33	][IC] ELputo loco: Then place explosive barrels.
[20:08:42	][IC] ELputo loco: When CPs are down below we destroy the wood.
[20:08:47	][IC] ELputo loco: And Allahu akbar.
[20:08:50	]ELputo loco used command '/CharFallOver'.
[20:08:52	]ELputo loco has taken 50 damage from worldspawn.
[20:08:53	]ELputo loco used command '/CharGetUp'.
[20:08:53	]ELputo loco used command '/CharGetUp'.
[20:08:54	]ELputo loco used command '/CharGetUp'.
[20:08:54	]ELputo loco used command '/CharGetUp'.
[20:08:55	]ELputo loco used command '/CharGetUp'.
[20:08:55	]ELputo loco used command '/CharGetUp'.
[20:08:56	]ELputo loco used command '/CharGetUp'.
[20:08:58	][IC] ELputo loco: Call5.
[20:09:00	][IC] ELputo loco: Dey'nahh?
[20:09:02	]ELputo loco has taken 1 damage from env_fire.
[20:09:06	][IC] ELputo loco: Hoe.
[20:09:22	][IC] ELputo loco: Funny enough vorts can open biolocks.
[20:09:33	]ELputo loco has spawned 'models/Combine_Helicopter/helicopter_bomb01.mdl'.
[20:10:58	][IC] ELputo loco: The one here.
[20:11:07	][IC] ELputo loco: The one in this room.
[20:11:10	][IC] ELputo loco: I actually use it.
[20:11:35	]ELputo loco has spawned 'models/Items/battery.mdl'.
[20:11:47	]Taliazure loaded the character 'Maura Azure'
[20:12:03	]Taliazure loaded the character 'Julia Jazmin'
[20:12:03	]Julia Jazmin their 'indigent stash' stash no longer exists, location reset.
[20:12:08	]Julia Jazmin is fully healed.
[20:12:14	]Julia Jazmin ran 'Equip' on item 'Hatchet' (#1383749)
[20:12:18	]Julia Jazmin used command '/ToggleRaise'.
[20:12:31	]Julia Jazmin ran 'Consume' on item 'Raw Headcrab Meat' (#1382551)
[20:12:35	]Julia Jazmin ran 'Deploy' on item 'Vintage Radio' (#1100955)
[20:12:48	]Julia Jazmin ran 'Deploy' on item 'Counterculture Radio' (#1382043)
[20:12:50	]Julia Jazmin has taken 5 damage from wn_rebel_radio.
[20:12:50	]Julia Jazmin has taken 5 damage from wn_rebel_radio.
[20:12:54	]Julia Jazmin has taken 10 damage from wn_rebel_radio.
[20:12:54	]Julia Jazmin has taken 10 damage from wn_rebel_radio.
[20:12:57	]Julia Jazmin has taken 5 damage from wn_rebel_radio.
[20:13:03	]Julia Jazmin has taken 10 damage from wn_rebel_radio.
[20:13:03	]Julia Jazmin has taken 10 damage from wn_rebel_radio.
[20:13:19	]Julia Jazmin was knocked unconscious and is bleeding out.
[20:13:24	]Taliazure (STEAM_0:1:67985352) has disconnected.
