[09:56:28	]Garratz has connected.
[10:25:48	]Callum Crown used command '/SetMood frustrated'.
[10:26:42	]Callum Crown has fired a toolgun with the name: camera
[10:26:44	]Callum Crown entered observer.
[10:26:54	]Callum Crown has fired a toolgun with the name: camera
[10:27:08	]Callum Crown has spawned 'models/willardnetworks/posters/wn_banner_1.mdl'.
[10:27:20	]NitroSkye has connected.
[10:27:34	]Callum Crown has spawned 'models/willardnetworks/posters/wn_banner_1.mdl'.
[10:28:10	]Callum Crown has fired a toolgun with the name: camera
[10:28:15	]Callum Crown used command '/Handsignals'.
[10:28:22	]Callum Crown exited observer at their location.
[10:28:23	]Callum Crown entered observer.
[10:28:24	]NitroSkye loaded the character 'NitroSkye'
[10:28:25	]Callum Crown exited observer at their location.
[10:28:29	]NitroSkye is fully healed.
[10:28:34	]NitroSkye used command '/PrintStaffList'.
[10:28:37	]NitroSkye entered observer.
[10:28:45	]NitroSkye exited observer at their location.
[10:28:51	][IC] NitroSkye: Photobomb.
[10:28:55	]NitroSkye entered observer.
[10:28:58	][IC] Callum Crown: Yes.
[10:29:00	]NitroSkye exited observer at their location.
[10:29:00	]NitroSkye entered observer.
[10:29:03	]Callum Crown used command '/Handsignals'.
[10:29:12	][IC] Callum Crown: It's for the next theme video.
[10:29:16	][IC] Callum Crown: Updating the bio.
[10:29:19	][IC] NitroSkye: Nicee.
[10:29:32	]NitroSkye loaded the character 'Warren Goodwin'
[10:29:32	]Warren Goodwin their 'dob breakroom stash' stash no longer exists, location reset.
[10:29:36	]Warren Goodwin is fully healed.
[10:29:43	]Warren Goodwin entered observer.
[10:29:46	][IC] Callum Crown: Can you remove that plant?
[10:29:48	]Warren Goodwin ran SAM command 'goto' with arguments: 'CALLUM'
[10:29:50	]Warren Goodwin exited observer at their location.
[10:30:00	][LOOC] Warren Goodwin: lmao
[10:30:01	][Y] Callum Crown: Who the fuck are you?!
[10:30:03	]Callum Crown ran 'Equip' on item 'AKM' (#2048526)
[10:30:04	][LOOC] Warren Goodwin: i still have all my old shiz
[10:30:04	]Callum Crown has lost a '30rnd AK-magazine' #2048549.
[10:30:09	]Warren Goodwin entered observer.
[10:30:11	][Y] Callum Crown: Get out!
[10:30:11	]Warren Goodwin exited observer at their location.
[10:30:12	]Warren Goodwin entered observer.
[10:30:14	]Warren Goodwin exited observer at their location.
[10:30:14	]Warren Goodwin entered observer.
[10:30:15	]Warren Goodwin exited observer at their location.
[10:30:16	]Warren Goodwin entered observer.
[10:30:17	]Warren Goodwin exited observer at their location.
[10:30:21	]Callum Crown has gained a '30rnd AK-magazine' #2048549.
[10:30:21	]Callum Crown has lost a '30rnd AK-magazine' #2048548.
[10:30:30	][Y] Warren Goodwin: Ill do it ill jump.
[10:30:35	][Y] Callum Crown: Do a flip!
[10:30:36	][Y] Warren Goodwin: Help.
[10:30:39	][Y] Warren Goodwin: Help1.
[10:30:40	]Warren Goodwin entered observer.
[10:30:42	]Warren Goodwin exited observer at their location.
[10:30:44	]Warren Goodwin entered observer.
[10:30:45	]Warren Goodwin exited observer at their location.
[10:30:46	]Warren Goodwin has taken 38 damage from worldspawn.
[10:30:47	]Warren Goodwin entered observer.
[10:30:50	]Warren Goodwin exited observer at their location.
[10:30:51	]Warren Goodwin has taken 4 damage from worldspawn.
[10:30:53	][IC] Warren Goodwin: Ow.
[10:31:01	][IC] Warren Goodwin: Lights camarah.
[10:31:04	][IC] Warren Goodwin: Aktion.
[10:31:08	][IC] Callum Crown: Remove that plant from under crown's portrait.
[10:31:17	]Callum Crown has gained a '30rnd AK-magazine' #2048548.
[10:31:17	]Callum Crown has lost a '30rnd AK-magazine' #2048547.
[10:31:20	]Warren Goodwin has disabled persistence for 'models/props_foliage/urban_balcony_planter02.mdl'.
[10:31:20	]Warren Goodwin has used a context menu option with the name: persist_end
[10:31:26	][IC] Callum Crown: Nice.
[10:31:29	]Callum Crown ran 'EquipUn' on item 'AKM' (#2048526)
[10:31:29	]Callum Crown has gained a '30rnd AK-magazine' #2048547.
[10:31:32	]Callum Crown ran 'Equip' on item 'Stunstick' (#2048566)
[10:31:34	]Warren Goodwin was just knocked out due to: hit by stunstick owned by Callum Crown
[10:31:43	][IC] Warren Goodwin: I have a brain injury.
[10:31:44	][IC] Warren Goodwin: Ow.
[10:31:50	]Warren Goodwin used command '/CharGetUp'.
[10:31:51	]Warren Goodwin used command '/CharGetUp'.
[10:31:56	]Warren Goodwin used command '/CharGetUp'.
[10:31:57	][IC] Callum Crown: Now we'll have some quiet time.
[10:32:08	]Warren Goodwin ran SAM command 'hp' with arguments: 'Warren' '100'
[10:32:09	]Warren Goodwin used command '/CharGetUp'.
[10:32:10	]Warren Goodwin used command '/CharGetUp'.
[10:32:10	]Warren Goodwin used command '/CharGetUp'.
[10:32:11	]Warren Goodwin is fully healed.
[10:32:13	][IC] Warren Goodwin: Ahhfdhafhba.
[10:32:15	]Warren Goodwin used command '/CharGetUp'.
[10:32:22	][IC] Warren Goodwin: It takes so long dafack.
[10:32:23	]Warren Goodwin used command '/CharGetUp'.
[10:32:23	]Warren Goodwin used command '/CharGetUp'.
[10:32:24	]Warren Goodwin used command '/CharGetUp'.
[10:32:25	]Warren Goodwin used command '/CharGetUp'.
[10:32:25	]Callum Crown has critically hit Warren Goodwin in the left leg dealing 2 damage (CritChance was 1.00).
[10:32:25	]Warren Goodwin has taken 2 damage from Callum Crown.
[10:32:25	]Warren Goodwin used command '/CharGetUp'.
[10:32:26	]Warren Goodwin used command '/CharGetUp'.
[10:32:26	]Warren Goodwin used command '/CharGetUp'.
[10:32:29	][IC] Callum Crown: Cope.
[10:32:41	][IC] Warren Goodwin: Oh shit!
[10:32:50	]Warren Goodwin used command '/PM callum after yo done with photos i wanna try something'.
[10:32:58	]Warren Goodwin ran 'EquipUn' on item 'Claw Hammer' (#2040530)
[10:33:08	]Warren Goodwin has spawned a cca_collector.
[10:33:09	]Warren Goodwin ran 'take' on item 'Collector' (#2048568)
[10:33:09	]Warren Goodwin has gained a 'Collector' #2048568.
[10:33:10	]Warren Goodwin has spawned a cca_legs_collector.
[10:33:12	]Warren Goodwin ran 'take' on item 'Collector Trousers' (#2048569)
[10:33:12	]Warren Goodwin has gained a 'Collector Trousers' #2048569.
[10:33:26	]Warren Goodwin has spawned a shoes_dress_shoes.
[10:33:32	]Warren Goodwin ran 'take' on item 'Dress Shoes' (#2048570)
[10:33:32	]Warren Goodwin has gained a 'Dress Shoes' #2048570.
[10:33:38	]Callum Crown has spawned a hands_medical_gloves.
[10:33:39	]Callum Crown ran 'take' on item 'Medical Gloves' (#2048571)
[10:33:39	]Callum Crown has gained a 'Medical Gloves' #2048571.
[10:33:41	]Warren Goodwin ran 'Consume' on item 'Spoiled Apple' (#2042007)
[10:33:43	]Warren Goodwin ran 'drop' on item 'Scissors' (#1970166)
[10:33:43	]Warren Goodwin has lost a 'Scissors' #1970166.
[10:33:54	]Warren Goodwin has spawned a cca_paperweight.
[10:33:55	]Warren Goodwin has spawned a cca_legs_paperweight.
[10:33:56	]Warren Goodwin ran 'take' on item 'The Paperweight' (#2048572)
[10:33:56	]Warren Goodwin has gained a 'The Paperweight' #2048572.
[10:33:57	]Warren Goodwin ran 'take' on item 'The Paperweight Trousers' (#2048573)
[10:33:57	]Warren Goodwin has gained a 'The Paperweight Trousers' #2048573.
[10:34:22	]Warren Goodwin has spawned a cca_goose.
[10:34:24	]Warren Goodwin has spawned a cca_goose.
[10:34:28	]Warren Goodwin ran 'drop' on item 'Light Casual' (#1990759)
[10:34:28	]Warren Goodwin has lost a 'Light Casual' #1990759.
[10:34:32	]Warren Goodwin ran 'take' on item 'Golden Goose' (#2048575)
[10:34:32	]Warren Goodwin has gained a 'Golden Goose' #2048575.
[10:34:39	]Warren Goodwin has spawned a cca_legs_goose.
[10:34:40	]Warren Goodwin ran 'take' on item 'Golden Goose Trousers' (#2048576)
[10:34:40	]Warren Goodwin has gained a 'Golden Goose Trousers' #2048576.
[10:34:47	][IC] Warren Goodwin: Tada.
[10:34:52	]Callum Crown ran 'Equip' on item 'AKM' (#2048526)
[10:34:52	]Callum Crown has lost a '30rnd AK-magazine' #2048548.
[10:34:54	]Callum Crown has critically hit Warren Goodwin in the chest dealing 22 damage (CritChance was 1.01).
[10:34:54	]Warren Goodwin has taken 22 damage from Callum Crown.
[10:34:55	]Callum Crown has critically hit Warren Goodwin in the chest dealing 22 damage (CritChance was 1.01).
[10:34:55	]Warren Goodwin has taken 22 damage from Callum Crown.
[10:34:55	]Callum Crown has critically hit Warren Goodwin in the chest dealing 22 damage (CritChance was 1.01).
[10:34:55	]Warren Goodwin has taken 22 damage from Callum Crown.
[10:34:55	]Callum Crown has critically hit Warren Goodwin in the chest dealing 22 damage (CritChance was 1.01).
[10:34:55	]Warren Goodwin has taken 22 damage from Callum Crown.
[10:34:55	]Callum Crown has critically hit Warren Goodwin in the chest dealing 22 damage (CritChance was 1.01).
[10:34:55	]Warren Goodwin was knocked unconscious and is bleeding out.
[10:34:57	][IC] Warren Goodwin: No! Nooo!.
[10:34:59	][IC] Warren Goodwin: No! Nooo!.
[10:35:03	][IC] Callum Crown: He's dead.
[10:35:04	][IC] Warren Goodwin: No! Nooo!. No! Nooo!. Ugh!
[10:35:11	][IC] Warren Goodwin: Hit in the gut.
[10:35:13	][IC] Warren Goodwin: Damnt.
[10:35:14	][IC] Callum Crown: *Pain* Hit in the gut!
[10:35:20	]Warren Goodwin used command '/CharStopBleedout Warren'.
[10:35:23	]Warren Goodwin ran SAM command 'hp' with arguments: 'Warren' '100'
[10:35:24	]Warren Goodwin used command '/CharGetUp'.
[10:35:26	][LOOC] Warren Goodwin: check this out
[10:35:26	]Warren Goodwin is no longer unconscious from critical wounds.
[10:35:26	]Warren Goodwin is fully healed.
[10:35:29	][LOOC] Warren Goodwin: watch dis
[10:35:38	][LOOC] Warren Goodwin: do fallover rq
[10:35:44	]Callum Crown used command '/CharFallOver'.
[10:35:47	]Callum Crown has gained a '30rnd AK-magazine' #2048548.
[10:35:47	]Warren Goodwin used command '/ForceCharFallover Callum 50'.
[10:35:52	]Warren Goodwin has used a context menu option with the name: statue
[10:35:54	][IC] Warren Goodwin: Heheh.
[10:36:00	][IC] Warren Goodwin: I wanna see what happens.
[10:36:05	][IT] Callum Crown: Unzips pants
[10:36:31	][LOOC] Warren Goodwin: does it let u get up
[10:36:38	][IC] Callum Crown: Yes.
[10:36:42	][IC] Warren Goodwin: Wtf.
[10:36:47	][IC] Warren Goodwin: I clicked on something that said.
[10:36:53	][IC] Warren Goodwin: ''Make Statue''.
[10:36:57	][IC] Warren Goodwin: While you were fallover'd.
[10:37:00	][IC] Callum Crown: It just works on ragdolls.
[10:37:02	][IC] Warren Goodwin: Aw.
[10:37:10	][IC] Callum Crown: Literally just.
[10:37:12	][IC] Callum Crown: Freezes them.
[10:37:26	]Callum Crown has spawned 'models/breen.mdl'.
[10:37:32	]Warren Goodwin has used a context menu option with the name: statue
[10:37:37	][IC] Callum Crown: See?
[10:37:39	][IC] Warren Goodwin: Ohhh.
[10:37:41	]Warren Goodwin has used a context menu option with the name: ignite
[10:37:43	]Warren Goodwin has used a context menu option with the name: rb655_dissolve
[10:37:47	][IC] Warren Goodwin: Oh man.
[10:37:50	][IC] Warren Goodwin: I gotta try something.
[10:37:51	]Callum Crown has spawned 'models/breen.mdl'.
[10:38:04	]Warren Goodwin entered observer.
[10:38:06	]Warren Goodwin exited observer at their location.
[10:38:13	]Warren Goodwin ran SAM command 'bring' with arguments: 'Callum'
[10:38:29	]Callum Crown has taken 50 damage from Warren Goodwin.
[10:38:39	][Y] Callum Crown: THAT TOOK HALF MY HEALTH.
[10:38:40	]Callum Crown has lost a '30rnd AK-magazine' #2048528.
[10:38:50	][Y] Callum Crown: THAT TOOK HALF MY HEALTH.
[10:38:53	][Y] Warren Goodwin: Nice.
[10:38:58	][Y] Warren Goodwin: I got 1000hp.
[10:39:00	][Y] Warren Goodwin: ;  D.
[10:39:08	]Callum Crown is fully healed.
[10:39:15	][IC] Warren Goodwin: How tf do i get outta this pill.
[10:39:23	]Warren Goodwin has used a context menu option with the name: rb655_dissolve
[10:39:28	]Warren Goodwin entered observer.
[10:39:29	]Warren Goodwin exited observer at their location.
[10:39:30	]Warren Goodwin entered observer.
[10:39:30	]Warren Goodwin exited observer at their location.
[10:39:32	]Warren Goodwin entered observer.
[10:39:32	]Warren Goodwin exited observer at their location.
[10:39:45	]Warren Goodwin ran SAM command 'respawn' with arguments: 'Warren'
[10:39:46	]Warren Goodwin is fully healed.
[10:39:51	]Warren Goodwin ran SAM command 'goto' with arguments: 'callum'
[10:39:52	]Warren Goodwin entered observer.
[10:39:54	]Warren Goodwin exited observer at their location.
[10:39:58	][IC] Warren Goodwin: Advisor callum.
[10:40:30	][IC] Warren Goodwin: Oh fuck.
[10:40:43	]Callum Crown has taken 84 damage from Warren Goodwin.
[10:40:43	]Warren Goodwin destroyed a '30rnd MP-magazine' #2047827.
[10:40:46	][IC] Callum Crown: LMAO.
[10:40:51	]NitroSkye (STEAM_0:1:10942409) has disconnected.
[10:40:59	]Garratz (STEAM_0:1:75592978) has disconnected.
[16:53:27	]Kranky has connected.
[16:57:04	]Kranky (STEAM_0:1:110380124) deleted character 'Headcrab'
[16:57:09	]Kranky (STEAM_0:1:110380124) deleted character 'Fergus MacTavish'
[16:57:14	]Kranky loaded the character 'Xih'Shaa'Barr'
[16:57:14	]Xih'Shaa'Barr their 'sewer stash' stash no longer exists, location reset.
[17:00:54	]Kranky has unloaded their "Xih'Shaa'Barr" character.
[17:01:11	]Kranky loaded the character 'Olivier Fournier'
[17:01:11	]Olivier Fournier their 'rdt stash' stash no longer exists, location reset.
[17:01:16	]Olivier Fournier is fully healed.
[17:01:43	]Olivier Fournier has acquired his ration, gaining 0 credits, 15 wages and a improved_ration ration.
[17:01:53	]Kranky (STEAM_0:1:110380124) has disconnected.
