[01:44:24	]Garratz has connected.
[01:55:45	]Michael Hoxworth entered observer.
[01:55:46	]Michael Hoxworth exited observer at their location.
[01:55:53	]Michael Hoxworth has spawned a head_fedora.
[01:55:55	]Michael Hoxworth ran 'take' on item 'Black Fedora' (#2047371)
[01:55:55	]Michael Hoxworth has gained a 'Black Fedora' #2047371.
[01:55:59	]Michael Hoxworth entered observer.
[01:55:59	]Michael Hoxworth exited observer at their location.
[01:56:03	]Michael Hoxworth has spawned a shoes_heels.
[01:56:04	]Michael Hoxworth ran 'take' on item 'High Heel Shoes' (#2047372)
[01:56:04	]Michael Hoxworth has gained a 'High Heel Shoes' #2047372.
[01:56:13	]Michael Hoxworth entered observer.
[01:56:14	]Michael Hoxworth exited observer at their location.
[01:56:17	]Michael Hoxworth has spawned a shoes_dress_shoes.
[01:56:18	]Michael Hoxworth ran 'take' on item 'Dress Shoes' (#2047373)
[01:56:18	]Michael Hoxworth has gained a 'Dress Shoes' #2047373.
[01:56:22	]Michael Hoxworth entered observer.
[01:56:22	]Michael Hoxworth exited observer at their location.
[01:56:43	]Michael Hoxworth has spawned a hands_gloves.
[01:56:43	]Michael Hoxworth ran 'take' on item 'Gloves' (#2047374)
[01:56:43	]Michael Hoxworth has gained a 'Gloves' #2047374.
[01:56:50	]Michael Hoxworth has spawned a head_gasmask2.
[01:56:50	]Michael Hoxworth ran 'take' on item 'M40' (#2047375)
[01:56:50	]Michael Hoxworth has gained a 'M40' #2047375.
[01:57:14	]Michael Hoxworth has spawned a stunstick.
[01:57:17	]Michael Hoxworth ran 'take' on item 'Stunstick' (#2047376)
[01:57:17	]Michael Hoxworth has gained a 'Stunstick' #2047376.
[01:57:20	]Michael Hoxworth ran 'Equip' on item 'Stunstick' (#2047376)
[01:57:33	]Michael Hoxworth has spawned a 870.
[01:57:37	]Michael Hoxworth ran 'take' on item 'Model 870' (#2047377)
[01:57:37	]Michael Hoxworth has gained a 'Model 870' #2047377.
[01:57:39	]Michael Hoxworth ran 'drop' on item 'Black Jumpsuit' (#2047363)
[01:57:39	]Michael Hoxworth has lost a 'Black Jumpsuit' #2047363.
[01:57:40	]Michael Hoxworth ran 'drop' on item 'Glasses' (#2047366)
[01:57:40	]Michael Hoxworth has lost a 'Glasses' #2047366.
[01:57:40	]Michael Hoxworth ran 'drop' on item 'Black Jumpsuit Trousers' (#2047364)
[01:57:40	]Michael Hoxworth has lost a 'Black Jumpsuit Trousers' #2047364.
[01:57:41	]Michael Hoxworth ran 'drop' on item 'High Heel Shoes' (#2047372)
[01:57:41	]Michael Hoxworth has lost a 'High Heel Shoes' #2047372.
[01:57:41	]Michael Hoxworth ran 'drop' on item 'Dark Leather Boots' (#2047365)
[01:57:41	]Michael Hoxworth has lost a 'Dark Leather Boots' #2047365.
[01:57:44	]Michael Hoxworth destroyed a 'Dark Leather Boots' #2047365.
[01:57:48	]Michael Hoxworth destroyed a 'High Heel Shoes' #2047372.
[01:57:49	]Michael Hoxworth destroyed a 'Black Jumpsuit Trousers' #2047364.
[01:57:50	]Michael Hoxworth destroyed a 'Black Jumpsuit' #2047363.
[01:57:51	]Michael Hoxworth destroyed a 'Glasses' #2047366.
[01:57:54	]Michael Hoxworth ran 'Equip' on item 'Model 870' (#2047377)
[01:58:13	]Michael Hoxworth has spawned a shotgunammo.
[01:58:14	]Michael Hoxworth ran 'take' on item 'Shotgun Shells' (#2047378)
[01:58:14	]Michael Hoxworth has gained a 'Shotgun Shells' #2047378.
[01:58:16	]Michael Hoxworth ran 'use' on item 'Shotgun Shells' (#2047378)
[01:58:45	]Michael Hoxworth ran 'drop' on item 'Model 870' (#2047377)
[01:58:45	]Michael Hoxworth has lost a 'Model 870' #2047377.
[01:58:49	]Michael Hoxworth destroyed a 'Model 870' #2047377.
[01:59:12	]Michael Hoxworth has spawned a riotshield.
[01:59:13	]Michael Hoxworth ran 'take' on item 'Riot Shield' (#2047379)
[01:59:13	]Michael Hoxworth has gained a 'Riot Shield' #2047379.
[01:59:16	]Michael Hoxworth ran 'Equip' on item 'Riot Shield' (#2047379)
[01:59:19	]Michael Hoxworth ran 'EquipUn' on item 'Stunstick' (#2047376)
[01:59:20	]Michael Hoxworth ran 'Equip' on item 'Riot Shield' (#2047379)
[01:59:22	]Michael Hoxworth ran 'Equip' on item 'Riot Shield' (#2047379)
[01:59:35	]Michael Hoxworth ran 'drop' on item 'Riot Shield' (#2047379)
[01:59:35	]Michael Hoxworth has lost a 'Riot Shield' #2047379.
[01:59:40	]Michael Hoxworth ran 'Equip' on item 'Stunstick' (#2047376)
[01:59:42	]Michael Hoxworth destroyed a 'Riot Shield' #2047379.
[02:00:12	]Michael Hoxworth has spawned a sg556.
[02:00:14	]Michael Hoxworth ran 'take' on item 'SG556' (#2047380)
[02:00:14	]Michael Hoxworth has gained a 'SG556' #2047380.
[02:00:15	]Michael Hoxworth ran 'Equip' on item 'SG556' (#2047380)
[02:00:38	]Michael Hoxworth has spawned a ins2_br_heavy.
[02:00:39	]Michael Hoxworth ran 'take' on item 'Heavy Barrel' (#2047381)
[02:00:39	]Michael Hoxworth has gained a 'Heavy Barrel' #2047381.
[02:00:50	]Michael Hoxworth ran 'drop' on item 'SG556' (#2047380)
[02:00:50	]Michael Hoxworth has lost a 'SG556' #2047380.
[02:00:50	]Michael Hoxworth ran 'drop' on item 'Heavy Barrel' (#2047381)
[02:00:50	]Michael Hoxworth has lost a 'Heavy Barrel' #2047381.
[02:00:54	]Michael Hoxworth destroyed a 'SG556' #2047380.
[02:00:55	]Michael Hoxworth destroyed a 'Heavy Barrel' #2047381.
[02:01:07	]Michael Hoxworth has spawned a oldrevolver.
[02:01:10	]Michael Hoxworth ran 'take' on item 'Popper' (#2047382)
[02:01:10	]Michael Hoxworth has gained a 'Popper' #2047382.
[02:01:12	]Michael Hoxworth ran 'Equip' on item 'Popper' (#2047382)
[02:02:22	]Michael Hoxworth has spawned a metro_vsvll.
[02:02:25	]Michael Hoxworth ran 'take' on item 'Last light' (#2047383)
[02:02:25	]Michael Hoxworth has gained a 'Last light' #2047383.
[02:02:32	]Michael Hoxworth has spawned a metro_kalashll.
[02:02:33	]Michael Hoxworth has spawned a metro_dupletll.
[02:02:34	]Michael Hoxworth has spawned a metro_mr.
[02:02:35	]Michael Hoxworth has spawned a metro_bastardll.
[02:02:35	]Michael Hoxworth has spawned a metro_2012ll.
[02:02:38	]Michael Hoxworth ran 'take' on item 'Last light' (#2047388)
[02:02:38	]Michael Hoxworth has gained a 'Last light' #2047388.
[02:02:39	]Michael Hoxworth ran 'take' on item 'Last light' (#2047387)
[02:02:39	]Michael Hoxworth has gained a 'Last light' #2047387.
[02:02:40	]Michael Hoxworth ran 'take' on item 'Last light' (#2047386)
[02:02:40	]Michael Hoxworth has gained a 'Last light' #2047386.
[02:02:41	]Michael Hoxworth ran 'take' on item 'Last light' (#2047385)
[02:02:41	]Michael Hoxworth has gained a 'Last light' #2047385.
[02:02:42	]Michael Hoxworth ran 'take' on item 'Last light' (#2047384)
[02:02:42	]Michael Hoxworth has gained a 'Last light' #2047384.
[02:02:54	]Michael Hoxworth ran 'drop' on item 'Last light' (#2047385)
[02:02:54	]Michael Hoxworth has lost a 'Last light' #2047385.
[02:02:55	]Michael Hoxworth ran 'drop' on item 'Last light' (#2047387)
[02:02:55	]Michael Hoxworth has lost a 'Last light' #2047387.
[02:02:55	]Michael Hoxworth ran 'drop' on item 'Last light' (#2047388)
[02:02:55	]Michael Hoxworth has lost a 'Last light' #2047388.
[02:02:56	]Michael Hoxworth ran 'drop' on item 'Last light' (#2047383)
[02:02:56	]Michael Hoxworth has lost a 'Last light' #2047383.
[02:02:57	]Michael Hoxworth ran 'drop' on item 'Last light' (#2047386)
[02:02:57	]Michael Hoxworth has lost a 'Last light' #2047386.
[02:02:58	]Michael Hoxworth ran 'drop' on item 'Last light' (#2047384)
[02:02:58	]Michael Hoxworth has lost a 'Last light' #2047384.
[02:03:02	]Michael Hoxworth destroyed a 'Last light' #2047388.
[02:03:03	]Michael Hoxworth destroyed a 'Last light' #2047386.
[02:03:04	]Michael Hoxworth destroyed a 'Last light' #2047385.
[02:03:04	]Michael Hoxworth destroyed a 'Last light' #2047384.
[02:03:05	]Michael Hoxworth destroyed a 'Last light' #2047383.
[02:03:07	]Michael Hoxworth destroyed a 'Last light' #2047387.
[02:03:36	]Michael Hoxworth has spawned a torso_green_kevlar_t3.
[02:03:37	]Michael Hoxworth ran 'take' on item 'Heavy Kevlar Uniform' (#2047389)
[02:03:37	]Michael Hoxworth has gained a 'Heavy Kevlar Uniform' #2047389.
[02:03:47	]Michael Hoxworth has spawned a torso_green_kevlar_t2.
[02:03:49	]Michael Hoxworth has spawned a torso_blue_kevlar.
[02:03:50	]Michael Hoxworth ran 'take' on item 'Blue Light Kevlar Uniform' (#2047391)
[02:03:50	]Michael Hoxworth has gained a 'Blue Light Kevlar Uniform' #2047391.
[02:03:51	]Michael Hoxworth ran 'take' on item 'Medium Kevlar Uniform' (#2047390)
[02:03:51	]Michael Hoxworth has gained a 'Medium Kevlar Uniform' #2047390.
[02:04:01	]Michael Hoxworth ran 'drop' on item 'Blue Light Kevlar Uniform' (#2047391)
[02:04:01	]Michael Hoxworth has lost a 'Blue Light Kevlar Uniform' #2047391.
[02:04:01	]Michael Hoxworth ran 'drop' on item 'Heavy Kevlar Uniform' (#2047389)
[02:04:01	]Michael Hoxworth has lost a 'Heavy Kevlar Uniform' #2047389.
[02:04:02	]Michael Hoxworth ran 'drop' on item 'Medium Kevlar Uniform' (#2047390)
[02:04:02	]Michael Hoxworth has lost a 'Medium Kevlar Uniform' #2047390.
[02:04:06	]Michael Hoxworth destroyed a 'Medium Kevlar Uniform' #2047390.
[02:04:07	]Michael Hoxworth destroyed a 'Heavy Kevlar Uniform' #2047389.
[02:04:08	]Michael Hoxworth destroyed a 'Blue Light Kevlar Uniform' #2047391.
[02:04:28	]Michael Hoxworth used command '/PlyWhitelist Michael Hoxworth CCA'.
[02:04:36	]Michael Hoxworth used command '/PlyWhitelist Michael Hoxworth Combine Civil Administration'.
[02:04:57	]Michael Hoxworth used command '/PlyTransfer Michael Hoxworth Combine Civil Administration'.
[02:05:52	]Michael Hoxworth has spawned a cca_coat_overseer.
[02:05:53	]Michael Hoxworth ran 'take' on item 'The Overseer' (#2047392)
[02:05:53	]Michael Hoxworth has gained a 'The Overseer' #2047392.
[02:05:59	]Michael Hoxworth has spawned a cca_legs_overseer.
[02:06:00	]Michael Hoxworth ran 'take' on item 'Overseer Pants' (#2047393)
[02:06:00	]Michael Hoxworth has gained a 'Overseer Pants' #2047393.
[02:06:22	]Michael Hoxworth has spawned a cca_goose.
[02:06:23	]Michael Hoxworth has spawned a cca_legs_goose.
[02:06:24	]Michael Hoxworth ran 'take' on item 'Golden Goose' (#2047394)
[02:06:24	]Michael Hoxworth has gained a 'Golden Goose' #2047394.
[02:06:25	]Michael Hoxworth ran 'take' on item 'Golden Goose Trousers' (#2047395)
[02:06:25	]Michael Hoxworth has gained a 'Golden Goose Trousers' #2047395.
[02:06:46	]Michael Hoxworth has spawned a cca_devil.
[02:06:47	]Michael Hoxworth has spawned a cca_legs_authoritarian.
[02:06:48	]Michael Hoxworth ran 'take' on item 'Devil's Advocate' (#2047396)
[02:06:48	]Michael Hoxworth has gained a 'Devil's Advocate' #2047396.
[02:06:49	]Michael Hoxworth ran 'take' on item 'The Authoritarian Trousers' (#2047397)
[02:06:49	]Michael Hoxworth has gained a 'The Authoritarian Trousers' #2047397.
[02:07:02	]Michael Hoxworth ran 'drop' on item 'The Authoritarian Trousers' (#2047369)
[02:07:02	]Michael Hoxworth has lost a 'The Authoritarian Trousers' #2047369.
[02:07:02	]Michael Hoxworth ran 'drop' on item 'Devil's Advocate' (#2047396)
[02:07:02	]Michael Hoxworth has lost a 'Devil's Advocate' #2047396.
[02:07:03	]Michael Hoxworth ran 'drop' on item 'Golden Goose Trousers' (#2047395)
[02:07:03	]Michael Hoxworth has lost a 'Golden Goose Trousers' #2047395.
[02:07:03	]Michael Hoxworth ran 'drop' on item 'Golden Goose' (#2047394)
[02:07:03	]Michael Hoxworth has lost a 'Golden Goose' #2047394.
[02:07:04	]Michael Hoxworth ran 'drop' on item 'Overseer Pants' (#2047393)
[02:07:04	]Michael Hoxworth has lost a 'Overseer Pants' #2047393.
[02:07:05	]Michael Hoxworth ran 'drop' on item 'The Overseer' (#2047392)
[02:07:05	]Michael Hoxworth has lost a 'The Overseer' #2047392.
[02:07:10	]Michael Hoxworth destroyed a 'The Authoritarian Trousers' #2047369.
[02:07:10	]Michael Hoxworth destroyed a 'Overseer Pants' #2047393.
[02:07:11	]Michael Hoxworth destroyed a 'Devil's Advocate' #2047396.
[02:07:12	]Michael Hoxworth destroyed a 'Golden Goose' #2047394.
[02:07:13	]Michael Hoxworth destroyed a 'The Overseer' #2047392.
[02:07:14	]Michael Hoxworth destroyed a 'Golden Goose Trousers' #2047395.
[02:07:32	]Michael Hoxworth has spawned a magazine_popper_6rnd.
[02:07:33	]Michael Hoxworth ran 'take' on item '6rnd Popper-magazine' (#2047398)
[02:07:33	]Michael Hoxworth has gained a '6rnd Popper-magazine' #2047398.
[02:07:38	]Michael Hoxworth has spawned a magazine_popper_6rnd.
[02:07:39	]Michael Hoxworth ran 'take' on item '6rnd Popper-magazine' (#2047399)
[02:07:39	]Michael Hoxworth has gained a '6rnd Popper-magazine' #2047399.
[02:07:50	]Michael Hoxworth has spawned a 357ammo.
[02:07:51	]Michael Hoxworth ran 'take' on item '.357 Magnum Bullets' (#2047400)
[02:07:51	]Michael Hoxworth has gained a '.357 Magnum Bullets' #2047400.
[02:07:52	]Michael Hoxworth has spawned a 357ammo.
[02:07:52	]Michael Hoxworth ran 'take' on item '.357 Magnum Bullets' (#2047401)
[02:07:52	]Michael Hoxworth has gained a '.357 Magnum Bullets' #2047401.
[02:07:53	]Michael Hoxworth has spawned a 357ammo.
[02:07:54	]Michael Hoxworth ran 'take' on item '.357 Magnum Bullets' (#2047402)
[02:07:54	]Michael Hoxworth has gained a '.357 Magnum Bullets' #2047402.
[02:07:57	]Michael Hoxworth ran 'use' on item '.357 Magnum Bullets' (#2047400)
[02:08:15	]Michael Hoxworth ran 'use' on item '.357 Magnum Bullets' (#2047401)
[02:08:18	]Michael Hoxworth ran 'drop' on item '6rnd Popper-magazine' (#2047399)
[02:08:18	]Michael Hoxworth has lost a '6rnd Popper-magazine' #2047399.
[02:08:21	]Michael Hoxworth ran 'take' on item '6rnd Popper-magazine' (#2047399)
[02:08:21	]Michael Hoxworth has gained a '6rnd Popper-magazine' #2047399.
[02:08:31	]Michael Hoxworth has spawned a pistolammo.
[02:08:33	]Michael Hoxworth ran 'take' on item '9mm Pistol Bullets' (#2047403)
[02:08:33	]Michael Hoxworth has gained a '9mm Pistol Bullets' #2047403.
[02:08:40	]Michael Hoxworth has spawned a medal_bronze.
[02:08:42	]Michael Hoxworth ran 'take' on item 'Bronze Star Medal' (#2047404)
[02:08:42	]Michael Hoxworth has gained a 'Bronze Star Medal' #2047404.
[02:08:47	]Michael Hoxworth ran 'drop' on item 'Bronze Star Medal' (#2047404)
[02:08:47	]Michael Hoxworth has lost a 'Bronze Star Medal' #2047404.
[02:08:52	]Michael Hoxworth destroyed a 'Bronze Star Medal' #2047404.
[02:09:03	]Michael Hoxworth has spawned a lrr_mc.
[02:09:06	]Michael Hoxworth ran 'take' on item 'Multi-Channel Long-Range Radio' (#2047405)
[02:09:15	]Michael Hoxworth destroyed a 'Multi-Channel Long-Range Radio' #2047405.
[02:09:45	]Michael Hoxworth has spawned a magazine_usp_15rnd.
[02:09:49	]Michael Hoxworth ran 'take' on item '17rnd Usp-magazine' (#2047406)
[02:09:49	]Michael Hoxworth has gained a '17rnd Usp-magazine' #2047406.
[02:09:52	]Michael Hoxworth ran 'drop' on item '17rnd Usp-magazine' (#2047406)
[02:09:52	]Michael Hoxworth has lost a '17rnd Usp-magazine' #2047406.
[02:09:53	]Michael Hoxworth ran 'drop' on item '9mm Pistol Bullets' (#2047403)
[02:09:53	]Michael Hoxworth has lost a '9mm Pistol Bullets' #2047403.
[02:09:54	]Lucaa has connected.
[02:10:06	]Michael Hoxworth destroyed a '9mm Pistol Bullets' #2047403.
[02:10:17	]Michael Hoxworth destroyed a '17rnd Usp-magazine' #2047406.
[02:10:20	]Michael Hoxworth ran 'drop' on item 'Popper' (#2047382)
[02:10:20	]Michael Hoxworth has lost a 'Popper' #2047382.
[02:10:21	]Michael Hoxworth ran 'drop' on item '6rnd Popper-magazine' (#2047399)
[02:10:21	]Michael Hoxworth has lost a '6rnd Popper-magazine' #2047399.
[02:10:21	]Michael Hoxworth ran 'drop' on item '.357 Magnum Bullets' (#2047402)
[02:10:21	]Michael Hoxworth has lost a '.357 Magnum Bullets' #2047402.
[02:10:22	]Michael Hoxworth ran 'drop' on item 'M40' (#2047375)
[02:10:22	]Michael Hoxworth has lost a 'M40' #2047375.
[02:10:23	]Michael Hoxworth ran 'drop' on item '6rnd Popper-magazine' (#2047398)
[02:10:23	]Michael Hoxworth has lost a '6rnd Popper-magazine' #2047398.
[02:10:24	]Michael Hoxworth ran 'drop' on item 'CWU Member Access Keycard' (#2047362)
[02:10:24	]Michael Hoxworth has lost a 'CWU Member Access Keycard' #2047362.
[02:10:26	]Michael Hoxworth destroyed a 'Popper' #2047382.
[02:10:27	]Michael Hoxworth destroyed a '.357 Magnum Bullets' #2047402.
[02:10:28	]Michael Hoxworth destroyed a '6rnd Popper-magazine' #2047398.
[02:10:28	]Michael Hoxworth destroyed a 'CWU Member Access Keycard' #2047362.
[02:10:29	]Michael Hoxworth destroyed a '6rnd Popper-magazine' #2047399.
[02:10:34	]Michael Hoxworth destroyed a 'M40' #2047375.
[02:10:45	]Michael Hoxworth has spawned a xushi_the_meal.
[02:10:47	]Michael Hoxworth ran 'take' on item ''The Meal'' (#2047407)
[02:10:47	]Michael Hoxworth has gained a ''The Meal'' #2047407.
[02:10:51	]Michael Hoxworth ran 'drop' on item ''The Meal'' (#2047407)
[02:10:51	]Michael Hoxworth has lost a ''The Meal'' #2047407.
[02:10:52	]Michael Hoxworth destroyed a ''The Meal'' #2047407.
[02:10:57	]Michael Hoxworth has spawned a Rabit_test.
[02:11:04	]Michael Hoxworth destroyed a 'A surprise Item' #2047408.
[02:11:07	]Michael Hoxworth has spawned a Rabit_test.
[02:11:15	]Michael Hoxworth has used a context menu option with the name: rb655_dissolve
[02:11:17	]env_entity_dissolver destroyed a 'A surprise Item' #2047409.
[02:11:18	]Michael Hoxworth has spawned a Rabit_test.
[02:11:23	]Michael Hoxworth has used a context menu option with the name: rb655_dissolve
[02:11:25	]env_entity_dissolver destroyed a 'A surprise Item' #2047410.
[02:11:30	]Michael Hoxworth has spawned a Rabit_test.
[02:11:44	]Michael Hoxworth has used a context menu option with the name: skin
[02:11:46	]Michael Hoxworth has used a context menu option with the name: remove
[02:11:57	]Michael Hoxworth has spawned a mask_com.
[02:12:02	]Michael Hoxworth ran 'take' on item 'Advanced CP Mask' (#2047412)
[02:12:02	]Michael Hoxworth has gained a 'Advanced CP Mask' #2047412.
[02:12:08	]Michael Hoxworth has spawned a uniform_s24.
[02:12:09	]Michael Hoxworth ran 'take' on item 'Summit 24 Elite Uniform' (#2047413)
[02:12:09	]Michael Hoxworth has gained a 'Summit 24 Elite Uniform' #2047413.
[02:12:43	][IC] Michael Hoxworth: <:: Hello. ::>
[02:12:46	][IC] Michael Hoxworth: <:: Fuck you. ::>
[02:12:49	][IC] Michael Hoxworth: <:: I'm back. ::>
[02:13:27	]Michael Hoxworth has spawned a uniform_ocs.
[02:13:28	]Michael Hoxworth ran 'take' on item 'Containment Uniform' (#2047414)
[02:13:28	]Michael Hoxworth has gained a 'Containment Uniform' #2047414.
[02:13:43	][IC] Michael Hoxworth: <:: Hi. ::>
[02:13:50	][IC] Michael Hoxworth: <:: 10. ::>
[02:13:52	][IC] Michael Hoxworth: <:: 9. ::>
[02:14:02	]Michael Hoxworth has spawned a uniform_valkyrie.
[02:14:06	]Michael Hoxworth ran 'take' on item 'OTA Valkyrie Uniform' (#2047415)
[02:14:10	]Michael Hoxworth ran 'take' on item 'OTA Valkyrie Uniform' (#2047415)
[02:14:14	]Michael Hoxworth ran 'take' on item 'OTA Valkyrie Uniform' (#2047415)
[02:14:14	]Michael Hoxworth has gained a 'OTA Valkyrie Uniform' #2047415.
[02:14:25	][IC] Michael Hoxworth: <:: Move back. ::>
[02:14:29	][IC] Michael Hoxworth: <:: 1. ::>
[02:14:35	][IC] Michael Hoxworth: <:: Flatline. ::>
[02:14:55	][IC] Michael Hoxworth: <:: Overwatch confirm, HVT contained. ::>
[02:15:14	]Michael Hoxworth has spawned a combine_card.
[02:15:16	]Michael Hoxworth ran 'take' on item 'Combine Card' (#2047416)
[02:15:16	]Michael Hoxworth has gained a 'Combine Card' #2047416.
[02:15:54	]Michael Hoxworth has spawned a bullets_357.
[02:15:58	]Michael Hoxworth has used a context menu option with the name: remove
[02:16:05	]Michael Hoxworth has spawned a uniform_suppressor.
[02:16:06	]Michael Hoxworth ran 'take' on item 'OTA Suppressor Uniform' (#2047418)
[02:16:13	]Michael Hoxworth ran 'take' on item 'OTA Suppressor Uniform' (#2047418)
[02:16:13	]Michael Hoxworth has gained a 'OTA Suppressor Uniform' #2047418.
[02:16:22	]Michael Hoxworth has spawned a mask_ota.
[02:16:24	]Michael Hoxworth ran 'take' on item 'OTA Mask' (#2047419)
[02:16:24	]Michael Hoxworth has gained a 'OTA Mask' #2047419.
[02:16:42	][IC] Michael Hoxworth: <:: Five, four, three, two, one, flash flash flash! ::>
[02:16:52	][IC] Michael Hoxworth: <:: Team is deployed and scanning. ::>
[02:16:57	]Michael Hoxworth has spawned a uniform_ofc.
[02:16:58	]Michael Hoxworth ran 'take' on item 'CP Captain Uniform' (#2047420)
[02:17:03	]Michael Hoxworth ran 'drop' on item 'OTA Mask' (#2047419)
[02:17:03	]Michael Hoxworth has lost a 'OTA Mask' #2047419.
[02:17:04	]Michael Hoxworth ran 'drop' on item 'OTA Suppressor Uniform' (#2047418)
[02:17:04	]Michael Hoxworth has lost a 'OTA Suppressor Uniform' #2047418.
[02:17:07	]Michael Hoxworth ran 'take' on item 'CP Captain Uniform' (#2047420)
[02:17:07	]Michael Hoxworth has gained a 'CP Captain Uniform' #2047420.
[02:17:15	]Michael Hoxworth ran 'take' on item 'OTA Mask' (#2047419)
[02:17:15	]Michael Hoxworth has gained a 'OTA Mask' #2047419.
[02:17:16	]Michael Hoxworth ran 'take' on item 'OTA Suppressor Uniform' (#2047418)
[02:17:16	]Michael Hoxworth has gained a 'OTA Suppressor Uniform' #2047418.
[02:17:19	]Garratz has unloaded their "Michael Hoxworth" character.
[02:17:28	]Garratz loaded the character 'Michael Hoxworth'
[02:17:54	]Lucaa (STEAM_0:1:460171975) deleted character 'Elisa Amato'
[02:17:58	]Lucaa (STEAM_0:1:460171975) deleted character 'Sir Pigeon IV'
[02:18:00	]Lucaa (STEAM_0:1:460171975) deleted character 'Headcrab'
[02:18:54	]Michael Hoxworth has changed Michael Hoxworth's bodygroups.
[02:19:25	]Michael Hoxworth ran 'drop' on item 'Summit 24 Elite Uniform' (#2047413)
[02:19:25	]Michael Hoxworth has lost a 'Summit 24 Elite Uniform' #2047413.
[02:19:26	]Michael Hoxworth ran 'drop' on item 'Containment Uniform' (#2047414)
[02:19:26	]Michael Hoxworth has lost a 'Containment Uniform' #2047414.
[02:19:26	]Michael Hoxworth ran 'drop' on item 'OTA Suppressor Uniform' (#2047418)
[02:19:26	]Michael Hoxworth has lost a 'OTA Suppressor Uniform' #2047418.
[02:19:27	]Michael Hoxworth ran 'drop' on item 'Advanced CP Mask' (#2047412)
[02:19:27	]Michael Hoxworth has lost a 'Advanced CP Mask' #2047412.
[02:19:27	]Michael Hoxworth ran 'drop' on item 'OTA Valkyrie Uniform' (#2047415)
[02:19:27	]Michael Hoxworth has lost a 'OTA Valkyrie Uniform' #2047415.
[02:19:28	]Michael Hoxworth ran 'drop' on item 'OTA Mask' (#2047419)
[02:19:28	]Michael Hoxworth has lost a 'OTA Mask' #2047419.
