[16:34:19	]Marshall has connected.
[16:41:13	]cake has spawned a collab_yonder.
[16:41:13	]cake ran 'take' on item 'Blue Yonder' (#3112346)
[16:41:13	]cake has gained a 'Blue Yonder' #3112346.
[16:41:17	]cake ran 'drop' on item 'Blue Yonder' (#3112346)
[16:41:17	]cake has lost a 'Blue Yonder' #3112346.
[16:41:27	]cake ran 'drop' on item 'Milan Trousers' (#3111593)
[16:41:27	]cake has lost a 'Milan Trousers' #3111593.
[16:41:36	]cake has spawned a weather_yellow.
[16:41:38	]cake ran 'take' on item 'Yellow Weather Jacket' (#3112347)
[16:41:38	]cake has gained a 'Yellow Weather Jacket' #3112347.
[16:41:53	]cake has spawned a shoes_black_shoes.
[16:41:54	]cake ran 'take' on item 'Black Shoes' (#3112348)
[16:41:54	]cake has gained a 'Black Shoes' #3112348.
[16:42:03	]cake has spawned a face_mask.
[16:42:05	]cake ran 'take' on item 'Surgical Mask' (#3112349)
[16:42:05	]cake has gained a 'Surgical Mask' #3112349.
[16:42:09	]cake ran 'drop' on item 'Surgical Mask' (#3112349)
[16:42:09	]cake has lost a 'Surgical Mask' #3112349.
[16:42:14	]cake has spawned a face_bandana.
[16:42:15	]cake ran 'take' on item 'Bandana' (#3112350)
[16:42:15	]cake has gained a 'Bandana' #3112350.
[16:42:26	]cake has spawned a head_gasmask2.
[16:42:32	]cake ran 'take' on item 'M40' (#3112351)
[16:42:32	]cake has gained a 'M40' #3112351.
[16:43:50	]cake used command '/CharEditBodygroup'.
[16:44:02	]cake has changed cake's bodygroups.
[16:44:08	]cake used command '/CharEditBodygroup'.
[16:44:35	]cake has spawned a face_bandana.
[16:44:49	]cake has spawned a aviators.
[16:44:50	]cake ran 'take' on item 'Aviator Glasses' (#3112353)
[16:44:50	]cake has gained a 'Aviator Glasses' #3112353.
[16:44:53	]cake ran 'drop' on item 'M40' (#3112351)
[16:44:55	]cake ran 'drop' on item 'M40' (#3112351)
[16:44:57	]cake ran 'drop' on item 'M40' (#3112351)
[16:44:58	]cake ran 'drop' on item 'M40' (#3112351)
[16:45:05	]cake has spawned a head_green_beanie.
[16:45:06	]cake ran 'take' on item 'Green Beanie' (#3112354)
[16:45:06	]cake has gained a 'Green Beanie' #3112354.
[16:45:12	]cake ran 'drop' on item 'Green Beanie' (#3112354)
[16:45:12	]cake has lost a 'Green Beanie' #3112354.
[16:45:15	]cake has spawned a beanie_red.
[16:45:17	]cake ran 'take' on item 'Red Beanie' (#3112355)
[16:45:17	]cake has gained a 'Red Beanie' #3112355.
[16:45:43	]cake ran 'drop' on item 'Red Beanie' (#3112355)
[16:45:43	]cake has lost a 'Red Beanie' #3112355.
[16:45:44	]cake ran 'drop' on item 'Yellow Weather Jacket' (#3112347)
[16:45:44	]cake has lost a 'Yellow Weather Jacket' #3112347.
[16:45:45	]cake ran 'drop' on item 'Black Shoes' (#3112348)
[16:45:45	]cake has lost a 'Black Shoes' #3112348.
[16:45:46	]cake ran 'drop' on item 'Red Trousers' (#3112345)
[16:45:46	]cake has lost a 'Red Trousers' #3112345.
[16:45:55	]cake has spawned 'models/chairs/armchair.mdl'.
[16:46:04	]cake has spawned 'models/maxofs2d/companion_doll.mdl'.
[16:46:08	]cake has spawned 'models/maxofs2d/motion_sensor.mdl'.
[16:46:15	]cake has spawned 'models/thrusters/jetpack.mdl'.
[16:46:20	]cake has spawned 'models/maxofs2d/hover_plate.mdl'.
[16:46:25	]cake has spawned 'models/maxofs2d/hover_rings.mdl'.
[16:46:34	]cake created a stash (models/maxofs2d/hover_plate.mdl).
[16:46:34	]cake has used a context menu option with the name: ixcreatestash
[16:46:36	]cake opened the 'Personal Stash 610' stash.
[16:46:40	]cake closed the 'Personal Stash 610' stash.
[16:46:47	]cake created a stash (models/maxofs2d/hover_rings.mdl).
[16:46:47	]cake has used a context menu option with the name: ixcreatestash
[16:46:48	]cake opened the 'Personal Stash 608' stash.
[16:46:50	]cake closed the 'Personal Stash 608' stash.
[16:46:55	]cake has used a context menu option with the name: remove
[16:47:12	]cake has spawned a cca_legs_goose.
[16:47:14	]cake ran 'take' on item 'Golden Goose Trousers' (#3112356)
[16:47:14	]cake has gained a 'Golden Goose Trousers' #3112356.
[16:47:18	]cake has spawned a cca_devil.
[16:47:19	]cake ran 'take' on item 'Devil's Advocate' (#3112357)
[16:47:19	]cake has gained a 'Devil's Advocate' #3112357.
[16:47:45	]cake has spawned a cca_pharaoh.
[16:47:46	]cake ran 'take' on item 'The Pharaoh's Jacket' (#3112358)
[16:47:46	]cake has gained a 'The Pharaoh's Jacket' #3112358.
[16:47:56	]cake has spawned a shoes_heels.
[16:47:59	]cake ran 'take' on item 'High Heel Shoes' (#3112359)
[16:47:59	]cake has gained a 'High Heel Shoes' #3112359.
[16:48:11	]cake has spawned a fedora_white.
[16:48:12	]cake ran 'take' on item 'White Fedora' (#3112360)
[16:48:12	]cake has gained a 'White Fedora' #3112360.
[16:48:32	]Marshall (STEAM_0:0:93908206) has disconnected.
[23:15:15	]Rabithunter has connected.
[23:15:50	]Rabithunter loaded the character 'OVERWATCH'
[23:15:55	]OVERWATCH is fully healed.
[23:15:57	]OVERWATCH entered observer.
[23:18:56	]OVERWATCH exited observer at their location.
[23:18:58	]OVERWATCH entered observer.
[23:20:14	]OVERWATCH admin-searched the 'Medium File Cabinet' #134890 container.
[23:20:14	]OVERWATCH has used a context menu option with the name: wncontainer_view
[23:20:19	]OVERWATCH admin-closed the 'Medium File Cabinet' #134890 container.
[23:20:42	]OVERWATCH set containerInactivityDays to '200'.
[23:21:57	]OVERWATCH exited observer at their location.
[23:22:03	]OVERWATCH entered observer.
[23:22:05	]OVERWATCH exited observer at their location.
[23:22:05	]OVERWATCH has taken 5 damage from worldspawn.
[23:22:10	]OVERWATCH is fully healed.
[23:22:14	]OVERWATCH entered observer.
[23:22:34	]OVERWATCH has used a context menu option with the name: remove
[23:22:39	]OVERWATCH has used a context menu option with the name: remove
[23:22:40	]OVERWATCH has used a context menu option with the name: remove
[23:22:41	]OVERWATCH has used a context menu option with the name: remove
[23:22:42	]OVERWATCH has used a context menu option with the name: remove
[23:22:45	]OVERWATCH has fired a toolgun with the name: remover
[23:22:45	]OVERWATCH has fired a toolgun with the name: remover
[23:22:45	]OVERWATCH has fired a toolgun with the name: remover
[23:22:45	]OVERWATCH has fired a toolgun with the name: remover
[23:22:46	]OVERWATCH has fired a toolgun with the name: remover
[23:22:46	]OVERWATCH has fired a toolgun with the name: remover
[23:22:46	]OVERWATCH has fired a toolgun with the name: remover
[23:22:46	]OVERWATCH has fired a toolgun with the name: remover
[23:22:46	]OVERWATCH has fired a toolgun with the name: remover
[23:22:46	]OVERWATCH has fired a toolgun with the name: remover
[23:23:22	]OVERWATCH exited observer at their location.
[23:23:28	]OVERWATCH has taken 653 damage from worldspawn.
[23:23:30	]OVERWATCH is fully healed.
[23:23:34	]Rabithunter (STEAM_0:1:22394854) has disconnected.
[23:29:16	]Rabithunter has connected.
[23:30:37	]Rabithunter loaded the character 'OVERWATCH'
[23:30:42	]OVERWATCH is fully healed.
[23:30:45	]OVERWATCH entered observer.
[23:35:10	]OVERWATCH exited observer at their location.
[23:36:01	]OVERWATCH has used a context menu option with the name: remove
[23:36:50	]OVERWATCH entered observer.
[23:43:21	]Rabithunter has connected.
[23:43:59	]Rabithunter loaded the character 'OVERWATCH'
[23:44:04	]OVERWATCH is fully healed.
[23:44:41	]Rabithunter (STEAM_0:1:22394854) has disconnected.
