[20:55:20	]M!NT has connected.
[21:07:23	]test exited observer at their location.
[21:07:30	]Teddy Bear has gone afk.
[21:08:00	]Teddy Bear is no longer afk. Total time spent AFK: 325
[21:08:17	]asdasdas has taken 12 damage from Teddy Bear.
[21:08:42	]asdasdas was knocked unconscious and is bleeding out.
[21:08:49	]asdasdas ran SAM command 'respawn' with arguments: 'asd'
[21:08:49	]asdasdas has taken 18 damage from Teddy Bear.
[21:08:54	]test has spawned a musicradio_cmb.
[21:08:58	]test ran 'Deploy' on item 'Benefactor Radio' (#2600)
[21:09:03	]test has spawned a tuner_reb.
[21:09:11	]asdasdas ran 'take' on item 'Resistance Radio Tuner' (#2601)
[21:09:11	]asdasdas has gained a 'Resistance Radio Tuner' #2601.
[21:09:17	]asdasdas ran 'install' on item 'Resistance Radio Tuner' (#2601)
[21:09:27	]test used command '/MusicRadioChannelSeek Classical'.
[21:09:36	]test has spawned a tuner_reb.
[21:09:39	]asdasdas ran 'take' on item 'Resistance Radio Tuner' (#2602)
[21:09:39	]asdasdas has gained a 'Resistance Radio Tuner' #2602.
[21:09:40	]test entered observer.
[21:09:41	]test exited observer at their location.
[21:09:54	]asdasdas has gained level 40 in the Crafting skill.
[21:09:54	]test used command '/CharSkillAdd asd crafting 40'.
[21:09:59	]asdasdas ran 'install' on item 'Resistance Radio Tuner' (#2602)
[21:10:28	]test entered observer.
[21:10:32	]test exited observer at their location.
[21:10:50	]asdasdas used command '/ActStand 1'.
[21:10:51	]asdasdas used command '/ExitAct'.
[21:10:54	]asdasdas used command '/ActStand 2'.
[21:10:59	]asdasdas used command '/ExitAct'.
[21:11:02	]Teddy Bear has taken 27 damage from Teddy Bear.
[21:11:02	]test was knocked unconscious and is bleeding out.
[21:11:02	]asdasdas was knocked unconscious and is bleeding out.
[21:11:02	]Teddy Bear destroyed a 'Biopaste' #1072.
[21:11:03	]Teddy Bear has taken 50 damage from Teddy Bear.
[21:11:03	]Teddy Bear has taken 14 damage from Teddy Bear.
[21:11:05	]test used command '/CharGetUp'.
[21:11:08	]asdasdas ran SAM command 'respawn' with arguments: 'asd'
[21:11:09	]test ran SAM command 'hp' with arguments: 'test' '100'
[21:11:10	]asdasdas is fully healed.
[21:11:11	]test is no longer unconscious from critical wounds.
[21:11:11	]test is fully healed.
[21:11:12	]test used command '/CharStopBleedout test'.
[21:11:14	][IC] Teddy Bear: Hi.
[21:11:16	]test has spawned a musicradio_cmb.
[21:11:17	]asdasdas used command '/DarwinAward teddy'.
[21:11:21	]test ran 'Deploy' on item 'Benefactor Radio' (#2603)
[21:11:25	]asdasdas has taken 37 damage from Teddy Bear.
[21:11:30	]asdasdas entered observer.
[21:11:30	]test has gained a 'Rebel Radio' #2604.
[21:11:30	]asdasdas exited observer at their location.
[21:11:39	]test was knocked unconscious and is bleeding out.
[21:11:44	]test ran SAM command 'slay' with arguments: 'test'
[21:11:45	]asdasdas has spawned a 'Entity [260][gmod_sent_vehicle_fphysics_base]'.
[21:11:47	]asdasdas has spawned a 'Entity [247][gmod_sent_vehicle_fphysics_base]'.
[21:11:53	]test entered observer.
[21:11:58	]test exited observer at their location.
[21:12:08	]test has taken 30 damage from asdasdas.
[21:12:08	]test has taken 30 damage from asdasdas.
[21:12:09	]test has taken 30 damage from asdasdas.
[21:12:09	]Teddy Bear was knocked unconscious and is bleeding out.
[21:12:09	]test was knocked unconscious and is bleeding out.
[21:12:14	]test ran SAM command 'slay' with arguments: 'test'
[21:12:25	]test ran 'drop' on item 'Rebel Radio' (#2604)
[21:12:25	]test has lost a 'Rebel Radio' #2604.
[21:12:25	]Teddy Bear was just killed due to: accepting their death
[21:12:28	]asdasdas ran 'take' on item 'Rebel Radio' (#2604)
[21:12:31	]asdasdas ran 'take' on item 'Rebel Radio' (#2604)
[21:12:34	]Teddy Bear has spawned a 'Entity [250][lvs_vehicle_air_refil]'.
[21:12:34	]asdasdas ran 'drop' on item 'Biopaste' (#1003)
[21:12:34	]asdasdas has lost a 'Biopaste' #1003.
[21:12:35	]asdasdas ran 'drop' on item 'Brown Jumpsuit' (#488)
[21:12:35	]asdasdas has lost a 'Brown Jumpsuit' #488.
[21:12:36	]asdasdas ran 'drop' on item 'Biopaste' (#983)
[21:12:36	]asdasdas has lost a 'Biopaste' #983.
[21:12:36	]asdasdas ran 'drop' on item 'Biopaste' (#971)
[21:12:36	]asdasdas has lost a 'Biopaste' #971.
[21:12:37	]asdasdas ran 'drop' on item 'Biopaste' (#967)
[21:12:37	]asdasdas has lost a 'Biopaste' #967.
[21:12:37	]asdasdas ran 'drop' on item 'Biopaste' (#955)
[21:12:37	]asdasdas has lost a 'Biopaste' #955.
[21:12:38	]asdasdas ran 'drop' on item 'Biopaste' (#943)
[21:12:38	]asdasdas has lost a 'Biopaste' #943.
[21:12:39	]asdasdas ran 'drop' on item 'Resin' (#2413)
[21:12:39	]asdasdas has lost a 'Resin' #2413.
[21:12:39	]asdasdas ran 'drop' on item 'Resin' (#2401)
[21:12:39	]asdasdas has lost a 'Resin' #2401.
[21:12:40	]asdasdas ran 'drop' on item 'Resin' (#2377)
[21:12:40	]asdasdas has lost a 'Resin' #2377.
[21:12:40	]asdasdas ran 'drop' on item 'Resin' (#2353)
[21:12:40	]asdasdas has lost a 'Resin' #2353.
[21:12:41	]asdasdas ran 'drop' on item 'Resin' (#2381)
[21:12:41	]asdasdas has lost a 'Resin' #2381.
[21:12:41	]asdasdas ran 'drop' on item 'Resin' (#2373)
[21:12:41	]asdasdas has lost a 'Resin' #2373.
[21:12:42	]asdasdas ran 'drop' on item 'Resin' (#2405)
[21:12:42	]asdasdas has lost a 'Resin' #2405.
[21:12:42	]asdasdas ran 'drop' on item 'Resin' (#2365)
[21:12:42	]asdasdas has lost a 'Resin' #2365.
[21:12:43	]asdasdas ran 'drop' on item 'Water Bucket' (#2532)
[21:12:43	]asdasdas has lost a 'Water Bucket' #2532.
[21:12:44	]asdasdas ran 'drop' on item 'CWU Management Access Keycard' (#2525)
[21:12:44	]asdasdas has lost a 'CWU Management Access Keycard' #2525.
[21:12:47	]asdasdas ran 'take' on item 'Rebel Radio' (#2604)
[21:12:47	]asdasdas has gained a 'Rebel Radio' #2604.
[21:12:54	]Teddy Bear has spawned a 'Entity [262][gmod_sent_vehicle_fphysics_base]'.
[21:12:55	]asdasdas ran 'Deploy' on item 'Rebel Radio' (#2604)
[21:12:56	]test has spawned a musicradio_cmb.
[21:13:18	]asdasdas has fired a toolgun with the name: creator
[21:13:18	]asdasdas has spawned a 'Weapon [289][weapon_rpg]'.
[21:13:18	]asdasdas has fired a toolgun with the name: creator
[21:13:18	]asdasdas has spawned a 'Weapon [330][weapon_rpg]'.
[21:13:18	]asdasdas has fired a toolgun with the name: creator
[21:13:18	]asdasdas has spawned a 'Weapon [331][weapon_rpg]'.
[21:13:18	]asdasdas has fired a toolgun with the name: creator
[21:13:18	]asdasdas has spawned a 'Weapon [332][weapon_rpg]'.
[21:13:19	]asdasdas has fired a toolgun with the name: creator
[21:13:19	]asdasdas has spawned a 'Weapon [333][weapon_rpg]'.
[21:13:19	]asdasdas has fired a toolgun with the name: creator
[21:13:19	]asdasdas has spawned a 'Weapon [334][weapon_rpg]'.
[21:13:19	]asdasdas has fired a toolgun with the name: creator
[21:13:19	]asdasdas has spawned a 'Weapon [335][weapon_rpg]'.
[21:13:19	]asdasdas has fired a toolgun with the name: creator
[21:13:19	]asdasdas has spawned a 'Weapon [336][weapon_rpg]'.
[21:13:26	]asdasdas used command '/ToggleRaise'.
[21:13:30	]asdasdas destroyed a 'Biopaste' #943.
[21:13:30	]asdasdas destroyed a 'Biopaste' #955.
[21:13:45	]test was knocked unconscious and is bleeding out.
[21:13:45	]asdasdas destroyed a 'Biopaste' #967.
[21:13:45	]asdasdas destroyed a 'Biopaste' #983.
[21:13:45	]asdasdas destroyed a 'Resin' #2381.
[21:13:45	]asdasdas destroyed a 'Resin' #2413.
[21:13:45	]asdasdas destroyed a 'Resin' #2373.
[21:13:48	]test ran SAM command 'slay' with arguments: 'test'
[21:13:51	]Teddy Bear was knocked unconscious and is bleeding out.
[21:13:57	]Teddy Bear ran SAM command 'slay' with arguments: '^'
[21:13:59	]Teddy Bear entered observer.
[21:14:07	]test has spawned a musicradio_cmb.
[21:14:11	]test ran 'Deploy' on item 'Benefactor Radio' (#2606)
[21:14:13	]Teddy Bear has spawned a 'Entity [280][gmod_sent_vehicle_fphysics_base]'.
[21:14:15	]Teddy Bear exited observer at their location.
[21:15:19	]asdasdas used command '/ToggleRaise'.
[21:15:22	]test entered observer.
[21:15:27	]test exited observer at their location.
[21:15:39	]Teddy Bear was knocked unconscious and is bleeding out.
[21:15:44	]Teddy Bear ran SAM command 'slay' with arguments: '^'
[21:15:46	]Teddy Bear entered observer.
[21:16:02	]asdasdas entered observer.
[21:16:04	]asdasdas exited observer at their location.
[21:16:08	]asdasdas entered observer.
[21:16:09	]asdasdas exited observer at their location.
[21:16:12	]asdasdas entered observer.
[21:16:12	]asdasdas exited observer at their location.
[21:16:19	]Teddy Bear has spawned a 'Entity [262][gmod_sent_vehicle_fphysics_base]'.
[21:16:21	]Teddy Bear exited observer at their location.
[21:16:22	]asdasdas has spawned a 'Entity [322][gmod_sent_vehicle_fphysics_base]'.
[21:16:59	]asdasdas was knocked unconscious and is bleeding out.
[21:17:04	]asdasdas used command '/CharGetUp'.
[21:17:08	]asdasdas ran SAM command 'respawn' with arguments: 'asd'
[21:17:12	]asdasdas entered observer.
[21:17:14	]asdasdas exited observer at their location.
[21:17:17	]asdasdas has spawned a 'Entity [244][gmod_sent_vehicle_fphysics_base]'.
[21:17:18	]asdasdas has spawned a 'Entity [282][gmod_sent_vehicle_fphysics_base]'.
[21:17:34	]gmod_sent_vehicle_fphysics_base destroyed a 'Resin' #2405.
[21:17:47	]asdasdas was knocked unconscious and is bleeding out.
[21:17:50	]asdasdas ran SAM command 'respawn' with arguments: 'asd'
[21:17:52	]asdasdas entered observer.
[21:17:58	]asdasdas exited observer at their location.
[21:18:03	]asdasdas has spawned a 'Entity [245][gmod_sent_vehicle_fphysics_base]'.
[21:18:31	]asdasdas was knocked unconscious and is bleeding out.
[21:18:34	]asdasdas ran SAM command 'respawn' with arguments: 'asd'
[21:18:36	]asdasdas entered observer.
[21:18:43	]asdasdas exited observer at their location.
[21:18:45	]asdasdas has spawned a 'Entity [244][gmod_sent_vehicle_fphysics_base]'.
[21:18:45	]test has spawned a 'Entity [347][lvs_vehicle_spammer]'.
[21:18:54	]asdasdas was knocked unconscious and is bleeding out.
[21:18:57	]asdasdas ran SAM command 'respawn' with arguments: 'asd'
[21:19:01	]asdasdas entered observer.
[21:19:21	]test has spawned a 'Entity [245][gmod_sent_vehicle_fphysics_base]'.
[21:19:29	]asdasdas has spawned a 'Entity [324][gmod_sent_vehicle_fphysics_base]'.
[21:19:32	]asdasdas exited observer at their location.
[21:19:33	]asdasdas entered observer.
[21:19:33	]asdasdas exited observer at their location.
[21:19:47	]asdasdas has spawned a 'Entity [324][gmod_sent_vehicle_fphysics_base]'.
[21:19:51	]asdasdas has spawned a 'Entity [324][gmod_sent_vehicle_fphysics_base]'.
[21:19:54	]asdasdas has spawned a 'Entity [324][gmod_sent_vehicle_fphysics_base]'.
[21:20:05	]asdasdas has spawned a 'Entity [324][gmod_sent_vehicle_fphysics_base]'.
[21:20:08	]asdasdas has spawned a 'Entity [324][gmod_sent_vehicle_fphysics_base]'.
[21:20:12	]asdasdas has spawned a 'Entity [324][gmod_sent_vehicle_fphysics_base]'.
[21:20:35	]test has spawned a 'Entity [353][gmod_sent_vehicle_fphysics_base]'.
[21:20:52	]asdasdas was knocked unconscious and is bleeding out.
[21:20:56	]asdasdas ran SAM command 'respawn' with arguments: 'asd'
[21:20:56	]asdasdas is no longer unconscious from critical wounds.
[21:20:58	]asdasdas entered observer.
[21:21:54	]Teddy Bear was knocked unconscious and is bleeding out.
[21:21:58	]test entered observer.
[21:21:59	]Teddy Bear ran SAM command 'slay' with arguments: '^'
[21:22:01	]Teddy Bear entered observer.
[21:22:06	]test exited observer at their location.
[21:22:09	]test has spawned a 'Entity [270][gmod_sent_vehicle_fphysics_base]'.
[21:22:09	]test was knocked unconscious and is bleeding out.
[21:22:12	]Teddy Bear has spawned a 'Entity [264][gmod_sent_vehicle_fphysics_base]'.
[21:22:14	]test ran SAM command 'respawn' with arguments: 'test'
[21:22:16	]test is fully healed.
[21:22:16	]Teddy Bear has spawned a 'Entity [261][gmod_sent_vehicle_fphysics_base]'.
[21:22:16	]test entered observer.
[21:22:19	]Teddy Bear has spawned a 'Entity [270][gmod_sent_vehicle_fphysics_base]'.
[21:22:20	]test exited observer at their location.
[21:22:21	]Teddy Bear has spawned a 'Entity [424][gmod_sent_vehicle_fphysics_base]'.
[21:22:23	]Teddy Bear has spawned a 'Entity [463][gmod_sent_vehicle_fphysics_base]'.
[21:22:24	]Teddy Bear has spawned a 'Entity [502][gmod_sent_vehicle_fphysics_base]'.
[21:22:27	]Teddy Bear has spawned a 'Entity [340][gmod_sent_vehicle_fphysics_base]'.
[21:22:29	]Teddy Bear has spawned a 'Entity [575][gmod_sent_vehicle_fphysics_base]'.
[21:22:31	]Teddy Bear exited observer at their location.
[21:22:36	]Teddy Bear entered observer.
[21:22:38	]Teddy Bear exited observer at their location.
[21:22:41	]Teddy Bear has used a context menu option with the name: rb655_vehicle_enter
[21:22:52	]Teddy Bear has spawned a 'Entity [261][gmod_sent_vehicle_fphysics_base]'.
[21:23:15	]Teddy Bear entered observer.
[21:23:25	]Teddy Bear has spawned a 'Entity [261][gmod_sent_vehicle_fphysics_base]'.
[21:23:28	]Teddy Bear has spawned a 'Entity [316][gmod_sent_vehicle_fphysics_base]'.
[21:23:34	]Teddy Bear has spawned a 'Entity [348][gmod_sent_vehicle_fphysics_base]'.
[21:23:39	]Teddy Bear has spawned a 'Entity [348][gmod_sent_vehicle_fphysics_base]'.
[21:24:01	]test entered observer.
[21:24:03	]test exited observer at their location.
[21:24:16	]Teddy Bear exited observer at their location.
[21:24:21	]test entered observer.
[21:24:24	]test exited observer at their location.
[21:24:25	]test entered observer.
[21:24:25	]test exited observer at their location.
[21:24:26	]test entered observer.
[21:24:27	]test exited observer at their location.
[21:25:03	]Teddy Bear has spawned a musicradio_reb.
[21:25:06	]Teddy Bear ran 'Deploy' on item 'Rebel Radio' (#2607)
[21:25:24	]Teddy Bear entered observer.
[21:25:25	]Teddy Bear exited observer at their location.
[21:26:42	]Teddy Bear has used a context menu option with the name: remove
[21:26:45	]Teddy Bear has spawned a musicradio_cmb.
[21:26:48	]Teddy Bear ran 'Deploy' on item 'Benefactor Radio' (#2608)
[21:27:15	]asdasdas has gone afk.
[21:27:49	]ulterior has connected.
[21:28:14	]ulterior loaded the character 'the one'
[21:28:16	]the one has taken 146 damage from worldspawn.
[21:28:19	]the one is fully healed.
[21:28:20	]Teddy Bear has spawned a 'NPC [271][npc_vj_hlr1_apache]'.
[21:28:21	]Teddy Bear was knocked unconscious and is bleeding out.
[21:28:24	]Teddy Bear ran SAM command 'slay' with arguments: '^'
[21:28:26	]Teddy Bear entered observer.
[21:28:28	][IC] test: Bitch.
[21:28:30	][IC] test: Bitch.
[21:28:32	]Teddy Bear has spawned a 'NPC [244][npc_vj_hlrof_assassin_osprey]'.
[21:28:36	]test has taken 7 damage from Black Ops Male Assassin.
[21:28:44	]Teddy Bear has spawned a 'NPC [244][npc_vj_hlr1_alienslave]'.
[21:28:47	]Teddy Bear exited observer at their location.
[21:28:48	]Teddy Bear entered observer.
[21:28:49	]Teddy Bear exited observer at their location.
[21:28:51	]Teddy Bear has taken 20 damage from Alien Slave.
[21:28:53	]Teddy Bear entered observer.
[21:28:57	]Teddy Bear has used a context menu option with the name: vj_pr_npc_gib
[21:29:03	]Teddy Bear has spawned a 'NPC [244][npc_vj_hlr1a_scientist]'.
[21:29:07	]Teddy Bear exited observer at their location.
[21:29:19	]the one entered observer.
[21:29:19	]the one exited observer at their location.
[21:29:21	]the one entered observer.
[21:29:21	][IC] test: Bitch.
[21:29:27	]Teddy Bear has used a context menu option with the name: vj_pr_npc_gib
[21:29:29	]asdasdas exited observer at their location.
[21:29:30	]asdasdas is no longer afk. Total time spent AFK: 430
[21:29:34	]the one used command '/PlyGiveAllFlags ^'.
[21:29:42	]the one exited observer at their location.
[21:29:46	]the one has fired a toolgun with the name: sh_textadd
[21:29:47	]the one has removed their last 3D text.
[21:29:53	]Teddy Bear has spawned a 'NPC [280][npc_vj_hlrdc_keller]'.
[21:29:55	]asdasdas entered observer.
[21:29:58	]asdasdas exited observer at their location.
[21:29:58	]asdasdas entered observer.
[21:29:59	]asdasdas exited observer at their location.
[21:30:02	]Teddy Bear has used a context menu option with the name: vj_pr_npc_gib
[21:30:03	]test has used a context menu option with the name: vj_pr_npc_gib
[21:30:15	]asdasdas used command '/CreateCustomItem'.
[21:30:18	]Teddy Bear entered observer.
[21:30:18	]test has spawned 'models/props_c17/FurnitureCouch002a.mdl'.
[21:30:20	]Teddy Bear has spawned a 'NPC [296][npc_vj_hlr1_m1a1abrams]'.
[21:30:21	]Teddy Bear has spawned a 'NPC [332][npc_vj_hlr1_m1a1abrams]'.
[21:30:21	]Teddy Bear has spawned a 'NPC [335][npc_vj_hlr1_m1a1abrams]'.
[21:30:22	]Teddy Bear has spawned a 'NPC [337][npc_vj_hlr1_m1a1abrams]'.
[21:30:22	]Teddy Bear has spawned a 'NPC [339][npc_vj_hlr1_m1a1abrams]'.
[21:30:22	]Teddy Bear has spawned a 'NPC [293][npc_vj_hlr1_m1a1abrams]'.
[21:30:22	]test has spawned 'models/props_c17/FurnitureDrawer001a.mdl'.
[21:30:27	]test has spawned 'models/props_c17/FurnitureDrawer001a.mdl'.
[21:30:27	]the one entered observer.
[21:30:28	]the one exited observer at their location.
[21:30:29	]asdasdas has taken 10 damage from test.
[21:30:29	]asdasdas has taken 5 damage from test.
[21:30:30	]the one entered observer.
[21:30:30	]the one exited observer at their location.
[21:30:30	]test has spawned 'models/props_c17/FurnitureDrawer001a.mdl'.
[21:30:31	]asdasdas has taken 5 damage from test.
[21:30:31	]asdasdas was knocked unconscious and is bleeding out.
[21:30:42	]test has spawned 'models/props_c17/fence03a.mdl'.
[21:30:44	]test has spawned 'models/props_c17/canister02a.mdl'.
[21:30:45	]test entered observer.
[21:30:47	]test exited observer at their location.
[21:30:47	]Teddy Bear exited observer at their location.
[21:30:51	]asdasdas has gained a 'PRANKED' #2609.
[21:30:53	]test has taken 10 damage from Teddy Bear.
[21:30:55	]asdasdas ran SAM command 'respawn' with arguments: 'asd'
[21:30:56	]asdasdas entered observer.
[21:31:00	]asdasdas exited observer at their location.
[21:31:03	]test has spawned 'models/props_lab/monitor01a.mdl'.
[21:31:05	]Teddy Bear was knocked unconscious and is bleeding out.
[21:31:08	]Teddy Bear ran SAM command 'slay' with arguments: '^'
[21:31:08	]asdasdas has given himself a Rabit_test.
[21:31:09	]asdasdas has gained a 'A surprise Item' #2610.
[21:31:12	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:31:14	]asdasdas was knocked unconscious and is bleeding out.
[21:31:19	]asdasdas ran SAM command 'respawn' with arguments: 'asd'
[21:31:20	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:31:22	]asdasdas has spawned a 'Entity [307][ix_customvendingmachine]'.
[21:31:25	]asdasdas ran 'take' on item 'Vending Machine Key' (#2612)
[21:31:25	]asdasdas has gained a 'Vending Machine Key' #2612.
[21:31:25	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:31:26	]asdasdas ran 'take' on item 'Vending Machine Key' (#2611)
[21:31:26	]asdasdas has gained a 'Vending Machine Key' #2611.
[21:31:27	]asdasdas ran 'take' on item 'Vending Machine Key' (#2613)
[21:31:27	]asdasdas has gained a 'Vending Machine Key' #2613.
[21:31:28	]Teddy Bear was knocked unconscious and is bleeding out.
[21:31:29	]the one has used a context menu option with the name: skin
[21:31:30	]Teddy Bear ran SAM command 'slay' with arguments: '^'
[21:31:30	]the one has used a context menu option with the name: skin
[21:31:31	]asdasdas ran 'Insert' on item 'Vending Machine Key' (#2613)
[21:31:32	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:31:38	]asdasdas has transferred a 'A surprise Item' #2610 to a container with the name 'Vending Machine' #190.
[21:31:41	]asdasdas ran 'Insert' on item 'Vending Machine Key' (#2613)
[21:31:46	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:31:47	]asdasdas ran 'Insert' on item 'Vending Machine Key' (#2612)
[21:31:49	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:31:54	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:31:58	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:31:58	]asdasdas ran 'Insert' on item 'Vending Machine Key' (#2613)
[21:32:03	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:32:07	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:32:11	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:32:15	]the one has given himself a musicradio_cmb.
[21:32:16	]the one has given himself a musicradio_reb.
[21:32:17	]asdasdas has spawned 'models/props_wasteland/cargo_container01b.mdl'.
[21:32:17	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:32:19	]the one ran 'use' on item 'RPG Missile' (#588)
[21:32:21	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:32:22	]the one ran 'SetCredits' on item '#25529's Identity Card' (#539)
[21:32:25	]Teddy Bear has taken 10 damage from asdasdas.
[21:32:25	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:32:29	]Teddy Bear was knocked unconscious and is bleeding out.
[21:32:29	]the one ran 'Equip' on item 'Suitcase' (#536)
[21:32:30	]the one ran 'EquipUn' on item 'Suitcase' (#536)
[21:32:32	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:32:32	]Teddy Bear ran SAM command 'slay' with arguments: '^'
[21:32:34	]asdasdas was knocked unconscious and is bleeding out.
[21:32:34	]Teddy Bear entered observer.
[21:32:35	]the one ran 'drop' on item 'SG556' (#558)
[21:32:35	]the one has lost a 'SG556' #558.
[21:32:36	]asdasdas ran SAM command 'respawn' with arguments: 'asd'
[21:32:37	]asdasdas entered observer.
[21:32:39	]the one has given himself a musicradio_reb.
[21:32:39	]the one has gained a 'Rebel Radio' #2614.
[21:32:39	]test has spawned 'models/props_lab/citizenradio.mdl'.
[21:32:40	]asdasdas exited observer at their location.
[21:32:42	]Teddy Bear used command '/PlyGiveAllFlags teddy'.
[21:32:42	]the one has given himself a tuner_reb.
[21:32:42	]the one has gained a 'Resistance Radio Tuner' #2615.
[21:32:43	]Teddy Bear exited observer at their location.
[21:32:43	]asdasdas was knocked unconscious and is bleeding out.
[21:32:43	]the one ran 'Deploy' on item 'Rebel Radio' (#2614)
[21:32:44	]asdasdas ran SAM command 'respawn' with arguments: 'asd'
[21:32:45	]asdasdas entered observer.
[21:32:47	]asdasdas exited observer at their location.
[21:32:50	]test was knocked unconscious and is bleeding out.
[21:32:52	]the one ran 'install' on item 'Resistance Radio Tuner' (#2615)
[21:32:53	]Teddy Bear has spawned 'models/props_c17/consolebox01a.mdl'.
[21:32:56	]Teddy Bear has spawned 'models/props_c17/consolebox01a.mdl'.
[21:32:57	]test ran SAM command 'respawn' with arguments: 'test'
[21:32:58	]Teddy Bear has spawned 'models/props_c17/consolebox01a.mdl'.
[21:32:58	]test entered observer.
