[00:00:01	][IC] C24:i3.UNION-41: <:: LOOK AT THIS SHIT. ::>
[00:00:14	]C24:i3.UNION-41 has hit Elena Rose in the head dealing 20 damage (CritChance was 0.14).
[00:00:14	]Elena Rose has taken 20 damage from C24:i3.UNION-41.
[00:00:14	]C24:i3.UNION-41 has hit Elena Rose in the head dealing 20 damage (CritChance was 0.14).
[00:00:14	]Elena Rose has taken 20 damage from C24:i3.UNION-41.
[00:00:15	]C24:i3.UNION-41 has hit Elena Rose in the head dealing 20 damage (CritChance was 0.14).
[00:00:15	]Elena Rose has taken 20 damage from C24:i3.UNION-41.
[00:00:15	]C24:i3.UNION-41 has hit Elena Rose in the head dealing 20 damage (CritChance was 0.14).
[00:00:15	]Elena Rose has gained a '17rnd USP Magazine' #2691039.
[00:00:15	]Elena Rose was knocked unconscious and is bleeding out.
[00:00:15	][IC] Elena Rose: It's changed.
[00:00:18	][IC] Elena Rose: I have an AR2.
[00:00:21	][IC] Elena Rose: It doesnt shoot that way.
[00:00:33	]Elena Rose is fully healed.
[00:00:43	]C24:i3.UNION-41 has spawned a cmb_par2.
[00:00:47	][IC] Elena Rose: The ar2 is slower and the only reason you have precision is simply because of the dev server bug.
[00:00:53	]C24:i3.UNION-41 ran 'take' on item 'Overwatch Standard-Issue Pulse Rifle' (#2691050)
[00:00:53	]C24:i3.UNION-41 has gained a 'Overwatch Standard-Issue Pulse Rifle' #2691050.
[00:00:55	]C24:i3.UNION-41 ran 'Equip' on item 'Overwatch Standard-Issue Pulse Rifle' (#2691050)
[00:00:55	]C24:i3.UNION-41 used command '/ToggleRaise'.
[00:01:08	][IC] Elena Rose: Try shooting it again?
[00:01:09	]C24:i3.UNION-41 has spawned a bullets_pulse.
[00:01:12	]Elena Rose used command '/ToggleRaise'.
[00:01:18	]C24:i3.UNION-41 has spawned a magazine_pulse100.
[00:01:38	][IC] Elena Rose: Supressor takes heavy pulse.
[00:01:40	]C24:i3.UNION-41 has spawned a magazine_pulse30.
[00:01:42	]C24:i3.UNION-41 ran 'take' on item '30rnd Pulse Magazine' (#2691053)
[00:01:42	]C24:i3.UNION-41 has gained a '30rnd Pulse Magazine' #2691053.
[00:01:44	]C24:i3.UNION-41 ran 'take' on item 'Pulse Rifle Bullets' (#2691051)
[00:01:44	]C24:i3.UNION-41 has gained a 'Pulse Rifle Bullets' #2691051.
[00:01:46	]C24:i3.UNION-41 ran 'combine' on item '30rnd Pulse Magazine' (#2691053)
[00:01:47	]C24:i3.UNION-41 has lost a '30rnd Pulse Magazine' #2691053.
[00:01:56	][IC] C24:i3.UNION-41: <:: I love it. ::>
[00:01:58	][IC] Elena Rose: What is the name of the gun? That's not an ar2.
[00:02:00	]Elena Rose used command '/ToggleRaise'.
[00:02:08	][IC] Elena Rose: If it is, it's changed.
[00:02:16	][IC] C24:i3.UNION-41: <:: IT IS. ::>
[00:02:20	][IC] C24:i3.UNION-41: <:: It's the AR2. ::>
[00:02:23	][IC] Elena Rose: As I said, it doesn't shoot like that on main.
[00:02:26	][IC] Elena Rose: Tested it many times.
[00:02:29	]C24:i3.UNION-41 ran 'EquipUn' on item 'Overwatch Standard-Issue Pulse Rifle' (#2691050)
[00:02:29	]C24:i3.UNION-41 has gained a '30rnd Pulse Magazine' #2691053.
[00:02:32	]C24:i3.UNION-41 ran 'drop' on item 'Overwatch Standard-Issue Pulse Rifle' (#2691050)
[00:02:32	]C24:i3.UNION-41 has lost a 'Overwatch Standard-Issue Pulse Rifle' #2691050.
[00:02:36	]C24:i3.UNION-41 used command '/ToggleRaise'.
[00:02:41	][IC] Elena Rose: Pulse smg is broken af.
[00:02:44	][IC] C24:i3.UNION-41: <:: I always liked this. ::>
[00:02:46	][IC] Elena Rose: Pulse smg is better than ar2.
[00:02:46	]C24:i3.UNION-41 used command '/ToggleRaise'.
[00:02:52	][IC] C24:i3.UNION-41: <:: Fire rate. ::>
[00:02:55	]C24:i3.UNION-41 has critically hit Elena Rose in the chest dealing 15 damage (CritChance was 0.43).
[00:02:55	]Elena Rose has taken 15 damage from C24:i3.UNION-41.
[00:02:55	]C24:i3.UNION-41 has critically hit Elena Rose in the chest dealing 15 damage (CritChance was 0.43).
[00:02:55	]Elena Rose has taken 15 damage from C24:i3.UNION-41.
[00:02:55	]C24:i3.UNION-41 has hit Elena Rose in the chest dealing 12 damage (CritChance was 0.43).
[00:02:55	]Elena Rose has taken 12 damage from C24:i3.UNION-41.
[00:02:55	]C24:i3.UNION-41 has critically hit Elena Rose in the chest dealing 15 damage (CritChance was 0.43).
[00:02:55	]Elena Rose has taken 15 damage from C24:i3.UNION-41.
[00:02:56	][IC] Elena Rose: Objectively better.
[00:02:56	]C24:i3.UNION-41 has critically hit Elena Rose in the chest dealing 15 damage (CritChance was 0.43).
[00:02:56	]Elena Rose has taken 15 damage from C24:i3.UNION-41.
[00:02:56	]C24:i3.UNION-41 has hit Elena Rose in the chest dealing 12 damage (CritChance was 0.43).
[00:02:56	]Elena Rose has taken 12 damage from C24:i3.UNION-41.
[00:02:56	]C24:i3.UNION-41 has critically hit Elena Rose in the chest dealing 15 damage (CritChance was 0.43).
[00:02:56	]Elena Rose was knocked unconscious and is bleeding out.
[00:02:56	]Elena Rose used command '/ToggleRaise'.
[00:02:58	][IC] C24:i3.UNION-41: <:: ... ::>
[00:02:59	][IC] C24:i3.UNION-41: <:: Wtf. ::>
[00:03:01	]C24:i3.UNION-41 has critically hit C24:i5.KING-53 in the chest dealing 15 damage (CritChance was 0.30).
[00:03:01	]C24:i5.KING-53 has taken 15 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 12 damage (CritChance was 0.30).
[00:03:01	]C24:i5.KING-53 has taken 12 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 12 damage (CritChance was 0.30).
[00:03:01	]C24:i5.KING-53 has taken 12 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 12 damage (CritChance was 0.30).
[00:03:01	]C24:i5.KING-53 has taken 12 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 12 damage (CritChance was 0.30).
[00:03:01	]C24:i5.KING-53 has taken 12 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has critically hit C24:i5.KING-53 in the chest dealing 15 damage (CritChance was 0.30).
[00:03:01	]C24:i5.KING-53 has taken 15 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 12 damage (CritChance was 0.30).
[00:03:01	]C24:i5.KING-53 has taken 12 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 12 damage (CritChance was 0.43).
[00:03:01	]C24:i5.KING-53 has taken 12 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has critically hit C24:i5.KING-53 in the chest dealing 15 damage (CritChance was 0.43).
[00:03:01	]C24:i5.KING-53 has taken 15 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has critically hit C24:i5.KING-53 in the chest dealing 15 damage (CritChance was 0.43).
[00:03:01	]C24:i5.KING-53 has taken 15 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 12 damage (CritChance was 0.43).
[00:03:01	]C24:i5.KING-53 has taken 12 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 12 damage (CritChance was 0.43).
[00:03:01	]C24:i5.KING-53 has taken 12 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 12 damage (CritChance was 0.43).
[00:03:01	]C24:i5.KING-53 has taken 12 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has critically hit C24:i5.KING-53 in the chest dealing 15 damage (CritChance was 0.43).
[00:03:01	]C24:i5.KING-53 has taken 15 damage from C24:i3.UNION-41.
[00:03:01	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 12 damage (CritChance was 0.43).
[00:03:01	]C24:i5.KING-53 was knocked unconscious and is bleeding out.
[00:03:03	][IC] C24:i3.UNION-41: <:: BRUH. ::>
[00:03:04	][IC] Elena Rose: I told you.
[00:03:07	][IC] C24:i3.UNION-41: <:: WHAT THE FUFCK. ::>
[00:03:10	][IC] Elena Rose: It is objectively better. I did tell you.
[00:03:12	][IC] C24:i5.KING-53: <:: Ow. ::>
[00:03:13	]Elena Rose is fully healed.
[00:03:18	]C24:i3.UNION-41 has fired a toolgun with the name: creator
[00:03:18	]C24:i3.UNION-41 has spawned a 'Weapon [5841][arrcw_psmg]'.
[00:03:18	]C24:i3.UNION-41 has fired a toolgun with the name: creator
[00:03:18	]C24:i3.UNION-41 has spawned a 'Weapon [5852][arrcw_psmg]'.
[00:03:18	]C24:i5.KING-53 is fully healed.
[00:03:20	][IC] C24:i3.UNION-41: <:: Test it. ::>
[00:03:23	]C24:i3.UNION-41 used command '/ToggleRaise'.
[00:03:24	][IC] Elena Rose: I have tested it.
[00:03:26	][IC] Elena Rose: It's annoyingly op.
[00:03:27	]Elena Rose used command '/ToggleRaise'.
[00:03:33	][IC] Elena Rose: Talia.
[00:03:38	][IC] Elena Rose: Put yourself at 150 armor 150 hp.
[00:03:48	][IC] Elena Rose: Do !hp !armor.
[00:03:50	]C24:i3.UNION-41 is fully healed.
[00:03:53	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:53	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:53	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:53	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:53	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:53	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:53	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:53	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:53	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:53	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:53	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:53	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:53	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:53	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:53	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:53	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has critically hit C24:i3.UNION-41 in the head dealing 18 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.10).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.14).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.14).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.14).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.14).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.14).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:54	]Elena Rose has critically hit C24:i3.UNION-41 in the head dealing 18 damage (CritChance was 0.14).
[00:03:54	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:03:54	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.14).
[00:03:54	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:55	]Elena Rose has critically hit C24:i3.UNION-41 in the head dealing 18 damage (CritChance was 0.14).
[00:03:55	]C24:i3.UNION-41 has taken 18 damage from Elena Rose.
[00:03:55	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.14).
[00:03:55	]C24:i3.UNION-41 has taken 15 damage from Elena Rose.
[00:03:55	]Elena Rose has hit C24:i3.UNION-41 in the head dealing 15 damage (CritChance was 0.14).
[00:03:55	]C24:i3.UNION-41 was knocked unconscious and is bleeding out.
[00:04:00	][IC] Elena Rose: I told you.
[00:04:01	][IC] C24:i3.UNION-41: <:: Bruh...gtfo. ::>
[00:04:01	][IC] Elena Rose: Broken.
[00:04:07	][IC] C24:i3.UNION-41: <:: This is dumb. ::>
[00:04:23	][IC] C24:i3.UNION-41: <:: Like the fact a G3 is slowed to kill than a Pulse SMG. ::>
[00:04:23	]Elena Rose ran 'take' on item 'Overwatch Standard-Issue Pulse Rifle' (#2691050)
[00:04:23	]Elena Rose has gained a 'Overwatch Standard-Issue Pulse Rifle' #2691050.
[00:04:24	][ME] C24:i5.KING-53: shrugs.
[00:04:28	]Elena Rose ran 'Equip' on item 'Overwatch Standard-Issue Pulse Rifle' (#2691050)
[00:04:32	][IC] Elena Rose: Do the same and give me bullets.
[00:04:36	][IC] Elena Rose: I'll show you how the ar2 is worse.
[00:04:37	]C24:i3.UNION-41 used command '/ToggleRaise'.
[00:04:41	]C24:i3.UNION-41 has hit Elena Rose in the left arm dealing 7 damage (CritChance was 0.43).
[00:04:41	]Elena Rose has taken 7 damage from C24:i3.UNION-41.
[00:04:41	]C24:i3.UNION-41 has critically hit Elena Rose in the left arm dealing 12 damage (CritChance was 0.43).
[00:04:41	]Elena Rose has taken 12 damage from C24:i3.UNION-41.
[00:04:41	]C24:i3.UNION-41 has critically hit Elena Rose in the chest dealing 18 damage (CritChance was 0.43).
[00:04:41	]Elena Rose has taken 18 damage from C24:i3.UNION-41.
[00:04:41	]C24:i3.UNION-41 has critically hit Elena Rose in the chest dealing 18 damage (CritChance was 0.43).
[00:04:41	]Elena Rose has taken 18 damage from C24:i3.UNION-41.
[00:04:42	]C24:i3.UNION-41 has critically hit Elena Rose in the chest dealing 18 damage (CritChance was 0.43).
[00:04:42	]Elena Rose has taken 18 damage from C24:i3.UNION-41.
[00:04:42	]C24:i3.UNION-41 has hit Elena Rose in the chest dealing 14 damage (CritChance was 0.43).
[00:04:42	]Elena Rose has taken 14 damage from C24:i3.UNION-41.
[00:04:42	]C24:i3.UNION-41 has critically hit Elena Rose in the chest dealing 18 damage (CritChance was 0.43).
[00:04:42	]Elena Rose was knocked unconscious and is bleeding out.
[00:04:48	]Elena Rose is fully healed.
[00:04:50	][IC] Elena Rose: Also g3 isn't good.
[00:04:55	][IC] Elena Rose: It's just good cus I have no armor.
[00:04:57	][IC] C24:i3.UNION-41: <:: Right well this is fucking dumb. ::>
[00:05:04	]C24:i3.UNION-41 has fired a toolgun with the name: creator
[00:05:04	]C24:i3.UNION-41 has spawned a 'Weapon [5843][arccw_ur_g3]'.
[00:05:15	]C24:i3.UNION-41 is fully healed.
[00:05:15	]C24:i3.UNION-41 has fired a toolgun with the name: creator
[00:05:15	]C24:i3.UNION-41 has spawned a 'Weapon [5871][arccw_ur_g3]'.
[00:05:15	]C24:i3.UNION-41 has fired a toolgun with the name: creator
[00:05:15	]C24:i3.UNION-41 has spawned a 'Weapon [5874][arccw_ur_g3]'.
[00:05:16	]C24:i3.UNION-41 has fired a toolgun with the name: creator
[00:05:16	]C24:i3.UNION-41 has spawned a 'Weapon [5875][arccw_ur_g3]'.
[00:05:17	][IC] Elena Rose: It's not good.
[00:05:21	]C24:i5.KING-53 used command '/ToggleRaise'.
[00:05:22	][IC] C24:i3.UNION-41: <:: Use it on me. ::>
[00:05:24	][IC] Elena Rose: It's the dev server missconfig.
[00:05:25	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the chest dealing 15 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 15 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the chest dealing 15 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 15 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the chest dealing 15 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 15 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the chest dealing 15 damage (CritChance was 0.26).
[00:05:25	]C24:i3.UNION-41 has taken 15 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the stomach dealing 10 damage (CritChance was 0.35).
[00:05:25	]C24:i3.UNION-41 has taken 10 damage from C24:i5.KING-53.
[00:05:25	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the stomach dealing 13 damage (CritChance was 0.35).
[00:05:25	]C24:i3.UNION-41 has taken 13 damage from C24:i5.KING-53.
[00:05:26	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the left leg dealing 6 damage (CritChance was 0.26).
[00:05:26	]C24:i3.UNION-41 has taken 6 damage from C24:i5.KING-53.
[00:05:26	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the left leg dealing 10 damage (CritChance was 0.26).
[00:05:26	]C24:i3.UNION-41 has taken 10 damage from C24:i5.KING-53.
[00:05:26	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.26).
[00:05:26	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:26	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the chest dealing 15 damage (CritChance was 0.26).
[00:05:26	]C24:i3.UNION-41 has taken 15 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.26).
[00:05:27	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the chest dealing 12 damage (CritChance was 0.26).
[00:05:27	]C24:i3.UNION-41 has taken 12 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the stomach dealing 10 damage (CritChance was 0.35).
[00:05:27	]C24:i3.UNION-41 has taken 10 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the stomach dealing 10 damage (CritChance was 0.35).
[00:05:27	]C24:i3.UNION-41 has taken 10 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the stomach dealing 10 damage (CritChance was 0.35).
[00:05:27	]C24:i3.UNION-41 has taken 10 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the stomach dealing 10 damage (CritChance was 0.35).
[00:05:27	]C24:i3.UNION-41 has taken 10 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has critically hit C24:i3.UNION-41 in the stomach dealing 13 damage (CritChance was 0.35).
[00:05:27	]C24:i3.UNION-41 has taken 13 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the stomach dealing 10 damage (CritChance was 0.35).
[00:05:27	]C24:i3.UNION-41 has taken 10 damage from C24:i5.KING-53.
[00:05:27	]C24:i5.KING-53 has hit C24:i3.UNION-41 in the stomach dealing 10 damage (CritChance was 0.35).
