[21:03:09	]Fedora has connected.
[21:17:30	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the head dealing 15 damage (CritChance was 0.14).
[21:17:30	]C24:RCT.YELLO-11 has taken 15 damage from C24: i2.MCNULTY-19.
[21:17:30	]Pavel Artyomov has gained 0 chips.
[21:17:31	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the head dealing 15 damage (CritChance was 0.14).
[21:17:31	]C24:RCT.YELLO-11 has taken 15 damage from C24: i2.MCNULTY-19.
[21:17:31	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the head dealing 15 damage (CritChance was 0.14).
[21:17:31	]C24:RCT.YELLO-11 has taken 15 damage from C24: i2.MCNULTY-19.
[21:17:32	]Fedora used command '/PM 37 ill give u one now, make a CP char'.
[21:17:32	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the head dealing 15 damage (CritChance was 0.14).
[21:17:32	]C24:RCT.YELLO-11 has taken 15 damage from C24: i2.MCNULTY-19.
[21:17:32	]C24: i2.MCNULTY-19 has critically hit C24:RCT.YELLO-11 in the head dealing 30 damage (CritChance was 0.14).
[21:17:32	]C24:RCT.YELLO-11 has taken 30 damage from C24: i2.MCNULTY-19.
[21:17:33	][IC] C24:RCT.YELLO-11: <:: Every body part is the same damage.. ::>
[21:17:36	][IC] C24:RCT.YELLO-11: <:: Idk. ::>
[21:17:36	]S10/OWS.SWIFT-37 used command '/PM fedora okie'.
[21:17:37	]C24: i2.MCNULTY-19 ran SAM command 'sethp' with arguments: '*' '100'
[21:17:39	]Fedora used command '/PlyWhitelist 37 Civil Protection'.
[21:17:40	]Pavel Artyomov has gained 0 chips.
[21:17:40	]Pavel Artyomov has gained a 'Helsing Bolt Rifle' #2687865.
[21:17:41	]C24:RCT.YELLO-11 is fully healed.
[21:17:43	]C24: i2.MCNULTY-19 ran SAM command 'setarmor' with arguments: '*' '50'
[21:17:44	]Pavel Artyomov ran 'Equip' on item 'Helsing Bolt Rifle' (#2687865)
[21:17:48	][IC] C24: i2.MCNULTY-19: <:: No they changed it is what I mean. ::>
[21:17:51	][IC] C24: i2.MCNULTY-19: <:: They added headshot damage. ::>
[21:17:54	]Tamara Lahtizer used the 'John Doe' vendor.
[21:17:55	][IC] C24:RCT.YELLO-11: <:: Oh right. ::>
[21:17:57	][IC] Pavel Artyomov: Why is the Helsing now 8 slots?
[21:17:59	]Pavel Artyomov used command '/ToggleRaise'.
[21:18:03	][IC] Tamara Lahtizer: Is it really??
[21:18:06	]Tamara Lahtizer used the 'John Doe' vendor.
[21:18:06	]ulterior loaded the character 'C24:RL.XRAY-74'
[21:18:06	][IC] Pavel Artyomov: Yeah.
[21:18:07	][IC] C24:RCT.YELLO-11: <:: Melee only... ::>
[21:18:07	]willumhf loaded the character 'Anders Stauning'
[21:18:09	][IC] Tamara Lahtizer: Damn.
[21:18:09	]Tamara Lahtizer used the 'John Doe' vendor.
[21:18:11	]C24:RL.XRAY-74 is fully healed.
[21:18:12	]Anders Stauning is fully healed.
[21:18:12	]Fedora exited observer at their location.
[21:18:13	]Fedora entered observer.
[21:18:14	]C24: i2.MCNULTY-19 entered observer.
[21:18:15	]C24: i2.MCNULTY-19 exited observer at their location.
[21:18:15	]C24:RL.XRAY-74 entered observer.
[21:18:16	]C24:RL.XRAY-74 exited observer at their location.
[21:18:17	]C24:RCT.YELLO-11 ran 'drop' on item 'Makeshift AK' (#2687789)
[21:18:17	]C24:RCT.YELLO-11 has lost a 'Makeshift AK' #2687789.
[21:18:24	]Tamara Lahtizer has gained 0 chips.
[21:18:24	]Tamara Lahtizer has gained a 'Spas-12' #2687866.
[21:18:24	]Anders Stauning ran 'drop' on item '#16482's Identity Card' (#2449125)
[21:18:24	]Anders Stauning has lost a '#16482's Identity Card' #2449125.
[21:18:26	][IC] C24: i2.MCNULTY-19: <:: Leko. ::>
[21:18:26	]Anders Stauning ran 'drop' on item 'Water Bottle' (#2455046)
[21:18:26	]Anders Stauning has lost a 'Water Bottle' #2455046.
[21:18:29	][IC] C24: i2.MCNULTY-19: <:: Ur my guinea pig. ::>
[21:18:29	]Anders Stauning ran 'drop' on item 'Suitcase' (#1995686)
[21:18:29	]Anders Stauning has lost a 'Suitcase' #1995686.
[21:18:29	]Anders Stauning has lost a 'Flashlight' #2455009.
[21:18:29	][IC] C24:RCT.YELLO-11: <:: I hope hank will like my present. ::>
[21:18:29	]C24:RL.XRAY-74 entered observer.
[21:18:30	]C24:RL.XRAY-74 exited observer at their location.
[21:18:30	]Anders Stauning ran 'drop' on item 'Empty Jar' (#2569303)
[21:18:30	]Anders Stauning has lost a 'Empty Jar' #2569303.
[21:18:31	]Anders Stauning ran 'drop' on item 'Black Armband' (#2221570)
[21:18:31	]Anders Stauning has lost a 'Black Armband' #2221570.
[21:18:32	][IC] Pavel Artyomov: Rebels will never recover from this.
[21:18:32	]Anders Stauning ran 'drop' on item 'Empty Breen's Water' (#2569304)
[21:18:32	]Anders Stauning has lost a 'Empty Breen's Water' #2569304.
[21:18:33	]Anders Stauning ran 'drop' on item 'Empty Bob Water' (#2569242)
[21:18:33	]Anders Stauning has lost a 'Empty Bob Water' #2569242.
[21:18:35	]C24: i2.MCNULTY-19 entered observer.
[21:18:36	][IC] C24:RCT.YELLO-11: <:: Erm.. ::>
[21:18:36	]C24: i2.MCNULTY-19 exited observer at their location.
[21:18:36	]C24:RL.XRAY-74 ran 'EquipUn' on item 'Combine PDA' (#2525738)
[21:18:37	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the chest dealing 13 damage (CritChance was 0.09).
[21:18:37	]C24:RCT.YELLO-11 has taken 13 damage from C24: i2.MCNULTY-19.
[21:18:38	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the chest dealing 13 damage (CritChance was 0.09).
[21:18:38	]C24:RCT.YELLO-11 has taken 13 damage from C24: i2.MCNULTY-19.
[21:18:38	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the chest dealing 13 damage (CritChance was 0.09).
[21:18:38	]C24:RCT.YELLO-11 has taken 13 damage from C24: i2.MCNULTY-19.
[21:18:38	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the chest dealing 13 damage (CritChance was 0.09).
[21:18:38	]C24:RCT.YELLO-11 has taken 13 damage from C24: i2.MCNULTY-19.
[21:18:39	]NanCi-  なんしい has connected.
[21:18:39	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the chest dealing 13 damage (CritChance was 0.43).
[21:18:39	]C24:RCT.YELLO-11 has taken 13 damage from C24: i2.MCNULTY-19.
[21:18:39	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the chest dealing 13 damage (CritChance was 0.43).
[21:18:39	]C24:RCT.YELLO-11 has taken 13 damage from C24: i2.MCNULTY-19.
[21:18:39	]Anders Stauning has fired a toolgun with the name: remover
[21:18:39	][IC] C24:RCT.YELLO-11: <:: What the flip? ::>
[21:18:39	]Anders Stauning has fired a toolgun with the name: remover
[21:18:39	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the chest dealing 13 damage (CritChance was 0.43).
[21:18:39	]C24:RCT.YELLO-11 has taken 13 damage from C24: i2.MCNULTY-19.
[21:18:39	]Anders Stauning has fired a toolgun with the name: remover
[21:18:39	]Anders Stauning has fired a toolgun with the name: remover
[21:18:40	]Anders Stauning has fired a toolgun with the name: remover
[21:18:40	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the chest dealing 13 damage (CritChance was 0.43).
[21:18:40	]C24:RCT.YELLO-11 has taken 13 damage from C24: i2.MCNULTY-19.
[21:18:40	]Anders Stauning has fired a toolgun with the name: remover
[21:18:40	]C24: i2.MCNULTY-19 has critically hit C24:RCT.YELLO-11 in the chest dealing 21 damage (CritChance was 0.43).
[21:18:40	]C24:RCT.YELLO-11 has taken 21 damage from C24: i2.MCNULTY-19.
[21:18:40	]Anders Stauning has fired a toolgun with the name: remover
[21:18:40	]Anders Stauning has fired a toolgun with the name: remover
[21:18:40	]C24: i2.MCNULTY-19 has critically hit C24:RCT.YELLO-11 in the chest dealing 21 damage (CritChance was 0.43).
[21:18:40	]C24:RCT.YELLO-11 has taken 21 damage from C24: i2.MCNULTY-19.
[21:18:40	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the chest dealing 13 damage (CritChance was 0.43).
[21:18:40	]C24:RCT.YELLO-11 was knocked unconscious and is bleeding out.
[21:18:41	]Anders Stauning has fired a toolgun with the name: remover
[21:18:41	]Anders Stauning has fired a toolgun with the name: remover
[21:18:41	]Anders Stauning has fired a toolgun with the name: remover
[21:18:41	]Anders Stauning has fired a toolgun with the name: remover
[21:18:42	]Anders Stauning has fired a toolgun with the name: remover
[21:18:42	]Anders Stauning has fired a toolgun with the name: remover
[21:18:42	]Anders Stauning has fired a toolgun with the name: remover
[21:18:45	]C24: i2.MCNULTY-19 ran SAM command 'sethp' with arguments: '*' '100'
[21:18:46	]Anders Stauning has fired a toolgun with the name: remover
[21:18:46	]C24:RCT.YELLO-11 is no longer unconscious from critical wounds.
[21:18:46	]C24:RCT.YELLO-11 is fully healed.
[21:18:47	]C24: i2.MCNULTY-19 ran SAM command 'setarmor' with arguments: '*' '50'
[21:18:48	]Tamara Lahtizer ran 'EquipUn' on item 'G3A3' (#2687863)
[21:18:48	]Divine created the character 'C17:RCT.YELLO-76'
[21:18:48	]S10/OWS.SWIFT-37 has gained level 10 in the Speed skill.
[21:18:48	]Tamara Lahtizer ran 'Equip' on item 'Spas-12' (#2687866)
[21:18:48	]C17:RCT.YELLO-76 has gained a '#25399's Identity Card' #2687867.
[21:18:48	]C17:RCT.YELLO-76 has gained a 'Combine PDA' #2687868.
[21:18:48	]C17:RCT.YELLO-76 has gained a 'Light Functionary Uniform' #2687869.
[21:18:49	]C17:RCT.YELLO-76 has gained a 'PMG-5 (AUG) Gasmask' #2687870.
[21:18:49	]C17:RCT.YELLO-76 has gained a 'Small Bag' #2687871.
[21:18:49	]C17:RCT.YELLO-76 has gained a 'Large Bag' #2687872.
[21:18:49	]Divine loaded the character 'C17:RCT.YELLO-76'
[21:18:50	]Tamara Lahtizer used command '/ToggleRaise'.
[21:18:50	]Pavel Artyomov used command '/ToggleRaise'.
[21:18:53	]C24: i2.MCNULTY-19 used command '/CharStopBleedout c24'.
[21:18:53	]Pavel Artyomov ran 'EquipUn' on item 'Helsing Bolt Rifle' (#2687865)
[21:18:54	]Pavel Artyomov used the 'John Doe' vendor.
[21:18:56	]Pavel Artyomov has gained 0 chips.
[21:18:57	]C24: i2.MCNULTY-19 used command '/CharStopBleedout Yello'.
[21:18:59	][IC] Tamara Lahtizer: They removed the semi function to Spas 12..
[21:19:00	][IC] Tamara Lahtizer: :c.
[21:19:00	]C24: i2.MCNULTY-19 used command '/CharStopBleedout Yello-11'.
[21:19:01	]Pavel Artyomov has gained 0 chips.
[21:19:01	]Pavel Artyomov has gained a 'MP7A1' #2687873.
[21:19:04	]Pavel Artyomov used command '/ToggleRaise'.
[21:19:04	]C24:RL.XRAY-74 has given himself a cmb_spas12.
[21:19:04	]C24:RL.XRAY-74 has gained a 'Spas-12' #2687874.
[21:19:04	]Anders Stauning has given himself a res_akm.
[21:19:04	]Anders Stauning has gained a 'AKM' #2687875.
[21:19:05	]C24:RL.XRAY-74 ran 'Equip' on item 'Spas-12' (#2687874)
[21:19:06	]Pavel Artyomov used command '/ToggleRaise'.
[21:19:06	]C24:RL.XRAY-74 used command '/ToggleRaise'.
[21:19:06	][IC] C24: i2.MCNULTY-19: <:: Interesting. ::>
[21:19:06	]Anders Stauning ran 'drop' on item 'Blue Jumpsuit' (#1988045)
[21:19:06	]Anders Stauning has lost a 'Blue Jumpsuit' #1988045.
[21:19:07	]Anders Stauning ran 'drop' on item 'Blue Jumpsuit Trousers' (#1963479)
[21:19:07	]Anders Stauning has lost a 'Blue Jumpsuit Trousers' #1963479.
[21:19:08	]Pavel Artyomov ran 'Equip' on item 'MP7A1' (#2687873)
[21:19:08	]Pavel Artyomov used command '/ToggleRaise'.
[21:19:09	][IC] C24:RL.XRAY-74: <:: Dont move. ::>
[21:19:09	]Anders Stauning has fired a toolgun with the name: remover
[21:19:09	]Anders Stauning has fired a toolgun with the name: remover
[21:19:09	]Anders Stauning has fired a toolgun with the name: remover
[21:19:10	]Anders Stauning has fired a toolgun with the name: remover
[21:19:10	]Tamara Lahtizer destroyed a 'Duplet' #2687411.
[21:19:11	]Tamara Lahtizer used command '/ToggleRaise'.
[21:19:12	][IC] C24:RCT.YELLO-11: <:: Ruh oh. ::>
[21:19:13	]Pavel Artyomov used command '/ToggleRaise'.
[21:19:13	]hoki loaded the character 'C24:RL.GOMEZ-99'
[21:19:14	]Tamara Lahtizer used the 'John Doe' vendor.
[21:19:15	][IC] C24: i2.MCNULTY-19: <:: Gulp. ::>
[21:19:16	]Pavel Artyomov ran 'EquipUn' on item 'MP7A1' (#2687873)
[21:19:16	]Pavel Artyomov used the 'John Doe' vendor.
[21:19:16	]C24:RL.XRAY-74 has hit C24: i2.MCNULTY-19 in the chest dealing 9 damage (CritChance was 0.13).
[21:19:16	]C24: i2.MCNULTY-19 has taken 9 damage from C24:RL.XRAY-74.
[21:19:16	]C24:RL.XRAY-74 has hit C24: i2.MCNULTY-19 in the chest dealing 9 damage (CritChance was 0.13).
[21:19:16	]C24: i2.MCNULTY-19 has taken 9 damage from C24:RL.XRAY-74.
[21:19:16	]C24:RL.XRAY-74 has hit C24: i2.MCNULTY-19 in the chest dealing 9 damage (CritChance was 0.13).
[21:19:16	]C24: i2.MCNULTY-19 has taken 9 damage from C24:RL.XRAY-74.
[21:19:16	]C24:RL.XRAY-74 has hit C24: i2.MCNULTY-19 in the chest dealing 9 damage (CritChance was 0.13).
[21:19:16	]C24: i2.MCNULTY-19 has taken 9 damage from C24:RL.XRAY-74.
[21:19:16	]C24:RL.XRAY-74 has hit C24: i2.MCNULTY-19 in the chest dealing 9 damage (CritChance was 0.13).
[21:19:16	]C24: i2.MCNULTY-19 has taken 9 damage from C24:RL.XRAY-74.
[21:19:16	]C24:RL.XRAY-74 has hit C24: i2.MCNULTY-19 in the chest dealing 9 damage (CritChance was 0.13).
[21:19:16	]C24: i2.MCNULTY-19 has taken 9 damage from C24:RL.XRAY-74.
[21:19:16	]C24:RL.XRAY-74 has hit C24: i2.MCNULTY-19 in the chest dealing 9 damage (CritChance was 0.36).
[21:19:16	]C24: i2.MCNULTY-19 has taken 9 damage from C24:RL.XRAY-74.
[21:19:16	]C24:RL.XRAY-74 has critically hit C24: i2.MCNULTY-19 in the chest dealing 16 damage (CritChance was 0.36).
[21:19:16	]C24: i2.MCNULTY-19 has taken 16 damage from C24:RL.XRAY-74.
[21:19:17	]C24:RL.XRAY-74 has hit C24: i2.MCNULTY-19 in the chest dealing 9 damage (CritChance was 0.36).
[21:19:17	]C24: i2.MCNULTY-19 has taken 9 damage from C24:RL.XRAY-74.
[21:19:17	]C24:RL.XRAY-74 has critically hit C24: i2.MCNULTY-19 in the chest dealing 16 damage (CritChance was 0.36).
[21:19:17	]C24: i2.MCNULTY-19 has taken 16 damage from C24:RL.XRAY-74.
[21:19:17	]C24:RL.XRAY-74 has hit C24: i2.MCNULTY-19 in the chest dealing 9 damage (CritChance was 0.36).
[21:19:17	]C24: i2.MCNULTY-19 has taken 9 damage from C24:RL.XRAY-74.
[21:19:17	]C24:RL.XRAY-74 has hit C24: i2.MCNULTY-19 in the chest dealing 9 damage (CritChance was 0.36).
[21:19:17	]C24: i2.MCNULTY-19 has taken 9 damage from C24:RL.XRAY-74.
[21:19:17	]C24:RL.XRAY-74 has hit C24: i2.MCNULTY-19 in the chest dealing 9 damage (CritChance was 0.36).
[21:19:17	]C24: i2.MCNULTY-19 has taken 9 damage from C24:RL.XRAY-74.
[21:19:17	]C24:RL.XRAY-74 has hit C24: i2.MCNULTY-19 in the chest dealing 9 damage (CritChance was 0.36).
[21:19:17	]C24: i2.MCNULTY-19 has taken 9 damage from C24:RL.XRAY-74.
